,cust_id,acct_amount,acct_cur,inv_amount,account_opened,last_transaction
32,5321D380,59700.08,dollar,8145.24,09-10-18,04-02-19
33,C55C54A8,79630.02,dollar,25250.82,30-10-18,19-02-19
34,AC2AEAC4,88440.54,dollar,63332.9,12-03-18,01-08-19
35,904A19DD,31981.36,dollar,13189.63,28-01-19,23-06-19
36,A731C34E,95352.02,dollar,84066.66,13-11-17,13-01-19
37,96525DA6,82511.24,euro,33929.23,23-07-18,07-08-18
38,BD7CF5D7,82084.76,euro,44340.56,18-07-17,26-02-20
39,0109137B,31730.19,dollar,21959.28,20-04-18,08-07-19
40,93E78DA3,41942.23,dollar,29663.88,09-10-17,15-04-18
41,72DD1471,100683.48,dollar,87882.91,22-01-18,17-05-18
42,EC7C25A8,86503.33,dollar,49180.36,08-06-17,02-04-18
43,38B8CD9C,28834.71,dollar,27532.35,17-09-18,05-02-20
44,80C0DAB3,73951.45,euro,61650.12,03-04-17,21-09-19
45,DEC6DBE4,32220.83,dollar,3216.72,09-08-18,17-11-19
46,3B240FEF,97856.46,dollar,64839.79,23-05-18,11-10-18
47,82E87321,97833.54,dollar,61481.86,18-10-18,21-07-18
48,1903EB99,24267.02,euro,22963.63,17-03-17,21-11-18
49,2F4F99C1,82058.48,dollar,35760.69,30-12-18,11-08-18
50,46351200,97595.3,dollar,82251.59,18-08-18,20-02-20
51,7D8EBAF6,109943.03,euro,81490.13,02-07-17,22-02-20
52,E2EFF324,67297.46,euro,57252.76,27-04-18,10-07-18
53,A1815565,82996.04,euro,30898.16,07-11-17,30-09-19
54,6B094617,89855.98,euro,34551.43,06-02-18,14-02-19
55,C580AE41,96673.37,dollar,68468.28,28-09-18,17-09-18
56,B25B3B8D,99193.98,dollar,83364.21,28-04-18,04-07-19
57,0F0884F6,84505.81,dollar,47826.51,08-03-18,24-08-19
58,58F8CC80,87146.19,dollar,25759.85,18-10-18,10-01-19
59,56D310A8,88660.4,dollar,62307.9,25-02-18,29-07-18
60,4A13E345,84107.71,dollar,4217.92,17-09-18,09-02-19
61,5AEA5AB8,100266.99,dollar,89342.43,09-06-18,03-07-19
62,7A4EED75,98923.14,dollar,20932.3,28-11-17,01-05-19
63,19C86773,63182.57,dollar,62692.03,09-05-18,26-01-20
64,87FDF627,95275.46,dollar,55888.87,26-02-19,25-06-18
65,FBAD3C91,99141.9,dollar,13468.4,29-05-18,02-11-19
66,BFC13E88,59863.77,euro,24569.47,25-04-18,02-04-18
67,5F6A2443,98047.16,dollar,76216.88,15-12-18,12-11-19
68,7A2879AF,83345.15,dollar,45162.06,30-08-18,09-11-19
69,13770971,92750.87,dollar,27963.45,16-08-17,24-04-19
70,EC10469C,73618.75,euro,48979.16,27-12-18,08-06-18
71,B5D367B5,44226.86,dollar,36572.69,16-09-17,03-04-19
72,AC91D689,99490.61,dollar,32150.64,01-08-17,04-08-19
73,625167AC,95315.71,dollar,66914.63,08-06-17,03-07-19
74,777A7F2C,52684.17,dollar,20970.35,27-10-18,25-05-19
75,3E51A395,21757.14,dollar,10582.94,04-06-17,22-09-18
76,2C5901B4,250046.76,euro,90442.57,05-02-18,11-07-19
77,D4C7E817,26585.87,dollar,20441.92,06-05-18,08-12-18
78,DEB87C87,64944.62,euro,31803.34,20-03-18,15-11-19
79,E52D4C7F,61795.89,euro,49387.29,22-05-17,24-10-19
80,987DC93E,35924.41,euro,14881.89,30-12-18,06-12-18
81,A07D5C92,99577.36,dollar,60408.99,17-11-17,16-01-20
82,078C654F,87312.64,dollar,66531.16,14-04-17,05-08-18
83,807465A4,28827.59,dollar,14585.75,20-04-17,31-07-18
84,8D08495A,89138.52,dollar,60798.23,08-08-18,05-02-19
85,C9FB0E86,88682.34,euro,26166.11,19-05-18,06-08-19
86,296A9395,34679.6,euro,28459.96,24-12-17,19-02-19
87,F2158F66,84132.1,euro,23714.06,07-11-17,08-11-18
88,33CA2B76,75508.61,dollar,27008.2,16-11-17,03-03-19
89,EEBD980F,57838.49,euro,50814.83,08-12-18,04-01-20
90,014E0511,70272.97,dollar,65969.8,09-02-19,22-05-19
91,0B44C3F8,33984.87,dollar,31395.0,10-04-18,28-09-19
92,CEC1CAE5,92169.14,dollar,77896.86,26-11-17,08-10-18
93,4C7F8638,21942.37,dollar,11715.24,14-07-18,02-02-19
94,A81D31B3,74010.15,dollar,48787.47,02-06-18,12-09-18
95,93A17007,40651.36,dollar,9387.87,28-05-17,08-03-19
96,E961CA44,27907.16,dollar,10967.69,23-10-17,11-07-19
