,Music,Techno,Movies,History,Mathematics,Pets,Spiders,Loneliness,Parents' advice,Internet usage,Finances,Age,Siblings,Gender,Village - town,Likes Techno
108,4.0,2.0,5.0,1.0,3.0,3.0,5.0,5.0,2.0,few hours a day,1.0,17.0,1.0,female,city,False
109,5.0,1.0,5.0,3.0,2.0,1.0,1.0,4.0,3.0,few hours a day,4.0,18.0,0.0,male,city,False
110,5.0,4.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,few hours a day,4.0,21.0,1.0,male,city,True
111,5.0,4.0,4.0,3.0,1.0,1.0,5.0,5.0,3.0,most of the day,2.0,22.0,1.0,female,village,True
112,5.0,4.0,5.0,2.0,2.0,3.0,4.0,3.0,3.0,less than an hour a day,4.0,20.0,1.0,female,city,True
113,3.0,5.0,4.0,2.0,1.0,5.0,3.0,2.0,4.0,few hours a day,2.0,21.0,1.0,female,village,True
114,5.0,1.0,5.0,5.0,1.0,5.0,5.0,2.0,4.0,less than an hour a day,4.0,19.0,1.0,female,city,False
115,5.0,3.0,5.0,2.0,1.0,3.0,5.0,5.0,3.0,few hours a day,3.0,17.0,0.0,female,city,False
116,5.0,1.0,4.0,2.0,1.0,4.0,5.0,5.0,4.0,few hours a day,3.0,21.0,1.0,female,city,False
117,5.0,1.0,4.0,2.0,5.0,5.0,3.0,4.0,4.0,few hours a day,3.0,18.0,3.0,female,village,False
118,5.0,1.0,5.0,3.0,4.0,4.0,2.0,3.0,3.0,few hours a day,4.0,23.0,1.0,male,city,False
119,4.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,4.0,few hours a day,5.0,16.0,1.0,female,village,False
120,5.0,3.0,3.0,5.0,5.0,5.0,1.0,2.0,2.0,most of the day,4.0,23.0,0.0,male,city,False
121,4.0,3.0,4.0,1.0,4.0,3.0,1.0,2.0,2.0,few hours a day,2.0,21.0,2.0,male,city,False
122,5.0,1.0,4.0,5.0,1.0,4.0,2.0,2.0,3.0,few hours a day,4.0,23.0,0.0,female,city,False
123,5.0,1.0,3.0,2.0,1.0,4.0,1.0,3.0,3.0,few hours a day,4.0,20.0,0.0,female,village,False
124,4.0,1.0,4.0,4.0,1.0,4.0,1.0,2.0,3.0,few hours a day,3.0,20.0,4.0,male,city,False
125,5.0,2.0,5.0,4.0,2.0,5.0,4.0,3.0,4.0,few hours a day,3.0,20.0,1.0,female,city,False
126,3.0,1.0,3.0,5.0,2.0,1.0,1.0,4.0,3.0,few hours a day,4.0,20.0,2.0,female,village,False
127,4.0,3.0,5.0,4.0,3.0,2.0,2.0,3.0,2.0,most of the day,2.0,19.0,1.0,female,city,False
128,5.0,5.0,5.0,4.0,3.0,5.0,1.0,5.0,3.0,few hours a day,5.0,15.0,3.0,female,city,True
129,5.0,1.0,5.0,4.0,1.0,5.0,2.0,2.0,3.0,less than an hour a day,3.0,20.0,1.0,female,village,False
130,4.0,3.0,5.0,5.0,2.0,1.0,4.0,1.0,4.0,few hours a day,4.0,19.0,1.0,female,village,False
131,5.0,3.0,5.0,1.0,1.0,3.0,2.0,3.0,2.0,few hours a day,4.0,18.0,2.0,male,village,False
132,5.0,1.0,5.0,1.0,4.0,5.0,5.0,5.0,2.0,most of the day,5.0,15.0,1.0,female,village,False
133,5.0,1.0,5.0,4.0,1.0,4.0,4.0,2.0,4.0,less than an hour a day,2.0,20.0,2.0,female,city,False
134,5.0,4.0,5.0,3.0,1.0,4.0,5.0,5.0,1.0,few hours a day,1.0,16.0,1.0,female,village,True
135,5.0,1.0,4.0,5.0,3.0,5.0,5.0,3.0,3.0,few hours a day,4.0,18.0,1.0,male,village,False
136,5.0,1.0,5.0,4.0,2.0,3.0,5.0,4.0,4.0,few hours a day,3.0,21.0,1.0,male,village,False
137,5.0,2.0,2.0,4.0,3.0,1.0,3.0,5.0,5.0,few hours a day,4.0,,,,village,False
138,5.0,1.0,5.0,2.0,1.0,3.0,1.0,4.0,5.0,few hours a day,4.0,20.0,4.0,female,village,False
139,5.0,3.0,5.0,1.0,2.0,5.0,3.0,4.0,4.0,few hours a day,2.0,19.0,1.0,female,village,False
140,5.0,3.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0,few hours a day,3.0,19.0,3.0,female,city,False
141,3.0,2.0,3.0,3.0,5.0,5.0,1.0,3.0,3.0,few hours a day,1.0,19.0,1.0,female,city,False
142,5.0,2.0,4.0,1.0,2.0,1.0,4.0,3.0,2.0,most of the day,2.0,,,male,city,False
143,5.0,3.0,,,1.0,5.0,5.0,3.0,3.0,most of the day,2.0,20.0,1.0,female,city,False
144,5.0,4.0,5.0,3.0,1.0,3.0,1.0,4.0,1.0,few hours a day,5.0,21.0,1.0,male,city,True
145,1.0,3.0,4.0,2.0,1.0,2.0,5.0,3.0,3.0,few hours a day,2.0,19.0,1.0,female,village,False
146,5.0,,5.0,5.0,1.0,4.0,1.0,3.0,2.0,few hours a day,5.0,21.0,1.0,male,city,False
147,5.0,1.0,5.0,4.0,5.0,3.0,2.0,4.0,4.0,most of the day,4.0,18.0,2.0,male,city,False
148,4.0,3.0,4.0,3.0,4.0,1.0,2.0,2.0,4.0,few hours a day,4.0,20.0,3.0,male,village,False
149,2.0,1.0,3.0,2.0,5.0,1.0,1.0,3.0,3.0,few hours a day,3.0,19.0,5.0,male,city,False
150,5.0,1.0,5.0,2.0,3.0,1.0,5.0,2.0,3.0,few hours a day,3.0,22.0,1.0,female,city,False
151,5.0,2.0,5.0,4.0,2.0,3.0,3.0,3.0,3.0,few hours a day,4.0,20.0,1.0,male,city,False
152,5.0,2.0,5.0,5.0,2.0,4.0,2.0,5.0,4.0,few hours a day,2.0,25.0,2.0,male,city,False
153,2.0,3.0,3.0,5.0,1.0,1.0,5.0,4.0,4.0,few hours a day,3.0,21.0,0.0,female,city,False
154,5.0,1.0,4.0,5.0,3.0,3.0,5.0,2.0,3.0,few hours a day,4.0,24.0,1.0,male,city,False
155,5.0,2.0,4.0,4.0,3.0,4.0,2.0,5.0,5.0,few hours a day,5.0,19.0,1.0,female,city,False
156,5.0,1.0,5.0,5.0,1.0,4.0,1.0,5.0,3.0,few hours a day,4.0,25.0,1.0,male,city,False
157,5.0,1.0,5.0,3.0,2.0,2.0,2.0,2.0,4.0,most of the day,4.0,26.0,2.0,male,village,False
158,5.0,5.0,5.0,1.0,3.0,5.0,5.0,5.0,3.0,few hours a day,2.0,15.0,2.0,female,village,True
159,5.0,3.0,5.0,4.0,3.0,5.0,2.0,2.0,3.0,few hours a day,3.0,20.0,1.0,male,city,False
160,5.0,3.0,5.0,4.0,5.0,1.0,1.0,3.0,2.0,few hours a day,3.0,19.0,1.0,male,city,False
161,5.0,3.0,5.0,2.0,1.0,5.0,4.0,5.0,3.0,few hours a day,3.0,20.0,2.0,female,city,False
162,4.0,1.0,4.0,5.0,1.0,2.0,2.0,3.0,2.0,few hours a day,4.0,21.0,0.0,male,city,False
163,5.0,5.0,4.0,5.0,1.0,1.0,4.0,4.0,4.0,most of the day,3.0,22.0,1.0,male,city,True
164,5.0,3.0,5.0,3.0,1.0,4.0,2.0,3.0,4.0,most of the day,2.0,20.0,1.0,male,village,False
165,5.0,2.0,5.0,3.0,2.0,2.0,4.0,1.0,5.0,few hours a day,3.0,20.0,1.0,female,city,False
166,5.0,1.0,4.0,2.0,2.0,1.0,4.0,3.0,4.0,few hours a day,5.0,21.0,1.0,female,city,False
167,3.0,3.0,3.0,3.0,1.0,4.0,4.0,4.0,2.0,few hours a day,4.0,21.0,1.0,male,village,False
168,5.0,1.0,5.0,3.0,1.0,1.0,1.0,5.0,3.0,most of the day,3.0,20.0,0.0,female,city,False
169,5.0,1.0,5.0,4.0,1.0,4.0,5.0,4.0,3.0,few hours a day,5.0,19.0,2.0,female,village,False
170,4.0,1.0,3.0,5.0,5.0,4.0,3.0,4.0,4.0,few hours a day,5.0,19.0,1.0,male,city,False
171,5.0,1.0,5.0,4.0,1.0,1.0,1.0,4.0,3.0,few hours a day,3.0,20.0,0.0,male,city,False
172,5.0,1.0,3.0,5.0,3.0,3.0,1.0,5.0,4.0,most of the day,4.0,22.0,1.0,male,village,False
173,5.0,5.0,5.0,3.0,4.0,5.0,2.0,4.0,4.0,most of the day,3.0,21.0,1.0,male,city,True
174,5.0,1.0,5.0,5.0,1.0,3.0,5.0,3.0,3.0,few hours a day,3.0,26.0,0.0,male,city,False
175,5.0,2.0,4.0,1.0,1.0,5.0,3.0,3.0,3.0,few hours a day,5.0,17.0,2.0,female,city,False
176,5.0,2.0,5.0,1.0,5.0,4.0,1.0,2.0,4.0,less than an hour a day,4.0,22.0,2.0,male,village,False
177,5.0,1.0,5.0,3.0,1.0,5.0,1.0,3.0,3.0,few hours a day,3.0,26.0,2.0,male,city,False
178,4.0,1.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,few hours a day,4.0,20.0,1.0,female,city,False
179,4.0,4.0,4.0,5.0,2.0,4.0,5.0,2.0,3.0,few hours a day,5.0,22.0,1.0,male,city,True
180,4.0,1.0,4.0,4.0,4.0,1.0,1.0,3.0,2.0,few hours a day,4.0,21.0,0.0,male,city,False
181,5.0,3.0,4.0,4.0,2.0,2.0,1.0,2.0,4.0,few hours a day,3.0,23.0,0.0,male,city,False
182,5.0,1.0,5.0,3.0,2.0,5.0,5.0,2.0,4.0,few hours a day,2.0,19.0,0.0,female,city,False
183,5.0,4.0,5.0,5.0,2.0,5.0,3.0,2.0,2.0,few hours a day,4.0,20.0,1.0,male,city,True
184,5.0,1.0,5.0,3.0,1.0,2.0,2.0,5.0,3.0,few hours a day,2.0,21.0,0.0,female,city,False
185,3.0,3.0,5.0,2.0,5.0,5.0,3.0,2.0,3.0,less than an hour a day,3.0,19.0,2.0,female,city,False
186,4.0,2.0,4.0,3.0,1.0,4.0,5.0,2.0,3.0,less than an hour a day,3.0,29.0,2.0,female,city,False
187,5.0,5.0,4.0,5.0,1.0,2.0,1.0,5.0,3.0,few hours a day,2.0,22.0,1.0,female,city,True
188,3.0,1.0,2.0,4.0,1.0,,2.0,2.0,4.0,less than an hour a day,5.0,19.0,2.0,female,village,False
189,5.0,1.0,5.0,4.0,3.0,1.0,3.0,4.0,3.0,few hours a day,4.0,17.0,1.0,female,city,False
190,4.0,2.0,4.0,3.0,5.0,2.0,5.0,4.0,4.0,few hours a day,4.0,16.0,1.0,female,city,False
191,5.0,1.0,4.0,3.0,1.0,2.0,1.0,2.0,5.0,less than an hour a day,1.0,29.0,2.0,female,village,False
192,5.0,4.0,5.0,3.0,1.0,5.0,5.0,5.0,3.0,few hours a day,5.0,18.0,2.0,female,city,True
193,5.0,1.0,5.0,3.0,1.0,5.0,1.0,3.0,3.0,few hours a day,3.0,26.0,2.0,male,city,False
194,5.0,1.0,5.0,2.0,1.0,1.0,3.0,3.0,4.0,few hours a day,3.0,19.0,1.0,male,city,False
195,5.0,1.0,4.0,3.0,1.0,1.0,5.0,3.0,3.0,few hours a day,2.0,19.0,1.0,male,city,False
196,5.0,3.0,5.0,4.0,1.0,1.0,4.0,2.0,3.0,few hours a day,4.0,20.0,0.0,female,city,False
197,5.0,1.0,5.0,2.0,1.0,4.0,4.0,3.0,4.0,few hours a day,3.0,22.0,0.0,female,city,False
198,5.0,2.0,3.0,4.0,1.0,4.0,5.0,1.0,2.0,few hours a day,1.0,20.0,1.0,male,village,False
199,5.0,4.0,4.0,2.0,1.0,3.0,2.0,3.0,2.0,less than an hour a day,1.0,21.0,1.0,male,village,True
200,4.0,2.0,5.0,3.0,1.0,5.0,1.0,5.0,2.0,most of the day,4.0,21.0,2.0,male,city,False
201,5.0,2.0,5.0,4.0,1.0,5.0,1.0,3.0,4.0,few hours a day,2.0,18.0,0.0,,village,False
202,5.0,4.0,5.0,2.0,1.0,4.0,4.0,3.0,2.0,few hours a day,3.0,15.0,0.0,male,city,True
203,5.0,3.0,5.0,2.0,3.0,3.0,2.0,3.0,3.0,few hours a day,3.0,19.0,1.0,female,city,False
204,5.0,1.0,5.0,1.0,4.0,3.0,4.0,3.0,3.0,few hours a day,3.0,24.0,1.0,female,city,False
205,5.0,1.0,5.0,5.0,1.0,2.0,1.0,3.0,4.0,few hours a day,5.0,19.0,1.0,female,city,False
206,5.0,1.0,5.0,5.0,4.0,3.0,3.0,3.0,2.0,few hours a day,4.0,25.0,3.0,male,village,False
207,5.0,1.0,5.0,5.0,1.0,5.0,5.0,4.0,4.0,few hours a day,4.0,20.0,1.0,female,city,False
208,5.0,1.0,3.0,3.0,1.0,5.0,5.0,3.0,3.0,less than an hour a day,1.0,19.0,2.0,female,village,False
209,5.0,2.0,5.0,4.0,4.0,3.0,5.0,4.0,2.0,few hours a day,5.0,21.0,1.0,male,village,False
210,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,few hours a day,3.0,23.0,2.0,male,village,True
211,5.0,4.0,5.0,1.0,1.0,4.0,5.0,3.0,4.0,few hours a day,2.0,21.0,1.0,female,village,True
212,5.0,2.0,5.0,5.0,5.0,1.0,4.0,2.0,3.0,most of the day,3.0,20.0,1.0,male,city,False
213,5.0,5.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,few hours a day,5.0,20.0,1.0,female,village,True
214,4.0,1.0,5.0,4.0,3.0,3.0,5.0,4.0,3.0,less than an hour a day,3.0,18.0,3.0,female,city,False
215,1.0,1.0,4.0,3.0,1.0,1.0,1.0,2.0,3.0,few hours a day,1.0,27.0,2.0,male,city,False
216,5.0,2.0,4.0,3.0,3.0,1.0,4.0,3.0,3.0,few hours a day,3.0,17.0,0.0,female,city,False
217,5.0,2.0,5.0,2.0,2.0,5.0,5.0,3.0,1.0,few hours a day,3.0,19.0,1.0,female,village,False
218,5.0,3.0,5.0,2.0,2.0,5.0,1.0,4.0,4.0,few hours a day,2.0,18.0,2.0,male,village,False
219,5.0,5.0,5.0,5.0,1.0,,1.0,2.0,5.0,less than an hour a day,,26.0,1.0,male,city,True
220,5.0,1.0,5.0,3.0,1.0,5.0,2.0,2.0,4.0,few hours a day,2.0,18.0,2.0,male,village,False
221,5.0,4.0,5.0,3.0,4.0,4.0,2.0,2.0,2.0,few hours a day,1.0,30.0,2.0,male,city,True
222,5.0,1.0,5.0,2.0,2.0,1.0,2.0,5.0,4.0,few hours a day,4.0,24.0,1.0,female,city,False
