,Music,Techno,Movies,History,Mathematics,Pets,Spiders,Loneliness,Parents Advice,Internet usage,Finances,Age,Siblings,Gender,Village - town
183,5.0,4.0,5.0,5.0,2.0,5.0,3.0,2.0,Rarely,few hours a day,4.0,20.0,1.0,male,city
575,5.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,Rarely,less than an hour a day,4.0,21.0,1.0,female,city
662,5.0,2.0,4.0,3.0,4.0,5.0,4.0,2.0,Rarely,few hours a day,4.0,21.0,1.0,female,city
160,5.0,3.0,5.0,4.0,5.0,1.0,1.0,3.0,Rarely,few hours a day,3.0,19.0,1.0,male,city
335,5.0,4.0,5.0,5.0,3.0,3.0,1.0,4.0,Rarely,few hours a day,3.0,17.0,1.0,male,city
730,5.0,1.0,5.0,5.0,1.0,5.0,2.0,3.0,Rarely,few hours a day,,16.0,1.0,female,village
206,5.0,1.0,5.0,5.0,4.0,3.0,3.0,3.0,Rarely,few hours a day,4.0,25.0,3.0,male,village
823,5.0,3.0,4.0,4.0,1.0,1.0,2.0,5.0,Rarely,few hours a day,2.0,21.0,0.0,male,city
95,5.0,2.0,5.0,4.0,1.0,4.0,4.0,4.0,Rarely,few hours a day,1.0,21.0,1.0,male,city
202,5.0,4.0,5.0,2.0,1.0,4.0,4.0,3.0,Rarely,few hours a day,3.0,15.0,0.0,male,city
146,5.0,,5.0,5.0,1.0,4.0,1.0,3.0,Rarely,few hours a day,5.0,21.0,1.0,male,city
552,5.0,2.0,5.0,4.0,3.0,5.0,5.0,3.0,Rarely,few hours a day,3.0,19.0,3.0,female,city
813,5.0,1.0,5.0,3.0,1.0,5.0,1.0,1.0,Rarely,few hours a day,1.0,19.0,1.0,male,city
341,5.0,5.0,5.0,3.0,1.0,2.0,5.0,5.0,Rarely,most of the day,1.0,16.0,1.0,male,village
809,4.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,Rarely,most of the day,2.0,18.0,0.0,male,city
807,3.0,1.0,5.0,3.0,1.0,5.0,4.0,3.0,Rarely,few hours a day,3.0,20.0,0.0,male,city
200,4.0,2.0,5.0,3.0,1.0,5.0,1.0,5.0,Rarely,most of the day,4.0,21.0,2.0,male,city
199,5.0,4.0,4.0,2.0,1.0,3.0,2.0,3.0,Rarely,less than an hour a day,1.0,21.0,1.0,male,village
198,5.0,2.0,3.0,4.0,1.0,4.0,5.0,1.0,Rarely,few hours a day,1.0,20.0,1.0,male,village
812,5.0,1.0,5.0,5.0,1.0,4.0,1.0,2.0,Rarely,few hours a day,1.0,17.0,1.0,female,city
142,5.0,2.0,4.0,1.0,2.0,1.0,4.0,3.0,Rarely,most of the day,2.0,,,male,city
881,5.0,1.0,5.0,5.0,1.0,5.0,4.0,3.0,Rarely,few hours a day,4.0,18.0,1.0,female,city
761,5.0,2.0,5.0,2.0,3.0,2.0,1.0,1.0,Rarely,few hours a day,1.0,23.0,1.0,male,city
977,5.0,4.0,5.0,2.0,3.0,3.0,2.0,2.0,Rarely,few hours a day,2.0,19.0,1.0,male,village
975,5.0,5.0,5.0,5.0,1.0,5.0,5.0,1.0,Rarely,most of the day,3.0,23.0,1.0,female,village
409,5.0,4.0,5.0,1.0,3.0,3.0,5.0,5.0,Rarely,few hours a day,3.0,16.0,0.0,female,city
969,5.0,1.0,5.0,3.0,3.0,1.0,2.0,1.0,Rarely,few hours a day,2.0,19.0,2.0,male,village
269,5.0,2.0,5.0,3.0,2.0,3.0,2.0,3.0,Rarely,few hours a day,4.0,17.0,1.0,female,village
253,5.0,1.0,3.0,1.0,1.0,1.0,3.0,4.0,Rarely,few hours a day,3.0,17.0,2.0,female,city
267,5.0,2.0,4.0,4.0,3.0,5.0,1.0,1.0,Rarely,few hours a day,3.0,21.0,2.0,female,city
34,5.0,1.0,5.0,4.0,3.0,1.0,2.0,2.0,Rarely,few hours a day,3.0,20.0,5.0,male,city
274,5.0,2.0,4.0,5.0,1.0,4.0,4.0,2.0,Rarely,few hours a day,4.0,22.0,0.0,female,city
42,5.0,3.0,5.0,2.0,5.0,5.0,5.0,3.0,Rarely,few hours a day,5.0,19.0,0.0,female,city
275,5.0,4.0,5.0,5.0,2.0,2.0,4.0,4.0,Rarely,few hours a day,2.0,20.0,1.0,female,city
399,5.0,1.0,5.0,5.0,4.0,5.0,1.0,1.0,Rarely,less than an hour a day,3.0,22.0,1.0,female,city
93,5.0,1.0,4.0,2.0,4.0,3.0,2.0,3.0,Rarely,few hours a day,4.0,24.0,2.0,male,village
395,5.0,5.0,5.0,4.0,4.0,1.0,1.0,3.0,Rarely,few hours a day,3.0,21.0,1.0,male,city
650,5.0,3.0,5.0,3.0,4.0,5.0,2.0,4.0,Rarely,few hours a day,3.0,20.0,1.0,male,city
937,5.0,2.0,5.0,3.0,5.0,5.0,3.0,5.0,Rarely,few hours a day,5.0,18.0,4.0,female,village
23,5.0,1.0,5.0,2.0,2.0,5.0,3.0,3.0,Rarely,few hours a day,2.0,20.0,3.0,female,city
19,5.0,3.0,3.0,2.0,3.0,1.0,4.0,2.0,Rarely,few hours a day,2.0,18.0,1.0,male,city
1,4.0,1.0,5.0,1.0,5.0,5.0,1.0,2.0,Rarely,few hours a day,3.0,19.0,2.0,female,city
1004,5.0,5.0,5.0,3.0,2.0,4.0,3.0,3.0,Rarely,few hours a day,4.0,22.0,1.0,male,city
3,5.0,2.0,5.0,4.0,4.0,1.0,5.0,5.0,Rarely,most of the day,2.0,22.0,1.0,female,city
1002,5.0,3.0,3.0,2.0,1.0,2.0,1.0,3.0,Rarely,few hours a day,4.0,22.0,1.0,male,city
1001,5.0,3.0,3.0,3.0,1.0,4.0,1.0,2.0,Rarely,few hours a day,2.0,18.0,2.0,female,city
1000,5.0,3.0,5.0,3.0,1.0,5.0,1.0,3.0,Rarely,few hours a day,1.0,16.0,1.0,female,city
981,5.0,1.0,5.0,5.0,1.0,1.0,5.0,4.0,Rarely,most of the day,5.0,19.0,1.0,female,village
426,5.0,1.0,4.0,1.0,1.0,1.0,5.0,1.0,Rarely,less than an hour a day,3.0,22.0,1.0,female,city
427,5.0,2.0,5.0,3.0,1.0,1.0,5.0,3.0,Rarely,few hours a day,1.0,19.0,1.0,male,city
990,5.0,1.0,5.0,3.0,1.0,1.0,1.0,2.0,Rarely,few hours a day,1.0,29.0,1.0,male,city
668,5.0,1.0,4.0,2.0,4.0,2.0,2.0,4.0,Rarely,few hours a day,3.0,27.0,1.0,male,city
258,5.0,1.0,5.0,2.0,4.0,2.0,1.0,2.0,Rarely,most of the day,4.0,20.0,1.0,female,city
987,4.0,1.0,4.0,5.0,2.0,2.0,2.0,4.0,Rarely,few hours a day,3.0,20.0,1.0,male,city
432,5.0,1.0,4.0,5.0,2.0,3.0,2.0,4.0,Rarely,few hours a day,3.0,20.0,1.0,male,city
416,4.0,4.0,,2.0,5.0,3.0,3.0,3.0,Rarely,few hours a day,3.0,20.0,1.0,female,village
55,5.0,5.0,5.0,4.0,2.0,5.0,5.0,3.0,Rarely,few hours a day,5.0,23.0,1.0,female,village
582,3.0,4.0,5.0,5.0,3.0,1.0,4.0,3.0,Rarely,few hours a day,5.0,22.0,3.0,male,city
67,3.0,1.0,5.0,2.0,4.0,4.0,1.0,2.0,Rarely,few hours a day,3.0,24.0,0.0,female,village
289,5.0,2.0,4.0,5.0,1.0,4.0,1.0,2.0,Rarely,most of the day,1.0,19.0,0.0,male,city
914,5.0,2.0,5.0,5.0,3.0,3.0,1.0,5.0,Rarely,few hours a day,1.0,20.0,1.0,female,city
83,5.0,5.0,5.0,,1.0,5.0,5.0,2.0,Rarely,few hours a day,3.0,22.0,2.0,female,city
372,4.0,4.0,4.0,3.0,1.0,1.0,1.0,2.0,Rarely,most of the day,3.0,20.0,2.0,male,city
917,5.0,3.0,5.0,3.0,3.0,3.0,1.0,2.0,Rarely,few hours a day,2.0,20.0,1.0,male,village
478,5.0,3.0,5.0,2.0,1.0,4.0,2.0,4.0,Rarely,most of the day,3.0,30.0,3.0,male,city
68,5.0,4.0,5.0,2.0,5.0,4.0,4.0,4.0,Rarely,few hours a day,1.0,18.0,1.0,female,village
85,5.0,4.0,5.0,4.0,5.0,1.0,2.0,3.0,Rarely,most of the day,2.0,22.0,2.0,male,city
237,5.0,3.0,4.0,2.0,4.0,5.0,5.0,2.0,Rarely,few hours a day,3.0,18.0,3.0,female,city
385,5.0,3.0,5.0,3.0,3.0,1.0,1.0,3.0,Rarely,few hours a day,2.0,25.0,1.0,male,city
238,5.0,1.0,5.0,2.0,2.0,3.0,4.0,2.0,Rarely,few hours a day,1.0,19.0,2.0,female,city
486,3.0,2.0,5.0,4.0,3.0,1.0,5.0,2.0,Rarely,few hours a day,2.0,28.0,1.0,female,city
227,5.0,1.0,5.0,5.0,3.0,3.0,1.0,1.0,Rarely,few hours a day,2.0,19.0,3.0,female,village
469,5.0,4.0,5.0,3.0,3.0,1.0,1.0,4.0,Rarely,most of the day,4.0,22.0,2.0,male,city
497,5.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,Rarely,less than an hour a day,3.0,20.0,1.0,female,city
889,5.0,2.0,5.0,5.0,1.0,1.0,4.0,4.0,Rarely,few hours a day,1.0,22.0,1.0,female,city
240,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,Rarely,few hours a day,2.0,21.0,1.0,male,city
708,5.0,4.0,5.0,2.0,3.0,5.0,1.0,3.0,Rarely,few hours a day,3.0,23.0,1.0,male,city
928,5.0,3.0,5.0,3.0,1.0,5.0,5.0,3.0,Rarely,few hours a day,4.0,19.0,0.0,female,city
886,5.0,2.0,5.0,1.0,4.0,1.0,1.0,2.0,Rarely,few hours a day,2.0,21.0,1.0,male,city
624,5.0,1.0,5.0,3.0,1.0,2.0,5.0,2.0,Rarely,few hours a day,1.0,21.0,1.0,female,city
661,5.0,2.0,3.0,4.0,2.0,4.0,2.0,2.0,Sometimes,few hours a day,2.0,19.0,1.0,female,city
626,5.0,4.0,5.0,2.0,2.0,4.0,2.0,3.0,Sometimes,less than an hour a day,4.0,22.0,0.0,female,village
625,5.0,2.0,5.0,2.0,3.0,5.0,5.0,1.0,Sometimes,few hours a day,4.0,19.0,1.0,female,city
623,5.0,1.0,5.0,5.0,1.0,3.0,1.0,4.0,Sometimes,few hours a day,1.0,21.0,3.0,male,city
593,5.0,1.0,4.0,2.0,1.0,5.0,2.0,2.0,Sometimes,less than an hour a day,4.0,21.0,1.0,female,city
591,4.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,Sometimes,few hours a day,4.0,20.0,1.0,female,city
588,5.0,1.0,5.0,3.0,1.0,3.0,5.0,2.0,Sometimes,less than an hour a day,2.0,21.0,1.0,female,city
627,5.0,2.0,5.0,3.0,3.0,1.0,3.0,3.0,Sometimes,less than an hour a day,5.0,20.0,1.0,female,city
586,5.0,5.0,5.0,4.0,1.0,4.0,3.0,,Sometimes,few hours a day,2.0,21.0,2.0,male,village
641,5.0,3.0,5.0,2.0,2.0,3.0,2.0,4.0,Sometimes,most of the day,4.0,17.0,2.0,male,city
633,5.0,1.0,5.0,1.0,1.0,3.0,1.0,1.0,Sometimes,less than an hour a day,2.0,21.0,2.0,male,city
630,5.0,5.0,4.0,3.0,3.0,1.0,5.0,3.0,Sometimes,few hours a day,3.0,19.0,1.0,female,city
646,4.0,2.0,5.0,2.0,1.0,1.0,2.0,1.0,Sometimes,few hours a day,3.0,22.0,1.0,male,city
638,5.0,1.0,4.0,4.0,1.0,5.0,3.0,3.0,Sometimes,few hours a day,2.0,21.0,1.0,female,city
647,5.0,1.0,5.0,5.0,1.0,5.0,3.0,3.0,Sometimes,most of the day,3.0,21.0,0.0,female,village
648,5.0,2.0,5.0,2.0,2.0,2.0,4.0,2.0,Sometimes,few hours a day,3.0,23.0,3.0,female,city
649,5.0,2.0,5.0,3.0,1.0,5.0,5.0,4.0,Sometimes,few hours a day,2.0,17.0,1.0,female,city
602,4.0,3.0,5.0,4.0,2.0,3.0,3.0,2.0,Sometimes,few hours a day,5.0,22.0,1.0,male,village
604,5.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,Sometimes,few hours a day,3.0,21.0,1.0,female,city
600,5.0,4.0,5.0,2.0,1.0,5.0,5.0,4.0,Sometimes,most of the day,3.0,18.0,0.0,female,city
651,5.0,4.0,5.0,5.0,1.0,2.0,1.0,2.0,Sometimes,few hours a day,5.0,22.0,1.0,male,city
654,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,Sometimes,few hours a day,4.0,24.0,2.0,male,village
657,5.0,1.0,5.0,1.0,1.0,3.0,4.0,3.0,Sometimes,most of the day,3.0,24.0,1.0,female,city
598,4.0,3.0,5.0,3.0,2.0,5.0,4.0,4.0,Sometimes,few hours a day,5.0,19.0,1.0,male,city
611,5.0,3.0,5.0,3.0,3.0,5.0,4.0,3.0,Sometimes,most of the day,2.0,18.0,0.0,female,city
658,5.0,4.0,5.0,1.0,5.0,4.0,1.0,1.0,Sometimes,few hours a day,4.0,22.0,3.0,male,city
637,5.0,2.0,,4.0,5.0,5.0,1.0,2.0,Sometimes,less than an hour a day,2.0,29.0,1.0,male,village
639,5.0,1.0,5.0,2.0,3.0,1.0,3.0,5.0,Sometimes,few hours a day,3.0,18.0,1.0,male,city
631,5.0,3.0,5.0,3.0,4.0,5.0,4.0,2.0,Sometimes,few hours a day,2.0,18.0,1.0,female,village
619,5.0,2.0,5.0,3.0,5.0,1.0,3.0,2.0,Sometimes,few hours a day,2.0,27.0,4.0,male,city
596,5.0,5.0,3.0,2.0,1.0,4.0,1.0,5.0,Sometimes,few hours a day,4.0,20.0,0.0,male,city
659,5.0,1.0,2.0,2.0,3.0,2.0,1.0,5.0,Sometimes,few hours a day,4.0,20.0,1.0,male,village
601,5.0,1.0,5.0,3.0,2.0,5.0,3.0,3.0,Sometimes,few hours a day,3.0,19.0,1.0,female,village
503,5.0,5.0,5.0,4.0,5.0,3.0,4.0,3.0,Sometimes,few hours a day,5.0,28.0,1.0,female,city
579,5.0,5.0,5.0,5.0,5.0,2.0,2.0,4.0,Sometimes,most of the day,1.0,19.0,0.0,male,city
466,5.0,5.0,5.0,1.0,1.0,1.0,3.0,1.0,Sometimes,few hours a day,1.0,19.0,0.0,male,city
471,5.0,2.0,5.0,3.0,3.0,1.0,3.0,1.0,Sometimes,few hours a day,1.0,20.0,1.0,male,city
472,3.0,1.0,3.0,2.0,5.0,2.0,1.0,5.0,Sometimes,few hours a day,3.0,25.0,1.0,male,village
475,5.0,1.0,4.0,4.0,3.0,5.0,1.0,3.0,Sometimes,few hours a day,1.0,18.0,4.0,female,city
476,5.0,1.0,5.0,3.0,1.0,5.0,2.0,3.0,Sometimes,few hours a day,3.0,20.0,2.0,female,city
479,5.0,2.0,5.0,2.0,1.0,5.0,3.0,2.0,Sometimes,few hours a day,3.0,20.0,1.0,female,city
482,3.0,1.0,5.0,4.0,4.0,5.0,2.0,1.0,Sometimes,few hours a day,4.0,22.0,2.0,male,city
483,5.0,1.0,5.0,3.0,4.0,3.0,4.0,5.0,Sometimes,few hours a day,1.0,20.0,1.0,female,city
484,5.0,2.0,5.0,4.0,4.0,1.0,5.0,3.0,Sometimes,few hours a day,2.0,20.0,1.0,female,city
485,5.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0,Sometimes,few hours a day,3.0,19.0,1.0,female,city
487,5.0,1.0,5.0,1.0,1.0,1.0,3.0,1.0,Sometimes,most of the day,1.0,19.0,3.0,female,village
489,5.0,1.0,5.0,5.0,1.0,2.0,5.0,1.0,Sometimes,few hours a day,4.0,20.0,2.0,female,village
491,5.0,1.0,5.0,2.0,2.0,2.0,5.0,3.0,Sometimes,less than an hour a day,3.0,19.0,1.0,female,city
493,5.0,2.0,5.0,3.0,2.0,5.0,2.0,2.0,Sometimes,most of the day,5.0,21.0,1.0,male,city
496,3.0,2.0,4.0,3.0,3.0,2.0,5.0,3.0,Sometimes,less than an hour a day,3.0,25.0,1.0,female,city
463,5.0,1.0,5.0,1.0,3.0,4.0,2.0,5.0,Sometimes,less than an hour a day,3.0,18.0,0.0,female,city
498,5.0,1.0,5.0,4.0,1.0,5.0,1.0,3.0,Sometimes,few hours a day,2.0,19.0,3.0,female,village
461,5.0,2.0,4.0,3.0,3.0,3.0,1.0,3.0,Sometimes,few hours a day,3.0,29.0,3.0,male,village
457,5.0,4.0,5.0,3.0,5.0,2.0,2.0,3.0,Sometimes,few hours a day,5.0,19.0,2.0,male,city
424,5.0,5.0,5.0,3.0,1.0,5.0,5.0,3.0,Sometimes,few hours a day,2.0,19.0,2.0,female,city
429,5.0,1.0,5.0,2.0,1.0,4.0,2.0,3.0,Sometimes,most of the day,3.0,21.0,0.0,female,city
430,5.0,3.0,5.0,4.0,2.0,4.0,3.0,3.0,Sometimes,less than an hour a day,4.0,19.0,1.0,female,village
433,5.0,2.0,5.0,3.0,5.0,1.0,1.0,3.0,Sometimes,few hours a day,3.0,19.0,3.0,female,city
436,4.0,3.0,4.0,2.0,2.0,2.0,3.0,5.0,Sometimes,few hours a day,1.0,19.0,1.0,male,city
437,5.0,4.0,5.0,1.0,1.0,1.0,5.0,3.0,Sometimes,few hours a day,3.0,18.0,0.0,female,city
438,5.0,1.0,5.0,1.0,1.0,4.0,5.0,5.0,Sometimes,few hours a day,1.0,18.0,2.0,female,village
441,5.0,1.0,5.0,1.0,2.0,5.0,1.0,3.0,Sometimes,few hours a day,3.0,19.0,1.0,female,city
442,5.0,2.0,5.0,2.0,3.0,5.0,2.0,4.0,Sometimes,few hours a day,2.0,18.0,6.0,female,city
444,5.0,4.0,5.0,3.0,4.0,1.0,2.0,4.0,Sometimes,few hours a day,4.0,19.0,1.0,female,city
446,4.0,4.0,5.0,1.0,3.0,2.0,4.0,3.0,Sometimes,few hours a day,2.0,19.0,1.0,male,city
448,5.0,3.0,5.0,3.0,4.0,4.0,3.0,2.0,Sometimes,few hours a day,2.0,19.0,1.0,female,village
449,5.0,1.0,5.0,2.0,3.0,,4.0,3.0,Sometimes,few hours a day,5.0,19.0,1.0,female,village
450,5.0,1.0,5.0,3.0,2.0,5.0,1.0,3.0,Sometimes,few hours a day,1.0,22.0,1.0,male,village
453,5.0,1.0,5.0,2.0,2.0,3.0,4.0,3.0,Sometimes,few hours a day,5.0,19.0,1.0,female,village
460,5.0,1.0,5.0,4.0,1.0,5.0,1.0,2.0,Sometimes,few hours a day,1.0,22.0,2.0,male,city
499,5.0,3.0,5.0,3.0,2.0,1.0,1.0,2.0,Sometimes,most of the day,5.0,22.0,3.0,male,city
501,5.0,2.0,4.0,3.0,4.0,1.0,5.0,4.0,Sometimes,few hours a day,5.0,21.0,1.0,female,city
1008,5.0,2.0,5.0,3.0,1.0,4.0,3.0,3.0,Sometimes,most of the day,3.0,25.0,1.0,female,city
539,5.0,1.0,5.0,5.0,1.0,1.0,4.0,5.0,Sometimes,most of the day,1.0,26.0,2.0,male,city
