,crab,sat,y,weight,width,color,spine,width_C
98,99,1,1,2.2,24.5,3,3,"[24.25, 25.25)"
99,100,1,1,3.0,28.5,3,3,"[28.25, 29.25)"
100,101,1,1,2.867,28.2,2,3,"[27.25, 28.25)"
101,102,1,1,1.6,24.5,2,3,"[24.25, 25.25)"
102,103,1,1,2.55,27.5,2,3,"[27.25, 28.25)"
103,104,4,1,2.55,24.7,2,2,"[24.25, 25.25)"
104,105,1,1,2.0,25.2,2,1,"[24.25, 25.25)"
105,106,1,1,2.9,27.3,3,3,"[27.25, 28.25)"
106,107,1,1,2.4,26.3,2,3,"[26.25, 27.25)"
107,108,1,1,3.1,29.0,2,3,"[28.25, 29.25)"
108,109,2,1,1.9,25.3,2,3,"[25.25, 26.25)"
109,110,4,1,2.3,26.5,2,3,"[26.25, 27.25)"
110,111,3,1,3.25,27.8,2,3,"[27.25, 28.25)"
111,112,6,1,2.5,27.0,2,3,"[26.25, 27.25)"
112,113,0,0,2.1,25.7,3,3,"[25.25, 26.25)"
113,114,2,1,2.1,25.0,2,3,"[24.25, 25.25)"
114,115,2,1,3.325,31.9,2,3,"[29.25, 34.5)"
115,116,0,0,1.8,23.7,4,3,"[23.25, 24.25)"
116,117,12,1,3.225,29.3,4,3,"[29.25, 34.5)"
117,118,0,0,1.4,22.0,3,3,"[0.0, 23.25)"
118,119,5,1,2.4,25.0,2,3,"[24.25, 25.25)"
119,120,6,1,2.5,27.0,3,3,"[26.25, 27.25)"
120,121,6,1,1.8,23.8,3,3,"[23.25, 24.25)"
121,122,2,1,3.275,30.2,1,1,"[29.25, 34.5)"
122,123,0,0,2.225,26.2,3,3,"[25.25, 26.25)"
123,124,2,1,1.65,24.2,2,3,"[23.25, 24.25)"
124,125,3,1,2.9,27.4,2,3,"[27.25, 28.25)"
125,126,0,0,2.3,25.4,2,2,"[25.25, 26.25)"
126,127,3,1,3.2,28.4,3,3,"[28.25, 29.25)"
127,128,4,1,1.475,22.5,4,3,"[0.0, 23.25)"
128,129,2,1,2.025,26.2,2,3,"[25.25, 26.25)"
129,130,6,1,2.3,24.9,2,1,"[24.25, 25.25)"
130,131,6,1,1.95,24.5,1,2,"[24.25, 25.25)"
131,132,0,0,1.8,25.1,2,3,"[24.25, 25.25)"
132,133,4,1,2.9,28.0,2,1,"[27.25, 28.25)"
133,134,10,1,2.25,25.8,4,3,"[25.25, 26.25)"
134,135,7,1,3.05,27.9,2,3,"[27.25, 28.25)"
135,136,0,0,2.2,24.9,2,3,"[24.25, 25.25)"
136,137,5,1,3.1,28.4,2,1,"[28.25, 29.25)"
137,138,5,1,2.4,27.2,3,3,"[26.25, 27.25)"
138,139,6,1,2.25,25.0,2,2,"[24.25, 25.25)"
139,140,6,1,2.625,27.5,2,3,"[27.25, 28.25)"
140,141,7,1,5.2,33.5,2,1,"[29.25, 34.5)"
141,142,3,1,3.325,30.5,2,3,"[29.25, 34.5)"
142,143,3,1,2.925,29.0,3,3,"[28.25, 29.25)"
143,144,0,0,2.0,24.3,2,1,"[24.25, 25.25)"
144,145,0,0,2.4,25.8,2,3,"[25.25, 26.25)"
145,146,8,1,2.1,25.0,4,3,"[24.25, 25.25)"
146,147,4,1,3.725,31.7,2,1,"[29.25, 34.5)"
147,148,4,1,3.025,29.5,2,3,"[29.25, 34.5)"
148,149,10,1,1.9,24.0,3,3,"[23.25, 24.25)"
149,150,9,1,3.0,30.0,2,3,"[29.25, 34.5)"
150,151,4,1,2.85,27.6,2,3,"[27.25, 28.25)"
151,152,0,0,2.3,26.2,2,3,"[25.25, 26.25)"
152,153,0,0,2.0,23.1,2,1,"[0.0, 23.25)"
153,154,0,0,1.6,22.9,2,1,"[0.0, 23.25)"
154,155,0,0,1.9,24.5,4,3,"[24.25, 25.25)"
155,156,4,1,1.95,24.7,2,3,"[24.25, 25.25)"
156,157,0,0,3.2,28.3,2,3,"[28.25, 29.25)"
157,158,2,1,1.85,23.9,2,3,"[23.25, 24.25)"
158,159,0,0,1.8,23.8,3,3,"[23.25, 24.25)"
159,160,4,1,3.5,29.8,3,2,"[29.25, 34.5)"
160,161,4,1,2.35,26.5,2,3,"[26.25, 27.25)"
161,162,3,1,2.275,26.0,2,3,"[25.25, 26.25)"
162,163,8,1,3.05,28.2,2,3,"[27.25, 28.25)"
163,164,0,0,2.15,25.7,4,3,"[25.25, 26.25)"
164,165,7,1,2.75,26.5,2,3,"[26.25, 27.25)"
165,166,0,0,2.2,25.8,2,3,"[25.25, 26.25)"
166,167,0,0,1.8,24.1,3,3,"[23.25, 24.25)"
167,168,2,1,2.175,26.2,3,3,"[25.25, 26.25)"
168,169,3,1,2.75,26.1,3,3,"[25.25, 26.25)"
169,170,4,1,3.275,29.0,3,3,"[28.25, 29.25)"
170,171,0,0,2.625,28.0,1,1,"[27.25, 28.25)"
171,172,0,0,2.625,27.0,4,3,"[26.25, 27.25)"
172,173,0,0,2.0,24.5,2,2,"[24.25, 25.25)"
