,Team,League,Year,RS,RA,W,G,Playoffs
182,BAL,AL,2006,768,899,70,162,0
183,BOS,AL,2006,820,825,86,162,0
184,CHC,NL,2006,716,834,66,162,0
185,CHW,AL,2006,868,794,90,162,0
186,CIN,NL,2006,749,801,80,162,0
187,CLE,AL,2006,870,782,78,162,0
188,COL,NL,2006,813,812,76,162,0
189,DET,AL,2006,822,675,95,162,1
190,FLA,NL,2006,758,772,78,162,0
191,HOU,NL,2006,735,719,82,162,0
192,KCR,AL,2006,757,971,62,162,0
193,LAA,AL,2006,766,732,89,162,0
194,LAD,NL,2006,820,751,88,162,1
195,MIL,NL,2006,730,833,75,162,0
196,MIN,AL,2006,801,683,96,162,1
197,NYM,NL,2006,834,731,97,162,1
198,NYY,AL,2006,930,767,97,162,1
199,OAK,AL,2006,771,727,93,162,1
200,PHI,NL,2006,865,812,85,162,0
201,PIT,NL,2006,691,797,67,162,0
202,SDP,NL,2006,731,679,88,162,1
203,SEA,AL,2006,756,792,78,162,0
204,SFG,NL,2006,746,790,76,161,0
205,STL,NL,2006,781,762,83,161,1
206,TBD,AL,2006,689,856,61,162,0
207,TEX,AL,2006,835,784,80,162,0
208,TOR,AL,2006,809,754,87,162,0
209,WSN,NL,2006,746,872,71,162,0
210,ARI,NL,2005,696,856,77,162,0
211,ATL,NL,2005,769,674,90,162,1
212,BAL,AL,2005,729,800,74,162,0
213,BOS,AL,2005,910,805,95,162,1
214,CHC,NL,2005,703,714,79,162,0
215,CHW,AL,2005,741,645,99,162,1
216,CIN,NL,2005,820,889,73,163,0
217,CLE,AL,2005,790,642,93,162,0
218,COL,NL,2005,740,862,67,162,0
219,DET,AL,2005,723,787,71,162,0
220,FLA,NL,2005,717,732,83,162,0
221,HOU,NL,2005,693,609,89,163,1
222,KCR,AL,2005,701,935,56,162,0
223,LAA,AL,2005,761,643,95,162,1
224,LAD,NL,2005,685,755,71,162,0
225,MIL,NL,2005,726,697,81,162,0
226,MIN,AL,2005,688,662,83,162,0
227,NYM,NL,2005,722,648,83,162,0
228,NYY,AL,2005,886,789,95,162,1
229,OAK,AL,2005,772,658,88,162,0
230,PHI,NL,2005,807,726,88,162,0
231,PIT,NL,2005,680,769,67,162,0
232,SDP,NL,2005,684,726,82,162,1
233,SEA,AL,2005,699,751,69,162,0
234,SFG,NL,2005,649,745,75,162,0
235,STL,NL,2005,805,634,100,162,1
236,TBD,AL,2005,750,936,67,162,0
237,TEX,AL,2005,865,858,79,162,0
238,TOR,AL,2005,775,705,80,162,0
239,WSN,NL,2005,639,673,81,162,0
240,ANA,AL,2004,836,734,92,162,1
241,ARI,NL,2004,615,899,51,162,0
242,ATL,NL,2004,803,668,96,162,1
243,BAL,AL,2004,842,830,78,162,0
244,BOS,AL,2004,949,768,98,162,1
245,CHC,NL,2004,789,665,89,162,0
246,CHW,AL,2004,865,831,83,162,0
247,CIN,NL,2004,750,907,76,162,0
248,CLE,AL,2004,858,857,80,162,0
249,COL,NL,2004,833,923,68,162,0
250,DET,AL,2004,827,844,72,162,0
251,FLA,NL,2004,718,700,83,162,0
252,HOU,NL,2004,803,698,92,162,1
253,KCR,AL,2004,720,905,58,162,0
254,LAD,NL,2004,761,684,93,162,1
255,MIL,NL,2004,634,757,67,161,0
256,MIN,AL,2004,780,715,92,162,1
257,MON,NL,2004,635,769,67,162,0
258,NYM,NL,2004,684,731,71,162,0
259,NYY,AL,2004,897,808,101,162,1
260,OAK,AL,2004,793,742,91,162,0
261,PHI,NL,2004,840,781,86,162,0
262,PIT,NL,2004,680,744,72,161,0
263,SDP,NL,2004,768,705,87,162,0
264,SEA,AL,2004,698,823,63,162,0
265,SFG,NL,2004,850,770,91,162,0
266,STL,NL,2004,855,659,105,162,1
267,TBD,AL,2004,714,842,70,161,0
268,TEX,AL,2004,860,794,89,162,0
269,TOR,AL,2004,719,823,67,161,0
270,ANA,AL,2003,736,743,77,162,0
271,ARI,NL,2003,717,685,84,162,0
272,ATL,NL,2003,907,740,101,162,1
273,BAL,AL,2003,743,820,71,163,0
274,BOS,AL,2003,961,809,95,162,1
275,CHC,NL,2003,724,683,88,162,1
276,CHW,AL,2003,791,715,86,162,0
277,CIN,NL,2003,694,886,69,162,0
278,CLE,AL,2003,699,778,68,162,0
279,COL,NL,2003,853,892,74,162,0
280,DET,AL,2003,591,928,43,162,0
281,FLA,NL,2003,751,692,91,162,1
282,HOU,NL,2003,805,677,87,162,0
283,KCR,AL,2003,836,867,83,162,0
284,LAD,NL,2003,574,556,85,162,0
285,MIL,NL,2003,714,873,68,162,0
286,MIN,AL,2003,801,758,90,162,1
287,MON,NL,2003,711,716,83,162,0
288,NYM,NL,2003,642,754,66,161,0
289,NYY,AL,2003,877,716,101,163,1
290,OAK,AL,2003,768,643,96,162,1
291,PHI,NL,2003,791,697,86,162,0
292,PIT,NL,2003,753,801,75,162,0
293,SDP,NL,2003,678,831,64,162,0
294,SEA,AL,2003,795,637,93,162,0
295,SFG,NL,2003,755,638,100,161,1
296,STL,NL,2003,876,796,85,162,0
297,TBD,AL,2003,715,852,63,162,0
298,TEX,AL,2003,826,969,71,162,0
299,TOR,AL,2003,894,826,86,162,0
300,ANA,AL,2002,851,644,99,162,1
301,ARI,NL,2002,819,674,98,162,1
302,ATL,NL,2002,708,565,101,161,1
303,BAL,AL,2002,667,773,67,162,0
304,BOS,AL,2002,859,665,93,162,0
305,CHC,NL,2002,706,759,67,162,0
306,CHW,AL,2002,856,798,81,162,0
307,CIN,NL,2002,709,774,78,162,0
308,CLE,AL,2002,739,837,74,162,0
309,COL,NL,2002,778,898,73,162,0
310,DET,AL,2002,575,864,55,161,0
311,FLA,NL,2002,699,763,79,162,0
312,HOU,NL,2002,749,695,84,162,0
313,KCR,AL,2002,737,891,62,162,0
314,LAD,NL,2002,713,643,92,162,0
315,MIL,NL,2002,627,821,56,162,0
316,MIN,AL,2002,768,712,94,161,1
317,MON,NL,2002,735,718,83,162,0
318,NYM,NL,2002,690,703,75,161,0
319,NYY,AL,2002,897,697,103,161,1
320,OAK,AL,2002,800,654,103,162,1
321,PHI,NL,2002,710,724,80,161,0
322,PIT,NL,2002,641,730,72,161,0
323,SDP,NL,2002,662,815,66,162,0
324,SEA,AL,2002,814,699,93,162,0
325,SFG,NL,2002,783,616,95,162,1
326,STL,NL,2002,787,648,97,162,1
327,TBD,AL,2002,673,918,55,161,0
328,TEX,AL,2002,843,882,72,162,0
329,TOR,AL,2002,813,828,78,162,0
330,ANA,AL,2001,691,730,75,162,0
331,ARI,NL,2001,818,677,92,162,1
332,ATL,NL,2001,729,643,88,162,1
333,BAL,AL,2001,687,829,63,162,0
334,BOS,AL,2001,772,745,82,161,0
335,CHC,NL,2001,777,701,88,162,0
336,CHW,AL,2001,798,795,83,162,0
337,CIN,NL,2001,735,850,66,162,0
338,CLE,AL,2001,897,821,91,162,1
339,COL,NL,2001,923,906,73,162,0
340,DET,AL,2001,724,876,66,162,0
341,FLA,NL,2001,742,744,76,162,0
342,HOU,NL,2001,847,769,93,162,1
343,KCR,AL,2001,729,858,65,162,0
344,LAD,NL,2001,758,744,86,162,0
345,MIL,NL,2001,740,806,68,162,0
346,MIN,AL,2001,771,766,85,162,0
347,MON,NL,2001,670,812,68,162,0
348,NYM,NL,2001,642,713,82,162,0
349,NYY,AL,2001,804,713,95,161,1
350,OAK,AL,2001,884,645,102,162,1
351,PHI,NL,2001,746,719,86,162,0
352,PIT,NL,2001,657,858,62,162,0
353,SDP,NL,2001,789,812,79,162,0
354,SEA,AL,2001,927,627,116,162,1
355,SFG,NL,2001,799,748,90,162,0
356,STL,NL,2001,814,684,93,162,1
357,TBD,AL,2001,672,887,62,162,0
358,TEX,AL,2001,890,968,73,162,0
359,TOR,AL,2001,767,753,80,162,0
360,ANA,AL,2000,864,869,82,162,0
361,ARI,NL,2000,792,754,85,162,0
362,ATL,NL,2000,810,714,95,162,1
363,BAL,AL,2000,794,913,74,162,0
364,BOS,AL,2000,792,745,85,162,0
365,CHC,NL,2000,764,904,65,162,0
366,CHW,AL,2000,978,839,95,162,1
367,CIN,NL,2000,825,765,85,163,0
368,CLE,AL,2000,950,816,90,162,0
369,COL,NL,2000,968,897,82,162,0
370,DET,AL,2000,823,827,79,162,0
371,FLA,NL,2000,731,797,79,161,0
372,HOU,NL,2000,938,944,72,162,0
373,KCR,AL,2000,879,930,77,162,0
374,LAD,NL,2000,798,729,86,162,0
375,MIL,NL,2000,740,826,73,163,0
376,MIN,AL,2000,748,880,69,162,0
377,MON,NL,2000,738,902,67,162,0
378,NYM,NL,2000,807,738,94,162,1
379,NYY,AL,2000,871,814,87,161,1
380,OAK,AL,2000,947,813,91,161,1
381,PHI,NL,2000,708,830,65,162,0
382,PIT,NL,2000,793,888,69,162,0
383,SDP,NL,2000,752,815,76,162,0
384,SEA,AL,2000,907,780,91,162,1
385,SFG,NL,2000,925,747,97,162,1
386,STL,NL,2000,887,771,95,162,1
387,TBD,AL,2000,733,842,69,161,0
388,TEX,AL,2000,848,974,71,162,0
389,TOR,AL,2000,861,908,83,162,0
390,ANA,AL,1999,711,826,70,162,0
391,ARI,NL,1999,908,676,100,162,1
392,ATL,NL,1999,840,661,103,162,1
393,BAL,AL,1999,851,815,78,162,0
394,BOS,AL,1999,836,718,94,162,1
395,CHC,NL,1999,747,920,67,162,0
396,CHW,AL,1999,777,870,75,162,0
397,CIN,NL,1999,865,711,96,163,0
398,CLE,AL,1999,1009,860,97,162,1
399,COL,NL,1999,906,1028,72,162,0
400,DET,AL,1999,747,882,69,161,0
401,FLA,NL,1999,691,852,64,162,0
402,HOU,NL,1999,823,675,97,162,1
403,KCR,AL,1999,856,921,64,161,0
404,LAD,NL,1999,793,787,77,162,0
405,MIL,NL,1999,815,886,74,161,0
406,MIN,AL,1999,686,845,63,161,0
407,MON,NL,1999,718,853,68,162,0
408,NYM,NL,1999,853,711,97,163,1
409,NYY,AL,1999,900,731,98,162,1
410,OAK,AL,1999,893,846,87,162,0
411,PHI,NL,1999,841,846,77,162,0
412,PIT,NL,1999,775,782,78,161,0
413,SDP,NL,1999,710,781,74,162,0
414,SEA,AL,1999,859,905,79,162,0
415,SFG,NL,1999,872,831,86,162,0
416,STL,NL,1999,809,838,75,161,0
417,TBD,AL,1999,772,913,69,162,0
418,TEX,AL,1999,945,859,95,162,1
419,TOR,AL,1999,883,862,84,162,0
420,ANA,AL,1998,787,783,85,162,0
421,ARI,NL,1998,665,812,65,162,0
422,ATL,NL,1998,826,581,106,162,1
423,BAL,AL,1998,817,785,79,162,0
424,BOS,AL,1998,876,729,92,162,1
425,CHC,NL,1998,831,792,90,163,1
426,CHW,AL,1998,861,931,80,163,0
427,CIN,NL,1998,750,760,77,162,0
428,CLE,AL,1998,850,779,89,162,1
429,COL,NL,1998,826,855,77,162,0
430,DET,AL,1998,722,863,65,162,0
431,FLA,NL,1998,667,923,54,162,0
432,HOU,NL,1998,874,620,102,162,1
433,KCR,AL,1998,714,899,72,161,0
434,LAD,NL,1998,669,678,83,162,0
435,MIL,NL,1998,707,812,74,162,0
436,MIN,AL,1998,734,818,70,162,0
437,MON,NL,1998,644,783,65,162,0
438,NYM,NL,1998,706,645,88,162,0
439,NYY,AL,1998,965,656,114,162,1
440,OAK,AL,1998,804,866,74,162,0
441,PHI,NL,1998,713,808,75,162,0
442,PIT,NL,1998,650,718,69,163,0
443,SDP,NL,1998,749,635,98,162,1
444,SEA,AL,1998,859,855,76,161,0
445,SFG,NL,1998,845,739,89,163,0
446,STL,NL,1998,810,782,83,163,0
447,TBD,AL,1998,620,751,63,162,0
448,TEX,AL,1998,940,871,88,162,1
449,TOR,AL,1998,816,768,88,163,0
450,ANA,AL,1997,829,794,84,162,0
451,ATL,NL,1997,791,581,101,162,1
452,BAL,AL,1997,812,681,98,162,1
453,BOS,AL,1997,851,857,78,162,0
454,CHC,NL,1997,687,759,68,162,0
455,CHW,AL,1997,779,833,80,161,0
456,CIN,NL,1997,651,764,76,162,0
457,CLE,AL,1997,868,815,86,161,1
458,COL,NL,1997,923,908,83,162,0
459,DET,AL,1997,784,790,79,162,0
460,FLA,NL,1997,740,669,92,162,1
461,HOU,NL,1997,777,660,84,162,1
462,KCR,AL,1997,747,820,67,161,0
463,LAD,NL,1997,742,645,88,162,0
464,MIL,AL,1997,681,742,78,161,0
465,MIN,AL,1997,772,861,68,162,0
466,MON,NL,1997,691,740,78,162,0
467,NYM,NL,1997,777,709,88,162,0
468,NYY,AL,1997,891,688,96,162,1
469,OAK,AL,1997,764,946,65,162,0
470,PHI,NL,1997,668,840,68,162,0
471,PIT,NL,1997,725,760,79,162,0
472,SDP,NL,1997,795,891,76,162,0
473,SEA,AL,1997,925,833,90,162,1
474,SFG,NL,1997,784,793,90,162,1
475,STL,NL,1997,689,708,73,162,0
476,TEX,AL,1997,807,823,77,162,0
477,TOR,AL,1997,654,694,76,162,0
478,ATL,NL,1996,773,648,96,162,1
479,BAL,AL,1996,949,903,88,163,1
480,BOS,AL,1996,928,921,85,162,0
481,CAL,AL,1996,762,943,70,161,0
482,CHC,NL,1996,772,771,76,162,0
483,CHW,AL,1996,898,794,85,162,0
484,CIN,NL,1996,778,773,81,162,0
485,CLE,AL,1996,952,769,99,161,1
486,COL,NL,1996,961,964,83,162,0
487,DET,AL,1996,783,1103,53,162,0
488,FLA,NL,1996,688,703,80,162,0
489,HOU,NL,1996,753,792,82,162,0
490,KCR,AL,1996,746,786,75,161,0
491,LAD,NL,1996,703,652,90,162,1
492,MIL,AL,1996,894,899,80,162,0
493,MIN,AL,1996,877,900,78,162,0
494,MON,NL,1996,741,668,88,162,0
495,NYM,NL,1996,746,779,71,162,0
496,NYY,AL,1996,871,787,92,162,1
497,OAK,AL,1996,861,900,78,162,0
498,PHI,NL,1996,650,790,67,162,0
499,PIT,NL,1996,776,833,73,162,0
500,SDP,NL,1996,771,682,91,162,1
501,SEA,AL,1996,993,895,85,161,0
502,SFG,NL,1996,752,862,68,162,0
503,STL,NL,1996,759,706,88,162,1
504,TEX,AL,1996,928,799,90,163,1
505,TOR,AL,1996,766,809,74,162,0
506,ATL,NL,1993,767,559,104,162,1
507,BAL,AL,1993,786,745,85,162,0
508,BOS,AL,1993,686,698,80,162,0
509,CAL,AL,1993,684,770,71,162,0
510,CHC,NL,1993,738,739,84,163,0
511,CHW,AL,1993,776,664,94,162,1
512,CIN,NL,1993,722,785,73,162,0
513,CLE,AL,1993,790,813,76,162,0
514,COL,NL,1993,758,967,67,162,0
515,DET,AL,1993,899,837,85,162,0
516,FLA,NL,1993,581,724,64,162,0
517,HOU,NL,1993,716,630,85,162,0
518,KCR,AL,1993,675,694,84,162,0
519,LAD,NL,1993,675,662,81,162,0
520,MIL,AL,1993,733,792,69,162,0
521,MIN,AL,1993,693,830,71,162,0
522,MON,NL,1993,732,682,94,163,0
523,NYM,NL,1993,672,744,59,162,0
524,NYY,AL,1993,821,761,88,162,0
525,OAK,AL,1993,715,846,68,162,0
526,PHI,NL,1993,877,740,97,162,1
527,PIT,NL,1993,707,806,75,162,0
528,SDP,NL,1993,679,772,61,162,0
529,SEA,AL,1993,734,731,82,162,0
530,SFG,NL,1993,808,636,103,162,0
531,STL,NL,1993,758,744,87,162,0
532,TEX,AL,1993,835,751,86,162,0
533,TOR,AL,1993,847,742,95,162,1
534,ATL,NL,1992,682,569,98,162,1
535,BAL,AL,1992,705,656,89,162,0
536,BOS,AL,1992,599,669,73,162,0
537,CAL,AL,1992,579,671,72,162,0
538,CHC,NL,1992,593,624,78,162,0
539,CHW,AL,1992,738,690,86,162,0
540,CIN,NL,1992,660,609,90,162,0
541,CLE,AL,1992,674,746,76,162,0
542,DET,AL,1992,791,794,75,162,0
543,HOU,NL,1992,608,668,81,162,0
544,KCR,AL,1992,610,667,72,162,0
545,LAD,NL,1992,548,636,63,162,0
546,MIL,AL,1992,740,604,92,162,0
547,MIN,AL,1992,747,653,90,162,0
548,MON,NL,1992,648,581,87,162,0
549,NYM,NL,1992,599,653,72,162,0
550,NYY,AL,1992,733,746,76,162,0
551,OAK,AL,1992,745,672,96,162,1
552,PHI,NL,1992,686,717,70,162,0
553,PIT,NL,1992,693,595,96,162,1
554,SDP,NL,1992,617,636,82,162,0
555,SEA,AL,1992,679,799,64,162,0
556,SFG,NL,1992,574,647,72,162,0
557,STL,NL,1992,631,604,83,162,0
558,TEX,AL,1992,682,753,77,162,0
559,TOR,AL,1992,780,682,96,162,1
560,ATL,NL,1991,749,644,94,162,1
561,BAL,AL,1991,686,796,67,162,0
562,BOS,AL,1991,731,712,84,162,0
563,CAL,AL,1991,653,649,81,162,0
564,CHC,NL,1991,695,734,77,160,0
565,CHW,AL,1991,758,681,87,162,0
566,CIN,NL,1991,689,691,74,162,0
567,CLE,AL,1991,576,759,57,162,0
568,DET,AL,1991,817,794,84,162,0
569,HOU,NL,1991,605,717,65,162,0
570,KCR,AL,1991,727,722,82,162,0
571,LAD,NL,1991,665,565,93,162,0
572,MIL,AL,1991,799,744,83,162,0
573,MIN,AL,1991,776,652,95,162,1
574,MON,NL,1991,579,655,71,161,0
575,NYM,NL,1991,640,646,77,161,0
576,NYY,AL,1991,674,777,71,162,0
577,OAK,AL,1991,760,776,84,162,0
578,PHI,NL,1991,629,680,78,162,0
579,PIT,NL,1991,768,632,98,162,1
580,SDP,NL,1991,636,646,84,162,0
581,SEA,AL,1991,702,674,83,162,0
582,SFG,NL,1991,649,697,75,162,0
583,STL,NL,1991,651,648,84,162,0
584,TEX,AL,1991,829,814,85,162,0
585,TOR,AL,1991,684,622,91,162,1
586,ATL,NL,1990,682,821,65,162,0
587,BAL,AL,1990,669,698,76,161,0
588,BOS,AL,1990,699,664,88,162,1
589,CAL,AL,1990,690,706,80,162,0
590,CHC,NL,1990,690,774,77,162,0
591,CHW,AL,1990,682,633,94,162,0
592,CIN,NL,1990,693,597,91,162,1
593,CLE,AL,1990,732,737,77,162,0
594,DET,AL,1990,750,754,79,162,0
595,HOU,NL,1990,573,656,75,162,0
596,KCR,AL,1990,707,709,75,161,0
597,LAD,NL,1990,728,685,86,162,0
598,MIL,AL,1990,732,760,74,162,0
599,MIN,AL,1990,666,729,74,162,0
600,MON,NL,1990,662,598,85,162,0
601,NYM,NL,1990,775,613,91,162,0
602,NYY,AL,1990,603,749,67,162,0
603,OAK,AL,1990,733,570,103,162,1
604,PHI,NL,1990,646,729,77,162,0
605,PIT,NL,1990,733,619,95,162,1
606,SDP,NL,1990,673,673,75,162,0
607,SEA,AL,1990,640,680,77,162,0
608,SFG,NL,1990,719,710,85,162,0
609,STL,NL,1990,599,698,70,162,0
610,TEX,AL,1990,676,696,83,162,0
611,TOR,AL,1990,767,661,86,162,0
612,ATL,NL,1989,584,680,63,161,0
613,BAL,AL,1989,708,686,87,162,0
614,BOS,AL,1989,774,735,83,162,0
615,CAL,AL,1989,669,578,91,162,0
616,CHC,NL,1989,702,623,93,162,1
617,CHW,AL,1989,693,750,69,161,0
618,CIN,NL,1989,632,691,75,162,0
619,CLE,AL,1989,604,654,73,162,0
620,DET,AL,1989,617,816,59,162,0
621,HOU,NL,1989,647,669,86,162,0
622,KCR,AL,1989,690,635,92,162,0
623,LAD,NL,1989,554,536,77,160,0
624,MIL,AL,1989,707,679,81,162,0
625,MIN,AL,1989,740,738,80,162,0
626,MON,NL,1989,632,630,81,162,0
627,NYM,NL,1989,683,595,87,162,0
628,NYY,AL,1989,698,792,74,161,0
629,OAK,AL,1989,712,576,99,162,1
630,PHI,NL,1989,629,735,67,163,0
631,PIT,NL,1989,637,680,74,164,0
632,SDP,NL,1989,642,626,89,162,0
633,SEA,AL,1989,694,728,73,162,0
634,SFG,NL,1989,699,600,92,162,1
635,STL,NL,1989,632,608,86,164,0
636,TEX,AL,1989,695,714,83,162,0
