,title,tagline
184,Something to Talk About,"A story about husbands, wives, parents, children and other natural disasters."
332,The Flintstones,Yabba-Dabba-Doo!
88,Things to Do in Denver When You're Dead,Protect. Love. Honor. Avenge.
63,Lamerica,
832,Cool Runnings,One dream. Four Jamaicans. Twenty below zero.
576,Eddie,The newest coach in the NBA has got the Knicks right where she wants them.
215,Dumb and Dumber,"What the one doesn't have, the other is missing."
604,Angus,For everyone on the outside looking in... your moment has arrived!
548,Heavy Metal,A Step Beyond Science Fiction
290,Stuart Saves His Family,
788,They Made Me a Criminal,Sensational Human Drama!
889,Platoon,The first casualty of war is innocence.
967,12 Angry Men,Life is in their hands. Death is on their minds.
944,Paths of Glory,It explodes in the no-man's land no picture ever dared cross before!
827,Homeward Bound: The Incredible Journey,
807,Maximum Risk,The Other Side of Safety.
694,The Story of Xinghua,
993,The Right Stuff,How the future began.
309,Village of the Damned,Beware the Children
86,The Juror,There is no defense.
739,Some Like It Hot,The movie too HOT for words!
516,Germinal,Who needs God and Heaven? We can change this lousy world.
310,Tommy Boy,"If at first you don't succeed, lower your standards."
536,The Silence of the Lambs,To enter the mind of a killer she must challenge the mind of a madman.
136,The Brothers McMullen,Sometimes the Best Friends Are the Ones You've Known Your Whole Life.
873,"Murder, My Sweet",An Original Philip Marlowe Mystery
465,A Perfect World,
902,Children of the Corn IV: The Gathering,In a sleepy midwestern town... A horrifying evil is about to rise again!
261,Miracle on 34th Street,"If you really believe, anything can happen."
486,Searching for Bobby Fischer,Every journey begins with a single move.
168,Lord of Illusions,Trust Nothing Except Your Fear.
830,That Darn Cat!,It takes a Siamese secret agent to unravel the PURR-fect crime!
447,M. Butterfly,
139,The Basketball Diaries,The true story of the death of innocence and the birth of an artist.
740,Charade,Is anyone really who they seem to be?
664,Lone Star,John Sayles invites you to return to the scene of the crime.
855,Beautiful Thing,
440,Kalifornia,Fear never travels alone.
1003,Glory,Their innocence. Their heritage. Their lives.
531,Home Alone,A Family Comedy Without the Family.
55,Mortal Kombat,Nothing In This World Has Prepared You For This.
120,If Lucy Fell,A comedy for the romantically challenged.
528,The Celluloid Closet,
25,Balto,Part Dog. Part Wolf. All Hero.
72,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"Finally, the movie that proves that Justice isn't always Poetic, Jungle Fever isn't always pretty, and Higher Learning can be a waste of time."
44,Twelve Monkeys,The future is history.
249,Like Water for Chocolate,"In Tita's kitchen, ordinary spices become a recipe for passion."
394,Clean Slate,
914,Escape from New York,1997. New York City is now a maximum security prison. Breaking out is impossible. Breaking in is insane.
900,Rebel Without a Cause,The bad boy from a good family.
746,The Little Princess,A great classic comes to life in glorious Technicolor!
198,The Browning Version,The greatest lessons in the life and the ones learned by heart.
816,The Glimmer Man,Two good cops. One bad situation.
355,Timecop,They killed his wife ten years ago. There's still time to save her. Murder is forever... until now.
323,Backbeat,
876,Sleeper,Woody Allen takes a nostalgic look at the future.
743,My Fair Lady,The loverliest motion picture of them all!
235,The Hunted,He's trapped in a world where killing is an art and revenge is an obsession
578,James and the Giant Peach,Adventures this big don't grow on trees.
947,The Shooter,
941,Delicatessen,A futuristic comic feast.
905,The Associate,Behind Every Great Man Is A Woman... Wishing He'd Get The Hell Out Of Her Way.
299,Strawberry and Chocolate,
60,When Night Is Falling,
327,The Client,A district attorney out for a conviction. A new lawyer out of her league. A young boy who knew too much.
527,Princess Caraboo,She was everything they dreamed of... And nothing they expected.
599,The Substitute,
541,The Wild Bunch,"If you only want to spend two hours in a movie theatre and go home and forget it, stay away from THE WILD BUNCH."
649,Spirits of the Dead,The ultimate orgy of evil
917,Manon of the Spring,
596,The Promise,"A love, a hope, a wall."
542,Love and a .45,This is one jagged twisting ride you'll never forget.
962,Raiders of the Lost Ark,Indiana Jones - the new hero from the creators of JAWS and STAR WARS.
305,Tales from the Crypt: Demon Knight,Ready for your deadtime story?
318,Double Happiness,You've got one life to live. What's it gonna be?
481,Ruby in Paradise,A woman's search for herself.
493,Sirens,"In the 1930s, an artist and his models scandalized a nation with their controversial paintings. For a young couple, meeting them was the experience of a lifetime."
265,Nobody's Fool,In a town where nothing ever happens... everything is about to happen to Sully.
110,The Bridges of Madison County,The path of Francesca Johnson's future seems destined due to an unexpected fork in the road...
468,Poetic Justice,A Street Romance.
737,North by Northwest,It's a deadly game of 'tag' and Cary Grant is 'it'...
525,The Little Rascals,Mischief loves company
256,The Madness of King George,
260,Milk Money,You can't get enough of a good thing... But first you have to find it.
544,One Fine Day,She was having a perfectly bad day... Then he came along and spoiled it.
405,Even Cowgirls Get the Blues,
428,The Englishman Who Went Up a Hill But Came Down a Mountain,
628,Ghost in the Shell,It found a voice... Now it needs a body.
501,Super Mario Bros.,This Ain't No Game.
432,I'll Do Anything,
732,Vertigo,Alfred Hitchcock engulfs you in a whirlpool of terror and tension!
137,Bad Boys,Whatcha gonna do?
357,When a Man Loves a Woman,Through the good times. Through the bad times. When a Man Loves a Woman it's for all times.
930,The Ruling Class,
221,Forget Paris,
754,All About Eve,It's all about women... and their men!
594,Country Life,
557,Scream of Stone,"In this battle, there can be no winners"
363,Colonel Chabert,
523,"Ciao, Professore!","Ciao, Professore!"
208,Clerks,Just because they serve you doesn't mean they like you.
857,The Ghost and the Darkness,Prey For The Hunters
334,Four Weddings and a Funeral,Five good reasons to stay single.
210,Disclosure,Sex Is Power.
350,Ri¢hie Ri¢h,An adventure so big... even the world's richest kid can't afford to miss it!
78,From Dusk Till Dawn,One night is all that stands between them and freedom. But it's going to be a hell of a night.
29,Sense and Sensibility,Lose your heart and come to your senses.
280,Quiz Show,Fifty million people watched but no one saw a thing.
507,The Three Musketeers,All for one and one for all!
652,Independence Day,Earth. Take a good look. It might be your last.
948,The English Patient,"In love, there are no boundaries."
289,"Red Firecracker, Green Firecracker",
165,Jury Duty,For truth. For justice. For five bucks a day.
762,Father of the Bride,You're invited . . . to a hilarious wedding !
497,Blade Runner,Man has made his match... now it's his problem.
462,No Escape,No Guards. No Walls.
65,Georgia,The toughest act to follow was their dreams.
141,Amateur,"Accountancy, Murder, Amnesia, Torture, Ecstasy, Understanding, Redemption"
275,Leon: The Professional,"If you want a job done well, hire a professional."
833,Angels in the Outfield,Ya Gotta Believe!
582,Underground,
464,Orlando,
668,She's the One,A romantic comedy about two brothers... and the one thing that came between them.
319,Muriel's Wedding,Success is the best revenge.
716,First Kid,He's young. He's wild. He's fun. And he's the one protecting the president's son.
306,Star Trek: Generations,Boldly go.
307,Tales from the Hood,Chill or be Chilled
826,Pollyanna,"Meet the people, the pleasure, the entertainment of the year! All the love, laughter and drama that life can hold, poured into one unforgettable motion picture!"
333,Forrest Gump,"The world will never be the same, once you've seen it through the eyes of Forrest Gump."
49,It Takes Two,Two identical strangers. Two different worlds. One perfect match.
731,Breakfast at Tiffany's,"Audrey Hepburn plays that daring, darling Holly Golightly to a new high in entertainment delight!"
2,Batman,Have you ever danced with the devil in the pale moonlight?
786,Angel on My Shoulder,With an ANGEL on his shoulder... And the DEVIL in his heart!
352,The River Wild,The vacation is over
910,The Return of the Pink Panther,
538,Beauty and the Beast,The most beautiful love story ever told.
346,The Naked Gun 33⅓: The Final Insult,"A Mad Bomber is on the Loose, and If Anyone Can Stop Him....So Can Frank!"
1002,Braindead,Some things won't stay down... even after they die.
483,Savage Nights,
660,The Nutty Professor,"Inside Sherman Klump, a party animal is about to break out."
33,Get Shorty,"The mob is tough, but it’s nothing like show business."
31,Ace Ventura: When Nature Calls,New animals. New adventures. Same hair.
231,Heavenly Creatures,From a secret world no one could see... came a crime no one could believe.
752,Citizen Kane,It's Terrific!
192,Under Siege 2: Dark Territory,Last time he rocked the boat. This time the sky's the limit.
513,"Paris, France",
3,Batman Returns,"The Bat, the Cat, the Penguin."
204,Boys on the Side,"A motion picture that celebrates the art of survival, the gift of laughter and the miracle of friendship."
433,In the Army Now,"Sleep tight, America! The safety of the free world rests in his hands!"
808,Michael Collins,"Ireland, 1916. His Dreams Inspired Hope. His Words Ignited Passion. His Courage Forged A Nation's Destiny."
986,A Grand Day Out,
109,Happy Gilmore,He doesn't play golf... he destroys it.
942,The Double Life of Veronique,"Each of us is matched somewhere in the world, by our exact double - someone who shares our thoughts and dreams"
77,Friday,A lot can go down between thursday and saturday...
84,Nico Icon,
588,Barbarella,See Barbarella do her thing!
82,Bed of Roses,He gave her flowers. She gave him a chance.
254,Love Affair,
924,The Return of Martin Guerre,
408,The Favor,Two Women. Three Men. One Secret.
653,Stealing Beauty,The most beautiful place to be is in love.
521,Little Big League,Major League is about to experience a minor problem . . . . . . he's 12-years-old.
920,Hustler White,See it with someone you've paid for.
436,The Inkwell,Summer's Never Been So Much Fun!
5,Batman: Mask of the Phantasm,The Dark Knight fights to save Gotham city from its deadliest enemy.
404,The Endless Summer 2,
467,The Piano,
97,Mary Reilly,The untold story of Jekyll and Hyde
559,A Thin Line Between Love and Hate,"When you play, you pay."
359,Wyatt Earp,The epic story of love and adventure in a lawless land.
874,Willy Wonka & the Chocolate Factory,It's Scrumdiddlyumptious!
266,Nell,Her heart. Her soul. Her language are a mystery...A mystery called Nell
677,Death in the Garden,Torrid!...Tantalizing!...Tempestuous!...
382,Beverly Hills Cop III,
693,Bordello of Blood,
411,With Honors,"If you want a degree go to Harvard, If you want an education go to Simon Wilder."
887,Dirty Dancing,Have the time of your life.
118,Anne Frank Remembered,"She is perhaps Hitler's best known victim, but what was Anne Frank really like?"
430,House Party 3,This bachelor party's gonna' bring down the house!
250,Legends of the Fall,After the Fall from Innocence the Legend begins.
342,New Nightmare,"One, Two, Freddy's coming for you..."
9,Batman: Year One,A merciless crime turns a man into an outlaw.
196,Waterworld,Beyond the horizon lies the secret to a new beginning.
985,Full Metal Jacket,"Vietnam can kill me, but it can’t make me care."
81,Les Miserables,"In a time of chaos, in a world of change, he was moved by a book he could not read to become a hero he never imagined."
913,The Fog,Lock your doors. Bolt your windows. There's something in THE FOG!
478,Robin Hood: Men in Tights,"The legend had it coming... Find out where Robin Hood put his Little John, what made Will Scarlet, and what did Friar Tuck into his tights that Maid Marion all of a quiver?"
696,Flirt,
239,The Jerky Boys,
292,The Secret of Roan Inish,Between land and sea there is a place where myths are real.
211,Drop Zone,Taking crime to new heights
722,Halloween: The Curse of Michael Myers,Haddonfield is ready to celebrate Halloween.... so is Michael Myers!
361,A Low Down Dirty Shame,He's armed and dangerously funny.
451,Manhattan Murder Mystery,Keaton & Allen reunited for fun flick!
227,Gordy,The talking pig who made it big!
907,The People vs. Larry Flynt,"You may not like what he does, but are you prepared to give up his right to do it?"
362,"Boys Life: Three Stories of Love, Lust, and Liberation","3 Tales of Love, Lust, & Liberation"
802,Picnic,Electrically attracted to each other...Overwhelmingly engulfed by it...Guiltily in love!
657,Kingpin,You wouldn't want to meet these pinheads in an alley.
707,Bound,"In their world, you can't buy freedom, but you can steal it."
644,Striptease,Some People Get Into Trouble No Matter What They WEAR.
581,Faithful,"A comedy about a wife, her husband and his hit man."
777,East of Eden,Of what a girl did . . . what a boy did ... of ecstasy and revenge!
370,In the Mouth of Madness,Lived Any Good Books Lately?
7,Batman Begins,Evil fears the knight.
155,Devil in a Blue Dress,Private detective Easy Rawlins has been caught on the wrong side of the most dangerous secret in town.
543,Bye Bye Love,
442,King of the Hill,"When the world turns upside down, the trick is coming out on top."
822,The Love Bug,Herbie will honk his way into your heart.
398,Cops & Robbersons,
783,Bringing Up Baby,"And so begins the hilarious adventure of Professor David Huxley and Miss Susan Vance, a flutter-brained vixen with love in her heart!"
568,Jack & Sarah,"She's not proper, she's not fitting, she's not British, but to Jack she's a breath of fresh air."
591,Alphaville,Suddenly the word is Alphaville... and a secret agent is in a breathless race against the Masters of the Future.
580,Kids in the Hall: Brain Candy,Shove this up your mind
940,Dead Tired,
695,The Day the Sun Turned Cold,
868,Johns,
532,Ghost,A love that will last forever.
585,The World of Apu,
712,Nothing to Lose,The Most Dangerous Man Alive Is A Man With Nothing To Lose
450,The Man without a Face,A fatherless boy had almost given up all his dreams... until one man believed in him enough to make them come true.
780,Around the World in Eighty Days,"It's a wonderful world, if you'll only take the time to go around it!"
228,Gumby: The Movie,The original green hero!
590,The Run of the Country,An unforgettable romance
823,Herbie Rides Again,The Loveable Bug's back doin' his thing!
212,Destiny Turns on the Radio,Fate visits in ways you never expect
79,Fair Game,He's a cop on the edge. She's a woman with a dangerous secret. And now they're both...
148,Canadian Bacon,"I'll tell ya another thing, their beer sucks!"
302,Senior Trip,Stupid tricks. Outrageous chaos. Total destruction. They're taking it on the road.
865,Romeo + Juliet,My only love sprung from my only hate.
328,"Corrina, Corrina",
929,The Tin Drum,"A savage, sweeping epic of society in chaos."
344,Maverick,"In their hands, a deck of cards was the only thing more dangerous than a gun."
545,Candyman: Farewell to the Flesh,Evil comes when you call his name.
506,The Nightmare Before Christmas,A ghoulish tale with wicked humor & stunning animation.
133,Man of the Year,He as a centerfold who revealed everything ... but the truth.
552,Loaded,
311,Vanya on 42nd Street,
1001,The Terminator,Your future is in his hands.
567,Sgt. Bilko,All he ever wanted was an honest week's pay for an honest day's work.
0,The Dark Knight Rises,The Legend Ends
316,While You Were Sleeping,A story about love at second sight.
711,Vive L'Amour,
549,Hellraiser: Bloodline,"This year, the past, the present and the future will all meet at the crossroads of hell."
617,Multiplicity,"Sometimes to get more out of life, you have to make more of yourself."
534,Terminator 2: Judgment Day,It's nothing personal.
479,Romeo Is Bleeding,The story of a cop who wanted it bad and got it worse.
778,The Thin Man,A laugh tops every thrilling moment!
172,Mighty Morphin Power Rangers: The Movie,The Power Is On!
125,The Star Maker,"In the golden age of cinema, everyone dreams of becoming a star. One man promises to make all their dreams come true..."
424,Hard Target,Don't hunt what you can't kill.
422,Go Fish,The girl is out there
554,The Aristocats,A tune-filled animated extravaganza.
909,On Golden Pond,when life is at its finest...when love is at its fullest...
90,Once Upon a Time... When We Were Colored,
945,The Grifters,Seduction. Betrayal. Murder. Who's conning who?
181,The Scarlet Letter,"When intimacy is forbidden and passion is a sin, love is the most defiant crime of all."
274,Outbreak,This animal carries a deadly virus... and the greatest medical crisis in the world is about to happen.
901,A Streetcar Named Desire,"...Blanche, who wanted so much to stay a lady..."
69,The Indian in the Cupboard,
291,The Swan Princess,An enchanting classic destined to capture your heart and free your spirit.
131,Jade,Some fantasies go too far.
300,Swimming with Sharks,Life is not a movie
583,Bloodsport II,"Caught between honor and revenge, how far will one man go..."
326,Clear and Present Danger,The war of drugs would lead him to the war of power.
144,The Addiction,The dark is their sunlight. What makes them different is what keeps them alive.
425,Heaven & Earth,An amazing true story of survival.
584,Pather Panchali,
135,The Birdcage,Come as you are.
666,Phenomenon,Some things in life just can't be explained.
164,Judge Dredd,"In the future, one man is the law."
28,Casino,No one stays at the top forever.
936,American Dream,"The award-winning film of American lives, American courage, and the..."
193,Unstrung Heroes,Sometimes you find your heroes in the most unlikely places
997,Harold and Maude,They were meant to be. But exactly what they were meant to be is not quite clear.
750,My Favorite Year,
169,Love & Human Remains,
490,Shadowlands,
140,An Awfully Big Adventure,
173,Mute Witness,She Can't Speak. She Can't Scream. She Can't Beg For Mercy.
6,Batman,He's Here Big As Life In A Real Bat-Epic
850,The Secret Agent,
635,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,The hot-line suspense comedy
73,Two If by Sea,"A new comedy about love, laughter, and larceny"
687,Chain Reaction,Reaction Time 8-4-96
983,The Blues Brothers,They'll never get caught. They're on a mission from God.
238,Jefferson in Paris,A powerful man torn between his love for one woman and his secret desire for another.
145,Belle de Jour,Luis Bunuel's Masterpiece of Erotica!
798,Meet John Doe,"ALL AMERICA WANTS TO MEET THE ""MR. DEEDS"" OF 1941!"
234,Heavyweights,They don't run the fastest. They don't jump the highest. But they sure are getting the last laugh. Heavyweights. They never met a hot dog they didn't like ... until now.
220,French Kiss,
477,RoboCop 3,He's back to lay down the law.
880,Victor/Victoria,The disguise surprise comedy of the year!
132,Down Periscope,"A rusty sub. A rebel commander. A renegade crew. When destiny called, they should have hung up."
998,Trust,A slightly twisted comedy
843,Bedknobs and Broomsticks,You'll beWITCHED! You'll beDAZZLED! You'll be swept into a world of enchantment BEYOND ANYTHING BEFORE!
185,Species,Our time is up.
41,The City of Lost Children,Where happily ever after is just a dream.
999,The Seventh Seal,
108,Unforgettable,He loved her. He lost her. He won't let her memory die... until it tells him who killed her.
923,The Wrong Trousers,Winner of the 1993 Academy Award for Best Animated Short.
56,To Die For,All she wanted was a little attention.
530,The Brady Bunch Movie,
872,Crossfire,Hate is like a loaded gun!
603,Delta of Venus,"In 1939, Elena went to Paris searching for her voice as a writer. What she found was her voice as a woman."
866,Swingers,Cocktails first. Questions later.
24,Dracula: Dead and Loving It,
650,Trainspotting,Choose life.
448,Made in America,"At the sperm-bank she asked for a tall, intelligent, black man. One out of three ain't bad."
533,Aladdin,Wish granted!
622,Cold Comfort Farm,She discovered a new branch of her family tree... the one with all the nuts.
753,2001: A Space Odyssey,An epic drama of adventure and exploration
932,2 or 3 Things I Know About Her,
338,The Jungle Book,
51,"Cry, the Beloved Country",
667,Walking and Talking,A movie for everyone who wants to get married and stay single at the same time.
518,Cronos,
926,He Walked by Night,Savage TRUTH! Stronger than Fiction!
636,A Month by the Lake,
264,Murder in the First,The trial that brought down Alcatraz
539,Pinocchio,For anyone who has ever wished upon a star.
715,The Island of Dr. Moreau,The gates of hell are unlocked.
959,Up in Smoke,The movie that'll have you rolling in the aisles.
952,Passion Fish,
879,Life of Brian,He wasn't the messiah. He was a very naughty boy.
449,Malice,Her doctor wasn't playing God. He thought he was God.
18,Heat,A Los Angeles Crime Saga
720,The Land Before Time III: The Time of the Great Giving,
485,The Scout,He was praying for a miracle. What he got was Steve Nebraska.
570,Diabolique,Two women. One man. The combination can be murder.
1006,Miller's Crossing,"Up is down, black is white, and nothing is what it seems."
367,Street Fighter,The fight to save the world is on!
83,Screamers,The last scream you hear will be your own.
61,The Usual Suspects,Five Criminals. One Line Up. No Coincidence.
439,Jurassic Park,An adventure 65 million years in the making.
272,Once Were Warriors,"A family in crisis, a life in chaos... Nothing is more powerful than a mother's love."
285,Prêt-à-Porter,"At the world's hottest fashion show, there's been a murder and now everyone's a suspect. If you've got something to hide, you'll need something to wear."
360,Bad Company,Bribery. Blackmail. Murder. Specialities of the house.
354,Speechless,There are two sides to every relationship... Don't trust either of them.
994,Stalker,
278,Pulp Fiction,Just because you are a character doesn't mean you have character.
12,Batman v Superman: Dawn of Justice,Justice or revenge
182,Showgirls,Beyond your wildest dreams. Beyond your wildest fantasies.
368,Mirage,Love is the deadliest illusion.
494,Six Degrees of Separation,"For Paul, every person is a new door to a new world."
801,Dangerous Ground,What he wants is revenge. What he gets is the fight of his life.
223,A Goofy Movie,It's the story of a father who couldn't be closer...to driving his son crazy.
575,DragonHeart,You will believe.
703,The Godfather,An offer you can't refuse.
587,Space Jam,Get ready to jam.
547,Homeward Bound II: Lost in San Francisco,Your favorite talking animals are back!
675,Two Deaths,Obsesssion Can Be Murder
756,Rebecca,The shadow of this woman darkened their love.
176,Nine Months,Ready or Not.
669,A Time to Kill,Experience a time you'll never forget.
631,A Close Shave,From the Oscar-winning creator of A Grand Day Out and The Wrong Trousers.
589,Some Folks Call It a Sling Blade,
522,Wide Eyed and Legless,
393,City Slickers II: The Legend of Curly's Gold,
163,Johnny Mnemonic,The hottest data on earth. In the coolest head in town.
248,L'Enfer,
638,Kim,Famed Spectacular Adventure Story Filmed Against Authentic Backgrounds in Mystic India The Greatest Spy Thriller of Them All!
891,Basic Instinct,A brutal murder. A brilliant killer. A cop who can't resist the danger.
673,Kazaam,The world's most powerful genie has just met his match
375,Airheads,The amps are on but nobody's home.
412,Flesh and Bone,Evil is patient
74,Bio-Dome,Bud and Doyle are here to save the world. But who's gonna save the world from Bud and Doyle?
113,Braveheart,Every man dies. Not every man truly lives.
572,Mission: Impossible,Expect the Impossible.
643,The Phantom,Slam Evil!
390,A Bronx Tale,"One man lives in the neighborhood, another man owns it."
104,Heidi Fleiss: Hollywood Madam,   
114,Taxi Driver,"On every street in every city, there's a nobody who dreams of being a somebody."
417,Fresh,
713,Project S,Only One Force Can Stop This Crime Wave....And She's One Tough Cop!
457,Mr. Jones,Everything That Makes Him Dangerous Makes Her Love Him More
409,Fearless,Some people are afraid of nothing.
92,Angels and Insects,An elegant seduction. An erotic deception. A stunning revelation.
978,Army of Darkness,Trapped in time. Surrounded by evil. Low on gas.
89,Antonia's Line,A motion picture that celebrates everything you love about life.
336,I Love Trouble,Romance Was Never More Dangerous!
996,The Sting,...all it takes is a little confidence.
927,Raw Deal,Bullets!  Women! -- Can't Hold a Man Like That!
939,"The Cook, the Thief, His Wife & Her Lover",Lust...Murder...Dessert. Bon Appetit!
851,Secrets & Lies,
597,Mrs. Winterbourne,The story of a girl who is going from filthy to rich
615,The Horseman on the Roof,
94,Dunston Checks In,He's about to turn a Five Star Hotel into a three ring circus.
11,"Batman: The Dark Knight Returns, Part 2",Justice Returns... Vengeance Returns... Redemption Comes to Gotham.
396,Coneheads,Young ones! Parental units! We summon you!
535,Dances with Wolves,Inside everyone is a frontier waiting to be discovered.
43,Dangerous Minds,She broke the rules... and changed their lives.
42,Shanghai Triad,In 1930's Shanghai violence was not the problem. It was the solution.
329,Crooklyn,
167,Living in Oblivion,Nick is about to discover the first rule of filmmaking: if at first you don't succeed... PANIC!
499,So I Married an Axe Murderer,The honeymoon was killer.
882,The Great Race,"The movie with 20,000-mile or one-million-laughs guarantee!"
601,Butterfly Kiss,
761,To Catch a Thief,WANTED by the police in all the luxury-spots of Europe!... A catch for any woman!
100,Broken Arrow,Prepare to Go Ballistic.
426,Hot Shots! Part Deux,Just deux it.
178,The Prophecy,"On ancient ground, at the edge of the world, an evil born in heaven is about to be unleashed on earth."
444,Last Action Hero,This isn't the movies anymore.
416,Free Willy,How far would you go for a friend?
837,The Sword in the Stone,Tired of living in a Medieval mess...Merlin uses all his magic powers to change a scrawny little boy into a legendary hero!
888,Reservoir Dogs,Every dog has his day.
662,Daylight,No air. No escape. No time.
177,Party Girl,"Sassy, savvy and definitely clued-in!"
395,Cliffhanger,The height of adventure.
680,Joe's Apartment,Sex Bugs Rock 'n Roll
799,A Farewell to Arms,Every woman who has loved will understand
968,Lawrence of Arabia,
688,Matilda,A little magic goes a long way.
383,Black Beauty,
964,Aliens,This Time It's War
616,The Visitors,They Weren't Born Yesterday!
257,Mary Shelley's Frankenstein,Be Warned.  It's Alive
335,Higher Learning,
15,Grumpier Old Men,Still Yelling. Still Fighting. Still Ready for Love.
633,The Stupids,As American as apple pie and twice as smart.
324,Bitter Moon,A kinky voyage with a full head of steam.
890,Weekend at Bernie's,"Bernie may be dead, but he's still the life of the party!"
222,Far from Home: The Adventures of Yellow Dog,Partners in survival. Friends for life.
179,Reckless,The most twisted Christmas ever.
991,Raging Bull,
22,GoldenEye,No limits. No fears. No substitutes.
