,ConvertedSalary,Age,Years Experience
383,25008.0,27,10
384,96626.0,49,13
385,199950.0,35,10
386,34269.0,49,21
387,60216.0,30,6
388,,30,11
389,,23,10
390,73433.0,26,8
391,40282.0,39,8
392,71976.0,47,5
393,,37,14
394,,25,0
395,,27,6
396,63979.0,30,2
397,12524.0,52,7
398,14688.0,21,12
399,1872.0,19,15
400,66084.0,53,8
401,2000000.0,60,19
402,,69,14
403,20000.0,44,6
404,,45,3
405,40392.0,18,6
406,,52,22
407,2000000.0,44,4
408,1500.0,35,13
409,104030.0,22,12
410,80521.0,18,16
411,80000.0,46,8
412,136500.0,33,6
413,171343.0,47,15
414,,18,11
415,44064.0,27,15
416,99468.0,40,8
417,23496.0,36,8
418,27696.0,47,5
419,48955.0,19,8
420,140000.0,70,8
421,9396.0,18,14
422,,53,11
423,,62,5
424,140000.0,31,14
425,936.0,36,11
426,110000.0,38,10
427,7608.0,20,14
428,,44,8
429,105000.0,35,13
430,104269.0,47,15
431,,71,20
432,,20,14
433,46992.0,30,9
434,,28,6
435,19092.0,44,19
436,,43,7
437,55000.0,56,11
438,6384.0,30,12
439,150150.0,36,5
440,9396.0,27,1
441,63000.0,22,8
442,,26,7
443,127000.0,18,18
444,32400.0,47,4
445,41612.0,37,8
446,84731.0,58,4
447,79973.0,48,14
448,,18,5
449,,27,11
450,130000.0,64,16
451,49932.0,54,14
452,21000.0,44,14
453,,29,8
454,26436.0,20,6
455,,34,15
456,,48,13
457,,18,0
458,1884.0,31,3
459,,18,11
460,61194.0,39,12
461,104178.0,18,5
462,10584.0,69,8
463,68537.0,30,8
464,85000.0,28,11
465,,22,17
466,49932.0,63,7
467,61118.0,18,15
468,175000.0,34,10
469,,18,15
470,58000.0,21,20
471,,46,8
472,30000.0,56,15
473,,32,2
474,30840.0,18,17
475,,44,19
476,125000.0,50,13
477,,50,6
478,,25,8
479,110149.0,40,13
480,108704.0,28,10
481,44880.0,71,18
482,4476.0,29,10
483,,44,11
484,200000.0,20,7
485,,44,13
486,140000.0,36,21
487,25400.0,46,10
488,142000.0,19,11
489,88000.0,34,8
490,,23,5
491,29940.0,18,11
492,,18,7
493,17628.0,40,18
494,,35,4
495,,32,9
496,107964.0,44,11
497,,51,0
498,,25,6
499,,25,10
500,2000000.0,37,5
501,110000.0,35,14
502,84816.0,18,7
503,,18,16
504,,33,13
505,616836.0,20,4
506,6312.0,29,11
507,,35,7
508,48828.0,22,3
509,9012.0,29,9
510,79552.0,25,10
511,104269.0,19,13
512,6360.0,31,19
513,,36,10
514,83000.0,34,7
515,72000.0,19,9
516,12312.0,48,12
517,53000.0,18,8
518,85000.0,18,11
519,30000.0,40,14
520,18780.0,37,6
521,75000.0,61,14
522,30732.0,45,3
523,70000.0,52,11
524,514032.0,32,7
525,93853.0,27,19
526,79175.0,20,13
527,72000.0,64,8
528,,27,12
529,47922.0,45,16
530,,18,5
531,,36,10
532,120000.0,56,15
533,6516.0,62,17
534,107000.0,43,0
535,,55,9
536,,19,17
537,110000.0,29,18
538,,18,15
539,35988.0,34,4
540,85000.0,34,7
541,5640.0,37,17
542,97233.0,25,14
543,96000.0,18,19
544,10932.0,48,15
545,,25,18
546,,20,9
547,60000.0,18,21
548,94000.0,23,3
549,,40,12
550,27120.0,18,14
551,6500.0,64,6
552,,18,2
553,,23,12
554,125014.0,37,4
555,33399.0,40,14
556,76000.0,40,11
557,49404.0,68,17
558,,32,7
559,2172.0,35,3
560,83342.0,26,10
561,36716.0,44,8
562,44064.0,40,10
563,130000.0,62,11
564,,21,5
565,,51,6
566,,19,1
567,,43,12
568,47984.0,35,11
569,22032.0,27,7
570,48955.0,49,8
571,93036.0,27,19
572,,18,4
573,95000.0,18,4
574,41124.0,23,16
575,80000.0,50,17
576,,18,0
577,,49,11
578,5448.0,43,11
579,50400.0,56,20
580,,18,3
581,1512.0,19,8
582,,18,18
583,130000.0,31,8
584,141000.0,49,7
585,24478.0,45,8
586,,26,11
587,,25,12
588,22030.0,72,14
589,35244.0,60,11
590,55075.0,20,11
591,101539.0,34,17
592,40000.0,55,13
593,102000.0,46,10
594,34726.0,18,12
595,99056.0,31,14
596,,52,16
597,,46,12
598,75000.0,23,7
599,42836.0,18,8
600,,23,8
601,70841.0,24,10
602,,34,13
603,9396.0,51,13
604,,57,7
605,39164.0,51,7
606,31212.0,53,2
607,130000.0,51,11
608,41916.0,25,11
609,,18,12
610,,19,5
611,87000.0,62,18
612,300000.0,53,8
613,2820.0,57,13
614,,48,22
615,1000000.0,39,1
616,,42,10
617,,61,11
618,,36,6
619,,19,11
620,14652.0,18,1
621,,34,7
622,56352.0,48,17
623,7860.0,20,5
624,150000.0,45,8
625,132000.0,36,18
626,,18,17
627,,21,9
628,107000.0,39,13
629,40388.0,29,10
630,115000.0,42,10
631,9540.0,26,11
632,1000000.0,44,13
633,8640.0,54,12
634,,48,10
635,83342.0,43,12
636,6612.0,18,5
637,12000.0,58,14
638,102000.0,37,1
639,122300.0,35,7
640,,18,14
641,,23,13
642,68500.0,28,19
643,36720.0,48,6
644,75000.0,50,5
645,,30,5
646,75008.0,23,11
647,42348.0,44,10
648,58134.0,24,1
649,,43,9
650,34440.0,40,7
651,14436.0,40,12
652,21228.0,34,14
653,15984.0,51,14
654,94000.0,35,19
655,120000.0,36,1
656,31760.0,51,0
657,5424.0,38,13
658,170000.0,20,19
659,63979.0,30,9
660,7500.0,40,18
661,12000.0,32,12
662,,36,0
663,,40,7
664,,37,13
665,46200.0,30,17
666,,18,15
667,3756.0,36,7
668,,30,14
669,76397.0,36,15
670,139154.0,47,13
671,101663.0,19,12
672,11412.0,18,10
673,60000.0,34,8
674,52015.0,31,14
675,,33,16
676,52872.0,35,14
677,,48,13
678,125123.0,34,15
679,,26,14
680,4416.0,43,2
681,38893.0,43,8
682,,64,7
683,4692.0,27,10
684,,18,11
685,1884.0,33,14
686,4128.0,52,15
687,23208.0,48,13
688,100000.0,31,12
689,33045.0,18,18
690,12132.0,48,11
691,,39,13
692,115000.0,44,4
693,45876.0,21,19
694,,44,0
695,,31,14
696,15600.0,18,18
697,29724.0,44,27
698,41276.0,25,8
699,17628.0,28,8
