,SurveyDate,FormalEducation,ConvertedSalary,Hobby,Country,StackOverflowJobsRecommend,VersionControl,Age,Years Experience,Gender,RawSalary
139,5/25/18 14:20,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,Spain,8.0,Subversion,18,5,Male,
140,10/22/18 19:56,Bachelor's degree (BA. BS. B.Eng.. etc.),62507.0,Yes,Sweeden,5.0,Git,63,7,Male,"62,507.00"
141,1/3/18 23:54,Some college/university study without earning a degree,29373.0,Yes,Spain,7.0,Git,51,4,Male,"29,373.00"
142,8/26/18 5:48,Bachelor's degree (BA. BS. B.Eng.. etc.),74482.0,No,South Africa,7.0,Subversion,45,9,Male,"74,482.00"
143,7/31/18 12:42,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),,Yes,USA,,Git,27,8,Male,
144,4/10/18 17:11,Some college/university study without earning a degree,12960.0,Yes,UK,10.0,Git,34,14,Male,"£12,960.00"
145,7/24/18 23:12,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,South Africa,10.0,Git;Mercurial;Subversion,29,9,Male,
146,8/6/18 20:05,Bachelor's degree (BA. BS. B.Eng.. etc.),73433.0,Yes,South Africa,10.0,Git,32,12,Male,"73,433.00"
147,7/7/18 15:17,Bachelor's degree (BA. BS. B.Eng.. etc.),1080000.0,Yes,India,8.0,Git,24,12,Male,"1,080,000.00"
148,7/17/18 9:42,Bachelor's degree (BA. BS. B.Eng.. etc.),90288.0,Yes,India,1.0,Git,18,2,,"90,288.00"
149,3/16/18 20:51,Bachelor's degree (BA. BS. B.Eng.. etc.),122388.0,Yes,Russia,8.0,Git,34,15,Male,"122,388.00"
150,8/23/18 13:55,Some college/university study without earning a degree,37084.0,Yes,Sweeden,10.0,Subversion,44,10,Male,"37,084.00"
151,2/14/18 13:19,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),11748.0,Yes,USA,7.0,Git;Subversion,40,8,,"$11,748.00"
152,2/10/18 3:20,Associate degree,100000.0,No,India,,I don't use version control,28,8,,"100,000.00"
153,6/18/18 13:34,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),,Yes,Spain,,Git;Subversion,35,16,Male,
154,1/17/18 4:57,Master's degree (MA. MS. M.Eng.. MBA. etc.),60000.0,Yes,Sweeden,10.0,Git,25,5,Male,"60,000.00"
155,9/22/18 12:42,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,Spain,,Git;Team Foundation Version Control,33,8,Male,
156,6/8/18 22:51,Master's degree (MA. MS. M.Eng.. MBA. etc.),10440.0,Yes,USA,,Git;Team Foundation Version Control,19,6,,"$10,440.00"
157,8/13/18 23:02,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,India,,Git,34,0,Male,
158,6/19/18 18:26,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,Sweeden,,Git;Zip file back-ups,44,17,Male,
159,5/17/18 12:46,Master's degree (MA. MS. M.Eng.. MBA. etc.),46992.0,No,India,,Git,44,19,Male,"46,992.00"
160,2/26/18 4:05,Bachelor's degree (BA. BS. B.Eng.. etc.),61580.0,No,Sweeden,5.0,Git;Subversion;Team Foundation Version Control,23,1,Male,"61,580.00"
161,6/7/18 18:33,Bachelor's degree (BA. BS. B.Eng.. etc.),26612.0,Yes,UK,,Git,39,10,Male,"£26,612.00"
162,2/5/18 4:26,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,UK,10.0,Git;Subversion,21,17,Male,
163,5/22/18 13:48,Bachelor's degree (BA. BS. B.Eng.. etc.),18780.0,Yes,Spain,7.0,Git,20,11,,"18,780.00"
164,9/26/18 11:15,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,USA,,Team Foundation Version Control,21,13,Male,
165,1/20/18 17:57,Some college/university study without earning a degree,23440.0,Yes,USA,,Git;Team Foundation Version Control;Copying and pasting files to network shares;Zip file back-ups,63,9,,"$23,440.00"
166,1/4/18 2:56,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),42836.0,Yes,UK,,Git,48,11,Male,"£42,836.00"
167,4/30/18 17:30,Master's degree (MA. MS. M.Eng.. MBA. etc.),3569.0,Yes,India,10.0,Git;Copying and pasting files to network shares,38,1,,"3,569.00"
168,4/21/18 6:43,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,South Africa,,Git;Mercurial;Copying and pasting files to network shares;Zip file back-ups,29,14,,
169,2/9/18 1:40,Bachelor's degree (BA. BS. B.Eng.. etc.),1140000.0,Yes,Sweeden,,Subversion,38,13,Male,"1,140,000.00"
170,3/6/18 18:22,Bachelor's degree (BA. BS. B.Eng.. etc.),1879.0,Yes,Spain,5.0,Git;Mercurial,60,14,Male,"1,879.00"
171,8/9/18 8:21,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,USA,,Git,37,15,Male,
172,5/8/18 13:59,Some college/university study without earning a degree,79552.0,Yes,USA,,Git,23,11,,"$79,552.00"
173,5/22/18 8:44,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,Sweeden,6.0,Git,55,13,Male,
174,9/15/18 7:24,Bachelor's degree (BA. BS. B.Eng.. etc.),46963.0,No,Russia,,Git,44,18,,"46,963.00"
175,5/7/18 4:25,Master's degree (MA. MS. M.Eng.. MBA. etc.),8140.0,Yes,USA,10.0,Team Foundation Version Control,18,7,Male,"$8,140.00"
176,8/13/18 9:00,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,India,,Git;Subversion,21,7,,
177,3/5/18 19:11,Bachelor's degree (BA. BS. B.Eng.. etc.),81000.0,Yes,USA,8.0,Git,35,15,Male,"$81,000.00"
178,10/14/18 22:41,Other doctoral degree (Ph.D. Ed.D.. etc.),440592.0,Yes,USA,7.0,Git;Team Foundation Version Control,26,15,Male,"$440,592.00"
179,6/6/18 13:00,Associate degree,20244.0,Yes,France,,Git,30,11,Male,"20,244.00"
180,9/21/18 4:14,Some college/university study without earning a degree,,Yes,France,10.0,Git;Copying and pasting files to network shares;Zip file back-ups,35,10,,
181,7/24/18 10:00,Master's degree (MA. MS. M.Eng.. MBA. etc.),33528.0,Yes,South Africa,2.0,Git;Subversion,36,15,Male,"33,528.00"
182,2/13/18 23:20,Bachelor's degree (BA. BS. B.Eng.. etc.),65000.0,Yes,USA,,Git;Copying and pasting files to network shares,32,14,Male,"$65,000.00"
183,4/14/18 14:04,Bachelor's degree (BA. BS. B.Eng.. etc.),21708.0,Yes,USA,8.0,Git,63,7,,"$21,708.00"
184,9/8/18 17:23,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),58746.0,Yes,Spain,8.0,Git,35,18,Male,"58,746.00"
185,4/30/18 3:12,Bachelor's degree (BA. BS. B.Eng.. etc.),52783.0,No,India,,Git,18,11,,"52,783.00"
186,6/4/18 1:14,Master's degree (MA. MS. M.Eng.. MBA. etc.),32316.0,No,USA,0.0,Git,39,13,Male,"$32,316.00"
187,8/8/18 22:33,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),,Yes,Spain,,Git,33,5,Male,
188,10/23/18 19:01,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,Spain,,Git,34,5,Male,
189,4/26/18 0:21,Some college/university study without earning a degree,8496.0,No,UK,,Git,29,5,,"£8,496.00"
190,9/14/18 11:12,Master's degree (MA. MS. M.Eng.. MBA. etc.),45895.0,Yes,USA,10.0,Git;Subversion,18,11,Male,"$45,895.00"
191,4/2/18 3:49,Some college/university study without earning a degree,9552.0,Yes,India,,Subversion,18,17,Female,"9,552.00"
192,9/13/18 20:48,Bachelor's degree (BA. BS. B.Eng.. etc.),4512.0,Yes,France,,Git,31,6,,"4,512.00"
193,2/8/18 10:18,Bachelor's degree (BA. BS. B.Eng.. etc.),38510.0,Yes,UK,6.0,Git,34,10,Male,"£38,510.00"
194,6/5/18 12:15,Bachelor's degree (BA. BS. B.Eng.. etc.),105000.0,Yes,France,5.0,Git,42,23,Male,"105,000.00"
195,5/22/18 19:31,Bachelor's degree (BA. BS. B.Eng.. etc.),47227.0,Yes,USA,5.0,Git;Mercurial,59,3,Male,"$47,227.00"
196,1/5/18 19:09,Associate degree,20808.0,Yes,UK,6.0,Git,45,0,,"£20,808.00"
197,1/9/18 7:01,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,Spain,,I don't use version control,83,14,Male,
198,4/6/18 23:31,Master's degree (MA. MS. M.Eng.. MBA. etc.),100000.0,No,Sweeden,,Team Foundation Version Control,26,11,Male,"100,000.00"
199,2/22/18 9:18,Some college/university study without earning a degree,,Yes,Russia,4.0,Git,45,3,Male,
