,id,words,label,terms,hash,features
11,12,"['as', 'per', 'your', 'request', 'melle', 'melle', 'oru', 'minnaminunginte', 'nurungu', 'vettam', 'has', 'been', 'set', 'as', 'your', 'callertune', 'for', 'all', 'callers', 'press', '*', 'to', 'copy', 'your', 'friends', 'callertune']",0,"['per', 'request', 'melle', 'melle', 'oru', 'minnaminunginte', 'nurungu', 'vettam', 'set', 'callertune', 'callers', 'press', '*', 'copy', 'friends', 'callertune']","(1024,[8,16,60,186,288,365,400,495,520,526,586,622,980],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0])","(1024,[8,16,60,186,288,365,400,495,520,526,586,622,980],[5.535005142970004,3.595609674935884,4.734227298217693,4.421354976937353,6.4288230189921,4.864847480634757,5.099687071712158,18.183294716600347,5.407171771460119,5.7356758384321544,4.207206988531722,10.51750353268369,5.160311693528593])"
12,13,"['winner', 'as', 'a', 'valued', 'network', 'customer', 'you', 'have', 'been', 'selected', 'to', 'receivea', 'prize', 'reward', 'to', 'claim', 'call', 'claim', 'code', 'kl', 'valid', 'hours', 'only']",1,"['winner', 'valued', 'network', 'customer', 'selected', 'receivea', 'prize', 'reward', 'claim', 'call', 'claim', 'code', 'kl', 'valid', 'hours']","(1024,[37,69,88,100,138,143,153,483,550,626,661,859,922,945],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0])","(1024,[37,69,88,100,138,143,153,483,550,626,661,859,922,945],[3.981656697186947,3.642440974619983,5.015129683684095,4.962485950198674,2.2391682769656747,4.498913211283228,5.7356758384321544,4.308559482792009,7.191219349871768,4.754846585420428,5.330210730323991,5.293843086153116,4.797406199839225,4.841857962410058])"
13,14,"['had', 'your', 'mobile', 'months', 'or', 'more', 'u', 'r', 'entitled', 'to', 'update', 'to', 'the', 'latest', 'colour', 'mobiles', 'with', 'camera', 'for', 'free', 'call', 'the', 'mobile', 'update', 'co', 'free', 'on']",1,"['mobile', 'months', 'u', 'r', 'entitled', 'update', 'latest', 'colour', 'mobiles', 'camera', 'free', 'call', 'mobile', 'update', 'co', 'free']","(1024,[119,138,150,193,218,226,248,711,887,898,912,982],[2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0])","(1024,[119,138,150,193,218,226,248,711,887,898,912,982],[6.3672597716130515,4.478336553931349,3.9913186080986836,5.6539098837355874,4.888377978044951,3.5080537839115644,5.407171771460119,9.683715924820117,3.532297395521557,5.293843086153116,4.148710781850113,1.776981313694862])"
14,15,"[""i'm"", 'gonna', 'be', 'home', 'soon', 'and', 'i', ""don't"", 'want', 'to', 'talk', 'about', 'this', 'stuff', 'anymore', 'tonight', 'k', ""i've"", 'cried', 'enough', 'today']",0,"['gonna', 'home', 'soon', 'want', 'talk', 'stuff', 'anymore', 'tonight', 'k', 'cried', 'enough', 'today']","(1024,[114,192,441,445,485,534,721,733,816,823,952,967],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1024,[114,192,441,445,485,534,721,733,816,823,952,967],[5.681608617161879,3.691573663197628,4.051336617824937,2.691153400708732,2.8894752988491277,3.496148881405246,4.093448103175064,4.2193283490640665,3.201097578846917,6.8342881271002645,4.754846585420428,4.2193283490640665])"
15,16,"['six', 'chances', 'to', 'win', 'cash', 'from', 'to', 'pounds', 'txt>', 'csh', 'and', 'send', 'to', 'cost', 'p/day', 'days', '+', 'tsandcs', 'apply', 'reply', 'hl', 'info']",1,"['six', 'chances', 'win', 'cash', 'pounds', 'txt>', 'csh', 'send', 'cost', 'p/day', 'days', '+', 'tsandcs', 'apply', 'reply', 'hl', 'info']","(1024,[31,122,163,171,237,317,362,379,428,445,484,638,694,703,789,798,887],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1024,[31,122,163,171,237,317,362,379,428,445,484,638,694,703,789,798,887],[3.7897656893768414,3.557143394108088,3.317779898927115,5.853458874088538,3.1288793710351177,5.192060391843174,4.126237925998055,4.988461436601934,3.898659777615979,2.691153400708732,4.256599743861298,5.853458874088538,5.099687071712158,5.330210730323991,3.526181168504121,6.061098238866783,3.532297395521557])"
16,17,"['urgent', 'you', 'have', 'won', 'a', 'week', 'free', 'membership', 'in', 'our', 'prize', 'jackpot', 'txt', 'the', 'word', 'claim', 'to', 'no', 't&c', 'www', 'dbuk', 'net', 'lccltd', 'pobox', 'ldnw', 'a', 'rw']",1,"['urgent', 'won', 'week', 'free', 'membership', 'prize', 'jackpot', 'txt', 'word', 'claim', 't&c', 'www', 'dbuk', 'net', 'lccltd', 'pobox', 'ldnw', 'rw']","(1024,[69,193,197,257,260,279,283,338,350,479,518,550,714,747,790,808,989,990],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1024,[69,193,197,257,260,279,283,338,350,479,518,550,714,747,790,808,989,990],[3.642440974619983,2.8269549418677937,5.917997395226109,3.9626085022162525,6.4288230189921,4.5317030341062186,6.228152323529949,3.9439163692041,4.819385106557999,4.797406199839225,3.642440974619983,3.595609674935884,5.581525158604896,4.618714411095849,3.4612616224048054,5.070699534838906,4.126237925998055,4.498913211283228])"
17,18,"[""i've"", 'been', 'searching', 'for', 'the', 'right', 'words', 'to', 'thank', 'you', 'for', 'this', 'breather', 'i', 'promise', 'i', 'wont', 'take', 'your', 'help', 'for', 'granted', 'and', 'will', 'fulfil', 'my', 'promise', 'you', 'have', 'been', 'wonderful', 'and', 'a', 'blessing', 'at', 'all', 'times']",0,"['searching', 'right', 'words', 'thank', 'breather', 'promise', 'wont', 'take', 'help', 'granted', 'fulfil', 'promise', 'wonderful', 'blessing', 'times']","(1024,[181,210,225,237,243,343,362,487,569,696,725,756,830,937],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0])","(1024,[181,210,225,237,243,343,362,487,569,696,725,756,830,937],[4.6557556827761974,4.308559482792009,4.001074783044048,3.1288793710351177,4.244020961654438,3.520102122427739,4.126237925998055,7.239753235208429,5.04252865787221,5.129540034861839,11.585668504544207,5.04252865787221,4.115188089811469,4.295314256041989])"
18,19,"['i', 'have', 'a', 'date', 'on', 'sunday', 'with', 'will']",0,"['date', 'sunday']","(1024,[28,360],[1.0,1.0])","(1024,[28,360],[5.407171771460119,3.2415525335392306])"
19,20,"['xxxmobilemovieclub', 'to', 'use', 'your', 'credit', 'click', 'the', 'wap', 'link', 'in', 'the', 'next', 'txt', 'message', 'or', 'click', 'here>>', 'http', '//wap', 'xxxmobilemovieclub', 'com', 'n=qjkgighjjgcbl']",1,"['xxxmobilemovieclub', 'use', 'credit', 'click', 'wap', 'link', 'next', 'txt', 'message', 'click', 'here>>', 'http', '//wap', 'xxxmobilemovieclub', 'com', 'n=qjkgighjjgcbl']","(1024,[9,45,87,137,329,522,525,589,689,769,790,804,943,995],[1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0])","(1024,[9,45,87,137,329,522,525,589,689,769,790,804,943,995],[5.224850214666164,3.758513145872737,9.311511365552395,4.498913211283228,4.618714411095849,5.407171771460119,4.082752814058316,4.937168142214383,3.934699714099176,13.093212109296967,3.4612616224048054,4.962485950198674,5.070699534838906,4.7758999946182605])"
20,21,"['oh', 'k', ""i'm"", 'watching', 'here']",0,"['oh', 'k', 'watching']","(1024,[192,675,693],[1.0,1.0,1.0])","(1024,[192,675,693],[3.691573663197628,4.937168142214383,3.872457405221955])"
21,22,"['eh', 'u', 'remember', 'how', 'spell', 'his', 'name', 'yes', 'i', 'did', 'he', 'v', 'naughty', 'make', 'until', 'i', 'v', 'wet']",0,"['eh', 'u', 'remember', 'spell', 'name', 'yes', 'v', 'naughty', 'make', 'v', 'wet']","(1024,[303,389,412,485,629,664,739,835,862,982],[1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1024,[303,389,412,485,629,664,739,835,862,982],[3.8302570507315785,4.436392854301894,6.546606054648484,5.778950597698255,3.8811154679650697,4.754846585420428,4.694221963603994,3.6288353225642043,4.451660326432682,1.776981313694862])"
22,23,"['fine', 'if', 'thats', 'the', 'way', 'u', 'feel', 'thats', 'the', 'way', 'its', 'gota', 'b']",0,"['fine', 'thats', 'way', 'u', 'feel', 'thats', 'way', 'gota', 'b']","(1024,[191,193,459,599,953,982,1010],[1.0,1.0,1.0,2.0,1.0,1.0,2.0])","(1024,[191,193,459,599,953,982,1010],[3.5020836169250606,2.8269549418677937,4.3493814773122645,7.548034664817405,5.792834252272104,1.776981313694862,8.934329025937295])"
23,24,"['england', 'v', 'macedonia', 'dont', 'miss', 'the', 'goals/team', 'news', 'txt', 'ur', 'national', 'team', 'to', 'eg', 'england', 'to', 'try', 'wales', 'scotland', 'txt/', 'poboxox', 'w', 'wq', '+']",1,"['england', 'v', 'macedonia', 'dont', 'miss', 'goals/team', 'news', 'txt', 'ur', 'national', 'team', 'eg', 'england', 'try', 'wales', 'scotland', 'txt/', 'poboxox', 'w', 'wq', '+']","(1024,[19,33,54,95,115,180,233,287,348,357,485,530,586,711,790,822,887,892,945,969],[1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1024,[19,33,54,95,115,180,233,287,348,357,485,530,586,711,790,822,887,892,945,969],[2.836087425431066,4.819385106557999,9.468454596435386,4.5151737321550085,4.60069590559317,4.01092707948706,3.557143394108088,4.207206988531722,4.082752814058316,5.367951058306837,2.8894752988491277,4.754846585420428,4.207206988531722,4.841857962410058,3.4612616224048054,4.754846585420428,3.532297395521557,5.581525158604896,4.841857962410058,5.535005142970004])"
24,25,"['is', 'that', 'seriously', 'how', 'you', 'spell', 'his', 'name']",0,"['seriously', 'spell', 'name']","(1024,[109,303,412],[1.0,1.0,1.0])","(1024,[109,303,412],[5.070699534838906,3.8302570507315785,6.546606054648484])"
25,26,"['im', 'going', 'to', 'try', 'for', 'months', 'ha', 'ha', 'only', 'joking']",0,"['im', 'going', 'try', 'months', 'ha', 'ha', 'joking']","(1024,[26,95,150,237,572,874],[1.0,1.0,1.0,1.0,1.0,2.0])","(1024,[26,95,150,237,572,874],[3.2741894628522528,4.5151737321550085,3.9913186080986836,3.1288793710351177,4.60069590559317,11.585668504544207])"
26,27,"['so', 'pay', 'first', 'lar', 'then', 'when', 'is', 'da', 'stock', 'comin']",0,"['pay', 'first', 'lar', 'da', 'stock', 'comin']","(1024,[177,191,315,586,719,966],[1.0,1.0,1.0,1.0,1.0,1.0])","(1024,[177,191,315,586,719,966],[3.5890949939146903,3.5020836169250606,4.797406199839225,4.207206988531722,4.988461436601934,4.126237925998055])"
27,28,"['aft', 'i', 'finish', 'my', 'lunch', 'then', 'i', 'go', 'str', 'down', 'lor', 'ard', 'smth', 'lor', 'u', 'finish', 'ur', 'lunch', 'already']",0,"['aft', 'finish', 'lunch', 'go', 'str', 'lor', 'ard', 'smth', 'lor', 'u', 'finish', 'ur', 'lunch', 'already']","(1024,[19,27,86,125,225,249,445,483,801,925,982],[1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0])","(1024,[19,27,86,125,225,249,445,483,801,925,982],[2.836087425431066,5.581525158604896,5.293843086153116,8.903320652865364,4.001074783044048,3.104586678466073,2.691153400708732,8.617118965584018,7.101747562188985,5.129540034861839,1.776981313694862])"
28,29,"['ffffffffff', 'alright', 'no', 'way', 'i', 'can', 'meet', 'up', 'with', 'you', 'sooner']",0,"['ffffffffff', 'alright', 'way', 'meet', 'sooner']","(1024,[599,670,766,837,948],[1.0,1.0,1.0,1.0,1.0])","(1024,[599,670,766,837,948],[3.7740173324087025,4.937168142214383,5.986990266713061,4.841857962410058,4.030927746193729])"
29,30,"['just', 'forced', 'myself', 'to', 'eat', 'a', 'slice', ""i'm"", 'really', 'not', 'hungry', 'tho', 'this', 'sucks', 'mark', 'is', 'getting', 'worried', 'he', 'knows', ""i'm"", 'sick', 'when', 'i', 'turn', 'down', 'pizza', 'lol']",0,"['forced', 'eat', 'slice', 'really', 'hungry', 'tho', 'sucks', 'mark', 'getting', 'worried', 'knows', 'sick', 'turn', 'pizza', 'lol']","(1024,[14,150,175,206,238,299,348,389,546,557,572,617,670,787,788],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1024,[14,150,175,206,238,299,348,389,546,557,572,617,670,787,788],[3.953218761866413,3.9913186080986836,5.630315322774329,4.104259019279279,6.228152323529949,5.49055338039917,4.082752814058316,4.436392854301894,5.258751766341845,3.691573663197628,4.60069590559317,4.864847480634757,4.937168142214383,6.4288230189921,5.986990266713061])"
30,31,"['lol', 'your', 'always', 'so', 'convincing']",0,"['lol', 'always', 'convincing']","(1024,[70,206,277],[1.0,1.0,1.0])","(1024,[70,206,277],[6.061098238866783,4.104259019279279,3.5508737810944924])"
31,32,"['did', 'you', 'catch', 'the', 'bus', 'are', 'you', 'frying', 'an', 'egg', 'did', 'you', 'make', 'a', 'tea', 'are', 'you', 'eating', 'your', ""mom's"", 'left', 'over', 'dinner', 'do', 'you', 'feel', 'my', 'love']",0,"['catch', 'bus', 'frying', 'egg', 'make', 'tea', 'eating', ""mom's"", 'left', 'dinner', 'feel', 'love']","(1024,[112,229,430,436,459,475,502,593,626,629,800,803],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1024,[112,229,430,436,459,475,502,593,626,629,800,803],[3.255409568200657,5.535005142970004,4.39194109173106,5.7356758384321544,4.3493814773122645,5.224850214666164,5.407171771460119,4.406539891152213,4.754846585420428,3.8811154679650697,5.7356758384321544,5.630315322774329])"
32,33,"[""i'm"", 'back', '&', ""we're"", 'packing', 'the', 'car', 'now', ""i'll"", 'let', 'you', 'know', 'if', ""there's"", 'room']",0,"['back', '&', 'packing', 'car', 'let', 'know', 'room']","(1024,[174,396,555,643,700,818,846],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1024,[174,396,555,643,700,818,846],[3.4785531195148662,3.3843005812686773,5.986990266713061,3.0313362167264803,3.2278848948105665,3.120716060395957,4.988461436601934])"
33,34,"['ahhh', 'work', 'i', 'vaguely', 'remember', 'that', 'what', 'does', 'it', 'feel', 'like', 'lol']",0,"['ahhh', 'work', 'vaguely', 'remember', 'feel', 'like', 'lol']","(1024,[206,216,279,386,389,459,551],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1024,[206,216,279,386,389,459,551],[4.104259019279279,6.546606054648484,4.5317030341062186,3.0692195346287816,4.436392854301894,4.3493814773122645,3.9720872461707963])"
34,35,"['wait', ""that's"", 'still', 'not', 'all', 'that', 'clear', 'were', 'you', 'not', 'sure', 'about', 'me', 'being', 'sarcastic', 'or', 'that', ""that's"", 'why', 'x', ""doesn't"", 'want', 'to', 'live', 'with', 'us']",0,"['wait', 'still', 'clear', 'sure', 'sarcastic', 'x', 'want', 'live', 'us']","(1024,[85,285,360,368,565,676,802,816,1005],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1024,[85,285,360,368,565,676,802,816,1005],[5.407171771460119,4.60069590559317,3.2415525335392306,4.093448103175064,4.256599743861298,4.937168142214383,4.363367719287004,3.201097578846917,4.256599743861298])"
35,36,"['yeah', 'he', 'got', 'in', 'at', 'and', 'was', 'v', 'apologetic', 'n', 'had', 'fallen', 'out', 'and', 'she', 'was', 'actin', 'like', 'spoilt', 'child', 'and', 'he', 'got', 'caught', 'up', 'in', 'that', 'till', 'but', 'we', ""won't"", 'go', 'there', 'not', 'doing', 'too', 'badly', 'cheers', 'you']",0,"['yeah', 'got', 'v', 'apologetic', 'n', 'fallen', 'actin', 'like', 'spoilt', 'child', 'got', 'caught', 'till', 'go', 'badly', 'cheers']","(1024,[76,145,159,164,386,391,445,485,690,711,713,716,743,776,938],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0])","(1024,[76,145,159,164,386,391,445,485,690,711,713,716,743,776,938],[5.330210730323991,4.030927746193729,4.308559482792009,5.853458874088538,3.0692195346287816,3.595609674935884,2.691153400708732,2.8894752988491277,3.9913186080986836,4.841857962410058,5.070699534838906,5.099687071712158,6.085102575093241,5.367951058306837,5.49055338039917])"
36,37,"['k', 'tell', 'me', 'anything', 'about', 'you']",0,"['k', 'tell', 'anything']","(1024,[192,290,538],[1.0,1.0,1.0])","(1024,[192,290,538],[3.691573663197628,3.758513145872737,3.5384512610959353])"
37,38,"['for', 'fear', 'of', 'fainting', 'with', 'the', 'of', 'all', 'that', 'housework', 'you', 'just', 'did', 'quick', 'have', 'a', 'cuppa']",0,"['fear', 'fainting', 'housework', 'quick', 'cuppa']","(1024,[169,500,782,819,886],[1.0,1.0,1.0,1.0,1.0])","(1024,[169,500,782,819,886],[5.535005142970004,4.5656045857819,3.582622479409073,5.630315322774329,4.231598441655881])"
38,39,"['thanks', 'for', 'your', 'subscription', 'to', 'ringtone', 'uk', 'your', 'mobile', 'will', 'be', 'charged', '/month', 'please', 'confirm', 'by', 'replying', 'yes', 'or', 'no', 'if', 'you', 'reply', 'no', 'you', 'will', 'not', 'be', 'charged']",1,"['thanks', 'subscription', 'ringtone', 'uk', 'mobile', 'charged', '/month', 'please', 'confirm', 'replying', 'yes', 'reply', 'charged']","(1024,[89,92,119,237,377,447,521,606,789,835,887,901],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0])","(1024,[89,92,119,237,377,447,521,606,789,835,887,901],[4.421354976937353,6.228152323529949,3.1836298858065257,3.1288793710351177,6.546606054648484,5.224850214666164,3.7060666705001943,3.6356150095495834,3.526181168504121,3.6288353225642043,3.532297395521557,9.976922873203868])"
39,40,"['yup', 'ok', 'i', 'go', 'home', 'look', 'at', 'the', 'timings', 'then', 'i', 'msg', 'again', 'xuhui', 'going', 'to', 'learn', 'on', 'nd', 'may', 'too', 'but', 'her', 'lesson', 'is', 'at', 'am']",0,"['yup', 'ok', 'go', 'home', 'look', 'timings', 'msg', 'xuhui', 'going', 'learn', 'nd', 'may', 'lesson']","(1024,[149,173,237,298,335,445,485,531,660,881,911,915,934],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1024,[149,173,237,298,335,445,485,531,660,881,911,915,934],[4.5656045857819,4.183396339838003,3.1288793710351177,4.451660326432682,5.535005142970004,2.691153400708732,2.8894752988491277,4.58299632849377,2.9492937940600377,4.841857962410058,5.535005142970004,4.888377978044951,4.5151737321550085])"
40,41,"['oops', ""i'll"", 'let', 'you', 'know', 'when', 'my', ""roommate's"", 'done']",0,"['oops', 'let', 'know', ""roommate's"", 'done']","(1024,[131,354,643,659,700],[1.0,1.0,1.0,1.0,1.0])","(1024,[131,354,643,659,700],[3.4442640460362344,5.129540034861839,3.0313362167264803,4.58299632849377,3.2278848948105665])"
41,42,"['i', 'see', 'the', 'letter', 'b', 'on', 'my', 'car']",0,"['see', 'letter', 'b', 'car']","(1024,[193,396,632,955],[1.0,1.0,1.0,1.0])","(1024,[193,396,632,955],[2.8269549418677937,3.3843005812686773,5.407171771460119,3.19232559277408])"
42,43,"['anything', 'lor', 'u', 'decide']",0,"['anything', 'lor', 'u', 'decide']","(1024,[290,801,819,982],[1.0,1.0,1.0,1.0])","(1024,[290,801,819,982],[3.758513145872737,3.5508737810944924,5.630315322774329,1.776981313694862])"
43,44,"['hello', ""how's"", 'you', 'and', 'how', 'did', 'saturday', 'go', 'i', 'was', 'just', 'texting', 'to', 'see', 'if', ""you'd"", 'decided', 'to', 'do', 'anything', 'tomo', 'not', 'that', ""i'm"", 'trying', 'to', 'invite', 'myself', 'or', 'anything']",0,"['hello', 'saturday', 'go', 'texting', 'see', 'decided', 'anything', 'tomo', 'trying', 'invite', 'anything']","(1024,[195,280,290,296,445,637,752,853,894,955],[1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1024,[195,280,290,296,445,637,752,853,894,955],[5.917997395226109,5.04252865787221,7.517026291745474,4.5656045857819,2.691153400708732,4.6557556827761974,5.015129683684095,4.5317030341062186,4.7140245909001735,3.19232559277408])"
44,45,"['pls', 'go', 'ahead', 'with', 'watts', 'i', 'just', 'wanted', 'to', 'be', 'sure', 'do', 'have', 'a', 'great', 'weekend', 'abiola']",0,"['pls', 'go', 'ahead', 'watts', 'wanted', 'sure', 'great', 'weekend', 'abiola']","(1024,[116,274,360,415,420,445,915,1005,1013],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1024,[116,274,360,415,420,445,915,1005,1013],[3.7282077963774083,4.7140245909001735,3.2415525335392306,5.535005142970004,5.293843086153116,2.691153400708732,4.888377978044951,4.256599743861298,3.8638736615305636])"
45,46,"['did', 'i', 'forget', 'to', 'tell', 'you', 'i', 'want', 'you', 'i', 'need', 'you', 'i', 'crave', 'you', 'but', 'most', 'of', 'all', 'i', 'love', 'you', 'my', 'sweet', 'arabian', 'steed', 'mmmmmm', 'yummy']",0,"['forget', 'tell', 'want', 'need', 'crave', 'love', 'sweet', 'arabian', 'steed', 'mmmmmm', 'yummy']","(1024,[78,112,130,217,241,538,607,816,876,904,990],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1024,[78,112,130,217,241,538,607,816,876,904,990],[5.630315322774329,3.255409568200657,3.8302570507315785,3.009276498661748,3.9165173950159855,3.5384512610959353,5.630315322774329,3.201097578846917,4.841857962410058,5.367951058306837,4.498913211283228])"
