,mon,dom,dow,carrier,flight,org,depart,duration,delay,km,features
171,1,28,4,AA,789,ORD,15.83,160,-9.0,1429.0,[1429.0]
172,1,28,4,AA,1442,ORD,16.58,105,45.0,985.0,[985.0]
173,1,28,4,AA,2079,ORD,8.33,265,-14.0,2773.0,[2773.0]
174,1,28,4,B6,625,JFK,13.17,245,145.0,2298.0,[2298.0]
175,1,28,4,OO,5954,ORD,7.5,79,4.0,520.0,[520.0]
176,1,29,5,HA,549,OGG,18.75,34,-9.0,161.0,[161.0]
177,1,29,5,OO,5966,ORD,8.23,58,72.0,280.0,[280.0]
178,1,29,5,UA,1234,ORD,18.67,119,58.0,1260.0,[1260.0]
179,2,1,6,OH,5089,JFK,6.0,138,25.0,948.0,[948.0]
180,2,2,0,HA,305,OGG,12.0,34,-5.0,161.0,[161.0]
181,2,2,0,UA,678,ORD,11.0,126,27.0,1180.0,[1180.0]
182,2,2,0,WN,2359,SMF,20.58,75,42.0,626.0,[626.0]
183,2,3,1,AA,1957,SFO,21.42,80,89.0,542.0,[542.0]
184,2,3,1,OH,5033,LGA,9.25,172,-19.0,1162.0,[1162.0]
185,2,3,1,UA,557,ORD,9.78,190,15.0,1870.0,[1870.0]
186,2,4,2,AA,1722,ORD,13.17,70,,415.0,[415.0]
187,2,4,2,UA,658,ORD,18.0,142,40.0,1157.0,[1157.0]
188,2,4,2,WN,3683,SJC,15.0,80,-6.0,621.0,[621.0]
189,2,5,3,AA,2098,ORD,16.0,135,3.0,1395.0,[1395.0]
190,2,5,3,B6,193,JFK,10.5,355,-6.0,3618.0,[3618.0]
191,2,5,3,B6,1309,JFK,17.58,95,9.0,367.0,[367.0]
192,2,5,3,OO,5801,ORD,6.5,151,-7.0,1291.0,[1291.0]
193,2,5,3,WN,1286,SMF,20.67,110,2.0,974.0,[974.0]
194,2,5,3,WN,2646,SJC,13.58,105,-6.0,916.0,[916.0]
195,2,6,4,B6,15,JFK,16.92,200,40.0,1720.0,[1720.0]
196,2,6,4,B6,1061,JFK,8.08,267,-2.0,2449.0,[2449.0]
197,2,6,4,UA,818,ORD,21.0,121,-18.0,1157.0,[1157.0]
198,2,7,5,AA,751,LGA,14.75,240,86.0,2235.0,[2235.0]
199,2,7,5,AA,1918,ORD,20.0,125,98.0,1157.0,[1157.0]
200,2,7,5,OO,6250,ORD,21.33,83,38.0,460.0,[460.0]
201,2,7,5,WN,1356,SMF,8.83,90,-9.0,771.0,[771.0]
202,2,8,6,AA,1058,ORD,19.08,175,25.0,1841.0,[1841.0]
203,2,8,6,AA,2103,LGA,6.17,180,6.0,1765.0,[1765.0]
204,2,8,6,UA,1240,SMF,10.6,139,1.0,1464.0,[1464.0]
205,2,9,0,B6,27,JFK,13.67,173,45.0,1654.0,[1654.0]
206,2,9,0,OO,5548,SFO,18.03,92,3.0,529.0,[529.0]
207,2,9,0,OO,5946,ORD,15.4,121,24.0,946.0,[946.0]
208,2,9,0,UA,36,SFO,7.08,120,19.0,1093.0,[1093.0]
209,2,10,1,AA,699,JFK,9.58,235,4.0,2570.0,[2570.0]
210,2,10,1,OH,5673,LGA,11.0,151,39.0,1032.0,[1032.0]
211,2,10,1,OO,6724,ORD,16.7,48,53.0,135.0,[135.0]
212,2,11,2,B6,861,JFK,21.67,178,20.0,1617.0,[1617.0]
213,2,11,2,UA,15,JFK,15.67,394,-35.0,4162.0,[4162.0]
214,2,11,2,UA,381,ORD,10.6,268,89.0,2866.0,[2866.0]
215,2,11,2,UA,602,ORD,7.0,105,-7.0,985.0,[985.0]
216,2,11,2,WN,1340,SMF,9.5,80,-7.0,600.0,[600.0]
217,2,11,2,WN,3938,SJC,20.92,75,-4.0,550.0,[550.0]
218,2,12,3,AA,2352,ORD,16.67,139,14.0,1191.0,[1191.0]
219,2,12,3,UA,392,ORD,19.67,107,54.0,956.0,[956.0]
220,2,13,4,AA,775,LGA,8.5,195,-2.0,1765.0,[1765.0]
221,2,14,5,AA,1243,ORD,9.17,270,-14.0,2770.0,[2770.0]
222,2,14,5,OO,5855,ORD,7.65,56,-18.0,257.0,[257.0]
223,2,14,5,OO,6083,ORD,17.25,102,43.0,750.0,[750.0]
224,2,14,5,WN,276,SJC,21.92,75,17.0,496.0,[496.0]
225,2,15,6,AA,1268,SMF,11.83,195,8.0,2303.0,[2303.0]
226,2,16,0,UA,322,SFO,10.72,121,25.0,1093.0,[1093.0]
227,2,17,1,AA,1540,TUS,14.5,130,21.0,1308.0,[1308.0]
228,2,17,1,AA,2360,ORD,19.58,90,107.0,538.0,[538.0]
229,2,17,1,UA,1582,SFO,19.5,91,-4.0,666.0,[666.0]
230,2,17,1,WN,3953,SFO,10.42,90,-17.0,719.0,[719.0]
231,2,18,2,AA,1513,ORD,18.83,160,156.0,1429.0,[1429.0]
232,2,18,2,UA,180,SFO,22.17,329,40.0,4352.0,[4352.0]
233,2,18,2,UA,522,SFO,22.25,102,23.0,885.0,[885.0]
234,2,18,2,WN,595,SJC,11.0,125,-4.0,1122.0,[1122.0]
235,2,19,3,AA,2098,ORD,16.0,135,107.0,1395.0,[1395.0]
236,2,19,3,OH,5213,LGA,21.75,159,,1324.0,[1324.0]
237,2,19,3,UA,630,SJC,18.63,145,-19.0,1526.0,[1526.0]
238,2,19,3,UA,1454,ORD,13.25,156,91.0,1629.0,[1629.0]
239,2,20,4,OH,5269,LGA,19.0,100,165.0,470.0,[470.0]
240,2,20,4,OH,5594,LGA,17.92,138,96.0,875.0,[875.0]
241,2,20,4,OO,5919,ORD,17.17,101,-6.0,744.0,[744.0]
242,2,20,4,WN,812,SJC,9.17,75,-3.0,550.0,[550.0]
243,2,21,5,AA,375,JFK,17.42,260,48.0,2239.0,[2239.0]
244,2,21,5,AA,1605,ORD,13.75,265,202.0,2773.0,[2773.0]
245,2,21,5,AA,2333,ORD,15.0,155,133.0,1291.0,[1291.0]
246,2,21,5,WN,162,SMF,16.42,75,48.0,626.0,[626.0]
247,2,21,5,WN,507,SMF,20.0,85,-2.0,600.0,[600.0]
248,2,22,6,OO,6186,ORD,8.57,125,97.0,1223.0,[1223.0]
249,2,22,6,WN,3072,SJC,16.0,70,-3.0,536.0,[536.0]
250,2,23,0,AA,1613,ORD,13.0,285,-31.0,2971.0,[2971.0]
251,2,23,0,B6,839,JFK,14.0,175,17.0,1654.0,[1654.0]
252,2,23,0,WN,1052,SJC,14.83,70,5.0,496.0,[496.0]
253,2,25,2,UA,842,ORD,8.28,277,18.0,2971.0,[2971.0]
254,2,27,4,B6,209,JFK,12.08,372,70.0,3967.0,[3967.0]
255,2,27,4,WN,1162,SJC,11.75,105,28.0,999.0,[999.0]
256,2,28,5,UA,395,ORD,19.18,265,5.0,2773.0,[2773.0]
257,2,28,5,WN,1745,SFO,19.5,90,50.0,719.0,[719.0]
258,2,28,5,WN,2993,SMF,6.25,110,-4.0,1041.0,[1041.0]
259,2,29,6,B6,37,JFK,8.17,190,-6.0,1617.0,[1617.0]
260,2,29,6,OO,5963,ORD,13.17,52,4.0,209.0,[209.0]
261,2,29,6,UA,1510,SFO,8.67,117,-6.0,1048.0,[1048.0]
262,2,30,0,OH,5251,LGA,14.75,134,37.0,875.0,[875.0]
263,2,30,0,OH,5469,JFK,16.67,178,62.0,1191.0,[1191.0]
264,2,30,0,UA,608,ORD,10.08,107,-11.0,985.0,[985.0]
265,2,31,1,AA,1417,ORD,14.5,240,38.0,2438.0,[2438.0]
266,2,31,1,B6,202,JFK,17.17,101,53.0,484.0,[484.0]
267,2,31,1,B6,1600,JFK,9.0,94,5.0,441.0,[441.0]
268,2,31,1,UA,835,LGA,8.0,148,26.0,1180.0,[1180.0]
269,2,31,1,US,425,SJC,12.72,112,25.0,999.0,[999.0]
270,3,1,2,AA,313,LGA,8.83,165,20.0,1180.0,[1180.0]
271,3,1,2,OH,5251,LGA,14.75,134,79.0,875.0,[875.0]
272,3,1,2,OO,5932,ORD,14.47,88,12.0,669.0,[669.0]
273,3,1,2,UA,75,SFO,12.75,317,21.0,3859.0,[3859.0]
274,3,2,3,AA,336,ORD,21.58,115,20.0,1180.0,[1180.0]
275,3,2,3,AA,780,ORD,6.25,170,-7.0,1926.0,[1926.0]
276,3,2,3,UA,677,LGA,11.0,160,6.0,1180.0,[1180.0]
277,3,2,3,UA,1142,ORD,13.63,92,-7.0,761.0,[761.0]
278,3,2,3,US,514,SJC,13.83,83,22.0,621.0,[621.0]
279,3,3,4,B6,79,JFK,21.67,172,85.0,1519.0,[1519.0]
280,3,4,5,OO,5845,ORD,8.47,73,40.0,481.0,[481.0]
281,3,4,5,UA,863,ORD,18.5,282,16.0,2971.0,[2971.0]
282,3,5,6,US,1571,ORD,16.42,132,0.0,1091.0,[1091.0]
283,3,5,6,WN,2689,SMF,9.0,105,10.0,974.0,[974.0]
284,3,6,0,B6,53,JFK,13.0,174,21.0,1617.0,[1617.0]
285,3,6,0,UA,580,ORD,10.67,110,13.0,1001.0,[1001.0]
286,3,6,0,UA,1220,SJC,6.83,164,-15.0,1526.0,[1526.0]
287,3,6,0,US,1260,LGA,15.67,100,-25.0,539.0,[539.0]
288,3,6,0,WN,2126,SFO,12.42,120,18.0,1048.0,[1048.0]
289,3,7,1,US,1408,SFO,12.83,302,-29.0,3695.0,[3695.0]
290,3,7,1,WN,2468,SMF,8.42,70,-4.0,576.0,[576.0]
291,3,8,2,OO,6089,ORD,8.58,171,42.0,1675.0,[1675.0]
292,3,8,2,UA,472,ORD,13.28,100,-8.0,850.0,[850.0]
293,3,8,2,WN,1315,SJC,20.67,55,-6.0,303.0,[303.0]
294,3,9,3,AA,368,ORD,13.33,135,,1180.0,[1180.0]
295,3,9,3,UA,337,ORD,8.17,83,18.0,538.0,[538.0]
296,3,9,3,WN,732,SMF,6.0,85,-13.0,772.0,[772.0]
297,3,10,4,UA,34,OGG,12.53,290,77.0,3763.0,[3763.0]
298,3,10,4,WN,329,SJC,20.0,80,31.0,621.0,[621.0]
299,3,11,5,AA,745,LGA,13.75,225,40.0,2235.0,[2235.0]
300,3,11,5,AA,1689,ORD,19.33,255,,2799.0,[2799.0]
301,3,11,5,AA,2090,SFO,11.25,210,,2356.0,[2356.0]
302,3,11,5,UA,498,ORD,14.28,143,28.0,1347.0,[1347.0]
303,3,12,6,AA,21,JFK,19.25,370,41.0,3983.0,[3983.0]
304,3,13,0,AA,1972,ORD,16.33,115,5.0,1041.0,[1041.0]
305,3,13,0,OH,5032,ORD,19.27,74,28.0,425.0,[425.0]
306,3,13,0,US,2169,LGA,10.0,81,,344.0,[344.0]
307,3,14,1,AA,1802,SMF,8.08,195,-4.0,2303.0,[2303.0]
308,3,15,2,AA,580,ORD,20.42,100,25.0,985.0,[985.0]
309,3,15,2,AA,1559,LGA,17.42,190,-12.0,1765.0,[1765.0]
310,3,15,2,OH,5160,JFK,14.98,91,-5.0,463.0,[463.0]
311,3,15,2,OO,5497,SFO,23.08,81,5.0,402.0,[402.0]
312,3,17,4,AA,2333,ORD,15.17,150,54.0,1291.0,[1291.0]
313,3,17,4,AA,2337,ORD,16.08,150,73.0,1291.0,[1291.0]
314,3,17,4,B6,1051,JFK,8.5,111,-23.0,547.0,[547.0]
315,3,18,5,UA,851,LGA,10.0,148,-2.0,1180.0,[1180.0]
316,3,19,6,WN,3044,SFO,19.58,90,-6.0,719.0,[719.0]
317,3,20,0,HA,11,SFO,8.83,310,8.0,3859.0,[3859.0]
318,3,20,0,OH,5525,LGA,22.08,153,15.0,1394.0,[1394.0]
319,3,20,0,UA,366,ORD,13.33,109,0.0,950.0,[950.0]
320,3,21,1,AA,1693,ORD,20.67,260,74.0,2808.0,[2808.0]
321,3,21,1,OO,3973,TUS,15.17,110,-9.0,967.0,[967.0]
322,3,21,1,WN,732,SMF,6.0,85,1.0,772.0,[772.0]
323,3,22,2,AA,1617,LGA,11.0,170,27.0,1529.0,[1529.0]
324,3,22,2,OH,5166,LGA,20.92,128,23.0,941.0,[941.0]
325,3,23,3,OH,5556,JFK,13.67,84,-24.0,430.0,[430.0]
326,3,23,3,OO,5942,ORD,13.17,57,18.0,288.0,[288.0]
327,3,23,3,OO,6356,SFO,21.18,103,4.0,964.0,[964.0]
328,3,23,3,WN,2385,SMF,19.0,80,-1.0,650.0,[650.0]
329,3,24,4,US,38,ORD,18.83,227,21.0,2317.0,[2317.0]
330,3,25,5,UA,835,LGA,8.03,148,2.0,1180.0,[1180.0]
331,3,25,5,UA,870,SFO,13.52,251,60.0,2971.0,[2971.0]
332,3,25,5,WN,1933,SMF,21.25,80,116.0,639.0,[639.0]
333,3,26,6,HA,180,OGG,12.08,31,-8.0,135.0,[135.0]
334,3,27,0,AA,1323,JFK,8.08,150,14.0,1191.0,[1191.0]
335,3,27,0,UA,1506,SFO,18.17,117,-12.0,1048.0,[1048.0]
336,3,28,1,AA,1600,ORD,14.58,75,-5.0,378.0,[378.0]
337,3,28,1,B6,638,SFO,21.42,335,-17.0,4352.0,[4352.0]
338,3,28,1,OO,5497,SFO,23.08,81,-5.0,402.0,[402.0]
339,3,29,2,AA,33,JFK,7.75,360,20.0,3983.0,[3983.0]
340,3,29,2,AA,371,LGA,20.25,145,101.0,1180.0,[1180.0]
341,3,29,2,WN,2807,SMF,16.42,80,-6.0,600.0,[600.0]
342,3,30,3,AA,1904,ORD,18.08,180,31.0,1926.0,[1926.0]
343,4,1,4,UA,2,ORD,6.35,109,-14.0,964.0,[964.0]
344,4,1,4,UA,315,LGA,15.65,266,111.0,2606.0,[2606.0]
345,4,2,5,AA,1823,ORD,9.17,170,110.0,1841.0,[1841.0]
346,4,2,5,B6,42,JFK,11.0,75,-7.0,336.0,[336.0]
347,4,3,6,AA,1341,ORD,7.5,275,-14.0,2971.0,[2971.0]
348,4,3,6,AA,1555,JFK,15.92,180,87.0,1754.0,[1754.0]
349,4,3,6,AA,1608,SFO,23.33,235,-3.0,2971.0,[2971.0]
350,4,4,0,AA,272,SFO,20.83,315,21.0,4160.0,[4160.0]
351,4,4,0,AA,353,LGA,18.42,160,-19.0,1180.0,[1180.0]
352,4,4,0,AA,1268,SMF,11.83,200,-15.0,2303.0,[2303.0]
353,4,4,0,UA,836,ORD,18.0,136,52.0,1180.0,[1180.0]
354,4,4,0,UA,888,SFO,11.5,86,36.0,542.0,[542.0]
355,4,4,0,UA,982,ORD,17.83,116,-2.0,948.0,[948.0]
356,4,5,1,AA,378,ORD,11.75,125,21.0,1180.0,[1180.0]
357,4,5,1,AA,554,SFO,16.33,245,19.0,2971.0,[2971.0]
358,4,5,1,UA,506,SFO,20.73,116,-1.0,1093.0,[1093.0]
359,4,5,1,UA,693,LGA,19.0,156,-20.0,1180.0,[1180.0]
