,mon,dom,dow,carrier,flight,org,mile,depart,duration,delay,org_idx
51,0,8,2,OO,5449,SMF,86,17.17,45,259.0,5.0
52,8,26,5,AA,753,LGA,1389,14.75,240,125.0,3.0
53,4,6,2,UA,1293,SFO,451,13.17,94,-17.0,1.0
54,0,28,1,OO,6669,ORD,1186,10.02,194,29.0,0.0
55,0,8,2,UA,1547,ORD,1515,14.75,240,-18.0,0.0
56,6,8,2,HA,133,OGG,100,9.35,34,-2.0,7.0
57,4,16,5,B6,383,LGA,1076,21.75,162,166.0,3.0
58,1,28,4,AA,789,ORD,888,15.83,160,-9.0,0.0
59,3,19,6,OO,5718,SFO,78,13.27,44,70.0,1.0
60,11,1,1,AA,1659,ORD,403,20.67,90,83.0,0.0
61,9,19,0,AA,437,ORD,334,13.0,90,-8.0,0.0
62,11,1,1,AA,1571,ORD,334,12.17,85,115.0,0.0
63,8,5,5,OO,5985,ORD,323,18.17,80,-4.0,0.0
64,11,9,2,B6,131,JFK,1074,7.33,195,-4.0,2.0
65,3,3,4,UA,1504,SFO,414,10.87,99,53.0,1.0
66,2,25,2,UA,842,ORD,1846,8.28,277,18.0,0.0
67,7,30,6,OO,6016,ORD,738,10.8,132,-16.0,0.0
68,6,12,6,OH,5585,JFK,184,9.0,100,-7.0,2.0
69,6,20,0,AA,2349,ORD,802,18.92,140,40.0,0.0
70,4,17,6,OO,5492,SFO,77,17.25,42,11.0,1.0
71,9,16,4,OH,6675,JFK,213,18.67,109,-4.0,2.0
72,5,12,4,B6,91,JFK,2576,15.92,373,13.0,2.0
73,0,1,2,B6,145,JFK,1074,20.58,204,79.0,2.0
74,1,13,3,US,2189,LGA,214,20.0,82,,3.0
75,4,21,3,HA,19,SMF,2462,8.75,315,36.0,5.0
76,4,19,1,UA,385,ORD,334,15.0,87,181.0,0.0
77,6,19,6,B6,38,JFK,264,13.58,77,86.0,2.0
78,2,27,4,AA,2060,SMF,1431,14.08,195,16.0,5.0
79,8,9,2,UA,695,LGA,733,19.98,163,,3.0
80,2,21,5,AA,1087,ORD,837,20.17,140,72.0,0.0
81,4,27,2,UA,156,ORD,235,15.83,79,-14.0,0.0
82,0,21,1,UA,614,ORD,612,13.0,105,-9.0,0.0
83,6,17,4,OH,5490,JFK,145,14.92,80,15.0,2.0
84,11,5,5,OO,5954,ORD,323,8.02,77,0.0,0.0
85,4,16,5,AA,1720,SJC,1438,9.33,205,16.0,4.0
86,9,14,2,UA,186,SFO,2521,13.95,328,-37.0,1.0
87,1,5,2,AA,761,ORD,258,10.75,65,114.0,0.0
88,1,4,1,WN,2471,TUS,451,9.33,90,58.0,6.0
89,0,7,1,WN,3155,SMF,479,18.92,90,5.0,5.0
90,6,25,5,AA,775,LGA,1097,8.5,185,9.0,3.0
91,0,12,6,WN,943,SJC,417,20.08,75,,4.0
92,0,17,4,OO,6153,ORD,160,16.83,56,,0.0
93,4,15,4,AA,1248,ORD,678,6.67,115,-18.0,0.0
94,10,21,5,UA,148,ORD,678,15.65,130,27.0,0.0
95,4,27,2,HA,529,OGG,100,13.0,34,14.0,7.0
96,5,23,1,AA,1178,SFO,1464,15.17,215,42.0,1.0
97,7,1,5,OH,5657,JFK,541,19.5,136,39.0,2.0
98,9,30,4,UA,863,ORD,1846,18.85,275,61.0,0.0
99,9,6,1,WN,1018,SJC,308,15.25,75,-15.0,4.0
100,9,12,0,UA,519,ORD,299,19.0,77,1.0,0.0
101,3,15,2,OO,5992,ORD,286,6.27,78,34.0,0.0
102,9,17,5,WN,1796,SMF,389,6.0,75,4.0,5.0
103,4,16,5,UA,612,ORD,612,12.0,104,11.0,0.0
104,10,12,3,AA,177,JFK,2586,18.08,405,-23.0,2.0
105,9,18,6,UA,341,ORD,416,9.92,90,-12.0,0.0
106,2,10,1,OH,5105,ORD,264,13.83,75,30.0,0.0
107,7,16,6,UA,322,SFO,679,10.7,124,-19.0,1.0
108,8,16,2,AA,272,SFO,2585,23.33,315,8.0,1.0
109,7,15,5,B6,79,JFK,944,21.33,187,,2.0
110,7,3,0,AA,1297,LGA,761,19.25,150,43.0,3.0
111,7,9,6,OH,5089,JFK,264,10.98,92,22.0,2.0
112,0,4,5,OH,5523,LGA,431,6.92,112,-7.0,3.0
113,10,14,5,UA,292,SFO,2445,12.12,308,0.0,1.0
114,8,17,3,OO,6585,ORD,213,14.93,61,-6.0,0.0
115,0,25,5,UA,36,OGG,2338,22.5,285,29.0,7.0
116,0,12,6,UA,294,SFO,2457,15.2,305,-5.0,1.0
117,0,7,1,HA,155,OGG,100,8.67,34,-1.0,7.0
118,6,31,4,OO,6019,ORD,462,17.57,99,-15.0,0.0
119,5,28,6,OH,5516,JFK,187,22.08,101,129.0,2.0
120,1,26,2,OO,5985,ORD,323,19.83,79,115.0,0.0
121,9,7,2,AA,1291,JFK,1090,5.75,180,30.0,2.0
122,9,1,3,AA,1269,JFK,740,17.33,170,39.0,2.0
123,2,12,3,OO,5655,SMF,86,10.75,50,39.0,5.0
124,2,17,1,UA,1582,SFO,414,19.5,91,-4.0,1.0
125,4,6,2,OO,6164,ORD,222,16.3,63,-8.0,0.0
126,7,14,4,OH,5519,LGA,585,7.75,131,-18.0,3.0
127,0,2,3,AA,1442,ORD,612,16.58,105,82.0,0.0
128,2,16,0,B6,369,LGA,1035,21.08,166,6.0,3.0
129,10,29,6,OO,6015,ORD,557,9.73,117,-32.0,0.0
130,1,19,2,OO,6371,ORD,1013,9.75,176,2.0,0.0
131,10,22,6,WN,1010,SFO,967,18.0,150,-13.0,1.0
132,7,23,6,US,49,SFO,414,9.38,92,-9.0,1.0
133,9,8,3,US,2187,LGA,214,19.0,77,,3.0
134,2,15,6,WN,3115,SMF,389,15.33,75,6.0,5.0
135,3,5,6,UA,682,ORD,733,13.08,137,-20.0,0.0
136,7,28,4,WN,896,SMF,910,18.75,135,24.0,5.0
137,3,23,3,WN,2385,SMF,404,19.0,80,-1.0,5.0
138,1,28,4,B6,625,JFK,1428,13.17,245,145.0,2.0
139,3,16,3,WN,895,SJC,308,8.0,70,6.0,4.0
140,9,12,0,OO,5822,ORD,631,21.07,108,-11.0,0.0
141,0,16,3,AA,779,ORD,1723,10.33,260,-8.0,0.0
142,6,4,5,UA,1504,SFO,414,10.75,97,17.0,1.0
143,10,28,5,AA,2057,ORD,2072,8.5,275,-15.0,0.0
144,6,30,3,OH,5721,LGA,431,12.57,112,-20.0,3.0
145,8,24,3,AA,1797,LGA,1097,7.83,180,8.0,3.0
146,6,24,4,OO,3908,SFO,599,10.2,104,-2.0,1.0
147,10,15,6,B6,1075,JFK,288,16.17,109,258.0,2.0
148,2,12,3,WN,441,SFO,414,6.33,90,-14.0,1.0
149,1,22,5,B6,904,ORD,740,9.33,130,,0.0
150,5,18,3,UA,472,ORD,528,13.12,101,10.0,0.0
151,9,31,5,UA,549,ORD,334,10.88,92,,0.0
152,4,1,4,UA,2,ORD,599,6.35,109,-14.0,0.0
153,9,17,5,AA,2093,LGA,1097,12.17,190,21.0,3.0
154,5,15,0,UA,403,LGA,1619,8.0,259,-13.0,3.0
155,10,21,5,B6,819,JFK,944,14.48,175,2.0,2.0
156,6,9,3,UA,224,SFO,2419,23.32,311,-13.0,1.0
157,1,26,2,OH,5394,LGA,641,20.5,145,74.0,3.0
158,7,18,1,UA,322,SFO,679,10.67,124,78.0,1.0
159,5,16,1,AA,1773,ORD,1118,19.25,170,88.0,0.0
160,3,13,0,UA,21,ORD,1652,11.93,246,192.0,0.0
161,5,14,6,B6,199,JFK,2248,21.08,347,,2.0
162,11,15,1,AA,1931,SFO,337,14.33,85,63.0,1.0
163,3,18,5,AA,791,LGA,1389,21.08,220,50.0,3.0
164,1,24,0,OH,5526,JFK,267,20.83,108,7.0,2.0
165,2,7,5,AA,1869,ORD,258,19.75,70,25.0,0.0
166,0,29,2,UA,685,LGA,733,15.0,158,,3.0
167,2,7,5,WN,1356,SMF,479,8.83,90,-9.0,5.0
168,4,25,0,AA,1670,ORD,1182,8.42,175,60.0,0.0
169,1,10,0,B6,89,JFK,2430,20.08,387,24.0,2.0
170,3,12,6,B6,1315,JFK,228,22.08,90,23.0,2.0
171,6,28,1,OO,5944,ORD,557,15.98,116,-2.0,0.0
172,7,4,1,OO,5985,ORD,323,19.67,80,409.0,0.0
173,11,17,3,OH,6439,ORD,264,12.0,78,43.0,0.0
174,2,21,5,OO,6024,ORD,157,16.42,57,,0.0
175,10,22,6,B6,217,JFK,2465,18.08,405,17.0,2.0
176,4,30,5,WN,1802,SJC,333,21.83,70,51.0,4.0
177,2,28,5,AA,14,OGG,2486,21.25,300,-19.0,7.0
178,1,23,6,B6,713,JFK,1597,6.0,224,24.0,2.0
179,7,16,6,WN,233,SMF,397,20.33,80,34.0,5.0
180,0,27,0,OO,5563,SMF,86,8.48,50,-14.0,5.0
181,7,7,4,AA,14,OGG,2486,21.33,300,-3.0,7.0
182,1,7,4,US,10,ORD,1440,18.83,233,39.0,0.0
183,8,7,0,B6,134,JFK,264,17.42,105,12.0,2.0
184,11,17,3,US,870,ORD,1515,18.83,237,,0.0
185,9,3,5,OH,6789,JFK,766,9.37,162,-8.0,2.0
186,0,25,5,UA,717,ORD,1723,19.92,265,54.0,0.0
187,3,29,2,WN,2807,SMF,373,16.42,80,-6.0,5.0
188,0,11,5,B6,1008,JFK,187,12.83,63,95.0,2.0
189,0,2,3,WN,632,SFO,414,19.42,90,11.0,1.0
190,6,7,1,AA,1345,ORD,1745,14.08,250,75.0,0.0
191,10,17,1,WN,2700,SMF,358,16.33,70,-4.0,5.0
192,0,21,1,AA,423,JFK,1090,11.5,190,5.0,2.0
193,2,15,6,UA,1510,SFO,651,8.67,117,23.0,1.0
194,6,1,2,UA,8,SFO,2586,9.3,342,63.0,1.0
195,8,30,2,UA,253,ORD,888,18.67,152,-17.0,0.0
196,9,1,3,AA,1765,ORD,258,19.25,65,-9.0,0.0
197,1,29,5,OO,5966,ORD,174,8.23,58,72.0,0.0
198,6,23,3,B6,636,SFO,2704,13.58,344,173.0,1.0
199,7,12,2,B6,470,SJC,2689,20.92,330,4.0,4.0
200,8,15,1,UA,664,ORD,137,18.33,50,25.0,0.0
201,8,17,3,US,2163,LGA,214,7.0,69,0.0,3.0
202,4,5,1,HA,595,OGG,100,20.92,34,-10.0,7.0
203,3,27,0,WN,287,SMF,389,7.92,75,-1.0,5.0
204,6,25,5,B6,1002,JFK,187,7.33,75,17.0,2.0
205,1,10,0,AA,1544,ORD,612,18.0,105,58.0,0.0
206,7,3,0,OO,5482,SFO,199,12.98,72,-7.0,1.0
207,11,14,0,WN,129,SJC,308,12.83,75,-12.0,4.0
208,2,20,4,AA,655,JFK,1623,7.17,235,0.0,2.0
209,0,31,4,AA,201,JFK,2475,6.5,375,0.0,2.0
210,0,15,2,WN,2269,SMF,480,11.0,85,4.0,5.0
211,0,5,6,OO,5975,ORD,409,15.75,90,28.0,0.0
212,6,29,2,OO,5966,ORD,174,8.02,56,4.0,0.0
213,11,17,3,UA,512,ORD,594,13.52,105,-13.0,0.0
214,10,21,5,OO,6585,ORD,213,14.93,63,0.0,0.0
215,8,15,1,B6,67,JFK,1069,14.98,189,-8.0,2.0
216,9,12,0,B6,1107,JFK,426,16.58,120,5.0,2.0
217,3,16,3,UA,203,ORD,334,9.12,90,2.0,0.0
218,1,25,1,UA,136,SFO,1846,9.75,254,-4.0,1.0
219,2,7,5,AA,751,LGA,1389,14.75,240,86.0,3.0
220,10,5,3,UA,524,ORD,867,6.85,135,36.0,0.0
221,7,16,6,B6,611,JFK,829,8.67,155,66.0,2.0
222,4,28,3,WN,2730,SJC,308,7.0,75,-4.0,4.0
223,2,18,2,OO,6238,ORD,344,9.55,79,22.0,0.0
224,1,5,2,AA,2361,ORD,802,21.0,140,157.0,0.0
225,8,17,3,UA,399,ORD,299,8.95,72,-24.0,0.0
226,5,11,3,AA,1417,ORD,1515,14.75,225,36.0,0.0
227,4,27,2,AA,2050,ORD,1197,12.5,180,-16.0,0.0
228,10,13,4,OO,5426,SFO,86,22.58,43,-7.0,1.0
229,6,6,0,AA,454,ORD,647,18.25,115,82.0,0.0
230,6,6,0,AA,400,ORD,867,9.75,140,-10.0,0.0
231,4,7,3,AA,2355,ORD,802,20.08,135,48.0,0.0
232,10,8,6,UA,481,ORD,1440,15.13,235,-22.0,0.0
233,9,1,3,HA,175,OGG,100,9.42,34,,7.0
234,4,7,3,UA,130,ORD,137,21.92,48,,0.0
235,2,23,0,AA,745,LGA,1389,13.5,240,31.0,3.0
236,1,27,3,B6,1,JFK,1069,10.92,184,24.0,2.0
237,5,20,5,UA,577,ORD,1781,17.67,259,325.0,0.0
238,4,6,2,AA,1344,TUS,813,11.0,130,31.0,6.0
239,8,6,6,AA,413,ORD,1726,11.75,255,-10.0,0.0
240,4,19,1,UA,1564,ORD,1144,18.5,171,16.0,0.0
241,5,15,0,UA,314,ORD,412,21.55,86,113.0,0.0
242,3,10,4,OH,5357,LGA,604,21.25,134,28.0,3.0
243,11,9,2,OO,6752,ORD,607,6.22,107,-16.0,0.0
244,0,2,3,AA,2079,ORD,1723,8.33,265,-16.0,0.0
245,5,19,4,B6,10,JFK,301,20.67,105,27.0,2.0
246,3,21,1,US,514,SJC,386,13.83,85,-12.0,4.0
247,7,4,1,OH,5436,LGA,834,15.98,169,62.0,3.0
248,11,15,1,OO,5495,SFO,158,22.25,60,18.0,1.0
249,8,14,0,AA,1005,ORD,1739,10.42,265,38.0,0.0
250,6,2,3,US,2144,LGA,185,21.0,72,1.0,3.0
251,2,11,2,B6,59,JFK,944,11.0,173,-6.0,2.0
252,9,23,4,B6,619,JFK,829,20.17,169,-27.0,2.0
253,2,25,2,US,2140,LGA,185,19.0,76,-6.0,3.0
254,2,21,5,WN,162,SMF,389,16.42,75,48.0,5.0
255,6,3,4,WN,383,SMF,389,6.08,75,-4.0,5.0
256,1,3,0,WN,1471,SFO,1855,11.92,240,60.0,1.0
257,6,10,4,WN,2352,SJC,417,8.58,80,-4.0,4.0
258,1,17,0,OO,6016,ORD,738,7.25,133,-26.0,0.0
259,4,6,2,WN,3656,SJC,621,19.58,110,-12.0,4.0
260,1,7,4,OO,6761,ORD,466,20.0,102,-1.0,0.0
261,11,18,4,UA,420,ORD,528,19.38,107,,0.0
262,8,17,3,WN,1940,SFO,447,19.17,85,-3.0,1.0
263,6,8,2,OH,5530,JFK,199,8.67,98,20.0,2.0
264,4,29,4,UA,608,ORD,612,10.0,107,,0.0
265,5,14,6,WN,3782,SJC,621,15.5,110,-2.0,4.0
266,11,30,2,OO,5796,SFO,153,19.05,62,-15.0,1.0
267,11,27,6,UA,139,ORD,1846,9.83,289,21.0,0.0
268,9,22,3,OO,3920,SJC,585,6.0,114,-6.0,4.0
269,11,12,5,UA,289,ORD,1846,13.27,293,20.0,0.0
270,0,2,3,WN,343,SJC,569,21.42,105,2.0,4.0
271,4,28,3,OH,5649,LGA,431,20.0,114,36.0,3.0
272,5,19,4,AA,1540,TUS,813,14.17,140,47.0,6.0
273,10,6,4,AA,411,ORD,334,13.67,85,,0.0
274,8,25,4,AA,1929,SFO,337,7.58,85,5.0,1.0
275,6,6,0,UA,506,SFO,679,20.73,117,10.0,1.0
276,10,9,0,OH,6504,JFK,145,15.08,75,35.0,2.0
277,11,20,6,OH,6577,JFK,766,9.33,166,184.0,2.0
278,10,21,5,AA,2345,ORD,802,17.42,160,-6.0,0.0
279,3,10,4,UA,188,SFO,2521,22.5,328,-9.0,1.0
280,4,24,6,B6,112,JFK,301,22.92,91,-16.0,2.0
281,7,6,3,UA,72,SFO,372,17.17,93,12.0,1.0
282,2,14,5,US,2138,LGA,185,18.0,74,16.0,3.0
283,10,27,4,AA,1872,ORD,1005,12.67,155,-18.0,0.0
284,3,9,3,WN,732,SMF,480,6.0,85,-13.0,5.0
285,0,8,2,AA,2377,LGA,761,6.5,150,5.0,3.0
286,11,31,3,UA,117,ORD,1721,20.28,275,19.0,0.0
287,6,14,1,HA,133,OGG,100,9.35,34,-2.0,7.0
288,7,15,5,UA,442,ORD,316,19.25,82,-10.0,0.0
289,0,23,3,AA,889,ORD,1745,18.25,270,,0.0
290,0,15,2,B6,172,SMF,2521,0.25,308,0.0,5.0
291,7,10,0,AA,2349,ORD,802,18.92,140,74.0,0.0
292,0,25,5,AA,2345,ORD,802,18.08,155,48.0,0.0
293,2,1,6,OH,5033,LGA,722,9.0,161,-36.0,3.0
294,5,13,5,UA,580,ORD,622,10.53,111,42.0,0.0
295,6,16,3,B6,1301,JFK,228,6.92,90,-30.0,2.0
296,4,14,3,AA,1773,ORD,1118,19.17,185,18.0,0.0
297,2,3,1,WN,1522,SJC,697,18.17,130,-10.0,4.0
298,5,9,1,UA,106,ORD,137,16.52,52,86.0,0.0
299,6,18,5,UA,780,SFO,550,20.97,96,65.0,1.0
300,6,2,3,US,2130,LGA,185,14.0,71,147.0,3.0
301,4,14,3,AA,1659,ORD,403,21.08,80,15.0,0.0
302,7,6,3,AA,895,ORD,888,12.67,145,-3.0,0.0
303,0,27,0,AA,1323,JFK,740,8.58,170,-6.0,2.0
304,7,9,6,WN,226,SJC,417,10.83,80,2.0,4.0
305,1,29,5,OO,6416,SFO,896,12.42,138,26.0,1.0
306,11,19,5,AA,701,LGA,1389,6.0,245,16.0,3.0
307,0,5,6,US,607,ORD,1440,5.0,220,9.0,0.0
308,6,20,0,B6,619,JFK,829,21.0,168,252.0,2.0
309,3,10,4,UA,802,SJC,948,6.52,164,17.0,4.0
310,0,17,4,OO,6703,ORD,491,20.0,102,53.0,0.0
311,2,21,5,AA,1235,ORD,258,18.25,75,105.0,0.0
312,1,19,2,AA,317,LGA,733,9.92,165,,3.0
313,9,15,3,OO,5445,SFO,191,13.83,67,2.0,1.0
314,7,28,4,UA,748,SFO,192,10.2,63,-18.0,1.0
315,9,4,6,AA,2056,TUS,1437,6.83,195,20.0,6.0
316,3,14,1,B6,141,JFK,1074,16.75,200,21.0,2.0
317,11,20,6,AA,1713,LGA,1097,6.75,185,25.0,3.0
318,5,3,2,OO,5451,SFO,250,18.42,81,20.0,1.0
319,7,23,6,OH,5613,JFK,541,13.98,135,21.0,2.0
320,1,24,0,B6,648,SFO,2586,23.08,325,-14.0,1.0
321,4,22,4,AA,380,ORD,733,10.83,135,18.0,0.0
322,0,11,5,B6,95,JFK,2576,20.83,407,,2.0
323,5,20,5,OO,6098,ORD,240,13.17,71,3.0,0.0
324,0,8,2,AA,397,LGA,733,21.42,140,,3.0
325,10,2,0,US,384,SMF,397,10.13,81,47.0,5.0
326,7,29,5,WN,284,SJC,188,21.17,55,7.0,4.0
327,1,12,2,OO,6004,ORD,116,16.63,51,,0.0
328,4,14,3,UA,704,SFO,550,7.98,102,0.0,1.0
329,4,10,6,AA,1745,ORD,1745,9.75,260,28.0,0.0
330,5,25,3,UA,766,ORD,622,21.75,106,27.0,0.0
331,2,6,4,UA,340,ORD,622,15.75,110,-7.0,0.0
332,6,9,3,US,2191,LGA,214,21.0,78,66.0,3.0
333,6,12,6,WN,481,SJC,308,10.25,75,-8.0,4.0
334,1,3,0,WN,1223,SMF,1790,12.75,235,6.0,5.0
335,9,29,3,OO,6446,ORD,654,18.1,109,3.0,0.0
336,3,14,1,US,31,OGG,2845,22.67,349,-19.0,7.0
337,1,12,2,OO,5474,SFO,250,8.67,79,20.0,1.0
338,10,30,0,B6,65,JFK,1005,11.0,182,84.0,2.0
339,1,22,5,AA,336,ORD,733,21.58,115,44.0,0.0
340,2,1,6,OO,5737,SFO,153,11.08,61,3.0,1.0
341,4,31,6,WN,1890,SMF,480,12.83,85,2.0,5.0
342,4,22,4,UA,55,SFO,2367,13.5,323,32.0,1.0
343,9,14,2,UA,1161,ORD,1437,20.17,224,-20.0,0.0
344,2,26,3,AA,2098,ORD,867,16.0,135,-26.0,0.0
345,2,27,4,AA,1763,ORD,1726,16.83,260,140.0,0.0
346,1,28,4,UA,929,ORD,1739,15.25,266,8.0,0.0
347,1,28,4,UA,602,ORD,612,7.0,105,-1.0,0.0
348,4,22,4,UA,46,OGG,2486,20.42,303,-19.0,7.0
349,7,3,0,AA,2341,ORD,802,16.75,150,61.0,0.0
350,7,22,5,UA,182,ORD,606,13.22,127,-6.0,0.0
351,11,27,6,B6,1002,JFK,187,7.08,75,13.0,2.0
352,5,12,4,AA,1571,ORD,334,11.92,85,2.0,0.0
353,11,4,4,AA,759,LGA,1389,14.83,250,280.0,3.0
354,3,27,0,AA,2057,ORD,2072,8.0,275,12.0,0.0
355,9,24,5,AA,1502,ORD,1012,6.67,155,8.0,0.0
356,9,28,2,UA,226,SFO,337,7.8,87,-20.0,1.0
357,11,22,1,UA,1479,ORD,1440,17.87,235,61.0,0.0
358,9,21,2,AA,1771,ORD,606,15.58,125,-27.0,0.0
359,3,9,3,OO,5553,SFO,329,12.75,92,26.0,1.0
360,1,7,4,US,2114,LGA,185,6.0,60,-15.0,3.0
361,3,26,6,UA,679,ORD,1723,15.25,256,-4.0,0.0
362,0,28,1,AA,751,LGA,1389,14.58,245,-8.0,3.0
363,7,15,5,OO,6023,ORD,491,16.7,98,68.0,0.0
364,5,24,2,WN,108,TUS,451,12.58,90,20.0,6.0
365,1,14,4,OO,6077,ORD,438,16.17,99,1.0,0.0
366,4,3,6,US,90,TUS,110,11.75,49,-14.0,6.0
367,3,10,4,OO,6449,ORD,1249,17.33,204,227.0,0.0
368,6,13,0,OH,5132,JFK,184,16.17,100,,2.0
369,2,21,5,UA,1178,SMF,910,7.15,141,-14.0,5.0
370,1,17,0,AA,1561,ORD,1846,18.58,275,78.0,0.0
371,11,17,3,B6,355,JFK,2465,13.25,379,,2.0
372,2,5,3,UA,725,ORD,802,20.92,150,21.0,0.0
373,6,23,3,UA,658,ORD,719,18.18,154,121.0,0.0
374,5,6,5,B6,470,SJC,2689,20.92,330,-17.0,4.0
375,3,26,6,UA,638,ORD,719,9.0,124,74.0,0.0
376,10,10,1,UA,674,ORD,733,9.07,131,-15.0,0.0
377,6,16,3,WN,1896,SFO,337,12.0,80,25.0,1.0
378,6,19,6,UA,1514,ORD,1182,18.5,187,32.0,0.0
379,0,21,1,UA,332,SMF,1781,13.52,240,139.0,5.0
380,6,1,2,OO,5572,SFO,329,10.47,89,120.0,1.0
381,4,13,2,UA,676,ORD,733,10.08,128,10.0,0.0
382,1,14,4,AA,769,JFK,1597,6.58,230,76.0,2.0
383,10,19,3,B6,363,LGA,1035,7.58,171,-25.0,3.0
384,5,22,0,AA,1323,JFK,740,8.0,155,445.0,2.0
385,5,4,3,AA,1,JFK,2475,9.0,355,115.0,2.0
386,10,23,0,UA,681,LGA,733,13.0,159,-28.0,3.0
387,9,16,4,UA,524,ORD,867,7.33,139,69.0,0.0
388,1,3,0,UA,906,SFO,1846,10.75,254,30.0,1.0
389,1,26,2,UA,851,LGA,733,10.0,160,6.0,3.0
390,4,9,5,AA,1248,ORD,678,6.67,115,63.0,0.0
391,1,22,5,OO,5807,ORD,177,11.17,65,37.0,0.0
392,7,19,2,UA,74,SFO,2419,22.17,307,17.0,1.0
393,9,28,2,B6,709,JFK,1597,6.0,223,10.0,2.0
394,7,10,0,AA,380,ORD,733,10.83,135,,0.0
395,1,10,0,AA,6,OGG,3711,18.17,415,16.0,7.0
396,2,21,5,WN,2537,SFO,337,19.08,85,-15.0,1.0
397,10,24,1,AA,1503,ORD,1120,12.08,170,-11.0,0.0
398,4,6,2,WN,454,SMF,358,18.92,70,2.0,5.0
399,1,4,1,UA,1547,ORD,1515,14.75,240,41.0,0.0
400,7,19,2,UA,1675,ORD,2072,8.25,291,-21.0,0.0
401,4,9,5,UA,194,ORD,264,21.33,70,19.0,0.0
402,4,26,1,UA,1410,ORD,177,14.0,65,-1.0,0.0
403,10,3,1,US,909,ORD,599,7.75,114,-10.0,0.0
404,9,6,1,HA,157,OGG,100,12.18,34,-12.0,7.0
405,3,25,5,WN,1933,SMF,397,21.25,80,116.0,5.0
406,8,16,2,B6,31,JFK,944,10.92,162,-5.0,2.0
407,9,23,4,B6,1069,JFK,1522,20.17,263,-10.0,2.0
408,10,27,4,UA,704,SFO,550,7.33,109,-14.0,1.0
409,2,3,1,OH,5440,JFK,106,18.5,88,-35.0,2.0
410,3,9,3,AA,321,LGA,733,11.5,150,,3.0
