,year,month,day,dep_time,dep_delay,arr_time,arr_delay,carrier,tailnum,flight,origin,dest,air_time,distance,hour,minute
51,2014,6,11,750,-10,1009,-11,AS,N799AS,568,PDX,LAX,118,834,7,50
52,2014,3,13,2201,1,554,-14,UA,N37468,1275,SEA,EWR,268,2402,22,1
53,2014,8,8,2011,11,2216,11,AS,N565AS,326,SEA,SJC,104,697,20,11
54,2014,9,4,830,-5,1647,-23,AS,N583AS,12,SEA,BOS,285,2496,8,30
55,2014,9,15,1025,-5,1259,-5,AS,N585AS,85,SEA,ANC,181,1448,10,25
56,2014,6,13,2233,53,2359,38,AS,N577AS,372,SEA,SMF,68,605,22,33
57,2014,5,2,1253,-2,1452,-3,AS,N516AS,324,SEA,SJC,107,697,12,53
58,2014,12,9,936,-14,1215,-25,OO,N225AG,3492,PDX,SLC,82,630,9,36
59,2014,5,22,1018,-3,1621,1,UA,N559UA,732,PDX,ORD,211,1739,10,18
60,2014,3,20,1200,-8,1239,-7,OO,N569SW,5411,PDX,EUG,30,106,12,0
61,2014,7,13,2125,-5,2216,-8,AS,N315AS,694,SEA,GEG,37,224,21,25
62,2014,1,15,808,-2,1011,1,WN,N364SW,207,SEA,OAK,104,672,8,8
63,2014,10,12,1836,-4,2200,-15,OO,N219AG,3498,SEA,COS,123,1068,18,36
64,2014,2,18,554,-1,1151,-19,UA,N37419,1445,SEA,IAH,203,1874,5,54
65,2014,12,11,1057,87,1315,112,OO,N918SW,6328,PDX,SFO,118,550,10,57
66,2014,7,5,2224,-1,48,-20,AS,N459AS,143,PDX,ANC,185,1542,22,24
67,2014,5,16,746,-4,1021,-12,AS,N622AS,634,SEA,PHX,135,1107,7,46
68,2014,11,19,601,1,1129,-16,AA,N4YJAA,1534,PDX,DFW,189,1616,6,1
69,2014,3,19,1750,5,2027,-5,US,N640AW,496,SEA,PHX,137,1107,17,50
70,2014,7,7,602,2,806,5,AS,N453AS,200,SEA,SJC,104,697,6,2
71,2014,12,17,2234,223,11,212,UA,N39450,1596,PDX,SFO,76,550,22,34
72,2014,5,12,1424,-6,1631,-5,AS,N532AS,316,SEA,SFO,95,679,14,24
73,2014,8,16,1217,-7,1356,-28,UA,N34282,1574,PDX,SFO,84,550,12,17
74,2014,4,6,1844,-6,2104,-26,AS,N409AS,630,SEA,PHX,124,1107,18,44
75,2014,4,1,1010,-5,1258,-17,HA,N381HA,25,PDX,HNL,328,2603,10,10
76,2014,3,20,704,4,1033,-2,WN,N650SW,397,PDX,ABQ,133,1111,7,4
77,2014,1,22,1528,-9,1851,-14,F9,N941FR,148,SEA,DEN,129,1024,15,28
78,2014,9,28,2041,-9,2251,-7,AS,N552AS,624,PDX,LAS,106,763,20,41
79,2014,2,14,2002,2,2056,1,AS,N788AS,694,SEA,GEG,38,224,20,2
80,2014,4,25,1049,-6,1326,-4,VX,N853VA,784,SEA,LAX,133,954,10,49
81,2014,7,25,739,-1,1020,-5,AS,N442AS,634,SEA,PHX,139,1107,7,39
82,2014,8,25,711,-4,843,-27,WN,N244WN,159,PDX,SJC,77,569,7,11
83,2014,12,26,2337,0,741,-1,DL,N3760C,1358,PDX,JFK,274,2454,23,37
84,2014,11,25,559,-11,914,-27,F9,N208FR,144,SEA,DEN,112,1024,5,59
85,2014,7,14,2009,44,2336,31,WN,N468WN,1918,SEA,DEN,122,1024,20,9
86,2014,7,1,1959,-6,2224,-17,DL,N6701,1545,SEA,FAI,180,1533,19,59
87,2014,6,29,1347,3,2016,14,UA,N848UA,475,SEA,IAH,215,1874,13,47
88,2014,8,23,831,-4,1639,-3,AS,N435AS,32,SEA,PHL,285,2378,8,31
89,2014,6,27,934,4,1139,9,AS,N794AS,330,SEA,SJC,105,697,9,34
90,2014,1,6,758,-2,1030,-19,AS,N614AS,83,SEA,ANC,193,1448,7,58
91,2014,4,23,1650,9,1924,2,DL,N814DN,1194,PDX,SLC,80,630,16,50
92,2014,7,27,1020,-5,1251,2,AS,N587AS,586,SEA,LAS,130,867,10,20
93,2014,1,11,716,-4,1059,-9,AS,N581AS,642,SEA,PHX,142,1107,7,16
94,2014,10,15,2244,5,607,3,DL,N816DN,2497,PDX,ATL,233,2172,22,44
95,2014,8,6,735,-5,829,-18,AS,N703AS,65,SEA,KTN,98,680,7,35
96,2014,4,12,1248,-2,1836,-14,UA,N435UA,464,PDX,ORD,212,1739,12,48
97,2014,12,1,2210,0,124,11,AS,N538AS,143,PDX,ANC,225,1542,22,10
98,2014,4,30,835,-5,1040,-9,AS,N705AS,382,SEA,SFO,101,679,8,35
99,2014,8,15,1113,-7,1355,-18,AS,N614AS,656,SEA,PHX,140,1107,11,13
100,2014,7,28,1047,-8,1921,11,DL,N713TW,1473,SEA,JFK,269,2422,10,47
101,2014,7,27,925,25,1232,27,AS,N513AS,875,SEA,LIH,343,2701,9,25
102,2014,5,15,2001,0,2041,1,OO,N562SW,5340,PDX,RDM,29,116,20,1
103,2014,9,12,1552,2,1821,-3,AS,N557AS,448,SEA,LAX,130,954,15,52
104,2014,7,23,957,12,1215,-10,AS,N703AS,131,PDX,ANC,188,1542,9,57
105,2014,10,14,1831,-9,2202,-13,OO,N218AG,3498,SEA,COS,132,1068,18,31
106,2014,7,18,541,1,911,-1,UA,N16234,1578,SEA,DEN,131,1024,5,41
107,2014,4,3,550,0,1141,-14,UA,N483UA,655,PDX,IAH,215,1825,5,50
108,2014,2,17,901,-4,1505,6,UA,N407UA,714,PDX,ORD,197,1739,9,1
109,2014,7,8,1301,14,1458,-3,UA,N441UA,816,SEA,SFO,103,679,13,1
110,2014,3,14,1808,8,1936,-9,WN,N968WN,258,PDX,OAK,74,543,18,8
111,2014,7,14,2110,15,2328,4,AS,N320AS,731,SEA,ANC,184,1448,21,10
112,2014,7,31,1223,8,1448,2,DL,N3769L,2436,SEA,ANC,190,1448,12,23
113,2014,8,6,1223,-2,1421,-14,OO,N224AG,3470,PDX,SBA,103,784,12,23
114,2014,7,15,1803,14,2354,-5,UA,N803UA,463,SEA,IAH,215,1874,18,3
115,2014,8,3,653,-7,920,-6,AS,N612AS,582,PDX,SNA,133,859,6,53
116,2014,3,10,2222,-13,55,-30,AS,N431AS,143,PDX,ANC,203,1542,22,22
117,2014,6,15,1840,0,2126,-4,WN,N498WN,492,SEA,SLC,90,689,18,40
118,2014,3,20,1452,48,2039,22,UA,N406UA,326,SEA,IAH,207,1874,14,52
119,2014,4,6,1329,4,2159,NA,DL,N130DL,1929,SEA,ATL,NA,2182,13,29
120,2014,7,29,1,2,600,6,UA,N458UA,280,PDX,IAH,217,1825,0,1
121,2014,7,17,2003,-2,2246,6,VX,N624VA,798,SEA,LAX,124,954,20,3
122,2014,10,29,1730,-5,2003,-16,DL,N3764D,952,PDX,SLC,77,630,17,30
123,2014,4,29,1610,60,1928,50,UA,N36207,1072,PDX,DEN,123,991,16,10
124,2014,6,17,1815,10,2017,-3,OO,N216AG,3462,PDX,ONT,105,838,18,15
125,2014,5,31,1342,-2,1434,-1,OO,N582SW,5423,PDX,SEA,32,129,13,42
126,2014,12,13,656,-4,858,-19,B6,N644JB,1121,PDX,LGB,102,846,6,56
127,2014,8,16,853,3,1709,-21,AS,N597AS,774,SEA,TPA,294,2520,8,53
128,2014,8,18,2116,-4,541,18,B6,N536JB,264,SEA,JFK,304,2422,21,16
129,2014,8,11,2233,33,45,17,DL,N391DA,1086,SEA,ANC,174,1448,22,33
130,2014,5,12,1749,-8,1948,-16,UA,N831UA,587,SEA,SFO,99,679,17,49
131,2014,3,14,1029,-6,1615,-15,AS,N323AS,686,PDX,ORD,199,1739,10,29
132,2014,11,24,1204,24,1338,18,WN,N703SW,2342,PDX,SJC,77,569,12,4
133,2014,10,2,1010,0,1345,13,F9,N918FR,788,PDX,DEN,120,991,10,10
134,2014,2,9,837,7,1205,-11,US,N626AW,471,SEA,PHX,129,1107,8,37
135,2014,4,24,1122,-3,1407,2,AS,N778AS,656,SEA,PHX,144,1107,11,22
136,2014,6,14,1623,-7,2149,-26,AA,N3EKAA,1181,SEA,DFW,191,1660,16,23
137,2014,7,9,554,-6,746,4,AS,N565AS,406,PDX,SJC,92,569,5,54
138,2014,8,18,1559,-1,1649,-3,OO,N824SK,4500,PDX,SEA,27,129,15,59
139,2014,5,7,2228,-2,2333,-5,OO,N295SW,5437,PDX,LMT,51,241,22,28
140,2014,10,1,1717,-8,1819,4,OO,N810SK,4546,SEA,PDX,28,129,17,17
141,2014,9,20,601,1,938,-2,WN,N8648A,1421,SEA,DEN,131,1024,6,1
142,2014,3,13,1319,-6,1435,-15,WN,N607SW,3573,PDX,SMF,65,479,13,19
143,2014,3,17,26,-4,518,-19,DL,N539US,2446,SEA,MSP,153,1399,0,26
144,2014,9,10,1308,-2,2109,2,US,N558UW,1857,SEA,CLT,271,2279,13,8
145,2014,10,2,658,-2,848,-22,VX,N521VA,751,SEA,SFO,96,679,6,58
146,2014,11,3,840,0,1703,-17,AS,N462AS,38,SEA,FLL,307,2717,8,40
147,2014,12,28,923,3,1237,-18,WN,N8629A,2195,SEA,DEN,117,1024,9,23
148,2014,8,23,1749,-1,1923,-12,WN,N462WN,1494,SEA,SMF,81,605,17,49
149,2014,8,19,1833,-7,2217,2,OO,N219AG,3498,SEA,COS,140,1068,18,33
150,2014,4,25,628,-2,856,7,AS,N433AS,558,PDX,LAX,124,834,6,28
151,2014,4,18,833,-7,1054,5,AS,N778AS,382,SEA,SFO,100,679,8,33
152,2014,6,27,46,1,552,-1,DL,N126DL,2440,SEA,MSP,166,1399,0,46
153,2014,9,23,900,-5,1124,-13,US,N553UW,630,PDX,PHX,126,1009,9,0
154,2014,5,11,1039,-7,1236,-23,UA,N820UA,698,SEA,SFO,92,679,10,39
155,2014,11,28,1852,-5,2035,-10,UA,N409UA,995,PDX,SFO,92,550,18,52
156,2014,5,5,711,-1,1320,1,UA,N442UA,229,SEA,IAH,227,1874,7,11
157,2014,8,20,933,-1,1645,5,DL,N585NW,1350,SEA,DTW,227,1927,9,33
158,2014,5,5,909,-6,1151,6,AS,N615AS,554,SEA,PSP,142,987,9,9
159,2014,8,18,2055,0,2327,1,AS,N464AS,534,SEA,ONT,129,956,20,55
160,2014,6,22,1233,-7,2049,-11,B6,N632JB,464,SEA,JFK,297,2422,12,33
161,2014,7,6,811,1,1550,-20,AS,N587AS,4,SEA,DCA,263,2329,8,11
162,2014,1,21,633,8,957,-3,WN,N794SW,1631,SEA,DEN,118,1024,6,33
163,2014,6,26,1856,1,2118,-11,AS,N579AS,133,SEA,FAI,182,1533,18,56
164,2014,10,5,1201,16,1402,9,AS,N786AS,306,SEA,SFO,96,679,12,1
165,2014,1,28,648,-2,808,-7,WN,N235WN,1181,PDX,SMF,69,479,6,48
166,2014,4,9,1204,4,1400,0,WN,N658SW,3864,SEA,OAK,100,671,12,4
167,2014,10,9,540,-5,1153,-7,UA,N415UA,428,SEA,IAH,222,1874,5,40
168,2014,7,28,1325,-5,1606,-5,OO,N217AG,3476,SEA,LGB,143,965,13,25
169,2014,3,3,647,-3,1007,-12,AS,N527AS,682,SEA,DEN,119,1024,6,47
170,2014,3,18,1832,-3,2039,-15,AS,N320AS,616,SEA,LAS,112,867,18,32
171,2014,12,1,643,-7,905,-5,AS,N626AS,582,PDX,SNA,126,859,6,43
172,2014,6,28,1829,-1,2023,-17,WN,N453WN,2593,PDX,LAS,102,763,18,29
173,2014,11,20,733,38,912,27,WN,N209WN,476,SEA,SMF,82,605,7,33
174,2014,4,27,1857,42,2055,40,WN,N7744A,661,SEA,OAK,94,671,18,57
175,2014,8,12,1151,6,1746,4,AS,N467AS,670,SEA,AUS,219,1770,11,51
176,2014,7,1,709,9,1528,13,DL,N713TW,2115,SEA,JFK,284,2422,7,9
177,2014,10,16,1948,-7,2130,-2,AS,N588AS,404,PDX,SJC,85,569,19,48
178,2014,7,11,721,-4,1007,2,AS,N556AS,240,SEA,SAN,147,1050,7,21
179,2014,7,5,1647,22,1848,18,WN,N358SW,4784,SEA,OAK,100,671,16,47
180,2014,3,22,1311,1,1840,-14,AS,N318AS,664,SEA,DFW,190,1660,13,11
181,2014,7,18,1120,-4,1453,-5,OO,N932EV,5576,PDX,DEN,129,991,11,20
182,2014,7,5,1350,-5,1855,-14,DL,N960DN,2164,PDX,MSP,169,1426,13,50
183,2014,10,8,1909,-6,2137,1,OO,N806SK,4536,SEA,LAS,118,867,19,9
184,2014,9,22,1037,-3,1219,-6,WN,N756SA,3129,PDX,SJC,89,569,10,37
185,2014,7,9,1521,-2,1600,-7,OO,N295SW,5403,PDX,RDM,28,116,15,21
186,2014,5,30,1407,-3,1635,8,AS,N594AS,606,SEA,LAS,127,867,14,7
187,2014,6,22,1315,-2,1848,18,DL,N138DL,198,SEA,MSP,171,1399,13,15
188,2014,8,19,1347,-3,2134,-15,AS,N566AS,2,SEA,DCA,264,2329,13,47
189,2014,3,31,1057,-3,1339,-16,WN,N621SW,168,SEA,SLC,90,689,10,57
190,2014,1,28,1503,-2,1708,-14,AS,N559AS,528,SEA,BUR,114,937,15,3
191,2014,4,3,2108,13,2246,6,WN,N779SW,1216,SEA,SMF,82,605,21,8
192,2014,6,16,655,-10,912,-12,B6,N552JB,1121,PDX,LGB,112,846,6,55
193,2014,3,7,654,4,1039,20,AS,N524AS,682,SEA,DEN,137,1024,6,54
194,2014,8,18,2311,-4,2348,-5,AS,N586AS,410,SEA,BLI,20,93,23,11
195,2014,9,2,705,-5,950,-15,AS,N442AS,833,PDX,HNL,326,2603,7,5
196,2014,1,26,1445,0,1732,-3,WN,N600WN,988,SEA,SLC,92,689,14,45
197,2014,5,18,826,-4,1428,-2,AA,N3DRAA,1236,SEA,ORD,204,1721,8,26
198,2014,12,28,1705,-10,2046,-42,AS,N517AS,863,PDX,OGG,324,2562,17,5
199,2014,4,11,957,-3,1317,-13,WN,N731SA,761,PDX,DEN,124,991,9,57
200,2014,8,14,1526,-8,1800,-5,OO,N962SW,6235,PDX,LAX,121,834,15,26
201,2014,3,13,1902,-3,2058,-12,WN,N785SW,1565,SEA,SJC,95,697,19,2
202,2014,7,3,2247,-4,610,-20,DL,N666DN,800,SEA,ATL,250,2182,22,47
203,2014,7,19,1038,4,1249,-5,UA,N13716,1292,SEA,SFO,107,679,10,38
204,2014,10,14,612,-8,913,16,AS,N769AS,470,SEA,SAN,156,1050,6,12
205,2014,8,31,1948,-7,2139,-17,OO,N219AG,3490,SEA,FAT,91,748,19,48
206,2014,11,13,700,-5,910,11,UA,N413UA,392,PDX,SFO,86,550,7,0
207,2014,9,26,2339,144,29,142,OO,N822SK,4612,SEA,PDX,29,129,23,39
208,2014,10,12,2125,-7,522,-11,UA,N37267,1695,SEA,EWR,275,2402,21,25
209,2014,4,10,829,-1,1128,-7,AS,N589AS,861,SEA,OGG,332,2640,8,29
210,2014,4,14,1332,-13,1556,-39,AS,N409AS,123,SEA,FAI,185,1533,13,32
211,2014,8,18,1728,-2,1822,0,OO,N586SW,5440,SEA,PDX,41,129,17,28
212,2014,3,18,2118,-7,2312,-14,AS,N548AS,356,SEA,OAK,96,671,21,18
213,2014,9,19,1212,-1,1806,-13,UA,N76514,1081,PDX,IAH,210,1825,12,12
214,2014,11,29,705,5,1042,57,DL,N3768,968,SEA,LAX,130,954,7,5
215,2014,2,23,827,22,1358,8,AA,N4YDAA,1220,PDX,DFW,183,1616,8,27
216,2014,11,17,1752,-3,1954,-8,OO,N223AG,3488,PDX,BUR,105,817,17,52
217,2014,2,4,2053,-7,2144,-4,OO,N223SW,5433,SEA,PDX,29,129,20,53
218,2014,3,4,NA,NA,NA,NA,UA,NA,156,SEA,DEN,NA,1024,NA,NA
219,2014,9,19,1039,-1,1335,-6,AS,N431AS,843,SEA,KOA,332,2688,10,39
220,2014,1,20,657,2,935,10,AS,N323AS,470,SEA,LAX,131,954,6,57
221,2014,6,10,936,1,1210,-4,AS,N612AS,238,SEA,SAN,140,1050,9,36
222,2014,4,19,1356,-4,1623,-12,AS,N536AS,512,SEA,SNA,132,978,13,56
223,2014,6,30,1736,6,1949,-12,OO,N805SK,4820,SEA,LAS,115,867,17,36
224,2014,9,1,1749,-1,1951,-9,OO,N215AG,3488,PDX,BUR,108,817,17,49
225,2014,9,10,1155,5,1420,-5,WN,N299WN,270,PDX,PHX,129,1009,11,55
226,2014,6,4,1753,74,2032,67,DL,N363NW,1194,PDX,SLC,87,630,17,53
227,2014,1,18,1453,-2,1603,4,AS,N706AS,67,SEA,KTN,109,680,14,53
228,2014,2,5,2249,-11,2338,-19,AS,N644AS,698,SEA,GEG,36,224,22,49
229,2014,7,20,1012,-8,1244,-1,AS,N626AS,580,PDX,SNA,129,859,10,12
230,2014,9,28,657,-3,1557,34,DL,N704X,2588,SEA,JFK,311,2422,6,57
231,2014,8,15,1844,-1,2104,-18,AS,N626AS,510,SEA,SNA,128,978,18,44
232,2014,10,13,853,-2,1217,16,AS,N517AS,879,SEA,LIH,358,2701,8,53
233,2014,11,2,911,6,1158,3,AS,N760AS,111,SEA,ANC,207,1448,9,11
234,2014,8,29,1345,0,2056,8,DL,N684DA,2424,SEA,DTW,227,1927,13,45
235,2014,5,27,1753,-4,2002,-2,UA,N440UA,587,SEA,SFO,110,679,17,53
236,2014,4,19,2214,-6,2256,-3,OO,N584SW,5440,PDX,RDM,30,116,22,14
237,2014,10,14,742,-8,1016,7,AS,N306AS,608,SEA,LAS,132,867,7,42
238,2014,12,22,1144,9,1357,-8,B6,N779JB,107,SEA,LGB,115,965,11,44
239,2014,9,5,1049,39,1246,36,AS,N609AS,382,PDX,SFO,97,550,10,49
240,2014,8,24,546,1,1159,3,UA,N585UA,389,SEA,IAH,225,1874,5,46
241,2014,9,23,1636,6,1910,3,DL,N663DN,2622,SEA,LAX,130,954,16,36
242,2014,3,13,1240,5,1511,-2,AS,N788AS,97,SEA,ANC,195,1448,12,40
243,2014,12,9,1647,-3,1834,-1,WN,N790SW,4877,PDX,SJC,95,569,16,47
244,2014,10,8,921,51,1502,38,AS,N319AS,28,SEA,ORD,194,1721,9,21
245,2014,10,16,1115,0,1719,-26,WN,N8318F,4196,SEA,BNA,225,1978,11,15
246,2014,11,25,1226,6,1325,8,AS,N318AS,684,SEA,GEG,32,224,12,26
247,2014,4,29,529,-6,840,-27,UA,N37465,1202,PDX,DEN,115,991,5,29
248,2014,2,3,553,-7,836,-27,DL,N663DN,1634,SEA,SLC,85,689,5,53
249,2014,3,20,1033,-2,1609,-21,AS,N407AS,686,PDX,ORD,193,1739,10,33
250,2014,7,11,2043,-2,2307,5,AS,N585AS,614,SEA,LAS,126,867,20,43
251,2014,10,6,2146,111,2350,115,AS,N799AS,336,SEA,SJC,104,697,21,46
252,2014,5,16,731,-4,1454,-26,DL,N1605,128,SEA,ATL,239,2182,7,31
253,2014,3,21,1729,-1,1951,0,OO,N822SK,4659,PDX,LAX,116,834,17,29
254,2014,6,14,1833,8,2047,2,AS,N706AS,616,SEA,LAS,118,867,18,33
255,2014,5,10,2253,13,454,4,UA,N16234,1129,SEA,IAH,220,1874,22,53
256,2014,10,3,1313,-2,1547,1,DL,N750AT,677,SEA,LAX,126,954,13,13
257,2014,8,24,650,-10,736,-18,OO,N817SK,4690,PDX,SEA,31,129,6,50
258,2014,3,17,1745,0,1943,-11,OO,N224AG,3488,PDX,BUR,103,817,17,45
259,2014,2,12,NA,NA,NA,NA,AS,N527AS,2,SEA,DCA,NA,2329,NA,NA
260,2014,3,26,905,0,1027,-3,WN,N660SW,1921,PDX,SMF,69,479,9,5
261,2014,7,1,NA,NA,NA,NA,WN,N8323C,2485,SEA,MDW,NA,1733,NA,NA
262,2014,9,23,559,-1,1306,-8,DL,N824DN,822,SEA,DTW,226,1927,5,59
263,2014,1,17,2219,-6,49,-36,AS,N564AS,145,PDX,ANC,186,1542,22,19
264,2014,1,4,2204,164,109,149,F9,N924FR,794,PDX,DEN,111,991,22,4
265,2014,2,9,1019,-1,1639,11,AS,N433AS,730,SEA,IAH,228,1874,10,19
266,2014,8,1,1322,-4,1526,-14,UA,N822UA,816,SEA,SFO,102,679,13,22
267,2014,7,3,1009,-4,1341,-6,F9,N214FR,138,SEA,DEN,131,1024,10,9
268,2014,9,4,809,44,954,25,AS,N513AS,244,PDX,SFO,81,550,8,9
269,2014,5,2,1022,-3,1408,38,AS,N508AS,843,SEA,KOA,378,2688,10,22
270,2014,11,26,1830,25,2141,1,WN,N922WN,2056,SEA,DEN,114,1024,18,30
271,2014,5,12,1324,-1,1516,-14,WN,N647SW,1716,SEA,SJC,100,697,13,24
272,2014,11,25,1557,4,2355,-15,UA,N27239,1710,SEA,EWR,269,2402,15,57
273,2014,12,21,1524,19,1745,10,VX,N529VA,796,SEA,LAX,119,954,15,24
274,2014,11,19,1028,-1,1355,-1,OO,N782SK,5576,PDX,DEN,121,991,10,28
275,2014,4,27,722,-3,935,-16,AS,N579AS,530,SEA,ONT,117,956,7,22
276,2014,9,3,1312,-3,1803,-24,DL,N129DL,198,SEA,MSP,152,1399,13,12
277,2014,8,7,717,-3,1044,-6,UA,N37462,1610,PDX,DEN,129,991,7,17
278,2014,8,26,1851,-4,2137,9,AS,N590AS,133,SEA,FAI,199,1533,18,51
279,2014,2,27,1426,-4,1645,-6,AS,N609AS,608,SEA,LAS,113,867,14,26
280,2014,11,2,1001,-9,1520,-11,AS,N431AS,752,SEA,MCI,180,1489,10,1
281,2014,2,5,1823,-2,2046,-9,AS,N524AS,464,SEA,LAX,120,954,18,23
282,2014,8,25,1211,26,1423,29,AS,N756AS,306,SEA,SFO,94,679,12,11
283,2014,3,2,1316,71,1414,74,AS,N516AS,674,SEA,GEG,37,224,13,16
284,2014,3,23,514,-1,709,-20,OO,N790SK,5488,SEA,SFO,96,679,5,14
285,2014,8,9,1841,6,1942,14,AS,N706AS,69,SEA,KTN,98,680,18,41
286,2014,11,19,1100,5,1655,5,UA,N36469,1281,PDX,ORD,208,1739,11,0
287,2014,12,8,1738,-7,2018,-1,AS,N577AS,480,SEA,SAN,136,1050,17,38
288,2014,1,28,1545,-5,1754,-10,AS,N767AS,588,PDX,PSP,112,873,15,45
289,2014,2,22,1348,46,1637,51,UA,N36444,1192,SEA,ANC,213,1448,13,48
290,2014,3,11,640,-5,903,-23,AS,N457AS,550,SEA,PSP,125,987,6,40
291,2014,6,25,1926,-9,2150,-5,AS,N527AS,524,SEA,BUR,127,937,19,26
292,2014,6,5,837,-3,1100,13,AS,N703AS,382,SEA,SFO,102,679,8,37
293,2014,12,1,630,0,1221,-9,WN,N8600F,3558,SEA,MDW,203,1733,6,30
294,2014,1,26,1937,-8,2153,-23,AS,N622AS,518,SEA,SNA,122,978,19,37
295,2014,12,11,1639,54,2221,51,AA,N3FDAA,2335,SEA,DFW,205,1660,16,39
296,2014,12,7,821,61,1034,65,AS,N423AS,222,SEA,SFO,114,679,8,21
297,2014,8,22,1311,6,1528,-4,AS,N459AS,578,SEA,LAS,108,867,13,11
