,tailnum,year,type,manufacturer,model,engines,seats,speed,engine
108,N17229,1999,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
109,N17233,1999,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
110,N17244,1999,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
111,N17245,1999,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
112,N172DN,1990,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
113,N172DZ,1998,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
114,N172US,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
115,N173DZ,1998,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
116,N173US,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
117,N174DN,1990,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
118,N174DZ,1998,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
119,N174US,NA,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
120,N175DN,1990,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
121,N175DZ,1999,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
122,N176DN,1990,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
123,N176DZ,1999,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
124,N176UW,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
125,N17719,1999,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-jet
126,N17730,1999,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-jet
127,N177DN,1991,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
128,N177DZ,1999,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
129,N177US,NA,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
130,N178DN,1991,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
131,N178DZ,2000,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
132,N178US,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
133,N179DN,1991,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
134,N179UW,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
135,N180US,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
136,N181DN,1992,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
137,N181UW,NA,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
138,N18220,1998,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
139,N18223,1998,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
140,N18243,1999,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
141,N182DN,1992,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
142,N182UW,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
143,N183DN,1993,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
144,N183UW,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
145,N184DN,1993,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
146,N184US,2002,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
147,N185DN,1995,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
148,N185UW,2002,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
149,N186DN,1995,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
150,N186US,2002,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
151,N187PQ,2008,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
152,N187US,2002,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
153,N188DN,1996,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
154,N188US,2002,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
155,N189DN,1997,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
156,N189UW,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
157,N190DN,1997,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
158,N190UW,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
159,N191UW,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
160,N192DN,1997,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
161,N192UW,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A321-211,2,199,NA,Turbo-jet
162,N193DN,1997,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
163,N193UW,2008,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
164,N194DN,1997,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
165,N194UW,NA,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
166,N195UW,2008,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
167,N196UW,2009,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
168,N197DN,1997,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
169,N197UW,2009,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
170,N198DN,1998,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
171,N198UW,2013,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
172,N199DN,1998,Fixed wing multi engine,BOEING,767-332,2,330,NA,Turbo-fan
173,N199UW,2013,Fixed wing multi engine,AIRBUS,A321-211,2,199,NA,Turbo-fan
174,N200WN,2005,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
175,N201AA,1959,Fixed wing single engine,CESSNA,150,1,2,90,Reciprocating
176,N201FR,2008,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
177,N201LV,2005,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
178,N202AA,1980,Fixed wing multi engine,CESSNA,421C,2,8,90,Reciprocating
179,N202FR,2008,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
180,N202WN,2005,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
181,N203FR,2002,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
182,N203WN,2005,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
183,N204FR,2004,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
184,N204WN,2005,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
185,N205FR,2010,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
186,N205WN,2005,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
187,N206FR,2010,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
188,N206WN,2005,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
189,N207FR,2010,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
190,N207UW,2001,Fixed wing multi engine,BOEING,757-28A,2,249,NA,Turbo-fan
191,N207WN,2005,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
192,N208FR,2011,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
193,N208WN,2005,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
194,N209FR,2011,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
195,N209WN,2005,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
196,N210FR,2011,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
197,N210WN,2005,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
198,N211FR,2011,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
199,N211WN,2005,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
200,N212WN,2005,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
201,N213FR,2011,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
202,N213WN,2005,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
203,N214FR,2011,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
204,N214WN,2005,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
205,N215AG,2001,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
206,N215WN,2005,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
207,N216AG,2001,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
208,N216FR,2011,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
209,N216WR,2005,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
210,N21723,1999,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-jet
211,N217AG,2001,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
212,N217JC,2005,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
213,N217SW,1993,Fixed wing multi engine,EMBRAER,EMB-120ER,2,32,NA,Turbo-prop
214,N218AG,2005,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
215,N218FR,2001,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
216,N218WN,2005,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
217,N219AG,2006,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
218,N219FR,2002,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
219,N219WN,2005,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
220,N220FR,2013,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
221,N220WN,2005,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
222,N221FR,2007,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
223,N221SW,1994,Fixed wing multi engine,EMBRAER,EMB-120ER,2,32,NA,Turbo-prop
224,N221WN,2005,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
225,N222WN,2005,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
226,N223AG,2001,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
227,N223FR,2006,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
228,N223SW,1995,Fixed wing multi engine,EMBRAER,EMB-120ER,2,32,NA,Turbo-prop
229,N223WN,2005,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
230,N224AG,2001,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
231,N224SW,1995,Fixed wing multi engine,EMBRAER,EMB-120ER,2,32,NA,Turbo-prop
232,N224WN,2005,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
233,N225AG,2001,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
234,N225WN,2005,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
235,N226WN,2005,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
236,N227AG,2001,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
237,N227FR,2014,Fixed wing multi engine,AIRBUS,A320-214,2,182,NA,Turbo-fan
238,N227WN,2005,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
239,N228WN,2005,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
240,N229SW,1995,Fixed wing multi engine,EMBRAER,EMB-120ER,2,32,NA,Turbo-prop
241,N229WN,2006,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
242,N230WN,2006,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
243,N231WN,2006,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
244,N232WN,2006,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
245,N233LV,2006,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
246,N233SW,1995,Fixed wing multi engine,EMBRAER,EMB-120ER,2,32,NA,Turbo-prop
247,N234SW,1996,Fixed wing multi engine,EMBRAER,EMB-120ER,2,32,NA,Turbo-prop
248,N234WN,2006,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
249,N235SW,0,Fixed wing multi engine,EMBRAER,EMB-120ER,2,32,NA,Turbo-prop
250,N235WN,2006,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
251,N236WN,2006,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
252,N23707,1998,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-jet
253,N23708,1998,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-jet
254,N23721,1999,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-jet
255,N237SW,1996,Fixed wing multi engine,EMBRAER,EMB-120ER,2,32,NA,Turbo-prop
256,N237WN,2006,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
257,N238WN,2005,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
258,N239WN,2006,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
259,N240WN,2006,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
260,N241WN,2006,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
261,N24202,2000,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
262,N24211,1998,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
263,N24212,1998,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
264,N24224,1998,Fixed wing multi engine,BOEING,737-824,2,149,NA,Turbo-fan
265,N242WN,2006,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
266,N243WN,2006,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
267,N244WN,2006,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
268,N245WN,2006,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
269,N246LV,2006,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
270,N24702,1998,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-jet
271,N24706,1998,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-jet
272,N24715,1998,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-jet
273,N24729,1999,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-jet
274,N247WN,2006,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
275,N248WN,2006,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
276,N249WN,2006,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
277,N250WN,2006,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
278,N251WN,2006,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
279,N252WN,2006,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
280,N253WN,2006,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
281,N254WN,2006,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
282,N255WN,2006,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
283,N256WN,2006,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
284,N25705,1998,Fixed wing multi engine,BOEING,737-724,2,149,NA,Turbo-jet
285,N257WN,2006,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
286,N258WN,2006,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
287,N259WN,2006,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
288,N260WN,2006,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
289,N261WN,2006,Fixed wing multi engine,BOEING,737-7H4,2,140,NA,Turbo-fan
