,Date,Rainfall,Month Number,Month
122,2020-02-05,0.0,2,February
123,2020-03-05,0.0,3,March
124,2020-04-05,0.0,4,April
125,2020-05-05,11.4,5,May
126,2020-06-05,0.0,6,June
127,2020-07-05,0.0,7,July
128,2020-08-05,0.0,8,August
129,2020-09-05,0.0,9,September
130,2020-10-05,0.0,10,October
131,2020-11-05,0.0,11,November
133,2020-05-13,0.0,5,May
134,2020-05-14,0.0,5,May
135,2020-05-15,14.0,5,May
136,2020-05-16,8.0,5,May
137,2020-05-17,0.6,5,May
138,2020-05-18,0.1,5,May
139,2020-05-19,5.0,5,May
140,2020-05-20,0.0,5,May
141,2020-05-21,0.0,5,May
142,2020-05-22,22.8,5,May
143,2020-05-23,3.2,5,May
144,2020-05-24,0.6,5,May
145,2020-05-25,0.4,5,May
146,2020-05-26,53.0,5,May
147,2020-05-27,7.0,5,May
148,2020-05-28,0.0,5,May
149,2020-05-29,1.0,5,May
150,2020-05-30,5.6,5,May
151,2020-05-31,0.0,5,May
153,2020-02-06,4.6,2,February
154,2020-03-06,0.1,3,March
155,2020-04-06,0.0,4,April
156,2020-05-06,0.0,5,May
157,2020-06-06,0.0,6,June
158,2020-07-06,0.0,7,July
159,2020-08-06,20.4,8,August
160,2020-09-06,5.4,9,September
161,2020-10-06,4.8,10,October
162,2020-11-06,8.4,11,November
164,2020-06-13,5.8,6,June
165,2020-06-14,9.6,6,June
166,2020-06-15,0.1,6,June
167,2020-06-16,0.0,6,June
168,2020-06-17,0.0,6,June
169,2020-06-18,1.6,6,June
170,2020-06-19,0.0,6,June
171,2020-06-20,0.0,6,June
172,2020-06-21,5.4,6,June
173,2020-06-22,0.6,6,June
174,2020-06-23,0.0,6,June
175,2020-06-24,0.0,6,June
176,2020-06-25,0.0,6,June
177,2020-06-26,0.0,6,June
178,2020-06-27,0.4,6,June
179,2020-06-28,0.4,6,June
180,2020-06-29,9.6,6,June
181,2020-06-30,2.2,6,June
183,2020-02-07,0.0,2,February
184,2020-03-07,0.0,3,March
185,2020-04-07,1.6,4,April
186,2020-05-07,0.4,5,May
187,2020-06-07,0.0,6,June
188,2020-07-07,0.0,7,July
189,2020-08-07,9.4,8,August
190,2020-09-07,0.2,9,September
191,2020-10-07,0.0,10,October
192,2020-11-07,4.6,11,November
194,2020-07-13,4.8,7,July
195,2020-07-14,18.0,7,July
196,2020-07-15,9.0,7,July
197,2020-07-16,0.0,7,July
198,2020-07-17,0.8,7,July
199,2020-07-18,1.3,7,July
200,2020-07-19,0.0,7,July
201,2020-07-20,0.0,7,July
202,2020-07-21,0.0,7,July
203,2020-07-22,0.0,7,July
204,2020-07-23,0.0,7,July
205,2020-07-24,0.0,7,July
206,2020-07-25,0.0,7,July
207,2020-07-26,4.0,7,July
208,2020-07-27,73.6,7,July
209,2020-07-28,50.0,7,July
210,2020-07-29,2.2,7,July
211,2020-07-30,0.0,7,July
212,2020-07-31,0.0,7,July
214,2020-02-08,0.0,2,February
215,2020-03-08,0.0,3,March
216,2020-04-08,0.0,4,April
217,2020-05-08,0.0,5,May
218,2020-06-08,0.0,6,June
219,2020-07-08,0.0,7,July
220,2020-08-08,18.2,8,August
221,2020-09-08,2.6,9,September
222,2020-10-08,36.6,10,October
223,2020-11-08,2.2,11,November
225,2020-08-13,1.2,8,August
226,2020-08-14,0.0,8,August
227,2020-08-15,4.4,8,August
228,2020-08-16,1.4,8,August
229,2020-08-17,0.0,8,August
230,2020-08-18,0.0,8,August
231,2020-08-19,0.0,8,August
232,2020-08-20,0.2,8,August
233,2020-08-21,0.0,8,August
234,2020-08-22,0.0,8,August
235,2020-08-23,0.0,8,August
236,2020-08-24,0.0,8,August
237,2020-08-25,0.0,8,August
238,2020-08-26,0.0,8,August
239,2020-08-27,0.0,8,August
240,2020-08-28,0.0,8,August
241,2020-08-29,0.0,8,August
242,2020-08-30,0.0,8,August
243,2020-08-31,0.0,8,August
245,2020-02-09,0.0,2,February
246,2020-03-09,0.0,3,March
247,2020-04-09,0.0,4,April
248,2020-05-09,8.0,5,May
249,2020-06-09,0.0,6,June
250,2020-07-09,0.0,7,July
251,2020-08-09,0.0,8,August
252,2020-09-09,0.4,9,September
253,2020-10-09,8.0,10,October
254,2020-11-09,0.4,11,November
256,2020-09-13,0.0,9,September
257,2020-09-14,0.0,9,September
258,2020-09-15,0.0,9,September
259,2020-09-16,0.0,9,September
260,2020-09-17,0.0,9,September
261,2020-09-18,0.0,9,September
262,2020-09-19,4.0,9,September
263,2020-09-20,1.6,9,September
264,2020-09-21,9.8,9,September
265,2020-09-22,0.0,9,September
266,2020-09-23,0.0,9,September
267,2020-09-24,0.0,9,September
268,2020-09-25,0.0,9,September
269,2020-09-26,2.0,9,September
270,2020-09-27,0.0,9,September
271,2020-09-28,0.0,9,September
272,2020-09-29,0.0,9,September
273,2020-09-30,0.0,9,September
275,2020-02-10,0.0,2,February
276,2020-03-10,0.0,3,March
277,2020-04-10,0.0,4,April
278,2020-05-10,0.0,5,May
279,2020-06-10,0.2,6,June
280,2020-07-10,0.0,7,July
281,2020-08-10,0.4,8,August
282,2020-09-10,0.8,9,September
283,2020-10-10,0.0,10,October
284,2020-11-10,0.0,11,November
286,2020-10-13,0.0,10,October
287,2020-10-14,0.0,10,October
288,2020-10-15,0.0,10,October
289,2020-10-16,0.1,10,October
290,2020-10-17,0.0,10,October
291,2020-10-18,1.8,10,October
292,2020-10-19,2.7,10,October
293,2020-10-20,0.0,10,October
294,2020-10-21,0.4,10,October
295,2020-10-22,0.0,10,October
296,2020-10-23,0.0,10,October
297,2020-10-24,3.8,10,October
298,2020-10-25,18.8,10,October
299,2020-10-26,34.0,10,October
300,2020-10-27,13.6,10,October
301,2020-10-28,0.0,10,October
302,2020-10-29,15.3,10,October
303,2020-10-30,0.0,10,October
304,2020-10-31,2.8,10,October
