,Date,Open,High,Low,Close,Adj Close,Volume
2420,2020-02-10,160.0,164.0,150.48,154.26,154.26,123446000
2421,2020-02-11,153.76,156.7,151.6,154.88,154.88,58487500
2422,2020-02-12,155.57,157.95,152.67,153.46,153.46,60112500
2423,2020-02-13,148.37,163.6,147.0,160.8,160.8,131446500
2424,2020-02-14,157.44,162.59,157.1,160.01,160.01,78468500
2425,2020-02-18,168.32,172.0,166.47,171.68,171.68,81908500
2426,2020-02-19,184.7,188.96,180.2,183.48,183.48,127115000
2427,2020-02-20,182.39,182.4,171.99,179.88,179.88,88174500
2428,2020-02-21,181.4,182.61,176.09,180.2,180.2,71574000
2429,2020-02-24,167.8,172.7,164.44,166.76,166.76,75961000
2430,2020-02-25,169.8,171.32,157.4,159.98,159.98,86452500
2431,2020-02-26,156.5,162.66,155.22,155.76,155.76,70427500
2432,2020-02-27,146.0,147.95,133.8,135.8,135.8,121386000
2433,2020-02-28,125.94,138.1,122.3,133.6,133.6,24564200
2434,2020-03-02,142.25,148.74,137.33,148.72,148.72,20079900
2435,2020-03-03,161.0,161.4,143.22,149.1,149.1,128920000
2436,2020-03-04,152.79,153.3,144.95,149.9,149.9,75245000
2437,2020-03-05,144.75,149.15,143.61,144.91,144.91,54263500
2438,2020-03-06,138.0,141.4,136.85,140.7,140.7,63314500
2439,2020-03-09,121.08,132.6,121.0,121.6,121.6,85368500
2440,2020-03-10,131.89,133.6,121.6,129.07,129.07,77972000
2441,2020-03-11,128.04,130.72,122.6,126.85,126.85,66612500
2442,2020-03-12,116.18,118.9,109.25,112.11,112.11,94545500
2443,2020-03-13,119.0,121.51,100.4,109.32,109.32,113201500
2444,2020-03-16,93.9,98.97,88.43,89.01,89.01,102447500
2445,2020-03-17,88.0,94.37,79.2,86.04,86.04,119973000
2446,2020-03-18,77.8,80.97,70.1,72.24,72.24,118931000
2447,2020-03-19,74.94,90.4,71.69,85.53,85.53,150977500
2448,2020-03-20,87.64,95.4,85.16,85.51,85.51,141427500
2449,2020-03-23,86.72,88.4,82.1,86.86,86.86,82272500
2450,2020-03-24,95.46,102.74,94.8,101.0,101.0,114476000
2451,2020-03-25,109.05,111.4,102.22,107.85,107.85,106113500
2452,2020-03-26,109.48,112.0,102.45,105.63,105.63,86903500
2453,2020-03-27,101.0,105.16,98.81,102.87,102.87,71887000
2454,2020-03-30,102.05,103.33,98.25,100.43,100.43,59990500
2455,2020-03-31,100.25,108.59,99.4,104.8,104.8,88857500
2456,2020-04-01,100.8,102.79,95.02,96.31,96.31,66766000
2457,2020-04-02,96.21,98.85,89.28,90.89,90.89,99292000
2458,2020-04-03,101.9,103.1,93.68,96.0,96.0,112810500
2459,2020-04-06,102.24,104.2,99.59,103.25,103.25,74509000
2460,2020-04-07,109.0,113.0,106.47,109.09,109.09,89599000
2461,2020-04-08,110.84,111.44,106.67,109.77,109.77,63280000
2462,2020-04-09,112.42,115.04,111.42,114.6,114.6,68250000
2463,2020-04-13,118.03,130.4,116.11,130.19,130.19,112377000
2464,2020-04-14,139.79,148.38,138.49,141.98,141.98,152882500
2465,2020-04-15,148.4,150.63,142.0,145.97,145.97,117885000
2466,2020-04-16,143.39,151.89,141.34,149.04,149.04,103289500
2467,2020-04-17,154.46,154.99,149.53,150.78,150.78,65641000
2468,2020-04-20,146.54,153.11,142.44,149.27,149.27,73733000
2469,2020-04-21,146.02,150.67,134.76,137.34,137.34,101045500
2470,2020-04-22,140.8,146.8,137.74,146.42,146.42,71124000
2471,2020-04-23,145.52,146.8,140.63,141.13,141.13,66183500
2472,2020-04-24,142.16,146.15,139.64,145.03,145.03,66188000
2473,2020-04-27,147.52,159.9,147.0,159.75,159.75,103407000
2474,2020-04-28,159.13,161.0,151.34,153.82,153.82,76110000
2475,2020-04-29,158.03,160.64,156.63,160.1,160.1,81080000
2476,2020-04-30,171.04,173.96,152.7,156.38,156.38,142359500
2477,2020-05-01,151.0,154.55,136.61,140.26,140.26,162659000
2478,2020-05-04,140.2,152.4,139.6,152.24,152.24,96185500
2479,2020-05-05,157.96,159.78,152.44,153.64,153.64,84958500
2480,2020-05-06,155.3,157.96,152.22,156.52,156.52,55616000
2481,2020-05-07,155.44,159.28,154.47,156.01,156.01,57638500
2482,2020-05-08,158.75,164.8,157.4,163.88,163.88,80650500
2483,2020-05-11,158.1,164.8,157.0,162.26,162.26,82598000
2484,2020-05-12,165.4,168.66,161.6,161.88,161.88,79534500
2485,2020-05-13,164.17,165.2,152.66,158.19,158.19,95327500
2486,2020-05-14,156.0,160.67,152.8,160.67,160.67,68411000
2487,2020-05-15,158.07,161.01,157.31,159.83,159.83,52592000
2488,2020-05-18,165.56,166.94,160.78,162.73,162.73,58490500
2489,2020-05-19,163.03,164.41,161.22,161.6,161.6,48182500
2490,2020-05-20,164.1,165.2,162.36,163.11,163.11,36546500
2491,2020-05-21,163.2,166.5,159.2,165.52,165.52,61273000
2492,2020-05-22,164.43,166.36,162.4,163.38,163.38,49937500
2493,2020-05-26,166.9,166.92,163.14,163.77,163.77,40448500
2494,2020-05-27,164.17,165.54,157.0,164.05,164.05,57747500
2495,2020-05-28,162.7,164.95,160.34,161.16,161.16,36278000
2496,2020-05-29,161.75,167.0,160.84,167.0,167.0,59062500
2497,2020-06-01,171.6,179.8,170.82,179.62,179.62,74697500
2498,2020-06-02,178.94,181.73,174.2,176.31,176.31,67828000
2499,2020-06-03,177.62,179.59,176.02,176.59,176.59,39747500
2500,2020-06-04,177.98,179.15,171.69,172.88,172.88,44438500
2501,2020-06-05,175.57,177.3,173.24,177.13,177.13,39059500
2502,2020-06-08,183.8,190.0,181.83,189.98,189.98,70873500
2503,2020-06-09,188.0,190.89,184.79,188.13,188.13,56941000
2504,2020-06-10,198.38,205.5,196.5,205.01,205.01,92817000
2505,2020-06-11,198.04,203.79,194.4,194.57,194.57,79582500
2506,2020-06-12,196.0,197.6,182.52,187.06,187.06,83817000
2507,2020-06-15,183.56,199.77,181.7,198.18,198.18,78486000
2508,2020-06-16,202.37,202.58,192.48,196.43,196.43,70255500
2509,2020-06-17,197.54,201.0,196.51,198.36,198.36,49454000
2510,2020-06-18,200.6,203.84,198.89,200.79,200.79,48759500
2511,2020-06-19,202.56,203.19,198.27,200.18,200.18,43398500
2512,2020-06-22,199.99,201.78,198.0,198.86,198.86,31812000
2513,2020-06-23,199.78,202.4,198.8,200.36,200.36,31826500
2514,2020-06-24,198.82,200.18,190.63,192.17,192.17,54798000
2515,2020-06-25,190.85,197.2,187.43,197.2,197.2,46272500
2516,2020-06-26,198.96,199.0,190.97,191.95,191.95,44274500
2517,2020-06-29,193.8,202.0,189.7,201.87,201.87,45132000
2518,2020-06-30,201.3,217.54,200.75,215.96,215.96,84592500
2519,2020-07-01,216.6,227.07,216.1,223.93,223.93,66634500
2520,2020-07-02,244.3,245.6,237.12,241.73,241.73,86250500
2521,2020-07-06,255.34,275.56,253.21,274.32,274.32,102849500
2522,2020-07-07,281.0,285.9,267.34,277.97,277.97,107448500
2523,2020-07-08,281.0,283.45,262.27,273.18,273.18,81556500
2524,2020-07-09,279.4,281.71,270.26,278.86,278.86,58588000
2525,2020-07-10,279.2,309.78,275.2,308.93,308.93,116688000
2526,2020-07-13,331.8,359.0,294.22,299.41,299.41,194927000
2527,2020-07-14,311.2,318.0,286.2,303.36,303.36,117090500
2528,2020-07-15,308.6,310.0,291.4,309.2,309.2,81839000
2529,2020-07-16,295.43,306.34,293.2,300.13,300.13,71504000
2530,2020-07-17,302.69,307.5,298.0,300.17,300.17,46650000
2531,2020-07-20,303.8,330.0,297.6,328.6,328.6,85607000
2532,2020-07-21,327.99,335.0,311.6,313.67,313.67,80786500
2533,2020-07-22,319.8,325.28,312.4,318.47,318.47,70805500
2534,2020-07-23,335.79,337.8,296.15,302.61,302.61,121642500
2535,2020-07-24,283.2,293.0,273.31,283.4,283.4,96983000
2536,2020-07-27,287.0,309.59,282.6,307.92,307.92,80243500
2537,2020-07-28,300.8,312.94,294.88,295.3,295.3,79043500
2538,2020-07-29,300.2,306.96,297.4,299.82,299.82,47134500
2539,2020-07-30,297.6,302.65,294.2,297.5,297.5,38105000
2540,2020-07-31,303.0,303.41,284.2,286.15,286.15,61235000
2541,2020-08-03,289.84,301.96,288.88,297.0,297.0,44046500
2542,2020-08-04,299.0,305.48,292.4,297.4,297.4,42075000
2543,2020-08-05,298.6,299.97,293.66,297.0,297.0,24890000
2544,2020-08-06,298.17,303.46,295.45,297.92,297.92,29961500
2545,2020-08-07,299.91,299.95,283.0,290.54,290.54,44482000
2546,2020-08-10,289.6,291.5,277.17,283.71,283.71,37611500
2547,2020-08-11,279.2,284.0,273.0,274.88,274.88,43129000
2548,2020-08-12,294.0,317.0,287.0,310.95,310.95,109494000
2549,2020-08-13,322.2,330.24,313.45,324.2,324.2,102126500
2550,2020-08-14,333.0,333.76,325.33,330.14,330.14,62888000
2551,2020-08-17,335.4,369.17,334.57,367.13,367.13,101211500
2552,2020-08-18,379.8,384.78,369.02,377.42,377.42,82372500
2553,2020-08-19,373.0,382.2,368.24,375.71,375.71,61026500
2554,2020-08-20,372.14,404.4,371.41,400.37,400.37,103059000
2555,2020-08-21,408.95,419.1,405.01,410.0,410.0,107448000
2556,2020-08-24,425.26,425.8,385.5,402.84,402.84,100318000
2557,2020-08-25,394.98,405.59,393.6,404.67,404.67,53294500
2558,2020-08-26,412.0,433.2,410.73,430.63,430.63,71197000
2559,2020-08-27,436.09,459.12,428.5,447.75,447.75,118465000
2560,2020-08-28,459.02,463.7,437.3,442.68,442.68,100406000
2561,2020-08-31,444.61,500.14,440.11,498.32,498.32,118374400
2562,2020-09-01,502.14,502.49,470.51,475.05,475.05,90119400
2563,2020-09-02,478.99,479.04,405.12,447.37,447.37,95686100
