,Rank,Company,Revenue,employees,Industry,age
137,138,Intel,71965,"26,000",Unknown,30
138,139,Zurich Insurance Group,71792,"26,000",Unknown,31
139,140,PTT,71502,"92,000",Unknown,7
140,141,U.S. Postal Service,71154,"41,992",Unknown,29
141,142,Deutsche Post DHL Group,70895,"56,110",Unknown,83
142,143,BASF,70723,"29,000",Unknown,59
143,144,Facebook,70697,"66,100",Unknown,32
144,145,Sinopharm,70690,"23,700",Unknown,52
145,146,ArcelorMittal,70615,"55,000",Unknown,47
146,147,Country Garden Holdings,70335,"111,980",Unknown,43
147,148,FedEx,69693,"165,000",Unknown,42
148,149,MetLife,69620,"58,600",Unknown,6
149,150,Walt Disney,69570,"34,100",Unknown,47
150,151,Indian Oil,69246,"25,100",Unknown,49
151,152,China Evergrande Group,69127,"20,000",Unknown,81
152,153,Panasonic,68897,"56,706",Unknown,78
153,154,China North Industries Group,68714,"8,300",Unknown,32
154,155,Brookfield Asset Management,67826,"25,000",Unknown,53
155,156,Procter & Gamble,67684,"16,400",Unknown,83
156,157,PowerChina,67371,"85,000",Unknown,45
157,158,China Telecommunications,67365,"67,629",Unknown,23
158,159,Engie,67220,170000,Unknown,13
159,160,PepsiCo,67161,"86,000",Unknown,57
160,161,Mitsubishi UFJ Financial Group,67135,"15,000",Unknown,33
161,162,Bank of Communications,66564,"67,000",Unknown,61
162,163,Aviation Industry Corp. of China,65909,"42,000",Unknown,64
163,164,ChemChina,65767,"87,000",Unknown,42
164,165,Dai-ichi Life Holdings,65434,"51,632",Unknown,9
165,166,Humana,64888,"51,000",Unknown,64
166,167,Prudential Financial,64807,"14,000",Unknown,47
167,168,Archer Daniels Midland,64656,"23,000",Unknown,66
168,169,Equinor,64357,"113,600",Unknown,15
169,170,Lloyds Banking Group,64297,"8,900",Unknown,71
170,171,Roche Group,63434,"14,000",Unknown,79
171,172,Mitsui,63327,"89,000",Unknown,69
172,173,Marubeni,62799,"16,000",Unknown,4
173,174,Albertsons,62455,"24,344",Unknown,26
174,175,Renault,62160,52500,Unknown,15
175,176,Greenland Holding Group,61965,"25,200",Unknown,73
176,177,Toyota Tsusho,61570,"48,000",Unknown,82
177,178,Seven & I Holdings,60952,"76,500",Unknown,12
178,179,Sysco,60114,"74,500",Unknown,41
179,180,Christian Dior,60071,"29,000",Unknown,6
180,181,Manulife Financial,59969,"135,000",Unknown,67
181,182,Lockheed Martin,59812,"38,000",Unknown,23
182,183,Alimentation Couche-Tard,59118,"76,000",Unknown,7
183,184,HP,58756,"35,900",Unknown,34
184,185,Unilever,58179,"17,666",Unknown,62
185,186,Petronas,58027,"95,000",Unknown,64
186,187,China National Building Material Group,57626,"64,000",Unknown,23
187,188,Tokyo Electric Power,57407,"77,300",Unknown,35
188,189,China Merchants Bank,57252,"8,726",Unknown,32
189,190,Oil & Natural Gas,57171,"52,695",Unknown,29
190,191,China Poly Group,57147,"47,200",Unknown,29
191,192,Société Générale,56852,"29,714",Unknown,46
192,193,China Pacific Insurance (Group),55800,"15,074",Unknown,18
193,194,POSCO,55592,"44,800",Unknown,35
194,195,Vinci,54788,"260,000",Unknown,71
195,196,Auchan Holding,54672,"49,000",Unknown,74
196,197,Tencent Holdings,54613,"14,715",Unknown,78
197,198,Nippon Steel Corporation,54465,"57,750",Unknown,9
198,199,CNP Assurances,54365,"21,900",Unknown,65
199,200,Energy Transfer,Unknown,"215,000",Unknown,79
