,Type,Legendary
508,Water,False
509,Grass,False
510,Grass,False
511,Grass,False
512,Dark,False
513,Electric,False
514,Normal,False
515,Ground,False
516,Grass,False
517,Electric,False
518,Fire,False
519,Fairy,False
520,Bug,False
521,Grass,False
522,Ice,False
523,Ground,False
524,Ice,False
525,Normal,False
526,Psychic,False
527,Psychic,False
528,Rock,False
529,Ghost,False
530,Ice,False
531,Electric,False
532,Electric,False
533,Electric,False
534,Electric,False
535,Electric,False
536,Electric,False
537,Psychic,True
538,Psychic,True
539,Psychic,True
540,Steel,True
541,Water,True
542,Fire,True
543,Normal,True
544,Ghost,True
545,Ghost,True
546,Psychic,False
547,Water,False
548,Water,False
549,Dark,True
550,Grass,True
551,Grass,True
552,Normal,True
553,Psychic,True
554,Grass,False
555,Grass,False
556,Grass,False
557,Fire,False
558,Fire,False
559,Fire,False
560,Water,False
561,Water,False
562,Water,False
563,Normal,False
564,Normal,False
565,Normal,False
566,Normal,False
567,Normal,False
568,Dark,False
569,Dark,False
570,Grass,False
571,Grass,False
572,Fire,False
573,Fire,False
574,Water,False
575,Water,False
576,Psychic,False
577,Psychic,False
578,Normal,False
579,Normal,False
580,Normal,False
581,Electric,False
582,Electric,False
583,Rock,False
584,Rock,False
585,Rock,False
586,Psychic,False
587,Psychic,False
588,Ground,False
589,Ground,False
590,Normal,False
591,Normal,False
592,Fighting,False
593,Fighting,False
594,Fighting,False
595,Water,False
596,Water,False
597,Water,False
598,Fighting,False
599,Fighting,False
600,Bug,False
601,Bug,False
602,Bug,False
603,Bug,False
604,Bug,False
605,Bug,False
606,Grass,False
607,Grass,False
608,Grass,False
609,Grass,False
610,Water,False
611,Ground,False
612,Ground,False
613,Ground,False
614,Fire,False
615,Fire,False
616,Fire,False
617,Grass,False
618,Bug,False
619,Bug,False
620,Dark,False
621,Dark,False
622,Psychic,False
623,Ghost,False
624,Ghost,False
625,Water,False
626,Water,False
627,Rock,False
628,Rock,False
629,Poison,False
630,Poison,False
631,Dark,False
632,Dark,False
633,Normal,False
634,Normal,False
635,Psychic,False
636,Psychic,False
637,Psychic,False
638,Psychic,False
639,Psychic,False
640,Psychic,False
641,Water,False
642,Water,False
643,Ice,False
644,Ice,False
645,Ice,False
646,Normal,False
647,Normal,False
648,Electric,False
649,Bug,False
650,Bug,False
651,Grass,False
652,Grass,False
653,Water,False
654,Water,False
655,Water,False
656,Bug,False
657,Bug,False
658,Grass,False
659,Grass,False
660,Steel,False
661,Steel,False
662,Steel,False
663,Electric,False
664,Electric,False
665,Electric,False
666,Psychic,False
667,Psychic,False
668,Ghost,False
669,Ghost,False
670,Ghost,False
671,Dragon,False
672,Dragon,False
673,Dragon,False
674,Ice,False
675,Ice,False
676,Ice,False
677,Bug,False
678,Bug,False
679,Ground,False
680,Fighting,False
681,Fighting,False
682,Dragon,False
683,Ground,False
684,Ground,False
685,Dark,False
686,Dark,False
687,Normal,False
688,Normal,False
689,Normal,False
690,Dark,False
691,Dark,False
692,Fire,False
693,Bug,False
694,Dark,False
695,Dark,False
696,Dark,False
697,Bug,False
698,Bug,False
699,Steel,True
700,Rock,True
701,Grass,True
702,Flying,True
703,Flying,True
704,Electric,True
705,Electric,True
706,Dragon,True
707,Dragon,True
708,Ground,True
709,Ground,True
710,Dragon,True
711,Dragon,True
712,Dragon,True
713,Water,False
714,Water,False
715,Normal,False
716,Normal,False
717,Bug,False
718,Grass,False
719,Grass,False
720,Grass,False
721,Fire,False
722,Fire,False
723,Fire,False
724,Water,False
725,Water,False
726,Water,False
727,Normal,False
728,Normal,False
729,Normal,False
730,Fire,False
731,Fire,False
732,Bug,False
733,Bug,False
734,Bug,False
735,Fire,False
736,Fire,False
737,Fairy,False
738,Fairy,False
739,Fairy,False
740,Grass,False
741,Grass,False
742,Fighting,False
743,Fighting,False
744,Normal,False
745,Psychic,False
746,Psychic,False
747,Psychic,False
748,Steel,False
749,Steel,False
750,Steel,False
751,Steel,False
752,Fairy,False
753,Fairy,False
754,Fairy,False
755,Fairy,False
756,Dark,False
757,Dark,False
758,Rock,False
759,Rock,False
760,Poison,False
761,Poison,False
762,Water,False
763,Water,False
764,Electric,False
765,Electric,False
766,Rock,False
767,Rock,False
768,Rock,False
769,Rock,False
770,Fairy,False
771,Fighting,False
772,Electric,False
773,Rock,False
774,Dragon,False
775,Dragon,False
776,Dragon,False
777,Steel,False
778,Ghost,False
779,Ghost,False
780,Ghost,False
781,Ghost,False
782,Ghost,False
783,Ghost,False
784,Ghost,False
785,Ghost,False
786,Ghost,False
787,Ghost,False
788,Ice,False
789,Ice,False
790,Flying,False
791,Flying,False
792,Fairy,True
793,Dark,True
794,Dragon,True
795,Rock,True
796,Rock,True
797,Psychic,True
798,Psychic,True
799,Fire,True
