,Elbow rest height,Wrist circumference,Ankle circumference,Buttock height,Crotch height
125,175,171,219,987,907
126,185,172,213,988,905
127,291,183,243,930,889
128,256,179,223,945,883
129,265,184,248,891,835
130,225,161,223,872,839
131,215,184,245,926,882
132,183,172,221,962,901
133,238,176,214,933,848
134,261,186,267,923,893
135,293,164,215,853,798
136,254,177,233,971,931
137,282,173,241,929,874
138,237,179,244,956,891
139,270,172,224,898,822
140,257,182,234,919,872
141,220,173,234,927,886
142,239,191,243,972,910
143,237,165,235,869,821
144,246,178,228,908,849
145,285,186,255,989,916
146,277,182,237,850,803
147,231,182,255,918,868
148,174,175,233,1014,965
149,222,177,223,1015,982
150,235,188,248,944,860
151,284,181,227,953,883
152,238,177,218,919,866
153,279,179,238,880,802
154,270,183,245,1004,966
155,263,181,225,945,875
156,232,178,236,950,876
157,242,173,250,931,895
158,260,164,205,830,768
159,243,187,215,950,880
160,220,186,243,1008,935
161,274,172,224,899,839
162,252,183,232,978,924
163,303,183,260,939,887
164,285,178,238,870,816
165,247,177,224,888,829
166,288,179,231,945,860
167,219,161,243,869,803
168,265,189,250,933,861
169,220,175,223,887,812
170,258,187,240,1021,971
171,228,176,227,875,837
172,268,187,245,927,867
173,253,169,235,912,841
174,271,176,222,888,828
175,252,175,225,950,913
176,272,171,242,892,801
177,246,177,225,960,911
178,249,178,243,933,849
179,246,175,223,886,840
180,223,170,216,898,860
181,278,180,246,832,762
182,202,162,226,885,864
183,253,179,221,954,942
184,253,178,223,875,825
185,271,179,240,919,859
186,282,185,245,979,937
187,200,174,227,992,959
188,236,186,243,990,932
189,233,166,214,880,832
190,251,177,235,806,757
191,258,184,234,945,911
192,290,200,281,939,855
193,255,177,233,892,867
194,241,163,224,877,804
195,260,170,205,933,875
196,215,167,208,918,854
197,274,172,213,944,880
198,254,185,241,880,804
199,242,180,225,951,872
200,269,183,245,1015,923
201,255,180,216,909,842
202,211,181,230,926,887
203,219,187,247,917,861
204,267,168,221,831,795
205,316,188,233,883,795
206,287,180,230,947,893
207,297,197,253,981,934
208,274,183,246,919,833
209,221,182,224,881,824
210,189,177,220,908,869
211,264,179,223,871,800
212,275,160,222,879,831
213,207,168,223,915,854
214,216,178,233,923,867
215,178,152,197,861,779
216,313,182,256,972,878
217,238,172,220,927,849
218,247,195,245,1002,946
219,218,157,197,858,799
220,291,176,218,845,785
221,246,180,230,884,854
222,240,186,240,1024,953
223,213,173,224,970,902
224,237,194,255,980,915
225,318,186,260,860,795
226,245,167,240,866,803
227,245,165,225,913,836
228,240,179,219,942,875
229,256,176,216,961,883
230,238,172,237,861,780
231,276,188,244,888,809
232,245,173,219,857,803
233,230,190,267,945,903
234,222,177,223,932,871
235,218,171,223,843,787
236,232,183,247,976,906
237,239,178,222,967,920
238,228,165,207,886,839
239,251,177,230,964,925
240,185,176,213,965,901
241,230,184,251,926,871
242,247,178,227,891,826
243,268,180,226,906,852
244,269,185,226,963,873
245,251,190,253,981,899
246,255,165,233,849,771
247,224,176,219,835,772
248,264,171,238,850,815
249,220,164,212,821,764
250,325,186,255,878,844
251,200,176,224,923,868
252,262,179,227,953,895
253,238,167,217,898,837
254,238,169,206,846,803
255,236,163,207,881,811
256,292,172,217,840,785
257,266,180,213,929,841
258,270,192,248,923,836
259,252,162,215,863,824
260,251,165,212,901,838
261,259,186,248,943,894
262,240,179,229,945,877
263,195,166,224,890,839
264,269,182,250,940,877
265,280,168,230,976,882
266,190,168,210,856,792
267,274,186,253,937,875
268,254,183,242,987,899
269,264,177,233,933,857
270,269,200,252,1005,911
271,289,170,235,887,840
272,284,171,216,874,826
273,230,169,198,849,780
274,231,181,227,920,862
275,212,175,227,888,833
276,247,188,249,939,851
277,252,178,228,863,842
278,248,161,218,880,826
279,282,190,233,1013,956
280,254,177,234,927,859
281,290,182,245,946,880
282,281,180,240,941,859
283,217,164,210,843,783
284,255,174,241,873,818
285,197,172,195,970,891
286,226,167,212,834,779
287,228,189,245,868,804
288,272,171,222,816,768
289,254,184,251,970,937
290,227,177,235,855,793
291,283,173,211,917,863
292,261,178,234,883,821
293,263,185,246,940,875
294,244,190,240,874,855
295,256,184,223,896,844
296,267,184,250,859,796
297,249,165,213,863,808
298,225,175,210,891,867
299,253,179,235,907,861
300,199,150,193,848,780
301,258,173,216,819,786
302,262,189,250,943,886
303,318,183,257,921,858
304,279,176,234,899,868
305,230,188,260,954,878
306,251,182,246,1071,1007
307,226,181,234,952,902
308,265,168,224,921,859
309,278,171,218,881,848
310,277,184,240,954,891
311,271,183,260,864,836
312,237,158,214,844,781
313,238,180,237,892,812
314,263,172,223,862,768
315,207,179,234,943,908
316,202,184,220,946,891
317,231,171,218,957,906
318,218,176,222,931,880
319,225,174,220,888,834
320,238,165,219,936,862
321,179,174,201,930,899
322,225,170,233,889,818
323,239,174,233,994,924
324,160,171,210,995,955
325,260,176,227,853,816
326,235,161,241,892,830
327,194,177,222,900,851
328,268,183,246,960,913
329,269,173,237,988,977
330,263,180,230,894,844
331,291,202,257,993,929
332,274,179,225,844,786
333,220,174,240,919,868
334,283,172,245,966,912
335,234,177,218,910,867
336,235,160,223,866,789
337,243,171,217,822,770
338,253,175,236,943,912
339,275,169,231,958,917
340,216,177,233,955,914
341,195,168,232,908,858
342,206,175,213,934,887
343,281,170,233,883,844
344,234,171,220,928,862
345,201,177,213,863,810
346,266,183,241,901,845
347,274,183,234,1017,934
348,225,183,231,921,874
349,212,175,225,818,776
350,274,183,235,945,893
351,217,180,217,953,899
352,243,198,261,942,860
353,239,180,247,949,883
354,288,185,244,840,782
355,200,181,245,909,845
356,249,178,228,887,823
357,233,173,213,862,845
358,241,170,215,873,831
359,199,171,212,878,821
360,280,175,232,895,846
361,182,185,240,900,844
362,214,164,198,813,773
363,302,158,207,833,801
364,274,181,236,926,883
365,263,178,240,819,767
366,298,185,236,862,824
367,274,180,258,874,824
368,261,168,223,822,766
369,269,186,256,987,928
370,251,181,246,1006,938
371,273,191,253,845,802
372,289,168,225,926,868
373,310,200,267,964,906
374,221,178,235,912,864
375,173,173,223,999,956
376,252,172,234,864,842
377,253,180,238,860,811
378,225,166,212,913,831
379,218,183,232,943,917
380,260,182,233,826,824
381,249,183,228,946,905
382,286,166,221,840,782
383,262,164,226,809,795
384,233,179,231,870,847
385,273,184,245,896,815
386,277,185,236,941,831
387,205,163,212,808,788
388,239,172,256,841,802
389,307,179,230,843,770
390,205,175,218,827,801
391,239,173,233,822,791
392,234,170,244,828,813
393,278,185,257,853,808
394,290,188,243,877,823
395,190,178,236,987,920
396,211,174,236,895,848
397,283,172,215,810,780
398,231,178,225,891,887
399,213,177,226,899,865
400,257,176,222,877,847
401,273,164,205,875,849
402,223,175,222,866,812
403,220,176,220,871,837
404,283,162,203,806,740
405,236,165,220,789,762
406,202,167,235,823,776
407,242,192,249,916,875
408,208,167,227,845,824
409,265,185,242,929,909
410,255,182,230,867,837
411,222,173,216,969,916
412,256,190,253,878,826
413,256,181,235,910,880
414,258,185,254,870,845
415,200,156,213,809,755
416,216,175,240,888,856
417,233,183,243,970,951
418,274,179,242,835,796
419,233,170,230,842,805
420,254,168,213,847,786
421,212,179,228,849,805
422,283,186,250,856,815
423,276,167,211,817,776
424,242,176,241,954,909
425,268,174,226,873,820
426,188,175,208,875,861
427,247,175,235,857,824
428,278,168,225,871,832
429,225,166,223,786,758
430,251,175,228,809,754
431,216,180,234,888,879
432,205,158,210,874,850
433,207,167,231,882,851
434,238,165,211,875,849
435,236,176,225,925,903
436,202,176,218,905,865
437,220,190,262,953,925
438,280,179,250,923,882
439,254,189,243,870,816
440,250,169,230,824,806
441,241,189,256,899,879
442,238,170,216,854,834
443,248,169,223,856,824
444,236,166,217,857,826
445,213,182,250,885,859
446,209,178,245,991,952
447,246,179,227,865,843
448,253,196,248,978,961
449,200,165,220,877,848
450,187,176,253,878,901
451,285,183,233,857,813
452,223,179,242,893,876
453,286,176,230,906,875
454,229,180,233,858,831
455,239,176,250,919,883
456,277,183,255,798,740
457,198,178,238,924,892
458,239,164,222,785,715
459,227,175,237,859,820
460,265,191,252,895,865
461,227,170,216,861,811
462,230,173,216,856,791
463,221,179,233,895,867
464,224,167,214,856,831
465,235,184,239,917,865
466,215,175,222,867,842
467,191,178,237,862,818
468,228,169,230,932,893
469,255,190,227,851,799
470,248,183,231,907,830
471,256,179,240,883,850
472,259,184,234,880,840
473,266,181,207,886,847
474,245,178,237,893,866
475,213,173,231,855,828
476,249,170,217,833,811
477,276,175,226,874,845
478,220,167,217,878,856
479,212,178,236,855,820
480,261,177,223,862,815
481,214,164,214,815,780
482,250,165,218,797,767
483,214,180,227,972,913
484,345,177,255,833,796
485,262,162,218,836,762
486,228,179,231,934,927
487,246,178,225,903,862
488,297,179,245,1005,944
489,254,184,248,919,882
490,265,166,217,823,772
491,267,179,234,877,804
492,260,173,240,837,774
493,230,179,224,855,802
494,257,185,262,943,888
495,236,171,212,938,895
496,255,168,210,841,802
497,208,172,210,864,842
498,255,175,227,838,771
499,243,169,222,857,800
500,259,190,268,898,836
501,241,172,229,854,819
502,228,187,247,877,844
503,209,172,219,941,906
504,216,168,214,879,841
505,250,173,226,810,770
506,218,170,223,856,809
507,208,166,207,890,887
508,267,180,242,856,801
509,201,170,217,891,841
510,228,173,217,882,842
511,213,180,215,915,867
512,243,184,252,858,842
513,263,174,220,836,802
514,262,177,227,876,815
515,243,175,223,864,827
516,257,173,220,817,765
517,221,175,231,931,898
518,213,180,233,852,838
519,223,177,229,923,881
520,211,172,205,861,819
521,233,160,211,798,754
522,215,176,223,886,841
523,308,187,258,858,790
524,297,177,245,886,831
525,277,176,226,848,797
526,239,188,237,905,875
527,253,177,233,871,826
528,243,179,220,849,820
529,243,170,221,909,850
530,249,180,252,835,816
531,282,169,226,912,887
532,274,183,224,817,771
533,231,183,221,877,830
534,240,171,221,833,807
535,251,180,215,934,906
536,207,190,259,885,866
537,221,161,228,892,811
538,290,181,236,845,809
539,256,179,244,887,865
540,188,178,206,915,889
541,305,193,256,845,799
542,303,181,242,833,794
543,215,173,216,874,821
544,249,190,240,900,859
545,263,181,244,983,944
546,278,186,243,842,818
547,240,168,214,790,757
548,192,175,216,896,868
549,250,164,239,871,818
550,254,178,222,905,856
551,251,183,241,890,897
552,243,181,234,854,822
553,230,160,196,840,793
554,206,185,233,959,945
555,239,177,217,847,812
556,240,187,244,990,945
557,274,186,223,868,835
558,261,184,221,881,830
559,265,172,225,881,855
560,286,175,211,821,778
561,273,186,242,873,804
562,271,187,237,873,836
563,269,166,212,871,824
564,271,180,221,884,850
565,234,175,232,876,852
566,265,181,249,812,780
567,258,181,242,866,802
568,271,182,251,808,768
569,244,177,234,881,812
570,272,185,220,900,873
571,249,167,224,826,802
572,228,169,215,797,785
573,237,181,246,871,841
574,255,188,247,862,851
575,209,174,233,889,846
576,240,170,222,923,863
577,328,185,265,917,870
578,263,179,222,820,780
579,309,186,224,843,805
580,205,176,208,865,795
581,264,177,238,843,822
582,232,189,244,900,890
583,208,179,227,895,867
584,208,175,223,903,869
585,272,174,236,857,805
586,267,165,212,819,831
587,259,177,214,931,875
588,286,192,240,866,825
589,266,192,238,908,882
590,241,183,224,852,813
591,203,173,227,862,845
592,267,184,232,936,861
593,234,169,242,842,822
594,178,173,227,923,897
595,250,180,240,864,829
596,235,202,256,934,908
597,242,182,217,882,855
598,237,174,231,863,813
599,215,174,242,870,859
600,257,180,232,853,802
601,253,174,218,901,898
602,295,190,244,922,851
603,201,175,228,823,822
604,205,179,221,924,884
605,252,176,221,820,830
606,274,188,240,866,819
607,279,182,223,925,870
608,243,178,222,933,870
609,241,182,257,889,872
610,255,180,238,943,901
611,225,171,226,801,757
612,252,176,230,788,718
613,231,174,229,837,798
614,186,178,235,825,782
615,256,185,224,865,798
616,217,164,212,844,812
617,263,182,226,847,820
618,237,179,233,866,815
619,256,167,222,801,765
620,210,167,219,865,832
621,239,171,219,914,869
622,244,181,220,937,897
623,236,176,223,840,822
624,258,183,234,859,837
625,276,182,242,779,758
626,269,183,247,890,826
627,220,183,226,882,845
628,258,173,225,815,750
629,278,194,254,894,863
630,252,186,247,852,789
631,237,178,237,851,820
632,207,179,217,877,855
633,221,178,227,924,841
634,209,172,214,959,927
635,255,170,232,860,826
636,300,194,253,961,905
637,270,181,242,834,765
638,214,185,237,906,873
639,259,172,227,829,778
640,243,168,222,840,813
641,291,179,234,873,825
642,269,187,230,820,734
643,267,181,243,874,837
644,219,183,232,924,868
645,286,171,230,920,880
646,284,173,224,793,759
647,221,188,247,972,916
648,252,179,233,898,850
649,282,174,228,841,804
650,239,183,223,850,807
651,236,171,230,899,859
652,280,182,224,851,800
653,292,171,227,852,819
654,196,174,236,822,788
655,256,180,222,849,823
656,197,184,214,877,870
657,275,189,235,897,845
658,185,166,202,832,780
659,265,179,242,852,813
660,268,171,218,866,827
661,203,169,227,911,865
662,231,177,217,873,853
663,192,200,273,902,907
664,266,172,220,850,804
665,256,175,214,878,857
666,259,183,223,864,834
667,284,175,220,825,789
668,284,181,235,826,785
669,225,177,209,947,906
670,202,171,220,897,850
671,222,188,241,999,974
672,302,186,250,872,809
673,275,177,223,897,879
674,236,189,235,963,942
675,196,193,247,956,931
676,264,182,245,875,863
677,154,173,223,960,893
678,225,179,227,887,852
679,209,163,215,853,822
680,232,190,233,921,864
681,258,186,241,808,771
682,264,186,257,842,790
683,284,177,234,897,842
684,208,163,218,789,760
685,198,163,208,832,795
686,234,178,225,912,877
687,206,180,220,908,869
688,216,173,233,839,795
689,250,177,214,854,826
690,265,192,243,898,851
691,201,159,203,840,766
692,249,174,213,820,770
693,272,181,242,845,786
694,211,164,227,943,921
695,191,169,220,876,848
696,270,176,224,846,783
697,270,180,240,888,847
698,276,179,222,1001,954
699,215,169,214,950,925
700,251,177,230,910,887
701,249,179,234,902,846
702,205,195,240,941,862
703,235,159,211,831,808
704,306,189,246,829,762
705,244,170,210,809,797
706,181,182,228,956,902
707,191,164,206,887,835
708,270,174,233,880,861
709,261,169,220,881,836
710,220,178,257,883,832
711,303,173,211,786,733
712,259,177,234,882,822
713,260,177,217,843,810
714,230,186,259,970,963
715,207,173,224,929,843
716,240,171,215,851,783
717,239,178,232,882,848
718,267,175,228,818,774
719,247,171,229,825,783
720,205,168,217,917,864
721,256,175,232,833,770
722,205,161,207,901,866
723,288,189,252,972,919
724,260,182,234,884,819
725,192,160,194,915,872
726,261,184,233,879,827
727,268,171,222,870,825
728,273,171,234,866,830
729,271,187,235,875,818
730,235,180,254,860,836
731,223,175,250,877,838
732,279,176,224,899,826
733,283,184,237,845,793
734,274,178,217,886,857
735,258,177,208,887,856
736,258,172,225,820,775
737,231,181,229,865,815
738,272,184,230,866,811
739,267,190,254,865,825
740,244,183,252,859,836
741,224,173,227,888,828
742,201,178,221,816,767
743,240,181,233,846,812
744,239,180,220,923,885
745,304,185,249,923,812
746,260,182,224,914,864
747,227,194,234,939,906
748,216,180,248,920,885
749,283,185,240,858,819
750,209,163,203,827,806
751,274,186,227,838,795
752,158,182,216,999,949
753,225,170,225,919,895
754,261,176,221,895,873
755,225,183,231,894,866
756,261,176,216,870,822
757,263,177,226,910,857
758,239,172,235,843,824
759,305,174,208,932,886
760,218,167,223,818,781
761,240,195,254,883,869
762,258,187,216,863,804
763,279,173,234,887,846
764,262,164,233,869,820
765,235,178,218,922,901
766,235,172,214,855,803
767,265,166,215,867,827
768,212,176,218,866,829
769,229,178,204,918,876
770,209,169,208,866,840
771,236,183,236,894,874
772,229,171,204,867,793
773,249,177,220,912,875
774,285,190,246,858,801
775,251,175,217,952,931
776,240,178,228,772,705
777,230,179,233,912,876
778,232,188,237,858,849
779,255,177,233,842,827
780,207,195,254,977,944
781,225,174,212,898,863
782,240,179,217,858,810
783,243,172,216,899,825
784,242,190,235,855,837
785,291,207,265,951,896
786,223,187,247,891,895
787,277,184,262,897,870
788,248,171,231,805,776
789,220,179,227,969,918
790,295,180,242,838,838
791,280,190,242,880,865
792,244,184,236,906,843
793,247,164,217,845,796
794,291,190,264,897,853
795,270,167,213,784,771
796,248,202,247,987,931
797,259,177,227,925,861
798,293,180,234,943,905
799,248,179,221,900,850
800,258,175,229,964,945
801,245,177,227,868,852
802,231,192,257,1015,988
803,262,172,212,878,815
804,257,189,232,921,863
805,221,172,218,870,828
806,237,173,227,807,804
807,274,181,223,888,834
808,271,175,228,848,806
809,272,178,226,904,863
810,268,179,223,950,899
811,259,177,227,915,867
812,243,179,232,881,830
813,200,188,235,879,825
814,242,183,215,886,853
815,197,185,206,907,868
816,250,165,214,891,836
817,234,178,219,849,801
818,243,173,208,861,819
819,246,183,249,966,943
820,253,171,223,816,811
821,231,178,230,883,881
822,221,187,230,920,874
823,260,185,227,945,902
824,205,179,216,893,850
825,272,189,230,977,945
826,183,177,243,856,817
827,254,172,222,823,786
828,264,181,224,922,852
829,239,185,233,924,879
830,235,171,223,909,874
831,251,167,206,834,811
832,243,177,224,837,804
833,212,169,211,881,858
834,205,176,212,929,869
835,270,175,246,835,791
836,278,187,249,912,881
837,254,171,225,883,857
838,263,171,235,723,720
839,253,178,233,917,869
840,171,176,243,887,842
841,208,185,240,919,889
842,228,172,212,857,824
843,265,183,228,892,853
844,272,189,232,876,807
845,248,185,238,870,829
846,258,181,233,887,849
847,197,175,225,886,874
848,267,180,226,922,898
849,226,185,220,967,948
850,253,178,222,902,851
851,250,178,213,915,890
852,238,178,225,916,856
853,293,180,226,902,836
854,260,173,224,867,812
855,224,173,224,842,834
856,214,194,226,873,827
857,267,188,235,941,863
858,239,187,227,837,832
859,219,182,225,876,863
860,244,175,219,932,869
861,277,177,225,882,836
862,254,188,237,919,882
863,233,169,220,879,836
864,272,176,215,831,801
865,290,184,231,936,867
866,269,170,230,887,858
867,253,180,220,874,834
868,206,188,237,909,854
869,281,184,240,897,857
870,231,177,215,886,883
871,228,178,217,987,939
872,245,177,211,874,832
873,246,183,241,906,889
874,260,178,245,857,808
875,240,173,215,796,763
876,260,175,218,831,802
877,285,172,228,852,842
878,267,177,217,844,819
879,210,175,230,905,887
880,242,178,243,916,868
881,188,181,233,903,875
882,238,176,211,836,827
883,218,182,228,896,874
884,244,169,193,811,771
885,261,194,238,887,857
886,256,180,230,866,861
887,266,186,241,945,907
888,258,181,234,809,796
889,231,187,215,884,862
890,238,189,243,934,874
891,239,177,212,952,900
892,251,172,212,801,759
893,192,173,237,840,827
894,271,178,228,923,893
895,251,180,207,869,862
896,222,172,217,866,838
897,265,183,243,832,797
898,229,185,233,908,856
899,287,173,227,871,849
900,194,180,213,929,877
901,259,178,220,863,808
902,232,166,206,780,743
903,268,170,202,851,813
904,204,167,230,903,871
905,187,168,220,856,813
906,179,192,238,914,892
907,225,170,224,889,860
908,162,172,237,880,872
909,218,189,246,832,801
910,238,173,236,805,764
911,271,184,237,826,753
912,259,174,218,814,794
913,232,180,223,894,867
914,210,169,201,823,810
915,267,178,243,834,792
916,223,180,222,901,856
917,242,171,226,833,819
918,316,181,255,907,892
919,235,174,236,833,793
920,202,170,228,899,876
921,234,169,225,888,827
922,207,181,253,808,789
923,248,185,231,919,853
924,253,169,218,859,814
925,291,187,242,849,825
926,257,182,230,834,803
927,319,191,234,923,872
928,237,175,237,864,821
929,279,172,208,872,834
930,216,177,223,878,828
931,271,178,238,867,827
932,227,172,229,882,850
933,252,161,227,790,781
934,227,162,209,816,772
935,240,176,224,891,857
936,225,182,246,870,839
937,234,176,225,853,842
938,242,165,204,833,813
939,263,172,217,837,784
940,261,192,256,910,867
941,278,160,230,801,775
942,231,168,235,873,862
943,243,177,218,850,819
944,227,165,206,803,786
945,257,175,217,862,811
946,266,167,217,866,863
947,272,186,250,868,841
948,277,170,231,826,774
949,229,171,227,886,865
950,267,163,211,802,781
951,280,178,241,838,776
952,262,193,227,1002,954
953,295,178,247,832,788
954,278,181,232,930,896
955,250,177,226,929,893
956,281,183,251,939,890
957,281,168,220,907,865
958,246,181,233,836,823
959,255,182,270,1022,973
960,208,179,220,857,806
961,285,178,242,918,861
962,215,179,228,823,813
963,240,171,237,800,767
964,262,181,246,775,720
965,252,172,213,844,800
966,282,174,223,806,797
967,234,167,210,828,792
968,255,177,208,864,837
969,311,173,240,848,813
970,285,184,230,884,854
971,245,176,217,864,812
972,300,191,259,945,897
973,251,188,239,868,829
974,283,173,227,986,942
975,282,185,233,899,858
976,269,188,245,948,914
977,253,177,237,947,901
978,302,185,232,945,872
979,250,163,227,818,815
980,233,189,232,870,829
981,191,173,206,889,855
982,180,170,217,893,865
983,280,185,230,864,843
984,268,178,225,846,817
985,259,177,232,917,874
986,216,170,228,890,861
987,264,182,237,905,869
988,291,188,270,906,871
989,241,177,241,907,878
990,215,164,211,809,803
991,279,183,240,905,859
992,228,165,221,881,836
993,292,193,248,901,868
994,226,158,207,829,804
995,280,175,225,887,831
996,274,173,236,848,812
997,220,194,254,906,865
998,250,194,235,889,852
999,237,174,217,955,928
1000,240,168,203,895,887
1001,284,168,222,828,779
1002,207,169,212,904,841
1003,186,179,207,964,917
1004,291,182,221,886,843
1005,263,188,233,887,871
1006,264,185,237,955,894
1007,216,168,206,815,795
1008,268,202,227,963,899
1009,243,168,220,840,807
1010,260,177,232,900,885
1011,208,169,211,957,945
1012,260,185,233,884,823
1013,274,179,237,827,801
1014,256,169,216,829,820
1015,273,192,239,964,933
1016,266,177,240,908,880
1017,261,182,235,923,884
1018,248,173,230,834,796
1019,250,175,240,842,823
1020,254,189,252,809,790
1021,279,189,247,836,793
1022,216,178,237,853,823
1023,245,174,234,821,784
1024,281,183,238,896,840
1025,265,187,240,920,892
1026,240,179,247,883,833
1027,205,191,256,929,897
1028,260,171,247,836,816
1029,259,175,222,912,880
1030,259,186,253,938,906
1031,221,170,230,908,860
1032,283,180,235,977,927
1033,252,192,258,934,910
1034,234,176,240,860,838
1035,290,178,224,872,845
1036,221,190,245,929,858
1037,218,173,220,819,792
1038,232,169,222,921,898
1039,233,176,235,865,825
1040,228,173,206,834,817
1041,268,176,234,849,799
1042,234,172,213,899,883
1043,266,182,233,847,806
1044,220,179,230,831,783
1045,248,176,238,881,835
1046,238,186,242,984,964
1047,293,195,252,919,872
1048,240,180,232,903,857
1049,252,183,243,1001,946
1050,235,186,244,917,880
1051,170,177,232,841,831
1052,210,169,214,881,860
1053,273,194,246,901,865
1054,237,192,251,903,890
1055,234,169,207,850,835
1056,213,158,210,846,804
1057,296,163,217,850,826
1058,298,188,250,915,853
1059,225,150,156,813,758
1060,193,182,224,874,857
1061,270,200,271,908,886
1062,181,180,237,957,937
1063,274,174,222,868,840
1064,266,179,233,834,801
1065,245,171,220,896,859
1066,238,184,234,858,849
1067,252,169,217,872,850
1068,211,173,222,903,880
1069,299,186,256,817,803
1070,238,176,245,912,873
1071,234,171,203,853,836
1072,298,183,239,830,846
1073,269,180,242,851,838
1074,235,175,219,860,841
1075,228,174,218,899,853
1076,225,165,215,861,829
1077,263,177,233,898,881
1078,270,181,237,924,904
1079,262,177,240,879,854
1080,244,174,238,881,875
1081,264,168,227,846,825
1082,215,168,223,851,838
1083,260,164,214,900,846
1084,246,166,203,865,824
1085,265,177,239,830,760
1086,187,172,203,847,794
1087,252,179,230,816,805
1088,252,182,231,868,813
1089,241,163,214,801,752
1090,271,166,228,884,867
1091,298,190,234,869,845
1092,199,166,212,876,856
1093,190,182,244,844,841
1094,221,170,218,889,860
1095,210,161,204,838,802
1096,268,182,231,915,888
1097,284,180,247,858,818
1098,244,189,245,933,913
1099,254,168,245,799,755
1100,243,167,216,919,886
1101,218,165,207,961,913
1102,237,172,222,865,820
1103,258,168,205,890,847
1104,240,184,223,841,823
1105,178,175,230,856,840
1106,271,178,214,842,833
1107,251,176,220,840,826
1108,294,179,237,884,835
1109,269,187,241,866,805
1110,253,170,212,851,821
1111,245,183,230,882,837
1112,244,178,216,855,823
1113,276,195,263,897,881
1114,224,173,230,841,803
1115,273,175,216,865,824
1116,238,176,242,832,823
1117,281,187,242,878,830
1118,230,178,237,874,833
1119,241,190,250,964,923
1120,243,176,234,845,811
1121,269,185,242,942,916
1122,262,170,222,883,848
1123,264,168,231,915,881
1124,203,160,214,832,819
1125,260,175,226,874,826
1126,258,171,217,881,822
1127,256,183,236,870,846
1128,246,176,234,844,801
1129,218,171,226,817,800
1130,235,181,234,908,862
1131,236,169,230,850,832
1132,234,177,246,841,810
1133,243,185,250,921,846
1134,271,175,234,880,830
1135,243,177,257,851,806
1136,234,182,235,911,882
1137,219,182,227,853,822
1138,266,176,247,834,843
1139,217,155,199,809,782
1140,229,174,240,826,783
1141,277,172,222,835,778
1142,266,179,243,868,823
1143,295,185,250,826,792
1144,246,187,233,891,865
1145,274,186,247,922,895
