,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
680,45,85,50,55,50,65
681,65,125,60,95,60,105
682,77,120,90,60,90,48
683,59,74,50,35,50,35
684,89,124,80,55,80,55
685,45,85,70,40,40,60
686,65,125,100,60,70,70
687,95,110,95,40,95,55
688,70,83,50,37,50,60
689,100,123,75,57,75,80
690,70,55,75,45,65,60
691,110,65,105,55,95,80
692,85,97,66,105,66,65
693,58,109,112,48,48,109
694,52,65,50,45,50,38
695,72,85,70,65,70,58
696,92,105,90,125,90,98
697,55,85,55,50,55,60
698,85,60,65,135,105,100
699,91,90,129,90,72,108
700,91,129,90,72,90,108
701,91,90,72,90,129,108
702,79,115,70,125,80,111
703,79,100,80,110,90,121
704,79,115,70,125,80,111
705,79,105,70,145,80,101
706,100,120,100,150,120,90
707,100,150,120,120,100,90
708,89,125,90,115,80,101
709,89,145,90,105,80,91
710,125,130,90,130,90,95
711,125,170,100,120,90,95
712,125,120,90,170,100,95
713,91,72,90,129,90,108
714,91,72,90,129,90,108
715,100,77,77,128,128,90
716,100,128,90,77,77,128
717,71,120,95,120,95,99
718,56,61,65,48,45,38
719,61,78,95,56,58,57
720,88,107,122,74,75,64
721,40,45,40,62,60,60
722,59,59,58,90,70,73
723,75,69,72,114,100,104
724,41,56,40,62,44,71
725,54,63,52,83,56,97
726,72,95,67,103,71,122
727,38,36,38,32,36,57
728,85,56,77,50,77,78
729,45,50,43,40,38,62
730,62,73,55,56,52,84
731,78,81,71,74,69,126
732,38,35,40,27,25,35
733,45,22,60,27,30,29
734,80,52,50,90,50,89
735,62,50,58,73,54,72
736,86,68,72,109,66,106
737,44,38,39,61,79,42
738,54,45,47,75,98,52
739,78,65,68,112,154,75
740,66,65,48,62,57,52
741,123,100,62,97,81,68
742,67,82,62,46,48,43
743,95,124,78,69,71,58
744,75,80,60,65,90,102
745,62,48,54,63,60,68
746,74,48,76,83,81,104
747,74,48,76,83,81,104
748,45,80,100,35,37,28
749,59,110,150,45,49,35
750,60,150,50,150,50,60
751,60,50,150,50,150,60
752,78,52,60,63,65,23
753,101,72,72,99,89,29
754,62,48,66,59,57,49
755,82,80,86,85,75,72
756,53,54,53,37,46,45
757,86,92,88,68,75,73
758,42,52,67,39,56,50
759,72,105,115,54,86,68
760,50,60,60,60,60,30
761,65,75,90,97,123,44
762,50,53,62,58,63,44
763,71,73,88,120,89,59
764,44,38,33,61,43,70
765,62,55,52,109,94,109
766,58,89,77,45,45,48
767,82,121,119,69,59,71
768,77,59,50,67,63,46
769,123,77,72,99,92,58
770,95,65,65,110,130,60
771,78,92,75,74,63,118
772,67,58,57,81,67,101
773,50,50,150,50,150,50
774,45,50,35,55,75,40
775,68,75,53,83,113,60
776,90,100,70,110,150,80
777,57,80,91,80,87,75
778,43,70,48,50,60,38
779,85,110,76,65,82,56
780,49,66,70,44,55,51
781,44,66,70,44,55,56
782,54,66,70,44,55,46
783,59,66,70,44,55,41
784,65,90,122,58,75,84
785,55,85,122,58,75,99
786,75,95,122,58,75,69
787,85,100,122,58,75,54
788,55,69,85,32,35,28
789,95,117,184,44,46,28
790,40,30,35,45,40,55
791,85,70,80,97,80,123
792,126,131,95,131,98,99
793,126,131,95,131,98,99
794,108,100,121,81,95,95
795,50,100,150,100,150,50
796,50,160,110,160,110,110
797,80,110,60,150,130,70
798,80,160,60,170,130,80
799,80,110,120,130,90,70
