,stature_m,buttockheight,waistdepth,span,waistcircumference,shouldercircumference,footlength,handlength,functionalleglength,chestheight,chestcircumference,cervicaleheight,sittingheight
87,1.7990000000000002,898,247,1785,984,1151,268,194,1144,1305,1043,1538,978
88,1.74,939,186,1819,721,1095,268,194,1146,1290,902,1495,875
89,1.702,870,227,1765,885,1137,268,204,1071,1235,1008,1459,914
90,1.737,898,237,1798,961,1187,269,197,1082,1288,1027,1510,921
91,1.73,874,257,1744,996,1142,266,187,1110,1314,1044,1502,913
92,1.785,901,209,1774,838,1064,268,192,1116,1307,917,1525,962
93,1.817,960,190,1954,752,1096,287,203,1151,1336,917,1567,927
94,1.843,955,198,1876,775,1128,277,202,1160,1364,924,1580,948
95,1.791,950,184,1875,809,1179,264,195,1154,1345,994,1546,919
96,1.6569999999999998,845,212,1663,862,1128,248,175,1099,1223,1001,1419,862
97,1.7009999999999998,895,267,1749,1027,1124,265,184,1131,1251,1069,1464,891
98,1.786,880,207,1855,797,1148,262,186,1107,1298,995,1533,955
99,1.755,894,289,1813,1082,1197,269,195,1135,1294,1104,1515,930
100,1.791,920,247,1883,942,1157,274,204,1152,1332,1045,1560,910
101,1.759,890,208,1778,871,1127,275,182,1124,1288,1015,1519,928
102,1.79,914,253,1862,912,1195,269,191,1196,1310,1109,1536,927
103,1.7819999999999998,896,218,1691,873,1123,260,183,1146,1297,991,1530,963
104,1.839,950,211,1826,785,961,282,201,1175,1377,844,1584,968
105,1.88,977,261,1909,1023,1154,280,197,1265,1407,1176,1651,931
106,1.7380000000000002,897,244,1828,924,1222,278,192,1088,1276,1085,1498,948
107,1.734,886,273,1816,1001,1194,270,196,1141,1272,1085,1498,919
108,1.819,998,241,1990,901,1220,284,204,1159,1341,1021,1588,921
109,1.683,884,245,1748,958,1162,265,194,1128,1257,1096,1446,890
110,1.815,953,234,1837,972,1156,275,192,1185,1340,1063,1587,945
111,1.815,906,238,1799,939,1154,279,199,1152,1329,1030,1573,974
112,1.673,845,279,1724,1003,1197,246,177,1051,1223,1106,1438,908
113,1.831,931,308,1880,1139,1243,285,209,1226,1353,1163,1579,967
114,1.795,959,319,1752,1162,1161,263,191,1156,1311,1089,1552,926
115,1.845,960,294,1918,1111,1228,275,197,1228,1352,1149,1595,961
116,1.6869999999999998,836,223,1727,900,1127,246,182,1009,1229,1041,1432,940
117,1.756,918,271,1786,998,1117,274,190,1137,1279,1056,1518,928
118,1.846,1011,373,1919,1330,1368,294,208,1275,1411,1358,1627,927
119,1.6569999999999998,836,228,1719,897,1219,254,180,1087,1196,1025,1431,897
120,1.632,841,222,1723,911,1105,257,174,1070,1186,1000,1400,857
121,1.735,895,230,1858,861,1186,267,192,1119,1280,1026,1494,916
122,1.726,889,229,1745,920,1064,269,185,1086,1252,989,1499,925
123,1.877,962,330,1914,1192,1258,283,207,1229,1432,1251,1642,986
124,1.887,959,251,1915,1012,1183,289,205,1184,1385,1030,1608,1007
125,1.765,987,224,1855,845,1060,284,200,1183,1322,970,1530,878
126,1.793,988,214,1917,843,1201,280,196,1142,1327,1035,1561,903
127,1.849,930,233,1916,910,1268,288,203,1196,1371,1076,1577,992
128,1.811,945,217,1892,879,1151,263,197,1149,1332,1038,1576,944
129,1.739,891,265,1786,1031,1210,276,191,1131,1292,1113,1524,930
130,1.668,872,228,1716,929,1085,275,185,1129,1227,1011,1443,843
131,1.788,926,241,1891,994,1144,270,196,1220,1297,1024,1548,941
132,1.746,962,214,1869,815,1182,281,208,1189,1297,997,1522,857
133,1.75,933,254,1812,983,1165,265,196,1112,1291,1057,1502,908
134,1.81,923,249,1883,1004,1242,285,206,1164,1355,1082,1558,951
135,1.71,853,204,1707,825,1115,260,188,1053,1250,1002,1477,930
136,1.847,971,273,1978,1077,1223,288,204,1219,1371,1132,1601,956
137,1.811,929,225,1780,952,1162,276,183,1145,1345,1123,1564,945
138,1.78,956,281,1977,1047,1286,296,222,1170,1311,1175,1558,906
139,1.74,898,212,1762,851,1170,259,188,1107,1273,1021,1499,943
140,1.797,919,221,1846,920,1224,278,197,1150,1333,1115,1535,944
141,1.755,927,240,1827,934,1241,282,189,1180,1294,1112,1526,896
142,1.842,972,281,1937,1114,1248,286,205,1255,1334,1165,1609,949
143,1.656,869,224,1733,967,1157,259,180,1089,1210,1056,1445,868
144,1.776,908,256,1827,1007,1183,272,190,1160,1293,1048,1536,940
145,1.859,989,301,1836,1109,1199,284,195,1208,1363,1137,1604,980
146,1.685,850,212,1732,827,1154,266,190,1036,1224,1041,1471,926
147,1.775,918,224,1811,947,1176,278,190,1158,1277,1027,1535,951
148,1.825,1014,225,2007,881,1162,290,211,1237,1356,1021,1598,892
149,1.931,1015,198,2012,833,1168,284,204,1254,1430,1001,1682,989
150,1.789,944,244,1857,963,1235,275,192,1160,1298,1126,1539,952
151,1.819,953,301,1875,1100,1295,281,195,1156,1365,1225,1575,955
152,1.7819999999999998,919,208,1824,852,1216,262,188,1132,1293,1070,1544,933
153,1.721,880,240,1740,941,1200,259,183,1123,1279,1102,1484,944
154,1.91,1004,250,1989,1026,1314,298,210,1290,1400,1194,1663,968
155,1.804,945,251,1890,978,1181,276,199,1185,1349,1097,1576,939
156,1.7819999999999998,950,306,1827,1150,1235,270,201,1197,1302,1208,1533,908
157,1.777,931,245,1809,935,1245,272,177,1206,1337,1116,1539,917
158,1.665,830,227,1769,923,1096,260,188,1072,1234,995,1415,909
159,1.803,950,255,1855,973,1183,263,185,1177,1357,1092,1555,940
160,1.879,1008,226,2022,908,1272,300,218,1252,1389,1079,1628,945
161,1.733,899,288,1776,1111,1226,249,183,1123,1275,1179,1512,902
162,1.835,978,276,1892,1031,1204,278,200,1213,1350,1084,1608,949
163,1.7919999999999998,939,278,1819,1164,1248,277,196,1176,1333,1150,1547,955
164,1.721,870,242,1749,1006,1149,272,187,1055,1244,1098,1482,938
165,1.711,888,268,1756,1018,1175,262,183,1138,1278,1142,1489,903
166,1.809,945,231,1817,992,1216,268,184,1137,1346,1071,1561,959
167,1.664,869,215,1706,908,1168,261,179,1117,1255,1021,1435,871
168,1.807,933,247,1893,1053,1212,279,207,1147,1336,1241,1561,970
169,1.705,887,222,1766,912,1128,270,185,1107,1261,1027,1473,906
170,1.955,1021,265,2076,1049,1291,299,222,1287,1458,1167,1698,1009
171,1.73,875,230,1771,917,1190,274,185,1154,1267,1082,1484,924
172,1.774,927,290,1812,1066,1184,278,194,1177,1278,1139,1531,931
173,1.724,912,199,1710,848,1080,260,177,1133,1268,947,1497,912
174,1.705,888,200,1762,759,1097,260,195,1070,1251,948,1458,904
175,1.838,950,251,1877,959,1151,274,196,1185,1363,1058,1601,945
176,1.706,892,242,1706,970,1203,245,185,1131,1260,1102,1463,902
177,1.809,960,292,1895,1068,1225,272,198,1214,1357,1179,1577,927
178,1.773,933,251,1823,972,1134,282,197,1134,1302,1028,1549,917
179,1.734,886,261,1746,993,1109,271,196,1137,1288,1048,1506,923
180,1.7480000000000002,898,228,1821,898,1134,268,187,1127,1267,969,1509,914
181,1.651,832,246,1689,964,1186,262,182,1047,1210,1125,1412,915
182,1.724,885,211,1873,881,1107,275,193,1165,1269,1049,1498,873
183,1.86,954,207,1912,821,1122,286,207,1231,1379,957,1615,960
184,1.715,875,200,1750,801,1085,266,185,1126,1267,913,1464,913
185,1.757,919,227,1807,845,1126,279,196,1132,1287,995,1521,932
186,1.916,979,271,1963,1134,1252,292,204,1245,1412,1237,1665,1001
187,1.847,992,217,1904,877,1173,280,198,1225,1379,1018,1594,913
188,1.855,990,222,1969,951,1270,289,203,1228,1372,1059,1610,937
189,1.7180000000000002,880,223,1757,867,1083,261,186,1094,1267,907,1467,930
190,1.641,806,275,1690,1029,1178,257,185,1059,1183,1063,1404,897
191,1.833,945,204,1891,879,1171,293,204,1183,1352,1017,1568,950
192,1.784,939,263,1835,1015,1254,292,195,1153,1354,1130,1570,947
193,1.77,892,263,1856,1034,1256,283,206,1193,1288,1156,1522,932
194,1.702,877,198,1721,844,1107,247,183,1089,1266,978,1456,918
195,1.8,933,189,1843,797,1151,255,189,1123,1307,963,1557,946
196,1.715,918,215,1801,892,1081,265,194,1117,1267,965,1480,897
197,1.842,944,214,1803,865,1153,277,189,1220,1366,956,1593,991
198,1.71,880,278,1759,1031,1158,276,188,1078,1271,1080,1475,917
199,1.753,951,235,1882,912,1215,283,201,1148,1310,1078,1542,905
200,1.935,1015,259,1934,1086,1243,278,200,1259,1421,1158,1677,1030
201,1.7380000000000002,909,236,1777,914,1105,258,195,1111,1268,1013,1505,911
202,1.77,926,223,1852,923,1189,256,190,1178,1309,1037,1530,899
203,1.72,917,223,1856,918,1193,277,193,1152,1287,1039,1503,887
204,1.673,831,217,1695,831,1082,240,175,1076,1235,985,1445,909
205,1.715,883,321,1684,1182,1293,266,183,1128,1274,1285,1490,949
206,1.822,947,276,1813,1054,1155,266,195,1199,1336,1082,1583,955
207,1.913,981,303,1908,1118,1243,286,195,1238,1402,1157,1661,1019
208,1.756,919,242,1799,963,1187,269,193,1155,1314,1049,1516,943
209,1.735,881,224,1776,877,1205,253,184,1092,1266,1063,1491,920
210,1.726,908,243,1929,912,1230,285,208,1162,1270,1061,1489,884
211,1.716,871,260,1778,973,1242,260,187,1065,1275,1120,1479,921
212,1.717,879,220,1754,818,1029,257,190,1090,1265,913,1488,917
213,1.7180000000000002,915,198,1764,783,1103,262,197,1112,1267,941,1483,884
214,1.747,923,250,1866,1015,1260,284,200,1136,1270,1151,1512,908
215,1.567,861,175,1647,694,995,243,172,991,1133,810,1351,801
216,1.894,972,303,1825,1121,1217,274,196,1194,1364,1163,1618,1030
217,1.7380000000000002,927,223,1780,870,1151,264,188,1110,1271,972,1495,910
218,1.862,1002,254,1950,1015,1218,294,203,1231,1391,1091,1618,954
219,1.654,858,181,1644,738,1012,241,165,1063,1196,846,1421,871
220,1.6369999999999998,845,287,1679,1032,1153,247,183,1059,1226,1092,1402,886
221,1.7380000000000002,884,228,1829,979,1231,272,190,1124,1264,1071,1507,921
222,1.813,1024,261,1959,1017,1261,287,205,1208,1347,1172,1585,906
223,1.7380000000000002,970,226,1884,883,1163,295,200,1170,1302,1035,1499,860
224,1.815,980,268,1949,1068,1288,300,217,1226,1323,1203,1595,933
225,1.736,860,308,1732,1179,1183,267,182,1149,1262,1212,1498,954
226,1.689,866,242,1719,993,1174,275,181,1138,1247,1047,1454,898
227,1.74,913,215,1790,880,1065,253,185,1150,1266,977,1527,921
228,1.7819999999999998,942,257,1832,977,1104,269,195,1138,1326,1014,1548,938
229,1.784,961,231,1842,925,1133,271,201,1135,1292,1041,1533,930
230,1.6469999999999998,861,260,1701,1010,1167,252,179,1127,1222,1082,1422,870
231,1.74,888,246,1776,1004,1197,268,187,1131,1276,1166,1498,930
232,1.664,857,186,1768,744,1083,273,193,1118,1226,967,1432,898
233,1.805,945,266,1913,1045,1235,290,201,1218,1342,1171,1569,925
234,1.745,932,240,1857,936,1206,267,187,1181,1303,1078,1519,883
235,1.605,843,199,1708,755,1139,257,186,1096,1180,963,1382,849
236,1.83,976,241,1960,997,1215,271,199,1213,1395,1101,1582,935
237,1.81,967,229,1881,913,1171,269,194,1204,1349,1053,1569,917
238,1.731,886,235,1746,921,1118,244,178,1085,1278,1027,1487,915
239,1.845,964,215,1868,899,1122,295,195,1188,1364,972,1592,960
240,1.775,965,189,1907,734,1112,288,204,1154,1324,915,1523,897
241,1.795,926,292,1838,1124,1253,276,187,1187,1299,1142,1555,934
242,1.664,891,274,1773,976,1170,267,200,1117,1218,1081,1426,857
243,1.7519999999999998,906,286,1809,1084,1176,263,187,1175,1299,1108,1527,928
244,1.814,963,275,1893,1026,1143,269,204,1150,1357,1069,1577,941
245,1.836,981,282,1904,1078,1265,282,197,1228,1357,1140,1609,955
246,1.628,849,260,1671,972,1107,248,183,1056,1198,1018,1411,885
247,1.64,835,217,1760,903,1214,253,193,1099,1199,1096,1426,881
248,1.7280000000000002,850,237,1798,928,1209,280,204,1095,1269,1127,1487,934
249,1.606,821,182,1677,779,1025,244,176,1052,1173,907,1360,864
