,HP,Attack,Defense,Generation,Name,Type,Legendary
46,40,45,35,1,Zubat,Poison,False
47,75,80,70,1,Golbat,Poison,False
48,45,50,55,1,Oddish,Grass,False
49,60,65,70,1,Gloom,Grass,False
50,75,80,85,1,Vileplume,Grass,False
51,35,70,55,1,Paras,Bug,False
52,60,95,80,1,Parasect,Bug,False
53,60,55,50,1,Venonat,Bug,False
54,70,65,60,1,Venomoth,Bug,False
55,10,55,25,1,Diglett,Ground,False
56,35,80,50,1,Dugtrio,Ground,False
57,40,45,35,1,Meowth,Normal,False
58,65,70,60,1,Persian,Normal,False
59,50,52,48,1,Psyduck,Water,False
60,80,82,78,1,Golduck,Water,False
61,40,80,35,1,Mankey,Fighting,False
62,65,105,60,1,Primeape,Fighting,False
63,55,70,45,1,Growlithe,Fire,False
64,90,110,80,1,Arcanine,Fire,False
65,40,50,40,1,Poliwag,Water,False
66,65,65,65,1,Poliwhirl,Water,False
67,90,95,95,1,Poliwrath,Water,False
68,25,20,15,1,Abra,Psychic,False
69,40,35,30,1,Kadabra,Psychic,False
70,55,50,45,1,Alakazam,Psychic,False
71,55,50,65,1,AlakazamMega Alakazam,Psychic,False
72,70,80,50,1,Machop,Fighting,False
73,80,100,70,1,Machoke,Fighting,False
74,90,130,80,1,Machamp,Fighting,False
75,50,75,35,1,Bellsprout,Grass,False
76,65,90,50,1,Weepinbell,Grass,False
77,80,105,65,1,Victreebel,Grass,False
78,40,40,35,1,Tentacool,Water,False
79,80,70,65,1,Tentacruel,Water,False
80,40,80,100,1,Geodude,Rock,False
81,55,95,115,1,Graveler,Rock,False
82,80,120,130,1,Golem,Rock,False
83,50,85,55,1,Ponyta,Fire,False
84,65,100,70,1,Rapidash,Fire,False
85,90,65,65,1,Slowpoke,Water,False
86,95,75,110,1,Slowbro,Water,False
87,95,75,180,1,SlowbroMega Slowbro,Water,False
88,25,35,70,1,Magnemite,Electric,False
89,50,60,95,1,Magneton,Electric,False
90,52,65,55,1,Farfetch'd,Normal,False
91,35,85,45,1,Doduo,Normal,False
92,60,110,70,1,Dodrio,Normal,False
93,65,45,55,1,Seel,Water,False
94,90,70,80,1,Dewgong,Water,False
95,80,80,50,1,Grimer,Poison,False
96,105,105,75,1,Muk,Poison,False
97,30,65,100,1,Shellder,Water,False
98,50,95,180,1,Cloyster,Water,False
99,30,35,30,1,Gastly,Ghost,False
100,45,50,45,1,Haunter,Ghost,False
101,60,65,60,1,Gengar,Ghost,False
102,60,65,80,1,GengarMega Gengar,Ghost,False
103,35,45,160,1,Onix,Rock,False
104,60,48,45,1,Drowzee,Psychic,False
105,85,73,70,1,Hypno,Psychic,False
106,30,105,90,1,Krabby,Water,False
107,55,130,115,1,Kingler,Water,False
108,40,30,50,1,Voltorb,Electric,False
109,60,50,70,1,Electrode,Electric,False
110,60,40,80,1,Exeggcute,Grass,False
111,95,95,85,1,Exeggutor,Grass,False
112,50,50,95,1,Cubone,Ground,False
113,60,80,110,1,Marowak,Ground,False
114,50,120,53,1,Hitmonlee,Fighting,False
115,50,105,79,1,Hitmonchan,Fighting,False
116,90,55,75,1,Lickitung,Normal,False
117,40,65,95,1,Koffing,Poison,False
118,65,90,120,1,Weezing,Poison,False
119,80,85,95,1,Rhyhorn,Ground,False
120,105,130,120,1,Rhydon,Ground,False
121,250,5,5,1,Chansey,Normal,False
122,65,55,115,1,Tangela,Grass,False
123,105,95,80,1,Kangaskhan,Normal,False
124,105,125,100,1,KangaskhanMega Kangaskhan,Normal,False
125,30,40,70,1,Horsea,Water,False
126,55,65,95,1,Seadra,Water,False
127,45,67,60,1,Goldeen,Water,False
128,80,92,65,1,Seaking,Water,False
129,30,45,55,1,Staryu,Water,False
130,60,75,85,1,Starmie,Water,False
131,40,45,65,1,Mr. Mime,Psychic,False
132,70,110,80,1,Scyther,Bug,False
133,65,50,35,1,Jynx,Ice,False
134,65,83,57,1,Electabuzz,Electric,False
135,65,95,57,1,Magmar,Fire,False
136,65,125,100,1,Pinsir,Bug,False
137,65,155,120,1,PinsirMega Pinsir,Bug,False
138,75,100,95,1,Tauros,Normal,False
139,20,10,55,1,Magikarp,Water,False
140,95,125,79,1,Gyarados,Water,False
141,95,155,109,1,GyaradosMega Gyarados,Water,False
142,130,85,80,1,Lapras,Water,False
143,48,48,48,1,Ditto,Normal,False
144,55,55,50,1,Eevee,Normal,False
145,130,65,60,1,Vaporeon,Water,False
146,65,65,60,1,Jolteon,Electric,False
147,65,130,60,1,Flareon,Fire,False
148,65,60,70,1,Porygon,Normal,False
149,35,40,100,1,Omanyte,Rock,False
150,70,60,125,1,Omastar,Rock,False
151,30,80,90,1,Kabuto,Rock,False
152,60,115,105,1,Kabutops,Rock,False
153,80,105,65,1,Aerodactyl,Rock,False
154,80,135,85,1,AerodactylMega Aerodactyl,Rock,False
155,160,110,65,1,Snorlax,Normal,False
156,41,64,45,1,Dratini,Dragon,False
157,61,84,65,1,Dragonair,Dragon,False
158,91,134,95,1,Dragonite,Dragon,False
159,100,100,100,1,Mew,Psychic,False
