,acromialheight,axillaheight,bideltoidbreadth,buttockcircumference,buttockkneelength,buttockpopliteallength,cervicaleheight,chestcircumference,chestheight,earprotrusion,footbreadthhorizontal,forearmcircumferenceflexed,handlength,headbreadth,heelbreadth,hipbreadth,iliocristaleheight,interscyeii,lateralfemoralepicondyleheight,lateralmalleolusheight,neckcircumferencebase,radialestylionlength,shouldercircumference,shoulderelbowlength,sleeveoutseam,thighcircumference,thighclearance,verticaltrunkcircumferenceusa,waistcircumference,waistdepth,wristheight,BMI
18,1427,1319,490,974,617,497,1518,999,1293,20,95,297,179,150,66,331,1077,456,494,78,426,260,1140,359,576,613,185,1650,874,208,844,24.873146950552183
19,1468,1351,511,1035,608,485,1533,1127,1322,22,104,298,198,150,67,352,1060,430,490,70,413,267,1146,375,611,632,188,1776,999,259,849,28.212460959298237
20,1450,1342,489,929,599,490,1520,1000,1276,23,106,288,195,150,65,320,1056,442,492,70,414,273,1125,379,600,553,166,1631,837,199,840,22.5350334553718
21,1370,1273,493,1013,577,462,1443,977,1262,21,97,299,185,149,62,342,992,457,454,68,406,254,1121,332,563,638,190,1693,880,216,806,26.431405895691608
22,1340,1256,511,1029,600,486,1423,1079,1216,20,101,290,180,150,69,334,1014,382,467,72,418,254,1170,337,552,639,183,1628,978,241,805,28.985411774006014
23,1624,1535,511,1008,716,590,1707,1011,1506,29,104,306,227,153,73,333,1230,460,567,70,432,317,1203,417,696,646,191,1736,827,208,926,23.842523649047433
24,1423,1321,519,1056,613,480,1509,1098,1291,24,104,325,194,159,67,361,1046,415,480,74,440,264,1160,371,597,665,206,1748,1030,273,825,31.33091452179772
25,1326,1233,443,923,558,446,1410,957,1174,24,95,276,181,155,68,315,984,404,456,67,401,240,1031,333,529,588,169,1599,885,228,790,25.405547818886674
26,1486,1376,566,1146,640,509,1564,1158,1343,21,104,327,199,154,68,383,1091,461,500,82,447,263,1238,373,600,706,205,1799,1130,300,887,32.2161756427097
27,1469,1363,480,996,610,498,1550,964,1316,25,94,281,192,155,67,337,1073,394,501,74,404,246,1095,362,582,621,172,1705,912,229,873,24.61185124261916
28,1425,1327,483,1016,616,494,1500,971,1290,21,102,292,193,150,74,345,1061,387,490,70,409,274,1084,378,605,635,173,1655,864,219,798,25.681234144218852
29,1480,1367,491,1048,606,485,1568,1057,1325,20,98,314,196,148,67,357,1075,406,506,82,438,249,1135,362,577,646,187,1753,965,242,915,26.685836900521736
30,1538,1434,473,915,636,516,1620,957,1376,24,99,284,192,149,68,329,1133,449,523,81,436,274,1141,388,625,531,172,1684,777,186,874,20.208238121442186
31,1429,1321,515,1092,601,473,1521,1108,1292,28,104,317,201,153,70,373,1052,450,508,82,428,281,1141,382,635,684,189,1694,1063,275,815,30.57205578512397
32,1363,1265,461,917,597,489,1447,947,1239,25,96,263,187,153,67,316,1013,413,459,69,400,256,1040,347,578,557,162,1538,870,226,794,23.70238360436623
33,1543,1429,514,1047,663,540,1615,1043,1350,25,99,312,195,152,71,351,1155,451,522,76,425,291,1182,408,650,617,183,1721,966,240,886,25.627539429675004
34,1432,1339,478,931,602,489,1525,965,1307,24,101,276,193,149,63,332,1064,397,487,73,438,271,1123,352,594,528,164,1590,806,213,845,21.18494456606172
35,1483,1366,527,1015,618,499,1542,1174,1314,22,95,294,194,149,68,353,1088,444,515,75,442,278,1154,376,634,620,180,1728,1096,282,862,27.55885014750532
36,1386,1282,440,941,598,493,1452,951,1227,22,95,265,183,150,78,315,1016,375,470,78,389,261,1013,356,586,637,172,1593,895,225,789,24.478510861238536
37,1544,1425,565,1221,679,540,1616,1182,1372,24,106,358,197,144,72,415,1106,494,532,72,438,293,1253,392,635,781,221,1902,1214,316,909,35.588020452885324
38,1412,1307,484,931,587,475,1488,981,1263,20,94,307,210,145,68,315,1045,380,497,74,425,274,1147,360,611,594,176,1632,790,202,821,23.83028594023073
39,1430,1320,523,1032,593,469,1484,1086,1261,26,104,306,196,160,72,343,1037,465,488,82,456,263,1209,342,570,613,175,1720,1002,263,855,28.99887394837937
40,1438,1335,445,872,598,488,1501,865,1311,24,95,268,184,155,53,309,1032,387,472,70,396,265,1012,364,593,497,150,1589,748,187,832,18.904921723760623
41,1374,1265,523,1026,586,470,1440,1205,1246,25,104,300,189,152,70,338,996,467,480,75,464,258,1233,349,559,628,179,1648,1043,291,798,31.07439728616929
42,1502,1397,489,998,609,480,1583,1013,1374,26,105,313,206,156,67,343,1108,440,513,78,430,263,1150,356,578,627,186,1729,864,210,902,25.2158476559348
43,1414,1301,553,988,608,498,1501,1152,1249,22,102,307,190,160,75,347,1037,477,484,75,437,257,1244,344,563,630,179,1616,969,226,850,28.90173410404624
44,1440,1325,534,1115,636,517,1522,1096,1279,24,105,312,198,146,72,373,1076,475,505,86,444,259,1167,348,575,698,188,1705,1095,273,859,30.85700002963303
45,1328,1228,471,901,545,437,1411,957,1190,22,104,279,190,162,71,298,970,431,458,73,396,250,1086,327,552,551,160,1561,770,193,772,23.94490732746473
46,1413,1300,470,973,572,461,1490,985,1249,22,97,295,200,144,61,337,1033,441,487,70,415,262,1100,369,590,570,160,1637,840,219,818,23.318800369929967
47,1406,1290,532,1002,609,488,1485,1063,1239,30,91,311,183,153,65,338,1027,465,474,74,453,261,1190,354,589,652,189,1737,1028,270,830,29.000085938861517
48,1531,1414,507,1063,644,522,1601,1137,1392,24,107,340,212,155,78,350,1113,432,526,87,468,262,1195,382,587,642,184,1791,1021,277,924,28.691673834864545
49,1364,1252,510,1051,584,456,1440,1106,1220,20,94,296,184,149,67,358,975,430,469,74,429,254,1123,343,562,658,191,1659,1061,282,810,30.546598550606717
50,1457,1329,551,1243,667,528,1530,1166,1306,28,110,327,206,150,77,431,1073,445,494,87,443,269,1254,352,581,773,201,1801,1139,288,880,34.59889454162153
51,1533,1422,531,1007,634,517,1596,1081,1370,20,104,291,203,152,66,345,1130,395,531,71,461,290,1164,395,642,628,179,1766,922,230,873,24.52698792119368
52,1370,1257,474,981,566,454,1426,1006,1229,17,87,289,187,144,60,339,975,408,440,64,423,255,1073,339,548,582,165,1627,995,265,800,27.129204047065247
53,1434,1315,524,1030,616,487,1519,1153,1289,25,104,316,185,152,72,341,1034,440,490,81,475,274,1187,365,596,662,198,1707,1047,281,815,32.049240114467146
54,1385,1276,495,954,576,465,1456,1037,1223,25,104,330,190,157,67,328,990,428,468,79,449,247,1155,324,530,589,164,1652,885,223,849,26.62197756177125
55,1525,1385,567,1265,674,533,1600,1469,1349,20,107,379,213,160,80,407,1088,480,547,83,528,302,1309,396,650,781,223,1954,1379,406,893,41.351606805293
56,1496,1395,475,897,625,511,1543,901,1343,22,94,291,196,151,64,312,1103,387,512,69,398,304,1093,376,647,532,165,1587,750,192,856,21.201042185355615
57,1426,1308,522,1067,618,498,1501,1071,1268,26,96,289,187,152,65,352,1044,448,470,69,422,248,1184,352,565,671,192,1711,970,248,850,28.931397242484387
58,1433,1302,547,1099,603,484,1492,1263,1285,24,98,306,189,168,71,384,1039,462,471,72,495,258,1252,372,591,646,195,1760,1068,288,837,34.066510379079574
59,1529,1404,535,1023,638,519,1597,1146,1365,23,107,314,205,158,70,349,1113,492,516,77,440,281,1234,385,617,613,183,1776,1012,251,895,27.75587888174129
60,1310,1218,456,877,548,445,1388,858,1208,27,97,261,178,155,54,300,976,370,446,74,381,256,1035,342,554,518,156,1468,754,193,747,21.86272756453464
61,1396,1289,500,968,600,492,1476,1044,1248,23,92,290,184,154,63,318,1058,420,484,75,425,258,1130,362,581,592,172,1546,926,235,799,24.54906920680485
62,1491,1390,461,952,610,493,1577,904,1357,20,102,270,193,148,70,339,1106,425,513,78,410,282,1065,382,630,547,164,1654,827,205,860,21.293498355470753
63,1378,1257,492,1032,600,489,1457,1033,1217,25,96,296,191,154,68,359,1029,444,481,74,452,271,1141,368,594,621,176,1597,940,239,754,28.449391122725768
64,1434,1309,535,1074,607,479,1504,1160,1268,23,102,321,197,155,70,350,1031,445,489,71,472,266,1161,354,583,685,204,1729,1133,312,840,32.5582192367668
65,1410,1305,459,922,571,466,1465,971,1251,24,99,260,178,157,69,317,1019,403,471,70,411,246,1037,348,561,567,169,1572,843,207,837,22.96056747978985
66,1356,1236,482,1025,585,470,1443,1050,1192,27,101,294,180,158,69,350,1006,406,459,68,457,259,1112,366,579,621,183,1612,1021,270,758,28.901516738705567
67,1524,1404,542,1087,670,539,1605,1213,1360,25,111,318,199,161,76,360,1137,482,522,83,475,270,1258,376,600,658,190,1792,1061,291,919,30.766983199415627
68,1416,1316,495,939,600,485,1509,944,1300,24,96,301,190,148,61,328,1066,415,494,75,405,271,1117,373,600,548,160,1570,786,192,815,22.20043711783069
69,1320,1216,481,952,593,475,1407,989,1179,24,99,328,184,155,68,311,976,420,444,67,430,246,1143,332,550,614,183,1583,855,217,779,28.575123771489054
70,1442,1339,485,956,593,476,1521,975,1304,24,100,270,196,155,67,327,1064,410,492,75,413,272,1116,351,575,593,163,1618,830,196,848,23.503304475436817
71,1384,1287,454,823,620,519,1460,939,1279,19,100,282,203,154,66,268,1068,399,504,64,388,275,1067,359,600,498,149,1441,743,193,778,20.777255097565373
72,1296,1181,497,999,571,459,1381,1091,1191,23,99,295,180,154,70,342,951,445,448,68,428,237,1143,344,543,585,175,1597,967,246,753,29.52889959830777
73,1379,1284,507,976,577,465,1470,983,1253,23,99,287,181,152,68,337,1003,422,459,75,433,248,1156,344,545,614,187,1644,922,226,817,25.779805550445843
74,1514,1404,521,1116,644,520,1587,1129,1361,23,108,318,195,161,74,381,1106,470,525,77,429,287,1192,367,620,694,206,1749,1120,291,899,30.18667296786389
75,1418,1316,545,1071,604,486,1509,1205,1264,25,101,320,181,148,67,357,1011,490,482,75,474,262,1217,357,590,609,166,1732,1060,284,827,31.697974588296628
76,1383,1254,525,1081,591,470,1448,1123,1227,24,100,330,190,158,71,367,977,460,459,67,452,252,1201,361,578,685,192,1713,1030,277,818,32.93751222220795
77,1446,1328,555,1073,633,494,1540,1129,1288,20,105,349,210,153,74,343,1087,440,507,79,457,275,1264,360,585,687,206,1781,974,244,854,32.261224489795914
78,1458,1350,538,1042,658,532,1562,1048,1348,24,105,314,200,147,72,334,1107,492,499,76,450,274,1271,377,615,636,182,1643,844,210,844,26.807617715513448
79,1472,1362,520,1022,656,516,1551,1063,1326,21,109,334,208,168,80,354,1125,434,518,69,446,276,1189,363,605,669,192,1681,969,254,861,30.496838926943852
80,1432,1331,501,1017,626,508,1525,1098,1296,21,101,300,188,148,65,345,1068,478,504,72,412,269,1173,363,606,631,179,1638,1010,260,811,27.820408163265306
81,1392,1301,494,972,618,498,1493,972,1285,24,101,284,191,154,64,332,1066,443,496,77,422,271,1140,367,603,588,171,1610,892,227,793,25.195967702003106
82,1524,1389,510,1006,619,502,1573,1127,1347,24,94,298,201,144,70,344,1085,427,510,73,427,263,1142,362,592,641,190,1746,1032,281,930,28.113226631415124
83,1446,1348,490,949,597,486,1532,963,1302,28,98,291,190,159,68,327,1055,472,486,76,426,259,1142,354,583,581,166,1678,851,214,869,23.194326368488642
84,1410,1308,511,986,587,477,1479,1098,1276,24,99,291,191,154,75,321,1019,456,483,75,441,254,1193,358,572,592,179,1689,979,253,844,27.722301361963314
85,1252,1148,454,926,556,445,1333,953,1116,28,92,277,165,150,60,311,910,396,410,64,400,223,1013,315,508,570,173,1549,857,217,743,25.179873450052284
86,1417,1305,495,990,590,478,1481,1024,1270,26,115,288,192,153,70,338,1038,451,484,77,432,258,1116,372,585,597,173,1656,979,245,828,26.359263892145208
87,1453,1340,522,1070,611,498,1538,1043,1305,22,97,318,194,157,67,364,1059,469,491,75,432,259,1151,361,580,639,180,1752,984,247,875,27.25249436024769
88,1414,1323,465,847,597,498,1495,902,1290,24,96,280,194,149,60,290,1083,443,513,69,398,271,1095,353,590,507,153,1459,721,186,804,19.487382745408908
89,1380,1279,486,939,579,468,1459,1008,1235,24,93,285,204,159,66,328,1000,464,461,77,424,252,1137,343,565,555,161,1631,885,227,813,25.200186136169386
90,1429,1319,518,1054,615,494,1510,1027,1288,18,99,322,197,155,69,355,1045,455,480,67,450,255,1187,357,578,649,181,1708,961,237,836,28.636115510930942
91,1440,1322,515,1046,613,497,1502,1044,1314,25,101,314,187,157,67,354,1043,438,482,76,424,256,1142,354,579,641,186,1736,996,257,863,28.93514651341508
92,1446,1344,475,997,599,489,1525,917,1307,24,106,277,192,153,70,330,1058,416,483,65,426,270,1064,359,595,609,178,1684,838,209,846,23.130820955833315
93,1476,1368,467,884,627,515,1567,917,1336,20,101,279,203,143,67,320,1122,421,513,67,416,291,1096,394,656,507,162,1619,752,190,851,19.8092436473361
94,1486,1398,492,931,633,515,1580,924,1364,24,102,271,202,151,66,331,1117,435,503,79,408,273,1128,377,610,532,157,1642,775,198,871,20.49078371065129
95,1466,1367,493,973,625,505,1546,994,1345,20,103,310,195,143,65,349,1102,465,508,73,425,271,1179,372,600,576,180,1621,809,184,854,24.16075663384233
96,1349,1248,493,999,585,474,1419,1001,1223,30,101,269,175,153,70,332,995,435,460,74,395,242,1128,334,533,629,182,1637,862,212,813,26.47825705325043
97,1403,1291,472,988,602,485,1464,1069,1251,25,95,306,184,151,65,330,1027,455,485,76,427,261,1124,347,572,613,194,1673,1027,267,816,27.54543874146722
98,1429,1337,487,1007,613,500,1533,995,1298,24,99,288,186,158,65,344,1062,450,480,76,420,264,1148,361,585,586,161,1711,797,207,845,23.324375602703125
99,1433,1318,543,1118,635,507,1515,1104,1294,25,99,320,195,152,70,376,1050,457,481,72,451,272,1197,359,583,713,207,1762,1082,289,852,31.428316328601237
100,1473,1358,507,965,639,515,1560,1045,1332,23,109,325,204,147,72,317,1098,447,517,88,421,280,1157,383,625,597,180,1653,942,247,858,26.99769709020317
101,1427,1325,484,997,599,479,1519,1015,1288,30,99,279,182,165,67,339,1062,447,498,76,401,266,1127,370,600,598,178,1656,871,208,815,23.981272629902072
102,1468,1354,513,1089,658,535,1536,1109,1310,21,98,311,191,152,71,358,1087,492,505,73,416,276,1195,375,619,680,177,1732,912,253,847,28.713211198152372
103,1442,1332,490,983,612,483,1530,991,1297,22,103,286,183,158,70,338,1044,460,484,78,433,255,1123,327,553,627,182,1749,873,218,877,25.63356472821493
104,1525,1416,407,890,610,500,1584,844,1377,20,102,278,201,146,65,317,1109,345,520,78,382,267,961,374,610,517,151,1635,785,211,922,19.101569788294878
105,1591,1462,530,1059,682,553,1651,1176,1407,28,108,311,197,158,71,356,1186,433,549,74,423,295,1154,390,648,632,195,1791,1023,261,926,26.99185151652332
106,1422,1306,527,1018,601,476,1498,1085,1276,24,107,319,192,151,63,334,1054,450,477,70,441,261,1222,376,600,623,187,1684,924,244,844,28.239011283686533
107,1392,1290,550,1047,599,479,1498,1085,1272,25,94,325,196,153,67,347,1030,458,482,80,445,260,1194,357,588,648,192,1719,1001,273,817,29.932591803259047
108,1490,1388,507,988,661,551,1588,1021,1341,27,96,303,204,151,69,331,1121,467,514,75,461,295,1220,398,654,590,165,1685,901,241,849,25.236032460488982
109,1373,1264,531,1003,600,472,1446,1096,1257,19,100,312,194,154,73,328,1009,450,474,75,447,254,1162,334,545,651,188,1637,958,245,823,30.04424730334345
110,1502,1399,505,1052,648,525,1587,1063,1340,25,104,299,192,153,64,358,1102,450,513,77,442,273,1156,380,615,655,188,1728,972,234,889,27.229469753887486
111,1500,1377,523,1068,633,507,1573,1030,1329,22,103,317,199,163,67,372,1065,430,495,65,443,267,1154,368,589,632,169,1788,939,238,896,26.470565914592967
112,1380,1280,527,1022,593,471,1438,1106,1223,22,92,301,177,157,66,343,1001,462,439,68,452,255,1197,347,563,642,187,1647,1003,279,797,29.368376261062714
113,1504,1386,551,1072,628,492,1579,1163,1353,20,107,329,209,158,77,354,1095,468,522,81,479,277,1243,367,600,672,201,1823,1139,308,890,33.16867314271091
114,1477,1365,504,1153,651,523,1552,1089,1311,22,104,320,191,149,66,380,1092,450,508,72,432,271,1161,346,575,692,193,1748,1162,319,889,30.632909428077067
115,1547,1413,540,1124,656,514,1595,1149,1352,31,110,321,197,155,68,368,1124,496,527,76,491,283,1228,377,625,706,210,1862,1111,294,913,32.46157122817841
116,1375,1268,501,965,562,452,1432,1041,1229,23,95,301,182,154,62,332,967,458,449,71,414,243,1127,352,565,606,183,1651,900,223,815,27.477460225322197
117,1450,1338,497,997,618,494,1518,1056,1279,23,104,319,190,147,63,337,1058,422,491,77,436,276,1117,369,595,617,183,1740,998,271,839,28.181931393050057
118,1568,1427,607,1234,690,550,1627,1358,1411,21,117,361,208,160,76,402,1115,536,548,75,466,278,1368,381,615,797,222,1940,1330,373,935,41.464722999217074
119,1340,1237,527,1008,576,460,1431,1025,1196,28,98,325,180,158,67,337,979,459,450,72,439,245,1219,335,532,634,187,1593,897,228,791,28.736375261368078
120,1330,1223,495,933,579,470,1400,1000,1186,23,103,272,174,162,67,315,988,425,453,65,386,259,1105,331,548,563,163,1599,911,222,777,25.906502306805077
121,1425,1313,499,1003,598,473,1494,1026,1280,24,99,305,192,153,67,351,1054,433,493,78,429,274,1186,364,601,568,170,1643,861,230,815,26.31032564010996
122,1411,1292,490,912,575,470,1499,989,1252,21,86,281,185,154,61,326,1016,397,469,62,433,266,1064,358,591,549,159,1639,920,229,812,23.463651145522977
123,1568,1444,559,1176,675,548,1642,1251,1432,24,110,328,207,155,77,398,1114,479,520,87,473,274,1258,397,630,694,192,1912,1192,330,943,34.401238217504954
124,1506,1397,519,1013,631,516,1608,1030,1385,25,103,310,205,160,72,350,1098,471,511,87,413,294,1183,358,603,585,164,1749,1012,251,907,24.657595030736342
125,1449,1351,469,911,628,508,1530,970,1322,27,99,298,200,147,65,315,1107,408,528,73,404,274,1060,377,617,547,175,1571,845,224,823,22.6628895184136
126,1474,1368,506,984,657,540,1561,1035,1327,26,98,334,196,147,73,328,1130,456,518,74,446,289,1201,391,628,620,178,1611,843,214,833,25.56885253397594
127,1493,1386,526,1054,644,510,1577,1076,1371,26,112,335,203,164,79,339,1098,454,517,80,479,282,1268,368,604,678,213,1812,910,233,875,29.016020528834527
128,1495,1380,497,957,611,497,1576,1038,1332,26,100,304,197,158,65,323,1105,428,507,80,430,269,1151,382,628,554,164,1675,879,217,874,23.172702800024762
129,1435,1310,525,1074,609,467,1524,1113,1292,28,109,325,191,163,67,350,1026,435,490,72,464,265,1210,361,596,675,197,1734,1031,265,859,32.67065041378965
130,1382,1280,460,1028,615,492,1443,1011,1227,23,95,285,185,153,65,351,1011,433,480,69,401,259,1085,355,588,644,190,1633,929,228,808,27.280334006176357
131,1459,1336,508,1073,623,500,1548,1024,1297,27,101,309,196,156,73,363,1091,450,515,80,430,287,1144,387,625,669,202,1671,994,241,797,28.08932530566691
132,1434,1333,512,968,648,537,1522,997,1297,21,104,319,208,153,70,322,1092,410,511,73,442,277,1182,359,590,608,180,1581,815,214,832,25.65182534715252
133,1422,1316,493,1001,623,507,1502,1057,1291,19,95,310,196,151,68,339,1054,478,488,77,435,264,1165,361,581,588,169,1679,983,254,828,27.134693877551022
134,1492,1368,539,1109,633,517,1558,1082,1355,24,108,329,206,153,71,385,1108,470,519,80,471,271,1242,375,613,723,200,1772,1004,249,893,30.402002380879704
135,1415,1299,483,963,587,476,1477,1002,1250,27,95,309,188,156,61,329,1004,422,450,73,432,238,1115,344,560,611,174,1678,825,204,868,25.37532916110941
136,1503,1402,538,1062,660,543,1601,1132,1371,23,98,314,204,148,72,368,1128,449,520,73,455,288,1223,387,638,667,189,1752,1077,273,865,28.375372170267475
137,1485,1387,518,1076,636,520,1564,1123,1345,20,102,284,183,145,72,366,1088,450,497,81,411,271,1162,350,570,678,190,1761,952,225,899,27.929204953714052
138,1460,1348,554,1119,661,532,1558,1175,1311,23,103,341,222,150,74,371,1083,520,503,70,457,297,1286,376,631,712,204,1726,1047,281,825,34.086605226612804
139,1402,1302,508,979,601,475,1499,1021,1273,19,101,296,188,153,66,336,1015,401,458,64,440,250,1170,347,548,612,185,1659,851,212,840,26.027216276919013
140,1462,1348,522,1055,632,513,1535,1115,1333,27,101,351,197,161,68,353,1073,455,496,70,453,267,1224,355,593,673,191,1736,920,221,868,29.38800182955021
141,1432,1333,522,1042,637,523,1526,1112,1294,24,100,337,189,154,67,349,1089,444,512,73,450,277,1241,362,595,662,187,1634,934,240,833,29.415345654661888
142,1517,1396,551,1163,668,543,1609,1165,1334,23,110,319,205,161,74,394,1127,478,536,85,446,290,1248,396,656,722,195,1767,1114,281,873,31.50637613602737
143,1362,1263,502,1063,604,493,1445,1056,1210,24,102,299,180,154,74,353,1019,441,463,69,435,257,1157,341,553,683,195,1623,967,224,789,31.87063875469673
144,1449,1346,504,1048,621,495,1536,1048,1293,24,101,290,190,158,64,368,1053,435,494,73,443,280,1183,376,620,634,176,1701,1007,256,838,27.86781714146579
145,1542,1414,536,1180,649,522,1604,1137,1363,22,118,346,195,164,75,405,1121,423,532,83,455,272,1199,370,608,742,201,1849,1109,301,923,33.39235349828308
146,1373,1252,509,987,586,465,1471,1041,1224,25,102,317,190,163,72,326,992,418,455,78,462,250,1154,353,561,613,182,1680,827,212,815,27.82449436025676
147,1436,1323,512,1078,632,503,1535,1027,1277,25,107,308,190,154,75,358,1075,420,495,75,448,263,1176,359,588,685,183,1676,947,224,852,28.153144217417182
148,1512,1399,500,1016,683,543,1598,1021,1356,21,106,328,211,151,70,327,1147,422,549,62,431,310,1162,392,654,629,186,1604,881,225,844,26.00112591480578
149,1571,1460,512,978,665,547,1682,1001,1430,23,107,288,204,150,70,335,1196,440,555,74,433,293,1168,406,655,562,167,1681,833,198,918,21.615759229406233
150,1448,1341,547,1058,617,481,1539,1126,1298,25,108,321,192,148,65,356,1074,480,511,75,455,269,1235,361,600,658,194,1724,963,244,848,30.18258589773352
151,1501,1385,562,1078,647,527,1575,1225,1365,24,108,338,195,152,71,357,1079,486,495,75,473,272,1295,367,595,687,197,1841,1100,301,889,33.21484990907473
152,1428,1333,510,951,606,490,1544,1070,1293,25,98,294,188,160,67,339,1063,508,494,80,438,261,1216,347,568,570,160,1629,852,208,844,24.279457500557385
153,1406,1283,538,1123,622,496,1484,1102,1279,23,105,315,183,147,70,384,1016,462,463,83,429,247,1200,357,555,712,196,1773,941,240,857,32.108408250139014
154,1565,1452,572,1118,688,549,1663,1194,1400,25,107,341,210,161,78,357,1158,502,549,75,491,298,1314,374,645,712,201,1770,1026,250,922,30.646089745346888
155,1504,1385,514,1052,622,502,1576,1097,1349,22,101,319,199,153,61,359,1082,426,510,83,425,267,1181,378,614,629,183,1758,978,251,883,27.501093898260088
156,1458,1341,569,1141,647,527,1533,1208,1302,23,103,315,201,164,67,385,1069,484,508,65,476,262,1235,361,585,698,203,1732,1150,306,853,33.380317705046465
157,1448,1335,544,1056,641,507,1539,1116,1337,23,99,322,177,158,75,350,1097,461,505,70,444,274,1245,353,586,680,189,1700,935,245,864,30.116580618539466
158,1347,1248,483,960,572,460,1415,995,1234,19,97,288,188,152,66,325,971,418,442,73,400,270,1096,331,566,567,171,1606,923,227,783,26.00798997195393
159,1486,1375,514,1034,631,520,1555,1092,1357,25,106,300,185,153,66,353,1083,468,486,77,398,267,1183,378,605,642,175,1743,973,255,871,26.824092095229226
160,1524,1423,549,1046,676,543,1628,1079,1389,19,115,331,218,160,80,334,1173,480,543,85,482,288,1272,381,632,669,193,1704,908,226,893,27.70035242892155
161,1447,1327,542,1132,627,496,1512,1179,1275,16,89,313,183,154,63,382,1037,425,481,73,452,263,1226,364,585,684,207,1755,1111,288,843,32.43111135824757
162,1509,1396,520,1072,667,540,1608,1084,1350,25,103,327,200,155,70,357,1120,482,516,78,455,274,1204,381,629,644,188,1787,1031,276,884,28.45072723088003
163,1461,1344,566,1223,630,490,1547,1150,1333,22,106,317,196,164,70,408,1070,475,499,82,465,271,1248,356,598,774,216,1827,1164,278,873,34.97065330038265
164,1398,1282,518,1048,592,475,1482,1098,1244,23,100,301,187,157,67,356,1005,478,479,74,451,256,1149,343,564,637,189,1662,1006,242,838,30.38650623041548
165,1420,1313,532,1097,623,505,1489,1142,1278,26,100,313,183,156,68,351,1040,410,481,76,449,264,1175,361,581,705,195,1713,1018,268,827,32.38234670220982
166,1505,1364,531,1052,617,484,1561,1071,1346,26,99,320,184,157,68,358,1074,438,500,73,466,265,1216,379,610,652,198,1801,992,231,884,29.02996228243953
