,headbreadth,headcircumference,headlength,tragiontopofhead,n_hairs,measurement_error
52,144,530,183,111,99988.57481801977,0.1
53,152,574,197,133,99996.50657277588,0.1
54,157,578,201,126,99997.91105766624,0.1
55,160,595,200,135,100005.86623191182,0.1
56,151,568,193,126,100008.38983413872,0.1
57,152,582,204,123,100009.31102081305,0.1
58,168,574,192,120,100002.85587325254,0.1
59,158,580,200,130,100008.85141164274,0.1
60,155,557,193,131,99992.45602059003,0.1
61,154,564,193,131,100012.52868155233,0.1
62,148,566,200,132,100005.12929820418,0.1
63,154,547,190,124,99997.01907164896,0.1
64,155,566,192,137,100004.88518146538,0.1
65,157,567,193,135,99999.24428286977,0.1
66,158,569,190,140,100011.31629387454,0.1
67,161,600,212,130,100015.19816816422,0.1
68,148,552,193,120,100021.85575406533,0.1
69,155,575,195,130,99986.03503664512,0.1
70,155,570,201,138,99985.5588619457,0.1
71,154,574,200,125,99994.95534137053,0.1
72,154,580,198,139,100001.60037069448,0.1
73,152,592,211,140,100008.76168921117,0.1
74,161,583,200,130,100003.1563494724,0.1
75,148,569,204,128,99979.77798784176,0.1
76,158,557,185,132,99996.93795987373,0.1
77,153,585,207,126,100008.27974642608,0.1
78,147,563,200,141,100002.30094735364,0.1
79,168,628,218,149,100007.62011180313,0.1
80,148,587,212,131,99997.77671857386,0.1
81,154,583,206,136,99997.9924193107,0.1
82,144,567,202,132,100001.86561390989,0.1
83,159,600,208,144,100004.10051647207,0.1
84,154,584,203,133,100001.98299720127,0.1
85,150,541,185,136,100001.19008645807,0.1
86,153,570,196,125,99993.2933771371,0.1
87,157,566,195,135,100003.7756378632,0.1
88,149,555,197,125,100001.21821270992,0.1
89,159,570,194,134,100011.29483907913,0.1
90,155,574,198,130,100011.98917879902,0.1
91,157,568,194,131,100001.85156417484,0.1
92,153,580,203,129,99996.2471504991,0.1
93,143,552,193,125,99993.61269592546,0.1
94,151,573,205,133,100004.23494354065,0.1
95,143,564,198,132,100000.77340068348,0.1
96,153,560,191,129,99996.56146324427,0.1
97,151,530,178,122,100000.43596856834,0.1
98,158,592,205,138,99993.79999156053,0.1
99,152,585,209,130,100006.98032034072,0.1
100,147,553,193,130,99995.52871435213,0.1
101,165,563,180,138,100012.24507704805,0.1
102,152,593,208,133,100004.03491641789,0.1
103,158,575,196,135,100005.93578523236,0.1
104,146,565,201,129,99989.0508815426,0.1
105,158,582,198,128,100001.6938243306,0.1
106,151,577,203,128,100007.40556451096,0.1
107,153,585,207,133,99990.46299398193,0.1
108,151,580,204,135,99997.33781493997,0.1
109,154,601,211,144,100000.32614546693,0.1
110,153,571,203,123,99986.26882679752,0.1
111,163,565,192,142,100003.15159392043,0.1
112,157,562,192,140,100008.46160647584,0.1
113,158,594,206,140,99991.40484059168,0.1
114,149,574,200,127,100003.50545978664,0.1
115,155,600,209,137,99986.87716588762,0.1
116,154,567,199,130,99999.61304490734,0.1
117,147,566,195,132,99983.84227645297,0.1
118,160,594,207,130,100011.21417708237,0.1
119,158,563,189,131,100004.08900537936,0.1
120,162,571,194,134,99999.75383044123,0.1
121,153,577,201,133,99992.24838380831,0.1
122,154,575,195,128,100012.7375593016,0.1
123,155,600,209,133,100019.67101749255,0.1
124,160,585,200,132,99981.42018135553,0.1
125,147,548,191,123,100012.36164030453,0.1
126,147,557,193,122,100016.27650753148,0.1
127,164,625,215,138,100003.38011696574,0.1
128,158,556,192,126,99988.00731967665,0.1
129,163,578,200,131,100008.63345317543,0.1
130,153,565,198,131,99998.19079697922,0.1
131,156,581,201,127,99993.96079372207,0.1
132,153,591,203,128,99987.69941864331,0.1
133,151,563,197,132,100005.50537495977,0.1
134,153,596,212,132,100007.9280686592,0.1
135,156,553,188,134,99993.7646927032,0.1
136,148,560,200,132,100005.20576337072,0.1
137,145,561,197,127,99988.55658610378,0.1
138,150,570,198,130,100008.01861031873,0.1
139,153,595,212,138,100000.46567298424,0.1
140,161,582,206,137,99998.13430228092,0.1
141,154,560,194,131,99998.9825412747,0.1
142,161,595,208,142,100008.68886157006,0.1
143,154,580,198,121,100007.50411639863,0.1
144,158,582,204,138,100005.29465324352,0.1
145,164,603,203,143,100001.37701209995,0.1
146,163,555,190,135,100000.77821127912,0.1
147,154,565,197,137,100006.18380261998,0.1
148,151,580,205,131,100002.32494559178,0.1
149,150,584,212,137,100006.82551406864,0.1
150,148,576,203,138,99996.89883226482,0.1
151,152,584,204,133,99975.65162235893,0.1
152,160,577,199,135,100010.3882460186,0.1
153,147,560,194,132,100021.86979646976,0.1
154,161,606,212,132,100004.41364443568,0.1
155,153,557,190,131,99998.99844766717,0.1
156,164,602,208,145,99998.63555256104,0.1
157,158,570,198,133,99998.80945812224,0.1
158,152,570,200,136,100000.174094083,0.1
159,153,578,200,133,99988.77981271251,0.1
160,160,589,209,138,99994.8290554208,0.1
161,154,565,193,135,99990.0297317235,0.1
162,155,588,207,134,100002.48799161387,0.1
163,164,585,200,137,99997.03358847628,0.1
164,157,581,200,133,100004.95211323976,0.1
165,156,580,201,141,99998.25296840258,0.1
166,157,570,196,126,100009.86335187823,0.1
167,157,558,191,128,100002.13533901336,0.1
168,155,575,205,139,100021.90699728971,0.1
169,154,582,205,135,99981.03639077107,0.1
170,158,608,215,130,99993.53083311745,0.1
171,150,575,198,128,100009.01486891648,0.1
172,150,585,206,126,100025.28325706806,0.1
173,149,565,200,131,99997.51365222283,0.1
174,155,593,207,130,100000.43668993178,0.1
175,151,573,201,132,99997.73685757488,0.1
176,150,588,203,139,100013.31457112588,0.1
177,150,580,209,127,99997.12692136524,0.1
178,139,570,203,133,100006.8006983988,0.1
179,148,560,195,128,99996.80198401099,0.1
180,153,572,201,134,99987.27441244754,0.1
181,153,577,201,133,100003.13547720463,0.1
182,151,556,198,131,100005.03184813436,0.1
183,153,577,206,138,100012.93225882533,0.1
184,151,580,205,125,99998.89552973583,0.1
185,145,575,200,123,99993.82637936287,0.1
186,152,577,205,135,100005.62761096617,0.1
187,150,565,199,127,100002.40737092236,0.1
188,156,588,206,133,100002.80665077124,0.1
189,150,567,194,118,99999.26887296252,0.1
190,152,571,201,132,100011.60338569994,0.1
191,145,550,193,125,100003.69492716377,0.1
192,156,577,201,132,100019.04658708342,0.1
193,163,595,200,143,100011.1105669856,0.1
194,157,555,191,134,100006.59049796099,0.1
195,151,595,213,139,99983.72561659383,0.1
196,161,570,192,137,100006.02319280297,0.1
197,144,565,198,130,100004.20282203649,0.1
198,165,592,205,139,100008.10951672804,0.1
199,156,575,201,124,100010.44442094707,0.1
200,150,585,206,127,99995.99121808213,0.1
201,142,553,197,127,100008.2400561845,0.1
202,153,565,198,129,99994.37694568983,0.1
203,152,577,203,135,100019.54878075008,0.1
204,163,562,185,137,99986.68048333484,0.1
205,160,583,200,133,99982.39311439599,0.1
206,150,578,204,128,99983.49278734176,0.1
207,148,560,196,133,99991.09444415836,0.1
208,156,582,203,127,99988.80884601439,0.1
209,155,590,205,127,100019.56078903703,0.1
210,156,566,193,135,99996.73500501922,0.1
211,154,557,188,130,99986.57324210623,0.1
212,151,553,190,140,100011.1438297678,0.1
213,144,562,206,125,99994.13476061178,0.1
214,177,613,202,140,99987.63146623457,0.1
215,136,518,182,124,100008.75838927651,0.1
216,163,621,218,148,100006.2336217658,0.1
217,145,546,193,124,99995.65043317043,0.1
218,160,603,210,136,100014.07540000242,0.1
219,148,535,183,136,100001.2910157971,0.1
220,148,556,192,127,100016.16949598858,0.1
221,161,583,195,136,100005.02740882,0.1
222,144,566,203,126,100015.58805540619,0.1
223,144,564,203,137,100001.09402696426,0.1
224,160,591,210,129,99987.80255603019,0.1
225,154,583,199,128,100024.49368649062,0.1
226,155,583,203,143,99994.54225832016,0.1
227,145,543,187,125,99998.01162137113,0.1
228,158,577,200,135,99992.99601495078,0.1
229,149,565,197,137,99997.96605551038,0.1
230,157,566,192,130,100002.42669441082,0.1
231,156,576,200,130,100002.01830178878,0.1
232,151,564,199,135,100006.61020287599,0.1
233,158,590,206,137,100017.92158208977,0.1
234,154,588,206,140,99998.79535428213,0.1
235,138,530,185,118,99987.66879264553,0.1
236,159,584,202,143,99988.17681873492,0.1
237,156,566,195,137,99993.342454818,0.1
238,153,578,203,145,99983.25804192381,0.1
239,155,555,193,140,100008.25029824437,0.1
240,151,550,195,124,99995.01786436368,0.1
241,157,607,217,133,99996.89015021698,0.1
242,160,571,193,136,99999.98108517162,0.1
243,160,590,200,140,99986.03379575405,0.1
244,151,552,187,125,99991.38683639225,0.1
245,157,603,213,133,100006.74711525688,0.1
246,153,574,200,124,100006.18539130787,0.1
247,153,560,194,128,99995.56828069301,0.1
248,162,600,207,140,100018.10534914127,0.1
249,162,543,176,131,99986.94273077443,0.1
250,160,602,206,140,99996.55012789844,0.1
251,160,562,184,136,99997.69160256864,0.1
252,155,583,202,130,99972.06914999854,0.1
253,153,568,196,130,100019.37528813617,0.1
254,151,516,172,125,100003.6633201454,0.1
255,149,530,176,126,99989.55410618092,0.1
256,158,577,193,132,100020.51173442855,0.1
257,150,567,192,137,100005.85662000172,0.1
258,177,597,201,131,100004.2952614002,0.1
259,157,582,198,140,99993.93001601801,0.1
260,154,588,210,136,100001.06222724037,0.1
261,161,618,220,142,99984.74319683769,0.1
262,160,575,200,138,100007.95026094424,0.1
263,152,564,202,133,99996.25561681156,0.1
264,158,592,202,137,100001.34048196554,0.1
265,152,594,210,138,100012.020548622,0.1
266,144,570,198,131,100002.84748110847,0.1
267,147,555,196,128,100002.62467445462,0.1
268,163,584,195,141,100002.7649930482,0.1
269,163,593,206,142,99992.66728396104,0.1
270,158,577,201,136,100008.36004719434,0.1
271,153,583,201,127,100015.43359110804,0.1
272,150,563,194,140,100007.58805660096,0.1
273,147,544,190,125,100008.84908814463,0.1
274,150,578,205,136,99991.22718481082,0.1
275,149,560,195,140,99991.32212777127,0.1
276,150,577,202,133,99985.59123975706,0.1
277,152,543,188,127,100012.32253070828,0.1
278,161,563,192,134,99997.45820132393,0.1
279,142,576,215,140,100013.99843942483,0.1
280,159,555,183,132,99992.18088317312,0.1
281,156,594,210,126,99995.62491017173,0.1
282,153,584,204,130,100000.95425087193,0.1
283,150,573,200,127,100009.2145006866,0.1
284,166,604,210,140,100000.607501958,0.1
285,154,570,198,129,100002.11124755008,0.1
286,154,566,196,136,100000.16527567306,0.1
287,153,573,201,126,100001.77187720276,0.1
288,157,566,197,134,99988.83529982118,0.1
289,155,575,200,137,100000.80927100973,0.1
290,164,596,206,140,99998.13421006488,0.1
291,159,584,204,127,99999.43175519114,0.1
292,147,575,200,130,100004.92336555936,0.1
293,150,564,196,139,99993.1932185899,0.1
294,155,583,203,128,99999.15491972596,0.1
295,151,600,211,120,99997.02638117227,0.1
296,167,595,205,141,100004.17302004977,0.1
297,152,550,192,130,100007.84770651016,0.1
298,153,558,190,126,99990.44574737627,0.1
299,156,575,197,130,100005.85910431102,0.1
300,152,562,192,134,100020.6578332022,0.1
301,156,590,212,140,99985.28843074168,0.1
302,163,581,198,139,99991.69828104683,0.1
303,153,572,196,137,99991.19422400156,0.1
304,158,573,195,139,99997.20902278458,0.1
305,157,602,212,135,100016.22849085958,0.1
306,156,580,206,138,100000.13352676347,0.1
307,157,608,212,137,99993.05306404713,0.1
308,150,545,185,129,100006.21803504307,0.1
309,148,572,202,128,99994.00195468927,0.1
310,156,568,199,125,100011.23412162023,0.1
311,171,590,193,150,100003.05267040244,0.1
312,148,563,194,126,100013.88779396369,0.1
313,150,553,194,134,99993.38655756848,0.1
314,158,552,182,130,100030.30857112374,0.1
315,160,590,204,137,100008.24584625033,0.1
316,153,575,204,130,100006.54580152586,0.1
317,160,560,188,138,99999.48811552393,0.1
318,154,567,196,134,99992.74402880864,0.1
319,150,583,206,135,99991.32231322378,0.1
320,154,550,190,121,99998.64022673901,0.1
321,148,580,204,130,99992.02730214508,0.1
322,154,555,194,135,100002.82675712249,0.1
323,150,573,202,136,99991.73902568153,0.1
324,150,572,196,141,100006.21082700838,0.1
325,150,562,197,125,100009.56121704124,0.1
326,156,580,202,126,99992.94159492596,0.1
327,161,615,217,147,100011.92686067754,0.1
328,151,570,198,130,99997.62058064248,0.1
329,158,602,209,139,100011.55287886088,0.1
330,153,586,206,135,100004.38166347293,0.1
331,160,605,212,132,100011.22328321658,0.1
332,153,555,190,128,99990.02980204472,0.1
333,150,563,197,126,99998.93206013221,0.1
334,159,583,201,140,100014.5142926059,0.1
335,151,558,197,128,99993.8196315232,0.1
336,141,556,199,132,99979.62798774321,0.1
337,157,577,200,140,99980.57410818523,0.1
338,155,571,200,135,99974.93559347324,0.1
339,148,536,182,126,99978.85836078084,0.1
340,155,566,200,133,99995.88360836812,0.1
341,161,580,198,140,100012.78528082842,0.1
342,152,555,193,128,99995.57770720488,0.1
343,146,550,193,129,100003.23527353602,0.1
344,163,588,207,130,99998.90008509836,0.1
345,150,547,194,122,100000.08548945436,0.1
346,161,598,206,142,99998.31801160256,0.1
347,162,587,204,134,99998.25819655694,0.1
348,154,548,187,128,100004.61164099976,0.1
349,149,550,199,122,99988.24017328557,0.1
350,147,553,198,135,100010.10127177335,0.1
351,153,568,200,128,100009.20017933247,0.1
352,156,599,210,132,99998.04942659123,0.1
353,157,587,205,136,100008.05393424233,0.1
354,164,595,205,139,99992.98655573744,0.1
355,146,566,195,130,99994.62776976122,0.1
356,156,578,198,142,100001.5626385027,0.1
357,153,578,197,131,99998.09778974915,0.1
358,145,560,194,141,99995.51261967327,0.1
359,150,563,196,133,99993.27551961213,0.1
360,154,563,198,134,99994.42505278213,0.1
361,148,567,197,136,100009.39168744195,0.1
362,150,547,189,134,99980.56676594332,0.1
363,160,563,192,132,100003.52494364367,0.1
364,165,578,201,143,99997.63563048188,0.1
365,160,573,194,127,100007.278135,0.1
366,147,584,204,143,100005.1507361364,0.1
367,155,588,205,129,99972.17465532347,0.1
368,150,560,196,125,100005.84646610476,0.1
369,165,589,199,146,100003.24274243448,0.1
370,154,602,206,145,100000.21862836627,0.1
371,166,590,206,143,99995.31326183723,0.1
372,158,570,199,133,100008.53281221956,0.1
373,160,603,213,134,99995.86970690287,0.1
374,150,568,193,133,100018.3471762665,0.1
375,145,550,186,124,100005.64382855494,0.1
376,159,595,210,140,100021.3782806744,0.1
377,156,586,204,140,99992.1446600308,0.1
378,155,575,201,130,99982.44074359768,0.1
379,150,580,205,145,100007.14789597486,0.1
380,162,578,197,144,100008.52704061725,0.1
381,155,600,211,137,100000.35360097054,0.1
382,160,599,207,129,99984.61206754256,0.1
383,156,588,204,136,99995.52104815283,0.1
384,156,590,201,131,100006.1798553392,0.1
385,157,572,195,142,99998.15823674346,0.1
386,153,579,201,132,99998.84014814527,0.1
387,162,570,189,140,99998.24541031338,0.1
388,161,608,215,130,99990.66085344373,0.1
389,158,577,193,135,99994.66979673917,0.1
390,154,554,189,132,99985.7344457948,0.1
391,151,578,199,136,100017.6795994831,0.1
392,152,573,196,136,99995.24627124863,0.1
393,154,582,203,126,100004.77610181818,0.1
394,157,585,198,131,99989.78114055359,0.1
395,156,570,196,133,100007.94528239602,0.1
396,153,575,203,133,99981.26839022363,0.1
397,152,590,204,133,100009.20615118057,0.1
398,155,568,190,135,99999.64632075118,0.1
399,149,570,198,143,100021.106050536,0.1
400,155,570,203,130,99986.93465927156,0.1
401,150,553,194,144,100000.76380480161,0.1
402,149,553,181,124,100003.67231813882,0.1
403,147,565,200,135,100012.32899192377,0.1
404,154,592,211,145,99995.7714303861,0.1
405,152,561,196,127,100000.86464406524,0.1
406,147,570,201,133,99978.57533270922,0.1
407,157,580,196,145,99991.69831135977,0.1
408,155,579,203,127,100004.51615950557,0.1
409,155,580,201,133,100011.04174326305,0.1
410,163,592,197,130,99997.18263730935,0.1
411,147,588,207,132,100020.56355523199,0.1
412,162,574,195,130,100017.60249226447,0.1
413,161,596,209,134,99999.39347508225,0.1
414,159,594,209,146,99975.86496998828,0.1
415,153,558,186,131,99982.22433624194,0.1
416,148,578,203,135,99992.22141173373,0.1
417,150,576,199,134,100011.15841107923,0.1
418,157,588,210,134,100003.10272287783,0.1
419,153,556,196,136,99979.05752183778,0.1
420,150,555,198,131,99997.7123417113,0.1
421,157,573,200,132,100016.13361374564,0.1
422,161,577,200,133,99996.25195312698,0.1
423,158,561,187,126,99992.50030382724,0.1
424,154,593,206,133,100020.54624102518,0.1
425,154,570,193,142,100000.53409536797,0.1
426,150,558,192,129,99995.20842901213,0.1
427,157,576,201,135,100003.50167158828,0.1
428,150,563,196,134,100000.17164726373,0.1
429,158,545,182,124,99995.70857721764,0.1
430,159,590,200,139,100012.08456328553,0.1
431,153,566,198,137,100011.15701802784,0.1
432,149,558,193,128,100008.4086155814,0.1
433,154,565,195,141,99998.97112782426,0.1
434,152,558,195,131,100011.46900376401,0.1
435,152,574,197,134,99999.50297420842,0.1
436,144,545,193,134,100004.66643267227,0.1
437,161,590,201,138,100010.3368686794,0.1
438,144,556,197,131,100008.08844360264,0.1
439,155,576,199,136,100017.89754683207,0.1
440,149,564,194,128,100004.51284016039,0.1
441,161,622,215,134,99983.15940014133,0.1
442,148,567,202,137,99988.39829895018,0.1
443,151,553,193,123,100013.50106818682,0.1
444,160,567,192,124,99996.68716830069,0.1
445,152,584,207,139,100003.86539145133,0.1
446,152,574,201,129,99991.48544343466,0.1
447,141,564,206,131,100010.0088142368,0.1
448,163,585,203,124,99996.15167751168,0.1
449,150,560,199,127,100014.5810823861,0.1
450,163,575,198,135,99994.67765979102,0.1
451,145,577,205,132,100011.18133396716,0.1
452,148,577,203,133,100006.7439610482,0.1
453,155,594,213,135,99992.77608094586,0.1
454,150,546,188,117,100010.98996332748,0.1
455,158,598,209,127,99990.98365509523,0.1
456,147,540,196,128,99991.77532811096,0.1
457,149,584,205,140,100007.21711292113,0.1
458,154,568,192,131,99993.74657998534,0.1
459,161,592,200,128,99994.06156932746,0.1
460,162,589,199,140,99996.5609929079,0.1
461,145,545,194,136,99989.99830810128,0.1
462,141,548,196,130,100010.44994409672,0.1
463,163,581,199,139,100006.08514698484,0.1
464,162,591,206,136,99999.30671303306,0.1
465,150,570,192,137,99998.91607932826,0.1
466,163,574,186,129,100004.50155512767,0.1
467,159,583,198,132,100017.6533510052,0.1
468,147,565,200,133,100008.70969802533,0.1
469,157,578,198,141,99994.91542865724,0.1
470,157,596,207,132,100007.77419205249,0.1
471,157,573,195,131,99998.81228827899,0.1
472,160,585,210,138,99998.01001816195,0.1
473,165,601,214,137,100018.66471375152,0.1
474,151,575,199,130,99995.81062102322,0.1
475,155,575,200,141,99995.20815084873,0.1
476,147,556,203,126,99980.47894712754,0.1
477,140,556,197,125,99985.97670854547,0.1
478,147,583,206,139,100004.51122938734,0.1
479,149,577,201,138,99993.05079098814,0.1
480,156,595,213,134,100005.15413801784,0.1
481,150,553,191,134,99988.85128947633,0.1
482,152,568,198,133,99992.32690173668,0.1
483,151,603,215,131,100006.74570706957,0.1
484,160,582,196,135,100014.60892380463,0.1
485,144,544,194,127,100005.92472801424,0.1
486,156,589,206,132,100011.97830841721,0.1
487,156,568,198,135,100017.04594171373,0.1
488,160,597,210,144,100010.40089153155,0.1
489,154,578,203,129,99990.815599617,0.1
490,151,581,200,125,99998.94655287493,0.1
491,155,575,198,144,100006.30195670684,0.1
492,168,577,199,135,99995.85153098713,0.1
493,157,568,193,127,100004.51946037321,0.1
494,156,562,200,128,99984.20843714604,0.1
495,153,558,198,129,99991.71372021144,0.1
496,151,543,184,121,100005.28879745584,0.1
497,154,579,203,128,99977.62913488886,0.1
498,153,555,193,128,99988.92287497717,0.1
499,161,573,195,140,99999.8228168209,0.1
500,170,628,217,139,99982.80605525381,0.1
501,161,562,190,126,100000.57120996082,0.1
502,148,557,193,128,99992.00452509307,0.1
503,155,600,211,136,99997.084054045,0.1
504,156,547,194,128,99997.41017146599,0.1
505,155,587,206,136,100001.89293197557,0.1
506,159,587,209,135,99994.36211265418,0.1
507,145,556,197,125,100000.89686407322,0.1
508,153,587,205,130,99993.98843199352,0.1
509,166,563,196,142,100005.56073510078,0.1
510,147,547,192,140,100016.93809113288,0.1
511,154,578,204,135,100001.9686977925,0.1
512,153,566,204,120,100001.69869255347,0.1
513,161,582,200,130,99988.35992028839,0.1
514,150,559,194,134,100006.9336622566,0.1
515,166,566,188,133,99992.41932671443,0.1
516,151,551,197,126,99991.91152803527,0.1
517,157,597,208,140,100005.57439452858,0.1
518,157,580,210,134,100001.81038744358,0.1
519,155,585,209,130,100011.0717545095,0.1
520,151,557,194,130,100014.42876928496,0.1
521,156,588,206,125,99994.60318437796,0.1
522,154,578,200,125,100001.28376990157,0.1
523,161,573,202,134,100017.60415183577,0.1
524,155,587,203,142,100009.66539250227,0.1
525,153,588,209,126,100007.13049050304,0.1
526,158,595,206,139,100013.06206065137,0.1
527,150,574,200,131,99993.95397030836,0.1
528,157,572,201,130,100006.36583409416,0.1
529,164,585,195,132,100014.09253389364,0.1
530,150,555,187,122,100016.20912285623,0.1
531,154,580,206,134,99991.93815182617,0.1
532,151,575,200,127,99997.48325792367,0.1
533,149,559,196,133,100003.82715173725,0.1
534,153,580,203,138,99997.1100265699,0.1
535,152,576,201,135,99996.08183760193,0.1
536,164,603,207,139,100006.84001328182,0.1
537,150,574,198,137,99996.46590017133,0.1
538,158,594,208,140,99982.120871088,0.1
539,160,589,206,132,100003.61847315839,0.1
540,149,567,203,117,99995.7550720943,0.1
541,164,611,211,140,99992.6846901827,0.1
542,160,585,208,131,99984.34261849344,0.1
543,153,573,202,134,100010.13822466973,0.1
544,151,582,206,139,99977.72887368151,0.1
545,156,586,204,141,99983.00666395278,0.1
546,161,588,205,135,99997.2415393744,0.1
547,145,569,205,122,100012.2895558565,0.1
548,155,574,200,134,100013.09705905683,0.1
549,153,566,202,132,99988.45017365072,0.1
550,166,573,194,129,99998.22367804016,0.1
551,154,584,206,127,99984.89543624912,0.1
552,160,570,193,128,100010.11207063776,0.1
553,151,546,192,129,99985.23437339481,0.1
554,162,576,201,143,99998.56804254992,0.1
555,150,565,198,128,100010.3298377895,0.1
556,168,604,211,140,99997.7758597147,0.1
557,162,575,195,132,100014.70160343824,0.1
558,149,554,189,133,99991.29991776806,0.1
559,156,572,193,133,100003.69190469547,0.1
560,156,579,198,135,100008.53282185824,0.1
561,155,583,202,132,99998.6028826956,0.1
562,151,544,188,130,100013.86314264248,0.1
563,161,554,185,130,100005.48129584687,0.1
564,146,564,190,131,99983.62550406992,0.1
565,154,578,204,127,100039.58602704036,0.1
566,159,570,195,125,100006.4864364409,0.1
567,161,582,195,136,100001.07343293824,0.1
568,155,584,204,128,99986.01187181332,0.1
569,150,583,203,132,100000.81767818806,0.1
570,153,569,199,129,99995.4005716916,0.1
571,149,575,203,138,100006.4435366603,0.1
572,157,574,202,124,100003.71670291213,0.1
573,156,575,196,123,100018.53009485068,0.1
574,165,611,208,138,100001.42251372528,0.1
575,150,559,196,122,100005.13505479989,0.1
576,154,562,199,126,100003.72456851511,0.1
577,161,599,212,131,99998.51510196939,0.1
578,162,598,206,134,99998.1659980268,0.1
579,154,562,190,130,100011.01000202668,0.1
580,149,546,190,126,100007.8002713534,0.1
581,154,563,202,137,99993.70558395947,0.1
582,154,575,202,130,99988.86563897027,0.1
583,159,577,199,140,99999.32589975053,0.1
584,157,584,206,136,100011.61439981674,0.1
585,150,563,203,126,99999.72470613732,0.1
586,154,563,193,141,100017.46435089226,0.1
587,146,560,200,127,99992.24929712928,0.1
588,154,579,200,135,100001.41640537666,0.1
589,160,587,208,129,99974.83696139038,0.1
590,154,590,208,142,99994.0433211909,0.1
591,152,584,208,140,99996.90878681357,0.1
592,152,580,208,129,100005.10937774493,0.1
593,156,582,190,125,100017.10661838672,0.1
594,150,567,200,131,100000.34943589363,0.1
595,156,577,199,132,100014.53917581607,0.1
596,158,599,213,141,100006.61681076467,0.1
597,154,560,197,126,100009.86352180212,0.1
598,162,565,193,130,99995.33845143174,0.1
599,157,584,204,149,100013.84991343648,0.1
600,153,582,206,127,99989.27035721287,0.1
601,154,583,210,133,100004.95158611199,0.1
602,160,604,212,136,99990.47937899292,0.1
603,156,553,183,127,99994.81854447602,0.1
604,147,551,195,123,99985.38596395278,0.1
605,155,565,194,131,99994.83652091354,0.1
606,153,580,201,133,100003.51116896512,0.1
607,153,596,208,130,99999.3122953692,0.1
608,153,534,178,123,99986.52235058746,0.1
609,144,557,197,131,100014.70739856693,0.1
610,152,587,208,130,100003.37220938307,0.1
611,156,573,196,132,100010.08065433076,0.1
612,153,564,197,136,100007.85226919633,0.1
613,148,586,213,124,99993.35132233033,0.1
614,151,569,204,121,99980.54953041386,0.1
615,152,564,197,128,99990.84575631768,0.1
616,154,559,190,130,100012.25155849273,0.1
617,152,554,189,128,99989.464539263,0.1
618,146,574,199,137,100008.16043684325,0.1
619,160,571,190,139,99993.87593026872,0.1
620,159,587,208,121,100003.93109244852,0.1
621,152,566,201,126,99981.76080147376,0.1
622,151,554,192,137,100011.67075166,0.1
623,157,578,200,138,99999.6033129991,0.1
624,164,584,201,131,100008.85825798966,0.1
625,149,568,203,135,100001.89861649383,0.1
626,158,588,199,136,100007.980637953,0.1
627,156,561,200,122,99998.98067960737,0.1
628,156,575,200,128,100007.43356543516,0.1
629,161,592,203,129,99984.90427315775,0.1
630,153,602,213,134,99989.19289307555,0.1
631,155,574,197,124,100007.25474004481,0.1
632,162,603,213,128,99999.60821743793,0.1
