,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
478,100,125,52,105,52,71
417,80,80,90,110,130,110
638,45,30,40,105,50,20
714,91,72,90,129,90,108
324,50,45,45,35,35,50
457,40,29,45,29,45,36
9,44,48,65,50,64,43
249,75,95,95,95,95,85
22,83,80,75,70,70,101
221,100,70,70,65,65,45
547,80,80,80,80,80,80
690,70,55,75,45,65,60
784,65,90,122,58,75,84
626,74,108,133,83,65,32
340,60,50,40,85,75,95
671,46,87,60,30,40,57
203,55,45,50,45,65,80
237,50,50,120,80,80,30
93,65,45,55,45,70,45
531,50,50,77,95,77,91
362,50,85,40,85,40,35
544,150,100,120,100,120,90
284,35,55,35,30,30,35
184,75,38,38,56,56,67
649,50,75,45,40,45,60
396,80,80,80,80,80,80
153,80,105,65,60,75,130
75,50,75,35,70,30,40
453,67,125,40,30,30,58
695,72,85,70,65,70,58
277,60,85,60,85,60,55
68,25,20,15,105,55,90
514,110,85,95,80,95,50
188,90,30,15,40,20,15
271,100,100,100,100,100,100
236,40,40,40,70,40,20
88,25,35,70,95,55,45
762,50,53,62,58,63,44
117,40,65,95,60,45,35
125,30,40,70,70,25,60
660,40,55,70,45,60,30
289,50,35,55,25,25,15
238,50,50,40,30,30,50
0,45,49,49,65,65,45
791,85,70,80,97,80,123
602,75,103,80,70,80,92
794,108,100,121,81,95,95
465,55,65,35,60,30,85
278,80,120,70,110,70,80
624,58,50,145,95,105,30
116,90,55,75,60,75,30
228,70,130,100,55,80,65
756,53,54,53,37,46,45
420,80,130,100,160,120,110
434,95,109,105,75,85,56
274,70,85,65,105,85,120
318,84,71,43,71,43,48
551,100,103,75,120,75,127
144,55,55,50,45,65,55
648,55,75,60,75,60,103
735,62,50,58,73,54,72
726,72,95,67,103,71,122
585,85,135,130,60,80,25
369,70,55,65,95,85,70
268,100,164,150,95,120,71
567,85,110,90,45,90,80
307,40,30,32,50,52,65
310,60,130,80,60,60,70
451,40,30,35,50,70,55
46,40,45,35,30,40,55
349,70,140,70,110,65,105
371,50,48,43,46,41,60
523,75,95,125,45,75,95
261,255,10,10,75,135,55
195,90,75,85,115,90,55
799,80,110,120,130,90,70
672,66,117,70,40,50,67
107,55,130,115,50,50,75
59,50,52,48,65,50,55
599,75,125,75,30,75,85
439,64,66,68,81,76,50
100,45,50,45,115,55,95
477,60,60,60,105,105,105
718,56,61,65,48,45,38
583,55,75,85,25,25,15
737,44,38,39,61,79,42
179,40,20,30,40,80,55
304,38,35,35,65,55,50
429,50,180,20,180,20,150
507,69,69,76,69,86,91
770,95,65,65,110,130,60
149,35,40,100,90,55,35
124,105,125,100,60,100,100
634,75,95,60,65,60,115
697,55,85,55,50,55,60
185,125,58,58,76,76,67
541,90,120,100,150,120,100
50,75,80,85,110,90,50
487,20,25,45,70,90,60
789,95,117,184,44,46,28
485,67,89,116,79,116,33
321,144,120,60,40,60,50
353,70,100,70,105,75,40
739,78,65,68,112,154,75
142,130,85,80,85,95,60
370,70,95,85,55,65,70
141,95,155,109,70,130,81
399,90,60,70,75,70,45
263,115,115,85,90,75,100
320,72,60,30,20,30,25
19,65,150,40,15,80,145
172,50,65,64,44,48,43
653,55,40,50,65,85,40
312,80,80,80,55,55,90
390,99,68,83,72,87,51
745,62,48,54,63,60,68
12,79,103,120,135,115,78
407,65,95,100,60,50,50
408,95,135,80,110,80,100
305,68,65,65,125,115,80
354,70,120,100,145,105,20
25,55,81,60,50,70,97
597,105,95,75,85,75,74
169,39,52,43,60,50,65
38,61,72,57,55,55,65
175,35,46,34,35,45,20
245,65,80,140,40,70,70
298,90,100,60,90,60,80
668,50,30,55,65,55,20
416,80,75,150,75,150,50
548,100,100,100,100,100,100
272,40,45,35,65,55,70
611,50,72,35,35,35,65
154,80,135,85,70,95,150
126,55,65,95,95,45,85
449,60,85,49,60,49,60
571,75,98,63,98,63,101
341,60,40,50,75,85,95
430,50,70,160,70,160,90
287,78,70,61,50,61,100
113,60,80,110,50,80,45
499,68,72,78,38,42,32
173,65,80,80,59,63,58
359,45,100,45,45,45,10
482,63,63,47,41,41,74
57,40,45,35,40,40,90
552,120,120,120,120,120,120
222,65,75,105,35,65,85
280,50,70,50,50,50,40
17,45,25,50,25,25,35
127,45,67,60,35,50,63
322,50,20,40,20,40,20
255,35,35,35,35,35,35
538,80,105,105,105,105,80
470,111,83,68,92,82,39
598,120,100,85,30,85,45
468,70,60,70,87,78,85
768,77,59,50,67,63,46
190,55,40,85,80,105,40
115,50,105,79,35,110,76
516,100,100,125,110,50,50
709,89,145,90,105,80,91
535,50,65,107,105,107,86
94,90,70,80,70,95,70
180,55,35,50,55,110,85
301,40,30,30,55,30,85
616,105,30,105,140,105,55
581,45,60,32,50,32,76
590,103,60,86,60,86,50
731,78,81,71,74,69,126
558,90,93,55,70,55,55
708,89,125,90,115,80,101
542,91,90,106,130,106,77
5,58,64,58,80,65,80
785,55,85,122,58,75,99
45,140,70,45,85,50,45
725,54,63,52,83,56,97
157,90,90,85,125,90,100
605,60,100,89,55,69,112
171,78,84,78,109,85,100
16,40,35,30,20,20,50
511,90,132,105,132,105,30
48,45,50,55,75,65,30
774,45,50,35,55,75,40
757,86,92,88,68,75,73
480,71,82,64,64,59,112
283,100,150,110,95,110,70
536,50,65,107,105,107,86
225,60,80,50,40,40,30
26,40,60,30,31,31,70
630,80,95,82,60,82,75
437,76,104,71,104,71,108
364,45,40,60,40,75,50
229,70,150,140,65,100,75
37,46,57,40,40,40,50
779,85,110,76,65,82,56
374,63,120,85,90,55,55
469,76,48,48,57,62,34
771,78,92,75,74,63,118
682,77,120,90,60,90,48
694,52,65,50,45,50,38
194,70,55,55,80,60,45
684,89,124,80,55,80,55
693,58,109,112,48,48,109
503,48,61,40,61,40,50
773,50,50,150,50,150,50
669,60,40,60,95,60,55
772,67,58,57,81,67,101
162,106,110,90,154,90,130
751,60,50,150,50,150,60
152,60,115,105,65,70,80
557,65,63,45,45,45,45
572,50,53,48,53,48,64
675,95,110,80,70,80,50
111,95,95,85,125,65,55
226,90,120,75,60,60,45
792,126,131,95,131,98,99
103,35,45,160,30,45,70
421,100,100,90,150,140,90
419,80,90,80,130,110,110
119,80,85,95,30,30,25
53,60,55,50,40,55,45
151,30,80,90,55,45,55
403,55,84,105,114,75,52
753,101,72,72,99,89,29
207,75,75,55,105,85,30
677,50,40,85,40,65,25
618,50,65,85,35,35,55
8,78,104,78,159,115,100
651,69,55,45,55,55,15
36,90,92,87,75,85,76
452,60,70,65,125,105,90
253,73,95,62,85,65,85
303,28,25,25,45,35,40
606,40,27,60,37,50,66
579,62,77,62,50,42,65
587,67,57,55,77,55,114
262,90,85,75,115,100,115
297,70,70,40,60,40,60
414,80,100,200,50,100,50
150,70,60,125,115,70,55
636,60,45,70,75,85,55
712,125,120,90,170,100,95
550,100,100,100,100,100,100
488,100,5,5,15,65,30
147,65,130,60,95,110,65
146,65,65,60,110,95,130
588,60,85,40,30,45,68
742,67,82,62,46,48,43
601,55,63,90,50,80,42
348,70,120,40,95,40,95
463,70,80,102,80,102,40
325,70,65,65,55,55,70
186,20,40,15,35,35,60
123,105,95,80,40,80,90
683,59,74,50,35,50,35
143,48,48,48,48,48,48
763,71,73,88,120,89,59
197,75,80,95,90,100,50
279,80,160,80,130,80,100
293,40,30,30,40,50,30
400,110,80,90,95,90,65
122,65,55,115,100,40,60
183,85,90,80,70,80,130
202,35,35,40,35,55,50
438,53,51,53,61,56,40
246,45,60,30,80,50,65
415,80,50,100,100,200,50
711,125,170,100,120,90,95
129,30,45,55,70,55,85
402,55,104,105,94,75,52
632,60,105,60,120,60,105
623,38,30,85,55,65,30
727,38,36,38,32,36,57
219,50,65,90,35,35,15
729,45,50,43,40,38,62
609,70,60,75,110,75,90
732,38,35,40,27,25,35
617,75,86,67,106,67,60
386,64,115,65,83,63,65
775,68,75,53,83,113,60
509,60,62,50,62,60,40
267,100,134,110,95,100,61
781,44,66,70,44,55,56
441,40,55,30,30,30,60
496,40,70,40,35,40,60
112,50,50,95,40,50,35
232,80,185,115,40,105,75
698,85,60,65,135,105,100
607,60,67,85,77,75,116
373,43,80,65,50,35,35
233,55,95,55,35,75,115
633,55,50,40,40,40,75
317,64,51,23,51,23,28
410,40,55,80,35,60,30
717,71,120,95,120,95,99
358,60,60,60,60,60,60
258,45,63,37,65,55,95
627,55,112,45,74,45,70
282,100,110,90,85,90,60
376,60,70,105,70,120,75
384,60,90,70,60,120,40
224,75,125,230,55,95,30
759,72,105,115,54,86,68
657,70,77,60,97,60,108
472,90,50,34,60,44,70
347,45,90,20,65,20,65
505,74,100,72,90,72,46
639,65,40,50,125,60,30
788,55,69,85,32,35,28
740,66,65,48,62,57,52
722,59,59,58,90,70,73
619,70,95,125,65,75,45
685,45,85,70,40,40,60
645,71,95,85,110,95,79
678,80,70,40,100,60,145
556,75,75,95,75,95,113
577,116,55,85,107,95,29
85,90,65,65,40,40,15
242,75,105,75,105,75,45
159,41,64,45,50,50,50
524,110,130,80,70,60,80
35,70,62,67,55,55,56
540,100,120,120,150,100,90
170,58,64,58,80,65,80
654,100,60,70,85,105,60
687,95,110,95,40,95,55
679,109,66,84,81,99,32
752,78,52,60,63,65,23
95,80,80,50,40,50,25
563,45,55,39,35,39,42
240,55,55,85,65,85,35
574,50,53,48,53,48,64
460,60,69,95,69,95,36
553,100,100,100,100,100,100
704,79,115,70,125,80,111
206,30,30,30,30,30,30
392,65,130,60,75,60,75
397,80,120,80,120,80,100
680,45,85,50,55,50,65
217,190,33,58,33,58,33
4,39,52,43,60,50,65
642,75,87,63,87,63,98
716,100,128,90,77,77,128
612,60,82,45,45,45,74
546,120,70,120,75,130,85
98,50,95,180,85,45,70
573,75,98,63,98,63,101
406,45,75,60,40,30,50
502,70,90,110,60,75,95
47,75,80,70,65,75,90
32,50,75,85,20,30,40
200,70,100,115,30,65,30
134,65,83,57,95,85,105
27,65,90,65,61,61,100
706,100,120,100,150,120,90
230,20,10,230,10,230,5
489,76,65,45,92,42,91
378,86,81,97,81,107,43
288,45,45,35,20,30,20
418,80,100,120,140,150,110
674,55,70,40,60,40,40
391,65,50,70,95,80,65
592,75,80,55,25,35,35
498,70,145,88,140,70,112
138,75,100,95,40,70,110
62,65,105,60,60,70,95
471,75,100,66,60,66,115
647,80,100,70,60,70,95
128,80,92,65,65,80,68
778,43,70,48,50,60,38
520,86,76,86,116,56,95
64,90,110,80,100,80,95
14,50,20,55,25,25,30
156,90,85,100,95,125,85
40,70,45,48,60,65,35
492,68,90,65,50,55,82
379,45,95,50,40,50,75
187,50,25,28,45,55,15
216,48,72,48,72,48,48
52,60,95,80,60,80,30
337,40,45,40,65,40,65
295,80,70,70,90,100,70
701,91,90,72,90,129,108
251,90,120,120,60,60,50
461,70,94,50,94,50,66
455,30,42,118,42,88,30
797,80,110,60,150,130,70
269,106,90,130,90,154,110
201,90,75,75,90,100,70
161,91,134,95,100,100,80
555,60,60,75,60,75,83
401,35,64,85,74,55,32
702,79,115,70,125,80,111
476,65,136,94,54,96,135
105,85,73,70,73,115,67
565,45,60,45,25,45,55
389,40,70,130,60,130,25
1,60,62,63,80,80,60
767,82,121,119,69,59,71
561,75,75,60,83,60,60
80,40,80,100,30,30,20
205,55,70,55,40,55,85
34,55,47,52,40,40,41
508,45,20,50,60,120,50
427,100,100,100,100,100,100
454,97,165,60,65,50,58
366,75,110,110,110,105,80
91,35,85,45,35,35,75
339,70,75,80,135,80,135
564,60,85,69,60,69,77
345,70,43,53,43,53,40
241,35,65,35,65,35,65
13,45,30,35,20,20,45
315,61,90,45,50,50,160
600,45,53,70,40,60,42
387,64,165,75,93,83,75
273,50,65,45,85,65,95
166,45,49,65,49,65,45
793,126,131,95,131,98,99
646,60,60,50,40,50,75
484,57,24,86,24,86,23
782,54,66,70,44,55,46
504,83,106,65,86,65,85
243,45,55,45,65,45,75
566,65,80,65,35,65,60
562,95,100,85,108,70,70
686,65,125,100,60,70,70
189,35,20,65,40,65,20
699,91,90,129,90,72,108
475,65,76,84,54,96,105
681,65,125,60,95,60,105
510,90,92,75,92,85,60
58,65,70,60,65,65,115
474,55,66,44,44,56,85
560,55,55,45,63,45,45
747,74,48,76,83,81,104
252,85,80,90,105,95,60
21,63,60,55,50,50,71
313,150,160,100,95,65,100
459,60,79,105,59,85,36
160,61,84,65,70,70,70
276,45,60,40,70,50,45
191,40,50,45,70,45,70
385,44,75,35,63,33,45
413,80,145,150,105,110,110
491,58,70,45,40,45,42
343,65,47,55,73,75,85
769,123,77,72,99,92,58
308,70,60,62,80,82,60
661,60,80,95,70,85,50
130,60,75,85,100,85,115
663,35,55,40,45,40,60
99,30,35,30,100,35,80
372,110,78,73,76,71,60
87,95,75,180,130,80,30
458,60,59,85,79,105,36
330,50,70,100,40,40,30
214,95,75,80,100,110,30
466,85,105,55,85,50,115
121,250,5,5,35,105,50
614,70,90,45,15,45,50
20,40,45,40,35,35,56
700,91,129,90,72,90,108
71,55,50,65,175,95,150
106,30,105,90,25,25,50
270,106,130,90,110,154,90
435,44,58,44,58,44,61
102,60,65,80,170,95,130
