,Height m,Buttock Height,Waist Circumference,Shoulder Circumference
142,1.842,972,1114,1248
143,1.656,869,967,1157
144,1.776,908,1007,1183
145,1.859,989,1109,1199
146,1.685,850,827,1154
147,1.775,918,947,1176
148,1.825,1014,881,1162
149,1.931,1015,833,1168
150,1.789,944,963,1235
151,1.819,953,1100,1295
152,1.7819999999999998,919,852,1216
153,1.721,880,941,1200
154,1.91,1004,1026,1314
155,1.804,945,978,1181
156,1.7819999999999998,950,1150,1235
157,1.777,931,935,1245
158,1.665,830,923,1096
159,1.803,950,973,1183
160,1.879,1008,908,1272
161,1.733,899,1111,1226
162,1.835,978,1031,1204
163,1.7919999999999998,939,1164,1248
164,1.721,870,1006,1149
165,1.711,888,1018,1175
166,1.809,945,992,1216
167,1.664,869,908,1168
168,1.807,933,1053,1212
169,1.705,887,912,1128
170,1.955,1021,1049,1291
171,1.73,875,917,1190
172,1.774,927,1066,1184
173,1.724,912,848,1080
174,1.705,888,759,1097
175,1.838,950,959,1151
176,1.706,892,970,1203
177,1.809,960,1068,1225
178,1.773,933,972,1134
179,1.734,886,993,1109
180,1.7480000000000002,898,898,1134
181,1.651,832,964,1186
182,1.724,885,881,1107
183,1.86,954,821,1122
184,1.715,875,801,1085
185,1.757,919,845,1126
186,1.916,979,1134,1252
187,1.847,992,877,1173
188,1.855,990,951,1270
189,1.7180000000000002,880,867,1083
190,1.641,806,1029,1178
191,1.833,945,879,1171
192,1.784,939,1015,1254
193,1.77,892,1034,1256
194,1.702,877,844,1107
195,1.8,933,797,1151
196,1.715,918,892,1081
197,1.842,944,865,1153
198,1.71,880,1031,1158
199,1.753,951,912,1215
200,1.935,1015,1086,1243
201,1.7380000000000002,909,914,1105
202,1.77,926,923,1189
203,1.72,917,918,1193
204,1.673,831,831,1082
205,1.715,883,1182,1293
206,1.822,947,1054,1155
207,1.913,981,1118,1243
208,1.756,919,963,1187
209,1.735,881,877,1205
210,1.726,908,912,1230
211,1.716,871,973,1242
212,1.717,879,818,1029
213,1.7180000000000002,915,783,1103
214,1.747,923,1015,1260
215,1.567,861,694,995
216,1.894,972,1121,1217
217,1.7380000000000002,927,870,1151
218,1.862,1002,1015,1218
219,1.654,858,738,1012
220,1.6369999999999998,845,1032,1153
221,1.7380000000000002,884,979,1231
222,1.813,1024,1017,1261
223,1.7380000000000002,970,883,1163
224,1.815,980,1068,1288
225,1.736,860,1179,1183
226,1.689,866,993,1174
227,1.74,913,880,1065
228,1.7819999999999998,942,977,1104
229,1.784,961,925,1133
230,1.6469999999999998,861,1010,1167
231,1.74,888,1004,1197
232,1.664,857,744,1083
233,1.805,945,1045,1235
234,1.745,932,936,1206
235,1.605,843,755,1139
236,1.83,976,997,1215
237,1.81,967,913,1171
238,1.731,886,921,1118
239,1.845,964,899,1122
240,1.775,965,734,1112
241,1.795,926,1124,1253
242,1.664,891,976,1170
243,1.7519999999999998,906,1084,1176
244,1.814,963,1026,1143
245,1.836,981,1078,1265
246,1.628,849,972,1107
247,1.64,835,903,1214
248,1.7280000000000002,850,928,1209
249,1.606,821,779,1025
