,num_patients_cured,efficacy_rate
187,1,0.86
188,1,0.87
189,1,0.88
190,1,0.89
191,1,0.9
192,1,0.91
193,1,0.92
194,1,0.93
195,1,0.9400000000000001
196,1,0.9500000000000001
197,1,0.96
198,1,0.97
199,1,0.98
200,1,0.99
201,1,1.0
202,2,0.0
203,2,0.01
204,2,0.02
205,2,0.03
206,2,0.04
207,2,0.05
208,2,0.06
209,2,0.07
210,2,0.08
211,2,0.09
212,2,0.1
213,2,0.11
214,2,0.12
215,2,0.13
216,2,0.14
217,2,0.15
218,2,0.16
219,2,0.17
220,2,0.18
221,2,0.19
222,2,0.2
223,2,0.21
224,2,0.22
225,2,0.23
226,2,0.24
227,2,0.25
228,2,0.26
229,2,0.27
230,2,0.28
231,2,0.29
232,2,0.3
233,2,0.31
234,2,0.32
235,2,0.33
236,2,0.34
237,2,0.35000000000000003
238,2,0.36
239,2,0.37
240,2,0.38
241,2,0.39
242,2,0.4
243,2,0.41000000000000003
244,2,0.42
245,2,0.43
246,2,0.44
247,2,0.45
248,2,0.46
249,2,0.47000000000000003
250,2,0.48
251,2,0.49
252,2,0.5
253,2,0.51
254,2,0.52
255,2,0.53
256,2,0.54
257,2,0.55
258,2,0.56
259,2,0.5700000000000001
260,2,0.58
261,2,0.59
262,2,0.6
263,2,0.61
264,2,0.62
265,2,0.63
266,2,0.64
267,2,0.65
268,2,0.66
269,2,0.67
270,2,0.68
271,2,0.6900000000000001
272,2,0.7000000000000001
273,2,0.71
274,2,0.72
275,2,0.73
276,2,0.74
277,2,0.75
278,2,0.76
279,2,0.77
280,2,0.78
281,2,0.79
282,2,0.8
283,2,0.81
284,2,0.8200000000000001
285,2,0.8300000000000001
286,2,0.84
287,2,0.85
288,2,0.86
289,2,0.87
290,2,0.88
291,2,0.89
292,2,0.9
293,2,0.91
294,2,0.92
295,2,0.93
296,2,0.9400000000000001
297,2,0.9500000000000001
298,2,0.96
299,2,0.97
300,2,0.98
301,2,0.99
302,2,1.0
303,3,0.0
304,3,0.01
305,3,0.02
306,3,0.03
307,3,0.04
308,3,0.05
309,3,0.06
310,3,0.07
311,3,0.08
312,3,0.09
313,3,0.1
314,3,0.11
315,3,0.12
316,3,0.13
317,3,0.14
318,3,0.15
319,3,0.16
320,3,0.17
321,3,0.18
322,3,0.19
323,3,0.2
324,3,0.21
325,3,0.22
326,3,0.23
327,3,0.24
328,3,0.25
329,3,0.26
330,3,0.27
331,3,0.28
332,3,0.29
333,3,0.3
334,3,0.31
335,3,0.32
336,3,0.33
337,3,0.34
338,3,0.35000000000000003
339,3,0.36
340,3,0.37
341,3,0.38
342,3,0.39
343,3,0.4
344,3,0.41000000000000003
345,3,0.42
346,3,0.43
347,3,0.44
348,3,0.45
349,3,0.46
350,3,0.47000000000000003
351,3,0.48
352,3,0.49
353,3,0.5
354,3,0.51
355,3,0.52
356,3,0.53
357,3,0.54
358,3,0.55
359,3,0.56
360,3,0.5700000000000001
361,3,0.58
362,3,0.59
363,3,0.6
364,3,0.61
365,3,0.62
366,3,0.63
367,3,0.64
368,3,0.65
369,3,0.66
370,3,0.67
371,3,0.68
372,3,0.6900000000000001
373,3,0.7000000000000001
374,3,0.71
375,3,0.72
376,3,0.73
377,3,0.74
378,3,0.75
379,3,0.76
380,3,0.77
381,3,0.78
382,3,0.79
383,3,0.8
384,3,0.81
385,3,0.8200000000000001
386,3,0.8300000000000001
387,3,0.84
388,3,0.85
389,3,0.86
390,3,0.87
391,3,0.88
392,3,0.89
393,3,0.9
394,3,0.91
395,3,0.92
396,3,0.93
397,3,0.9400000000000001
398,3,0.9500000000000001
399,3,0.96
400,3,0.97
401,3,0.98
402,3,0.99
403,3,1.0
404,4,0.0
405,4,0.01
406,4,0.02
407,4,0.03
408,4,0.04
409,4,0.05
410,4,0.06
411,4,0.07
412,4,0.08
413,4,0.09
414,4,0.1
415,4,0.11
416,4,0.12
417,4,0.13
418,4,0.14
419,4,0.15
420,4,0.16
421,4,0.17
422,4,0.18
423,4,0.19
424,4,0.2
425,4,0.21
426,4,0.22
427,4,0.23
428,4,0.24
429,4,0.25
430,4,0.26
431,4,0.27
432,4,0.28
433,4,0.29
434,4,0.3
435,4,0.31
436,4,0.32
437,4,0.33
438,4,0.34
439,4,0.35000000000000003
440,4,0.36
441,4,0.37
442,4,0.38
443,4,0.39
444,4,0.4
445,4,0.41000000000000003
446,4,0.42
447,4,0.43
448,4,0.44
449,4,0.45
450,4,0.46
451,4,0.47000000000000003
452,4,0.48
453,4,0.49
454,4,0.5
455,4,0.51
456,4,0.52
457,4,0.53
458,4,0.54
459,4,0.55
460,4,0.56
461,4,0.5700000000000001
462,4,0.58
463,4,0.59
464,4,0.6
465,4,0.61
466,4,0.62
467,4,0.63
468,4,0.64
469,4,0.65
470,4,0.66
471,4,0.67
472,4,0.68
473,4,0.6900000000000001
474,4,0.7000000000000001
475,4,0.71
476,4,0.72
477,4,0.73
478,4,0.74
479,4,0.75
480,4,0.76
481,4,0.77
482,4,0.78
483,4,0.79
484,4,0.8
485,4,0.81
486,4,0.8200000000000001
487,4,0.8300000000000001
488,4,0.84
489,4,0.85
490,4,0.86
491,4,0.87
492,4,0.88
493,4,0.89
494,4,0.9
495,4,0.91
496,4,0.92
497,4,0.93
498,4,0.9400000000000001
499,4,0.9500000000000001
500,4,0.96
501,4,0.97
502,4,0.98
503,4,0.99
504,4,1.0
505,5,0.0
506,5,0.01
507,5,0.02
508,5,0.03
509,5,0.04
510,5,0.05
511,5,0.06
512,5,0.07
513,5,0.08
514,5,0.09
515,5,0.1
516,5,0.11
517,5,0.12
518,5,0.13
519,5,0.14
520,5,0.15
521,5,0.16
522,5,0.17
523,5,0.18
524,5,0.19
525,5,0.2
526,5,0.21
527,5,0.22
528,5,0.23
529,5,0.24
530,5,0.25
531,5,0.26
532,5,0.27
533,5,0.28
534,5,0.29
535,5,0.3
536,5,0.31
537,5,0.32
538,5,0.33
539,5,0.34
540,5,0.35000000000000003
541,5,0.36
542,5,0.37
543,5,0.38
544,5,0.39
545,5,0.4
546,5,0.41000000000000003
547,5,0.42
548,5,0.43
549,5,0.44
550,5,0.45
551,5,0.46
552,5,0.47000000000000003
553,5,0.48
554,5,0.49
555,5,0.5
556,5,0.51
557,5,0.52
558,5,0.53
559,5,0.54
560,5,0.55
561,5,0.56
562,5,0.5700000000000001
563,5,0.58
564,5,0.59
565,5,0.6
566,5,0.61
567,5,0.62
568,5,0.63
569,5,0.64
570,5,0.65
571,5,0.66
572,5,0.67
573,5,0.68
574,5,0.6900000000000001
575,5,0.7000000000000001
576,5,0.71
577,5,0.72
578,5,0.73
579,5,0.74
580,5,0.75
581,5,0.76
582,5,0.77
583,5,0.78
584,5,0.79
585,5,0.8
586,5,0.81
587,5,0.8200000000000001
588,5,0.8300000000000001
589,5,0.84
590,5,0.85
591,5,0.86
592,5,0.87
593,5,0.88
594,5,0.89
595,5,0.9
596,5,0.91
597,5,0.92
598,5,0.93
599,5,0.9400000000000001
600,5,0.9500000000000001
601,5,0.96
602,5,0.97
603,5,0.98
604,5,0.99
605,5,1.0
606,6,0.0
607,6,0.01
608,6,0.02
609,6,0.03
610,6,0.04
611,6,0.05
612,6,0.06
613,6,0.07
614,6,0.08
615,6,0.09
616,6,0.1
617,6,0.11
618,6,0.12
619,6,0.13
620,6,0.14
621,6,0.15
622,6,0.16
623,6,0.17
624,6,0.18
625,6,0.19
626,6,0.2
627,6,0.21
628,6,0.22
629,6,0.23
630,6,0.24
631,6,0.25
632,6,0.26
633,6,0.27
634,6,0.28
635,6,0.29
636,6,0.3
637,6,0.31
638,6,0.32
639,6,0.33
640,6,0.34
641,6,0.35000000000000003
642,6,0.36
643,6,0.37
644,6,0.38
645,6,0.39
646,6,0.4
647,6,0.41000000000000003
648,6,0.42
649,6,0.43
650,6,0.44
651,6,0.45
652,6,0.46
653,6,0.47000000000000003
654,6,0.48
655,6,0.49
656,6,0.5
657,6,0.51
658,6,0.52
659,6,0.53
660,6,0.54
661,6,0.55
662,6,0.56
663,6,0.5700000000000001
664,6,0.58
665,6,0.59
666,6,0.6
667,6,0.61
668,6,0.62
669,6,0.63
670,6,0.64
671,6,0.65
672,6,0.66
673,6,0.67
674,6,0.68
675,6,0.6900000000000001
676,6,0.7000000000000001
677,6,0.71
678,6,0.72
679,6,0.73
680,6,0.74
681,6,0.75
682,6,0.76
683,6,0.77
684,6,0.78
685,6,0.79
686,6,0.8
687,6,0.81
688,6,0.8200000000000001
689,6,0.8300000000000001
690,6,0.84
691,6,0.85
692,6,0.86
693,6,0.87
694,6,0.88
695,6,0.89
696,6,0.9
697,6,0.91
698,6,0.92
699,6,0.93
700,6,0.9400000000000001
701,6,0.9500000000000001
702,6,0.96
703,6,0.97
704,6,0.98
705,6,0.99
706,6,1.0
707,7,0.0
708,7,0.01
709,7,0.02
710,7,0.03
711,7,0.04
712,7,0.05
713,7,0.06
714,7,0.07
715,7,0.08
716,7,0.09
717,7,0.1
718,7,0.11
719,7,0.12
720,7,0.13
721,7,0.14
722,7,0.15
723,7,0.16
724,7,0.17
725,7,0.18
726,7,0.19
727,7,0.2
728,7,0.21
729,7,0.22
730,7,0.23
731,7,0.24
732,7,0.25
733,7,0.26
734,7,0.27
735,7,0.28
736,7,0.29
737,7,0.3
738,7,0.31
739,7,0.32
740,7,0.33
741,7,0.34
742,7,0.35000000000000003
743,7,0.36
744,7,0.37
745,7,0.38
746,7,0.39
747,7,0.4
748,7,0.41000000000000003
749,7,0.42
750,7,0.43
751,7,0.44
752,7,0.45
753,7,0.46
754,7,0.47000000000000003
755,7,0.48
756,7,0.49
757,7,0.5
758,7,0.51
759,7,0.52
760,7,0.53
761,7,0.54
762,7,0.55
763,7,0.56
764,7,0.5700000000000001
765,7,0.58
766,7,0.59
767,7,0.6
768,7,0.61
769,7,0.62
770,7,0.63
771,7,0.64
772,7,0.65
773,7,0.66
774,7,0.67
775,7,0.68
776,7,0.6900000000000001
777,7,0.7000000000000001
778,7,0.71
779,7,0.72
780,7,0.73
781,7,0.74
782,7,0.75
783,7,0.76
784,7,0.77
785,7,0.78
786,7,0.79
787,7,0.8
788,7,0.81
789,7,0.8200000000000001
790,7,0.8300000000000001
791,7,0.84
792,7,0.85
793,7,0.86
794,7,0.87
795,7,0.88
796,7,0.89
797,7,0.9
798,7,0.91
799,7,0.92
800,7,0.93
801,7,0.9400000000000001
802,7,0.9500000000000001
803,7,0.96
804,7,0.97
805,7,0.98
806,7,0.99
807,7,1.0
808,8,0.0
809,8,0.01
810,8,0.02
811,8,0.03
812,8,0.04
813,8,0.05
814,8,0.06
815,8,0.07
816,8,0.08
817,8,0.09
818,8,0.1
819,8,0.11
820,8,0.12
821,8,0.13
822,8,0.14
823,8,0.15
824,8,0.16
825,8,0.17
826,8,0.18
827,8,0.19
828,8,0.2
829,8,0.21
830,8,0.22
831,8,0.23
832,8,0.24
833,8,0.25
834,8,0.26
835,8,0.27
836,8,0.28
837,8,0.29
838,8,0.3
839,8,0.31
840,8,0.32
841,8,0.33
842,8,0.34
843,8,0.35000000000000003
844,8,0.36
845,8,0.37
846,8,0.38
847,8,0.39
848,8,0.4
849,8,0.41000000000000003
850,8,0.42
851,8,0.43
852,8,0.44
853,8,0.45
854,8,0.46
855,8,0.47000000000000003
856,8,0.48
857,8,0.49
858,8,0.5
859,8,0.51
860,8,0.52
861,8,0.53
862,8,0.54
863,8,0.55
864,8,0.56
865,8,0.5700000000000001
866,8,0.58
867,8,0.59
868,8,0.6
869,8,0.61
870,8,0.62
871,8,0.63
872,8,0.64
873,8,0.65
874,8,0.66
875,8,0.67
876,8,0.68
877,8,0.6900000000000001
878,8,0.7000000000000001
879,8,0.71
880,8,0.72
881,8,0.73
882,8,0.74
883,8,0.75
884,8,0.76
885,8,0.77
886,8,0.78
887,8,0.79
888,8,0.8
889,8,0.81
890,8,0.8200000000000001
891,8,0.8300000000000001
892,8,0.84
893,8,0.85
894,8,0.86
895,8,0.87
896,8,0.88
897,8,0.89
898,8,0.9
899,8,0.91
900,8,0.92
901,8,0.93
902,8,0.9400000000000001
903,8,0.9500000000000001
904,8,0.96
905,8,0.97
906,8,0.98
907,8,0.99
908,8,1.0
909,9,0.0
910,9,0.01
911,9,0.02
912,9,0.03
913,9,0.04
914,9,0.05
915,9,0.06
916,9,0.07
917,9,0.08
918,9,0.09
919,9,0.1
920,9,0.11
921,9,0.12
922,9,0.13
923,9,0.14
924,9,0.15
925,9,0.16
926,9,0.17
927,9,0.18
928,9,0.19
929,9,0.2
930,9,0.21
931,9,0.22
932,9,0.23
933,9,0.24
934,9,0.25
935,9,0.26
936,9,0.27
937,9,0.28
938,9,0.29
939,9,0.3
940,9,0.31
941,9,0.32
942,9,0.33
943,9,0.34
944,9,0.35000000000000003
945,9,0.36
946,9,0.37
947,9,0.38
948,9,0.39
949,9,0.4
950,9,0.41000000000000003
951,9,0.42
952,9,0.43
953,9,0.44
954,9,0.45
955,9,0.46
956,9,0.47000000000000003
957,9,0.48
958,9,0.49
959,9,0.5
960,9,0.51
961,9,0.52
962,9,0.53
963,9,0.54
964,9,0.55
965,9,0.56
966,9,0.5700000000000001
967,9,0.58
968,9,0.59
969,9,0.6
970,9,0.61
971,9,0.62
972,9,0.63
973,9,0.64
974,9,0.65
975,9,0.66
976,9,0.67
977,9,0.68
978,9,0.6900000000000001
979,9,0.7000000000000001
980,9,0.71
981,9,0.72
982,9,0.73
983,9,0.74
984,9,0.75
985,9,0.76
986,9,0.77
987,9,0.78
988,9,0.79
989,9,0.8
990,9,0.81
991,9,0.8200000000000001
992,9,0.8300000000000001
993,9,0.84
994,9,0.85
995,9,0.86
996,9,0.87
997,9,0.88
998,9,0.89
999,9,0.9
1000,9,0.91
1001,9,0.92
1002,9,0.93
1003,9,0.9400000000000001
1004,9,0.9500000000000001
1005,9,0.96
1006,9,0.97
1007,9,0.98
1008,9,0.99
1009,9,1.0
1010,10,0.0
1011,10,0.01
1012,10,0.02
1013,10,0.03
1014,10,0.04
1015,10,0.05
1016,10,0.06
1017,10,0.07
1018,10,0.08
1019,10,0.09
1020,10,0.1
1021,10,0.11
1022,10,0.12
1023,10,0.13
1024,10,0.14
1025,10,0.15
1026,10,0.16
1027,10,0.17
1028,10,0.18
1029,10,0.19
1030,10,0.2
1031,10,0.21
1032,10,0.22
1033,10,0.23
1034,10,0.24
1035,10,0.25
1036,10,0.26
1037,10,0.27
1038,10,0.28
1039,10,0.29
1040,10,0.3
1041,10,0.31
1042,10,0.32
1043,10,0.33
1044,10,0.34
1045,10,0.35000000000000003
1046,10,0.36
1047,10,0.37
1048,10,0.38
1049,10,0.39
1050,10,0.4
1051,10,0.41000000000000003
1052,10,0.42
1053,10,0.43
1054,10,0.44
1055,10,0.45
1056,10,0.46
1057,10,0.47000000000000003
1058,10,0.48
1059,10,0.49
1060,10,0.5
1061,10,0.51
1062,10,0.52
1063,10,0.53
1064,10,0.54
1065,10,0.55
1066,10,0.56
1067,10,0.5700000000000001
1068,10,0.58
1069,10,0.59
1070,10,0.6
1071,10,0.61
1072,10,0.62
1073,10,0.63
1074,10,0.64
1075,10,0.65
1076,10,0.66
1077,10,0.67
1078,10,0.68
1079,10,0.6900000000000001
1080,10,0.7000000000000001
1081,10,0.71
1082,10,0.72
1083,10,0.73
1084,10,0.74
1085,10,0.75
1086,10,0.76
1087,10,0.77
1088,10,0.78
1089,10,0.79
1090,10,0.8
1091,10,0.81
1092,10,0.8200000000000001
1093,10,0.8300000000000001
1094,10,0.84
1095,10,0.85
1096,10,0.86
1097,10,0.87
1098,10,0.88
1099,10,0.89
1100,10,0.9
1101,10,0.91
1102,10,0.92
1103,10,0.93
1104,10,0.9400000000000001
1105,10,0.9500000000000001
1106,10,0.96
1107,10,0.97
1108,10,0.98
1109,10,0.99
1110,10,1.0
