,LIMIT_BAL,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,SEX_2,EDUCATION_1,EDUCATION_2,EDUCATION_3,EDUCATION_4,EDUCATION_5,EDUCATION_6,MARRIAGE_1,MARRIAGE_2,MARRIAGE_3
13075,50000,29,-1,-1,0,0,0,0,1162,37702,32617,28814,16478,25349,37719,1095,2000,10000,13352,10000,0,1,0,0,0,0,0,0,1,0
19906,100000,42,2,2,0,0,0,0,91534,88637,90169,84714,69482,70226,0,4458,2973,2606,2696,2695,1,0,1,0,0,0,0,1,0,0
2532,180000,29,-1,0,0,0,0,0,36567,26613,26941,27705,21955,0,1682,1400,1554,0,0,0,1,1,0,0,0,0,0,0,1,0
28811,60000,46,0,0,0,0,0,0,16017,30073,18385,20732,21196,23175,22000,3000,3000,1000,3000,0,1,1,0,0,0,0,0,0,1,0
505,160000,35,-1,-1,-1,-1,-1,-1,396,396,396,0,792,1220,396,396,0,793,1220,0,0,1,0,0,0,0,0,0,1,0
14976,30000,58,2,2,2,2,2,2,26580,27652,27905,27158,29239,29791,1800,1000,0,2518,1185,1200,1,0,0,1,0,0,0,1,0,0
7293,100000,27,-2,-2,-2,-2,-2,-2,390,1780,0,0,0,0,4780,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
27830,200000,26,-2,-2,-2,-2,-2,-2,2364,442,33442,2140,964,2075,442,33448,2140,964,2075,7511,1,1,0,0,0,0,0,0,1,0
2541,100000,35,2,0,0,2,2,2,47253,49489,53034,53568,54563,56013,3000,5000,2000,2000,2500,2300,1,1,0,0,0,0,0,1,0,0
16266,190000,46,0,0,0,0,0,0,124245,126722,129376,132016,134632,137470,4536,4696,4791,4811,5000,5033,1,0,0,1,0,0,0,0,1,0
11578,280000,30,0,0,0,0,0,0,71770,74066,75907,77723,79550,81801,4000,3000,3000,3000,3500,4000,1,0,1,0,0,0,0,1,0,0
27774,240000,24,0,0,0,0,0,0,75830,50787,51524,31783,33993,36783,1480,1601,1400,3000,3180,37102,1,0,1,0,0,0,0,0,1,0
27602,400000,29,-2,-2,-2,-2,-2,-2,7622,38849,13586,19502,3809,4512,39097,13653,19617,3930,7021,24987,1,1,0,0,0,0,0,0,1,0
7468,20000,39,1,2,2,2,2,2,10968,12495,11998,13795,13431,16199,2000,0,2000,0,3000,0,0,1,0,0,0,0,0,0,1,0
17986,240000,38,-1,3,2,-1,-1,0,6333,3360,1291,2740,2241,1060,0,10,2740,2241,0,2731,0,1,0,0,0,0,0,1,0,0
5844,180000,27,0,0,2,0,0,0,99137,119635,115839,105643,119358,116097,22500,121,10000,20000,25000,0,1,1,0,0,0,0,0,0,1,0
25790,50000,38,-1,-1,-1,-1,-1,-1,390,390,390,390,390,390,390,390,390,390,390,390,1,0,1,0,0,0,0,0,1,0
3382,170000,45,0,0,0,0,0,0,40441,40937,34090,34894,36829,37727,5000,2000,2000,3000,2000,2000,0,0,0,1,0,0,0,1,0,0
24274,360000,29,0,0,0,-1,0,0,18454,16419,12932,91329,82929,70047,6028,6032,99578,2507,5376,2000,0,0,1,0,0,0,0,1,0,0
27755,50000,22,0,0,0,0,-2,-2,50180,38404,29775,0,0,0,2100,1800,0,0,0,0,1,0,1,0,0,0,0,0,1,0
29752,200000,39,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
16560,70000,28,0,0,0,0,0,0,19728,16923,10076,33079,23188,20937,8000,2000,30000,5000,20000,25000,0,1,0,0,0,0,0,0,1,0
6547,150000,36,0,0,0,0,-1,-1,70001,45813,44309,27428,2013,4724,2500,1200,2618,2013,4724,0,1,0,1,0,0,0,0,1,0,0
10128,130000,37,1,2,2,2,0,0,67612,65997,70604,68904,70369,71682,0,6300,0,2700,2600,2800,1,0,1,0,0,0,0,1,0,0
20497,20000,24,1,2,2,0,0,0,6962,7898,7626,8692,9541,9885,1200,0,1200,1000,500,500,0,0,1,0,0,0,0,0,1,0
7427,150000,32,0,0,2,2,2,0,52582,57496,55705,57210,57084,13194,6395,0,2100,222,1000,650,0,1,0,0,0,0,0,0,1,0
11031,20000,37,0,0,0,0,0,-2,17312,17762,18814,19614,0,0,1500,1500,1000,0,0,0,1,0,1,0,0,0,0,1,0,0
18772,60000,27,0,0,0,0,0,0,54900,55948,55188,55960,56564,57464,1971,2000,2003,2003,2070,2140,1,0,1,0,0,0,0,1,0,0
5081,290000,36,-2,-2,-2,-2,-2,-2,754,-98,-309,63,227,946,0,0,500,590,1045,0,1,0,1,0,0,0,0,1,0,0
20736,20000,22,1,2,0,0,0,0,10591,10277,11304,12311,12410,13358,0,1500,1500,600,1300,0,0,1,0,0,0,0,0,0,1,0
11489,360000,48,-1,-1,-1,-1,-1,-1,8243,10742,3300,0,1270,0,10752,3300,0,1270,0,889,1,1,0,0,0,0,0,1,0,0
9971,50000,38,0,0,0,0,0,0,50174,32012,34274,38668,40416,20355,3000,3000,5000,2000,3000,1200,0,0,0,1,0,0,0,0,1,0
25872,180000,33,-1,-1,-1,-1,-1,-1,4160,7817,2358,18572,11560,4298,7817,2358,18577,11560,4298,12330,1,0,1,0,0,0,0,0,1,0
25099,360000,50,1,-2,-2,-2,-2,-2,4767,-233,-233,-233,-233,-233,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
5201,230000,36,0,0,0,0,0,0,218637,223208,159930,141834,213408,222681,10034,5600,10753,100000,12823,8910,0,1,0,0,0,0,0,0,1,0
16586,200000,29,0,0,0,0,0,0,60068,50636,41265,49072,11314,11816,2500,2626,9412,500,1000,500,0,0,1,0,0,0,0,0,1,0
1122,50000,26,0,0,0,0,0,0,48221,49629,48868,49668,49780,49980,2571,1200,1000,40000,1000,0,0,0,1,0,0,0,0,0,1,0
15614,100000,30,2,2,2,2,0,0,92162,93769,95163,74656,65718,78474,3800,3420,80,1800,17000,2000,1,1,0,0,0,0,0,0,1,0
22089,60000,28,0,0,2,2,-1,-1,20729,14486,12163,8891,1723,40276,3016,1000,0,1723,40276,3000,1,1,0,0,0,0,0,0,1,0
1457,500000,42,1,-1,2,2,0,0,-984,3516,1924,1924,8924,6729,4500,0,0,7000,36,532,0,0,1,0,0,0,0,1,0,0
25365,250000,25,0,0,0,0,0,0,13358,19102,23681,20869,25490,31258,6000,5000,4000,5000,6000,5000,1,0,1,0,0,0,0,1,0,0
16485,240000,55,0,0,0,0,0,0,216170,218809,226013,229014,178852,182547,8000,11000,9000,7000,7000,7200,1,0,0,1,0,0,0,1,0,0
26226,100000,29,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
10968,200000,34,3,2,-1,-1,-1,-2,1571,361,1716,460,0,0,0,1716,460,0,0,0,0,1,0,0,0,0,0,0,1,0
28647,200000,44,-2,-2,-2,-2,-2,-2,390,390,390,390,390,390,390,390,390,390,390,540,1,0,0,1,0,0,0,1,0,0
7743,20000,42,3,2,2,2,2,2,18464,19465,19649,19978,20512,20831,1600,800,950,1000,800,0,1,0,1,0,0,0,0,1,0,0
18840,190000,27,2,2,2,2,0,0,3902,4686,5459,6214,7104,8973,1000,1000,1000,1000,2000,2000,1,0,1,0,0,0,0,0,1,0
20326,390000,53,-1,-1,-2,-2,-1,0,611,0,0,0,343,1343,0,0,0,343,1000,1076,1,1,0,0,0,0,0,1,0,0
5915,110000,41,2,2,7,7,7,7,150,150,150,150,150,150,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
27012,500000,43,0,0,0,0,0,0,124362,126860,129576,129863,120781,98163,4567,4787,4745,4256,3321,3326,0,1,0,0,0,0,0,1,0,0
28612,360000,39,1,-2,-2,-2,-2,-2,0,0,271,-1,560,0,0,271,0,561,0,0,1,0,0,1,0,0,0,0,1,0
2213,210000,25,0,0,-2,-1,0,0,13899,-9,-9,3231,125140,124880,0,0,3240,125009,5009,5013,0,0,1,0,0,0,0,0,1,0
9433,200000,36,-1,-1,-1,-1,-1,-1,694,2695,660,2315,1290,5745,2721,660,2315,1290,5745,0,1,0,1,0,0,0,0,0,1,0
13022,180000,41,-1,-1,-1,-1,-1,-1,859,1811,1335,366,1811,1828,1811,1335,366,1811,1828,366,0,0,1,0,0,0,0,1,0,0
21881,160000,26,-1,-1,-1,-1,-1,-1,390,390,390,390,390,390,390,390,390,390,390,390,1,0,0,1,0,0,0,0,1,0
11742,30000,23,0,0,0,0,0,0,27141,25125,27835,24743,28020,25607,3000,5000,1000,20000,3000,8000,1,0,1,0,0,0,0,0,1,0
12335,210000,26,0,0,0,0,0,0,206714,197252,140440,122678,120215,112973,7868,5000,5004,4500,3950,3800,0,0,1,0,0,0,0,0,1,0
10342,70000,53,0,0,-1,-1,-2,-2,24645,0,14000,0,0,0,0,14000,0,0,0,0,1,0,1,0,0,0,0,1,0,0
1190,240000,29,0,0,0,0,0,-2,3093,2322,8186,3980,0,0,2000,2020,2500,0,0,85,1,1,0,0,0,0,0,0,1,0
22753,70000,40,2,0,0,0,0,0,64744,66030,67450,68587,57710,58918,2361,2482,2293,2063,2135,2188,1,0,1,0,0,0,0,0,1,0
5148,110000,33,1,2,0,0,0,-2,7128,1852,2625,2625,0,0,0,1000,0,0,0,0,0,0,0,1,0,0,0,0,1,0
5245,240000,34,-2,-2,-2,-2,-2,-2,6170,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
14303,20000,27,0,0,0,3,2,0,6599,9315,19067,18472,18037,18487,3000,10000,0,0,900,2000,0,0,1,0,0,0,0,1,0,0
29363,390000,29,-1,-1,-1,0,0,-2,6664,6931,5985,7151,-200,-200,6931,5985,7000,0,0,0,0,0,1,0,0,0,0,0,1,0
579,30000,35,-2,-1,-1,-1,-1,-2,7797,2687,8762,3377,2000,0,2687,8765,3390,2040,0,0,0,0,1,0,0,0,0,1,0,0
21567,30000,25,0,0,0,0,0,0,26376,27483,28242,16498,16923,17649,1550,1308,1300,700,1000,2000,1,1,0,0,0,0,0,0,1,0
19186,240000,38,-2,-2,-2,-2,-2,-2,34752,30073,24315,3724,28347,11280,30073,24315,3724,28347,11280,31266,1,0,1,0,0,0,0,0,1,0
10406,360000,29,-2,-2,-2,-2,-2,-2,12018,31282,28823,51120,2222,-34,32038,28982,51379,2233,0,0,0,1,0,0,0,0,0,0,1,0
19082,70000,32,0,0,0,0,2,0,14180,10856,10822,13627,10852,12676,3000,2000,3000,0,2000,3000,1,0,0,1,0,0,0,1,0,0
8943,170000,28,0,0,0,0,0,0,105509,106445,68703,66338,62135,65706,4285,3000,3000,3000,5000,3000,1,0,1,0,0,0,0,1,0,0
10784,80000,33,2,2,2,2,2,2,53843,55933,56575,57303,58593,59738,3500,2100,2200,2300,2200,2100,1,0,1,0,0,0,0,1,0,0
10560,20000,30,0,0,0,0,0,0,19149,20221,19812,10717,13534,15298,1392,1201,1000,3000,2000,399,0,0,1,0,0,0,0,0,1,0
12146,410000,45,-2,-2,-2,-2,-2,-2,597,2326,7670,1761,6930,0,2329,7670,1761,6930,0,2675,0,0,1,0,0,0,0,1,0,0
17963,70000,32,0,0,0,0,0,0,71336,70393,131412,63823,52339,40836,3609,2523,2441,3038,2029,70004,0,0,1,0,0,0,0,0,1,0
22567,280000,31,-2,-2,-2,-2,-2,-2,0,0,0,787,1233,0,0,0,787,1233,0,0,0,1,0,0,0,0,0,0,1,0
27068,60000,35,2,0,0,0,2,2,9501,10560,11312,13050,12578,14008,1500,1200,1900,0,1600,0,0,0,1,0,0,0,0,1,0,0
29432,130000,30,-1,2,2,2,-1,-1,780,780,390,0,780,0,390,0,0,780,0,0,0,0,1,0,0,0,0,0,1,0
21770,310000,25,0,0,0,0,0,0,140483,141796,145125,148388,152132,155887,4000,4500,4500,5000,5000,5000,1,1,0,0,0,0,0,0,1,0
25484,70000,31,2,0,0,0,0,0,68174,68973,69835,66216,30000,30096,3200,3013,2141,1200,1300,1300,1,0,0,1,0,0,0,0,1,0
26119,200000,32,0,0,0,0,0,0,132436,133530,137837,140609,141896,151082,4780,6459,6550,5106,11500,0,1,0,0,1,0,0,0,1,0,0
11899,50000,25,0,0,0,0,0,0,6954,6032,6529,7533,7857,4424,2161,1000,1004,3004,1005,2006,1,0,0,1,0,0,0,0,1,0
3643,220000,34,-1,-1,-1,-1,-1,-1,51565,15683,1381,3300,2452,2728,15683,1381,3300,2452,2728,0,1,0,1,0,0,0,0,1,0,0
9999,230000,36,0,0,0,0,0,0,19505,20715,19750,19506,19255,17479,3000,3000,3000,3000,3000,3000,0,0,1,0,0,0,0,1,0,0
5705,80000,28,-2,-2,-2,-2,-2,-2,8598,9467,-270,3697,9455,4144,9467,0,3967,9455,5000,2900,0,1,0,0,0,0,0,0,1,0
26376,110000,40,0,0,0,0,0,0,111720,86877,133187,65025,62777,62105,3406,2357,2239,3617,2247,2500,1,0,1,0,0,0,0,0,1,0
5953,120000,27,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
13420,420000,36,0,0,0,0,0,0,185882,172613,134188,121983,111256,103481,10000,10000,10000,11256,13841,15059,1,0,1,0,0,0,0,1,0,0
28261,20000,42,2,3,2,2,2,2,18162,18464,19465,19649,19978,20512,900,1600,800,950,1000,800,1,0,1,0,0,0,0,1,0,0
16837,170000,36,-1,-1,-1,-1,-1,-1,8433,644,7567,0,499,576,644,7567,0,499,576,0,0,1,0,0,0,0,0,0,1,0
29442,150000,27,0,0,0,0,0,0,118533,119911,123914,126447,128773,134930,3375,5000,3583,3402,7226,5000,0,0,1,0,0,0,0,1,0,0
4461,130000,46,0,0,0,0,0,0,110766,114977,120976,40177,41529,43734,6000,9000,2000,2000,3000,4000,0,1,0,0,0,0,0,0,1,0
7539,360000,42,-1,-1,-1,-1,-2,-2,44380,968,990,390,390,3103,968,990,390,390,3103,0,1,0,1,0,0,0,0,1,0,0
28301,60000,34,2,2,2,4,3,3,6731,7777,9502,9217,9722,9291,1300,2000,0,800,0,0,1,0,0,1,0,0,0,1,0,0
2406,210000,40,0,0,0,0,0,0,201169,210942,214523,138786,140918,144099,16286,10011,5000,6000,6000,6000,1,0,0,1,0,0,0,1,0,0
25229,20000,22,0,0,0,0,0,0,16063,14928,14012,11965,11867,12850,1565,2006,2011,7000,2000,4000,1,0,0,1,0,0,0,0,1,0
2767,80000,24,0,0,0,0,0,0,81908,83597,157646,79061,79834,81257,5501,3450,3000,3059,2915,2758,1,0,1,0,0,0,0,0,1,0
17890,170000,28,0,0,0,0,0,0,56061,57179,58450,58556,51671,51090,2051,2197,1934,1793,2500,2000,0,1,0,0,0,0,0,0,1,0
18779,140000,28,-1,-1,-1,-1,0,-1,800,7937,9920,7078,3936,1555,7937,10132,7084,4,1555,0,1,0,0,1,0,0,0,0,1,0
9555,240000,29,0,0,0,0,0,0,219419,151914,159320,148705,134563,195628,7000,10082,8095,7015,67006,7026,0,0,0,0,1,0,0,0,1,0
27366,390000,28,0,0,0,0,0,0,18891,19521,28868,29661,21907,8205,6000,10000,2000,15000,5000,2000,0,1,0,0,0,0,0,0,1,0
1837,290000,40,0,0,0,0,0,0,274558,256910,229566,148812,53157,47998,10700,11014,5800,1820,2000,2000,1,0,1,0,0,0,0,1,0,0
7198,20000,53,0,0,0,0,0,0,13605,14629,15640,15950,16130,17011,1249,1260,570,436,1150,1000,0,1,0,0,0,0,0,1,0,0
13250,180000,28,0,-1,2,0,0,0,2569,2834,394,904,2514,4054,2834,0,900,2000,4000,2000,0,1,0,0,0,0,0,0,1,0
5860,250000,40,-1,-1,-1,-1,0,0,2348,329,-1404,3596,8596,8941,329,5000,5000,5000,4000,3000,1,0,1,0,0,0,0,0,1,0
19566,240000,47,-2,-1,-1,-2,-1,-1,27884,23222,0,0,13143,27383,23610,0,0,13143,27383,21718,1,0,1,0,0,0,0,1,0,0
11514,200000,34,0,0,0,0,0,0,135654,173946,176894,170754,172332,175960,66022,6101,5898,6053,6288,8000,0,0,1,0,0,0,0,1,0,0
19637,50000,49,2,0,0,0,-2,-2,48297,50487,51400,0,0,0,3000,2400,0,0,0,0,1,0,0,1,0,0,0,1,0,0
