,LIMIT_BAL,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,SEX_2,EDUCATION_1,EDUCATION_2,EDUCATION_3,EDUCATION_4,EDUCATION_5,EDUCATION_6,MARRIAGE_1,MARRIAGE_2,MARRIAGE_3
13538,50000,22,0,0,0,0,0,0,49086,48614,44211,27415,26630,8551,2047,1539,633,634,433,25586,1,1,0,0,0,0,0,0,1,0
24577,310000,40,-2,-2,-2,-2,-2,-2,-150,-150,-150,-150,-150,-150,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
7708,380000,50,0,0,0,0,2,2,294100,313346,299786,307801,288820,266266,30125,11600,20009,11000,0,40000,1,0,1,0,0,0,0,1,0,0
516,70000,32,0,0,0,0,0,0,68739,67629,69188,68392,69884,71284,3060,3300,2610,2750,2750,5500,0,0,0,1,0,0,0,1,0,0
4343,150000,37,0,0,0,0,0,0,135211,142398,121570,130780,130780,0,10109,10000,10000,10000,20000,16100,1,0,1,0,0,0,0,1,0,0
27645,100000,24,-1,-1,0,-1,-1,-1,53309,7500,15477,23472,12500,14666,7500,10035,23500,12500,14666,79053,1,0,1,0,0,0,0,1,0,0
22617,160000,34,-1,-1,-1,-1,-1,0,149,1100,240,236,4022,4245,1100,240,236,4026,1000,1000,1,0,1,0,0,0,0,0,1,0
25180,50000,23,1,3,2,0,0,0,7181,6908,5187,4643,3385,1839,0,0,1022,237,100,50,1,0,1,0,0,0,0,0,1,0
4589,170000,36,0,0,0,0,0,0,92480,94089,97286,97196,97227,101272,4000,5000,3000,4000,8000,4000,0,1,0,0,0,0,0,0,1,0
12776,280000,44,0,0,0,0,0,0,146390,148737,151000,152538,154291,155955,5111,5100,4300,4500,4500,4500,1,1,0,0,0,0,0,1,0,0
20765,50000,42,0,0,0,0,0,0,44637,40976,40134,16764,15215,16733,1880,1299,3007,1450,3000,3000,0,0,1,0,0,0,0,1,0,0
22255,170000,29,-1,0,0,-2,-2,-2,1000,6000,0,0,0,0,5000,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
14509,30000,27,1,2,0,0,2,0,28686,27620,28164,30444,29887,29153,0,2000,3000,0,1000,1000,1,1,0,0,0,0,0,0,1,0
733,160000,37,-1,-1,-1,-1,-1,-1,316,316,0,316,632,0,316,0,316,632,0,316,1,1,0,0,0,0,0,1,0,0
1921,300000,32,-2,-2,-2,-2,-2,-2,264,264,264,264,414,264,264,264,264,414,264,264,0,1,0,0,0,0,0,0,1,0
29999,50000,46,0,0,0,0,0,0,47929,48905,49764,36535,32428,15313,2078,1800,1430,1000,1000,1000,0,0,1,0,0,0,0,1,0,0
23435,260000,31,-1,-1,-1,-1,-1,-1,2224,1996,1497,-3,2138,900,2007,1501,0,2141,902,197,1,0,1,0,0,0,0,1,0,0
24575,150000,31,-1,-1,-2,-2,-2,-1,15000,0,0,0,0,11694,0,0,0,0,11694,30000,0,1,0,0,0,0,0,1,0,0
22488,20000,45,-1,0,0,0,-1,-1,1649,2301,2840,0,1740,0,1071,1000,0,1740,0,0,1,0,0,1,0,0,0,1,0,0
23112,70000,30,0,0,2,0,0,0,10705,58825,53080,49153,47139,37610,50071,0,2000,2000,2000,2000,1,0,1,0,0,0,0,0,1,0
1661,30000,39,-1,-1,-1,-1,-1,-1,223,223,223,223,223,675,223,223,223,223,675,10473,1,0,1,0,0,0,0,1,0,0
27272,210000,33,-1,-1,-1,-1,-1,-1,10635,9921,2570,14722,11220,14800,10046,2570,14722,11220,14800,7250,0,1,0,0,0,0,0,0,1,0
26746,220000,29,1,2,2,2,2,2,31012,30215,33117,32286,34320,33634,0,3400,0,2576,0,2671,0,1,0,0,0,0,0,0,1,0
29322,40000,27,1,3,2,2,3,2,40933,39630,40340,42332,41023,42722,0,2000,3304,0,3000,1200,0,0,1,0,0,0,0,0,1,0
23628,230000,38,0,0,0,0,0,0,67810,61602,48294,49242,48831,51125,1980,1823,1771,1896,3232,2026,1,0,0,1,0,0,0,1,0,0
11144,150000,30,-1,-1,-1,0,-1,-1,3415,2419,1541,1345,23018,1989,2425,1541,4,23087,1996,4010,0,1,0,0,0,0,0,0,1,0
5784,120000,24,-1,-1,-2,-2,-2,-2,600,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
22828,50000,37,0,0,0,0,0,0,49080,49240,48751,30250,29570,26969,2228,2000,1370,949,922,2500,1,0,0,1,0,0,0,1,0,0
9103,90000,32,0,0,0,0,0,0,23730,24693,6470,9882,28283,27893,2000,5000,5000,25000,22000,5000,0,0,1,0,0,0,0,0,1,0
29752,200000,39,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
7080,450000,35,1,2,0,0,0,0,347994,311267,365723,370496,374405,373155,0,90000,14011,14029,14052,14000,1,0,1,0,0,0,0,0,1,0
27869,70000,26,0,0,0,0,0,0,69754,71377,71225,64644,68427,69893,2791,2939,2364,4876,2557,3599,1,1,0,0,0,0,0,0,1,0
3068,160000,23,0,0,0,0,0,0,96814,69870,68984,55559,44705,28223,10008,20014,1894,6425,2204,62529,1,0,1,0,0,0,0,1,0,0
5346,140000,23,0,0,0,0,0,0,100448,103990,104462,43810,44434,45251,5450,4200,1810,1765,2000,1665,1,0,0,1,0,0,0,0,1,0
6164,390000,37,0,0,0,0,0,0,324452,309369,269703,266017,271657,245958,13106,10111,10005,11000,9007,9000,1,0,1,0,0,0,0,0,1,0
17115,210000,26,0,-1,-1,-1,-1,-1,10401,18480,330,330,330,330,18480,330,330,330,330,480,1,1,0,0,0,0,0,0,1,0
11198,150000,32,0,0,0,0,0,0,148352,151267,143254,137379,35290,1200,5210,5212,4610,706,1200,0,0,0,0,1,0,0,0,0,1,0
18887,500000,31,-2,-2,-2,-2,-2,-2,-9,-9,-9,-9,1796,-90,0,0,0,1805,0,18268,1,0,1,0,0,0,0,0,1,0
7500,500000,30,1,-1,2,-1,-1,-1,17144,2447,1221,1157,1133,2107,3678,6,1162,1133,1010,5,1,1,0,0,0,0,0,0,1,0
29161,10000,53,2,2,2,2,0,0,9917,6615,8355,8000,9000,10000,3400,2000,0,1000,1000,9000,1,0,0,1,0,0,0,0,1,0
17828,50000,25,0,0,0,0,0,0,48848,48208,48265,43451,19790,17790,1845,1967,1400,396,0,0,0,1,0,0,0,0,0,0,1,0
4702,200000,41,1,-1,-1,-1,0,-1,0,340,0,148,148,198,340,0,148,0,198,7296,1,0,0,1,0,0,0,1,0,0
25354,50000,23,0,0,-1,0,0,0,9861,6486,2636,4652,6390,8880,1000,2636,2500,2128,2880,390,1,1,0,0,0,0,0,0,1,0
10465,300000,29,-2,-2,-1,0,0,0,-1282,-1282,132218,133533,136877,139940,0,133500,5000,5500,5500,5500,1,1,0,0,0,0,0,0,1,0
14474,110000,39,0,0,0,0,0,0,210804,107572,100475,48409,47693,49018,5426,4244,1837,1713,2100,2020,1,0,1,0,0,0,0,0,1,0
14493,120000,30,0,0,0,0,0,0,104801,100502,86478,81902,78616,80307,4000,2960,3833,2855,3000,3000,1,0,1,0,0,0,0,0,1,0
19560,200000,40,-2,-2,-2,-2,-2,-2,0,0,2479,0,0,0,0,2479,0,0,0,0,1,1,0,0,0,0,0,1,0,0
22560,160000,36,1,-2,-2,-2,-2,-1,0,0,0,0,0,300,0,0,0,0,300,0,1,1,0,0,0,0,0,0,1,0
29218,60000,24,0,0,0,0,0,0,58197,47537,46576,41376,36959,35508,3000,3010,3004,3000,3000,3000,0,0,1,0,0,0,0,0,1,0
15062,100000,35,2,2,2,2,2,2,67646,69237,70638,71680,72705,74195,3300,3100,2800,2800,2800,2800,0,0,0,1,0,0,0,0,1,0
17187,70000,29,0,0,0,2,2,2,40048,40783,44205,44784,43763,46646,1700,4100,1600,0,3600,2000,1,1,0,0,0,0,0,0,1,0
5115,20000,31,5,4,3,4,3,2,21763,21145,20930,20182,19836,11998,0,549,0,0,0,0,0,0,1,0,0,0,0,0,1,0
25872,180000,33,-1,-1,-1,-1,-1,-1,4160,7817,2358,18572,11560,4298,7817,2358,18577,11560,4298,12330,1,0,1,0,0,0,0,0,1,0
18837,500000,26,0,0,0,0,0,0,32637,35863,37860,42572,47200,59843,15943,27878,22572,17200,19843,96632,1,1,0,0,0,0,0,0,1,0
4756,170000,27,0,0,0,0,0,0,118801,108980,112125,109579,107030,101130,4000,5300,3800,3880,3500,3400,1,1,0,0,0,0,0,0,1,0
16612,130000,27,2,2,2,0,0,0,73561,70071,68392,69435,67790,69248,3500,0,2798,3500,2627,3000,0,1,0,0,0,0,0,0,1,0
7405,160000,39,1,-2,-2,-2,-2,-2,-18,-18,-18,-18,-18,-18,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
15543,180000,30,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
13534,50000,40,0,0,0,0,0,0,34582,25281,15264,12465,13262,13523,2000,2000,1000,1000,482,2000,0,0,0,1,0,0,0,1,0,0
6538,230000,28,-1,-1,-1,-2,-1,-1,875,375,-250,-125,609,362,1000,0,0,4000,3000,9000,1,0,1,0,0,0,0,0,1,0
46,20000,22,0,0,2,-1,0,0,14028,16484,15800,16341,16675,0,3000,0,16741,334,0,0,1,1,0,0,0,0,0,0,1,0
24633,500000,46,0,0,-1,-1,-1,-1,157046,82603,37528,83629,20894,27217,1652,37550,83642,20894,24038,59021,0,0,1,0,0,0,0,1,0,0
20273,320000,50,-1,-1,-1,-1,0,0,1999,729,2462,12360,10943,9597,730,2472,12360,0,237,3417,1,1,0,0,0,0,0,0,1,0
19592,170000,45,0,0,0,0,0,0,169625,169944,169829,162988,125969,127643,6081,6336,5205,4452,4592,4677,1,0,1,0,0,0,0,1,0,0
5915,110000,41,2,2,7,7,7,7,150,150,150,150,150,150,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
15402,100000,54,0,0,0,0,0,0,95980,99056,100415,102666,63913,65246,4057,3232,3275,2290,2365,2382,1,0,0,0,0,1,0,1,0,0
19132,210000,32,0,0,-1,0,0,0,1406,0,712,1025,4584,0,0,712,1000,4000,0,821,1,0,0,1,0,0,0,1,0,0
13432,30000,36,0,0,2,0,-1,-1,14254,16598,15908,16029,6501,0,2890,0,321,6501,0,0,1,1,0,0,0,0,0,0,1,0
10083,30000,23,2,2,2,0,0,2,19674,21050,20414,22008,23480,23777,2000,0,1934,1824,830,0,1,0,1,0,0,0,0,0,1,0
17624,180000,32,-1,-1,2,2,0,0,10831,17816,18247,33230,5168,0,7201,1000,0,103,0,0,1,1,0,0,0,0,0,0,1,0
9153,210000,32,0,0,2,0,0,0,155913,165227,161427,164860,187329,186079,13000,0,5666,24886,6282,6494,0,0,1,0,0,0,0,0,1,0
1023,200000,35,-1,0,0,0,0,0,9918,10971,11817,17865,18239,14527,1219,1165,7865,592,807,679,1,1,0,0,0,0,0,1,0,0
7339,110000,35,2,0,0,0,2,2,67591,69773,71886,76767,78462,79890,3200,3200,6000,3000,2800,3200,0,0,0,1,0,0,0,1,0,0
7573,280000,26,0,0,0,0,2,2,245969,251120,254735,270486,276026,271408,10600,9300,20000,10000,0,11000,0,1,0,0,0,0,0,0,1,0
24001,60000,26,0,0,0,0,0,0,58072,59040,57416,55736,26958,28847,2282,2324,2049,2000,3000,1120,0,0,1,0,0,0,0,0,1,0
27380,430000,36,0,0,0,0,0,0,35488,39897,48916,52021,27796,29340,5000,10000,4000,1500,2000,2000,0,0,0,1,0,0,0,1,0,0
7318,360000,28,0,0,0,0,0,0,152072,151168,153306,144485,145601,140336,5708,6059,5009,5021,5027,100017,1,1,0,0,0,0,0,0,1,0
15981,30000,49,0,0,0,0,2,2,23705,24709,25745,27949,27216,29138,1386,1422,2626,0,2351,1033,1,0,1,0,0,0,0,1,0,0
4421,260000,29,-2,-2,-2,-2,-1,-1,1476,1476,1476,1476,20976,1476,1476,1476,1476,20976,1476,1476,1,1,0,0,0,0,0,0,1,0
3469,220000,41,0,0,0,0,0,0,126532,90013,91191,86139,83743,78555,4500,4006,3000,3000,3000,6000,1,0,1,0,0,0,0,1,0,0
21285,20000,52,2,0,0,0,0,0,16290,17301,19012,19959,19962,19988,1289,2000,1300,658,680,1000,0,0,0,1,0,0,0,1,0,0
24429,50000,39,0,0,0,0,0,0,39753,40701,41342,41424,41182,41187,2000,2000,2000,1600,2000,2000,0,0,0,1,0,0,0,0,1,0
3318,200000,36,2,-1,-1,-1,-2,-2,7300,3238,2655,2200,0,0,3238,2655,0,0,0,1966,0,0,1,0,0,0,0,1,0,0
13008,70000,35,0,0,0,0,0,0,70480,66646,69641,46458,50679,50061,3237,4938,1693,5000,2200,1718,0,0,1,0,0,0,0,1,0,0
12321,200000,26,0,0,0,2,2,0,105433,108408,116094,116289,112011,106313,5498,11084,3800,0,4005,2911,1,0,1,0,0,0,0,0,1,0
23841,260000,65,0,0,0,0,0,0,225028,188891,174617,178214,182251,186144,8165,6500,6500,7000,7000,7500,1,0,0,1,0,0,0,1,0,0
15091,360000,32,0,0,0,0,0,0,120533,124530,128518,134368,135626,134864,6000,6000,8000,4918,5000,3300,0,1,0,0,0,0,0,1,0,0
10612,20000,31,0,0,0,0,0,0,16569,22372,25285,24669,20899,11968,11000,5000,0,418,5000,3816,1,0,1,0,0,0,0,0,1,0
1138,130000,44,0,0,0,0,0,2,109006,110256,113283,101247,96939,81977,4500,5000,4000,10600,0,2300,1,0,0,1,0,0,0,1,0,0
1118,140000,54,1,-2,-2,-2,-2,-2,-150,-150,-150,-150,-150,-150,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
15839,160000,27,1,2,0,0,0,0,156506,157177,157804,157478,156098,156659,7000,6000,7217,6000,6000,6000,1,0,1,0,0,0,0,0,1,0
6145,100000,46,0,0,2,2,2,2,91983,100538,101670,98047,101891,98173,11000,3700,0,7500,0,3800,1,0,0,1,0,0,0,1,0,0
