,year,month,day,day_type
104,2019,4,15,Weekday
105,2019,4,16,Weekday
106,2019,4,17,Weekday
107,2019,4,18,Weekday
108,2019,4,19,Weekday
109,2019,4,20,Saturday
110,2019,4,21,Sunday/Holiday
111,2019,4,22,Weekday
112,2019,4,23,Weekday
113,2019,4,24,Weekday
114,2019,4,25,Weekday
115,2019,4,26,Weekday
116,2019,4,27,Saturday
117,2019,4,28,Sunday/Holiday
118,2019,4,29,Weekday
119,2019,4,30,Weekday
120,2019,5,1,Weekday
121,2019,5,2,Weekday
122,2019,5,3,Weekday
123,2019,5,4,Saturday
124,2019,5,5,Sunday/Holiday
125,2019,5,6,Weekday
126,2019,5,7,Weekday
127,2019,5,8,Weekday
128,2019,5,9,Weekday
129,2019,5,10,Weekday
130,2019,5,11,Saturday
131,2019,5,12,Sunday/Holiday
132,2019,5,13,Weekday
133,2019,5,14,Weekday
134,2019,5,15,Weekday
135,2019,5,16,Weekday
136,2019,5,17,Weekday
137,2019,5,18,Saturday
138,2019,5,19,Sunday/Holiday
139,2019,5,20,Weekday
140,2019,5,21,Weekday
141,2019,5,22,Weekday
142,2019,5,23,Weekday
143,2019,5,24,Weekday
144,2019,5,25,Saturday
145,2019,5,26,Sunday/Holiday
146,2019,5,27,Sunday/Holiday
147,2019,5,28,Weekday
148,2019,5,29,Weekday
149,2019,5,30,Weekday
150,2019,5,31,Weekday
151,2019,6,1,Saturday
152,2019,6,2,Sunday/Holiday
153,2019,6,3,Weekday
154,2019,6,4,Weekday
155,2019,6,5,Weekday
156,2019,6,6,Weekday
157,2019,6,7,Weekday
158,2019,6,8,Saturday
159,2019,6,9,Sunday/Holiday
160,2019,6,10,Weekday
161,2019,6,11,Weekday
162,2019,6,12,Weekday
163,2019,6,13,Weekday
164,2019,6,14,Weekday
165,2019,6,15,Saturday
166,2019,6,16,Sunday/Holiday
167,2019,6,17,Weekday
168,2019,6,18,Weekday
169,2019,6,19,Weekday
170,2019,6,20,Weekday
171,2019,6,21,Weekday
172,2019,6,22,Saturday
173,2019,6,23,Sunday/Holiday
174,2019,6,24,Weekday
175,2019,6,25,Weekday
176,2019,6,26,Weekday
177,2019,6,27,Weekday
178,2019,6,28,Weekday
179,2019,6,29,Saturday
180,2019,6,30,Sunday/Holiday
181,2019,7,1,Weekday
182,2019,7,2,Weekday
183,2019,7,3,Weekday
184,2019,7,4,Sunday/Holiday
185,2019,7,5,Weekday
186,2019,7,6,Saturday
187,2019,7,7,Sunday/Holiday
188,2019,7,8,Weekday
189,2019,7,9,Weekday
190,2019,7,10,Weekday
191,2019,7,11,Weekday
192,2019,7,12,Weekday
193,2019,7,13,Saturday
194,2019,7,14,Sunday/Holiday
195,2019,7,15,Weekday
196,2019,7,16,Weekday
197,2019,7,17,Weekday
198,2019,7,18,Weekday
199,2019,7,19,Weekday
200,2019,7,20,Saturday
201,2019,7,21,Sunday/Holiday
202,2019,7,22,Weekday
203,2019,7,23,Weekday
204,2019,7,24,Weekday
205,2019,7,25,Weekday
206,2019,7,26,Weekday
207,2019,7,27,Saturday
208,2019,7,28,Sunday/Holiday
209,2019,7,29,Weekday
210,2019,7,30,Weekday
211,2019,7,31,Weekday
212,2019,8,1,Weekday
213,2019,8,2,Weekday
214,2019,8,3,Saturday
215,2019,8,4,Sunday/Holiday
216,2019,8,5,Weekday
217,2019,8,6,Weekday
218,2019,8,7,Weekday
219,2019,8,8,Weekday
220,2019,8,9,Weekday
221,2019,8,10,Saturday
222,2019,8,11,Sunday/Holiday
223,2019,8,12,Weekday
224,2019,8,13,Weekday
225,2019,8,14,Weekday
226,2019,8,15,Weekday
227,2019,8,16,Weekday
228,2019,8,17,Saturday
229,2019,8,18,Sunday/Holiday
230,2019,8,19,Weekday
231,2019,8,20,Weekday
232,2019,8,21,Weekday
233,2019,8,22,Weekday
234,2019,8,23,Weekday
235,2019,8,24,Saturday
236,2019,8,25,Sunday/Holiday
237,2019,8,26,Weekday
238,2019,8,27,Weekday
239,2019,8,28,Weekday
240,2019,8,29,Weekday
241,2019,8,30,Weekday
242,2019,8,31,Saturday
243,2019,9,1,Sunday/Holiday
244,2019,9,2,Sunday/Holiday
245,2019,9,3,Weekday
246,2019,9,4,Weekday
247,2019,9,5,Weekday
248,2019,9,6,Weekday
249,2019,9,7,Saturday
250,2019,9,8,Sunday/Holiday
251,2019,9,9,Weekday
252,2019,9,10,Weekday
253,2019,9,11,Weekday
254,2019,9,12,Weekday
255,2019,9,13,Weekday
256,2019,9,14,Saturday
257,2019,9,15,Sunday/Holiday
258,2019,9,16,Weekday
259,2019,9,17,Weekday
260,2019,9,18,Weekday
261,2019,9,19,Weekday
262,2019,9,20,Weekday
263,2019,9,21,Saturday
264,2019,9,22,Sunday/Holiday
265,2019,9,23,Weekday
266,2019,9,24,Weekday
267,2019,9,25,Weekday
268,2019,9,26,Weekday
269,2019,9,27,Weekday
270,2019,9,28,Saturday
271,2019,9,29,Sunday/Holiday
272,2019,9,30,Weekday
273,2019,10,1,Weekday
274,2019,10,2,Weekday
275,2019,10,3,Weekday
276,2019,10,4,Weekday
277,2019,10,5,Saturday
278,2019,10,6,Sunday/Holiday
279,2019,10,7,Weekday
280,2019,10,8,Weekday
281,2019,10,9,Weekday
282,2019,10,10,Weekday
283,2019,10,11,Weekday
284,2019,10,12,Saturday
285,2019,10,13,Sunday/Holiday
286,2019,10,14,Weekday
287,2019,10,15,Weekday
288,2019,10,16,Weekday
289,2019,10,17,Weekday
290,2019,10,18,Weekday
291,2019,10,19,Saturday
292,2019,10,20,Sunday/Holiday
293,2019,10,21,Weekday
294,2019,10,22,Weekday
295,2019,10,23,Weekday
296,2019,10,24,Weekday
297,2019,10,25,Weekday
298,2019,10,26,Saturday
299,2019,10,27,Sunday/Holiday
300,2019,10,28,Weekday
301,2019,10,29,Weekday
302,2019,10,30,Weekday
303,2019,10,31,Weekday
304,2019,11,1,Weekday
305,2019,11,2,Saturday
306,2019,11,3,Sunday/Holiday
307,2019,11,4,Weekday
308,2019,11,5,Weekday
309,2019,11,6,Weekday
310,2019,11,7,Weekday
311,2019,11,8,Weekday
312,2019,11,9,Saturday
313,2019,11,10,Sunday/Holiday
314,2019,11,11,Weekday
315,2019,11,12,Weekday
316,2019,11,13,Weekday
317,2019,11,14,Weekday
318,2019,11,15,Weekday
319,2019,11,16,Saturday
320,2019,11,17,Sunday/Holiday
321,2019,11,18,Weekday
322,2019,11,19,Weekday
323,2019,11,20,Weekday
324,2019,11,21,Weekday
325,2019,11,22,Weekday
326,2019,11,23,Saturday
327,2019,11,24,Sunday/Holiday
328,2019,11,25,Weekday
329,2019,11,26,Weekday
330,2019,11,27,Weekday
331,2019,11,28,Sunday/Holiday
332,2019,11,29,Weekday
333,2019,11,30,Saturday
334,2019,12,1,Sunday/Holiday
335,2019,12,2,Weekday
336,2019,12,3,Weekday
337,2019,12,4,Weekday
338,2019,12,5,Weekday
339,2019,12,6,Weekday
340,2019,12,7,Saturday
341,2019,12,8,Sunday/Holiday
342,2019,12,9,Weekday
343,2019,12,10,Weekday
344,2019,12,11,Weekday
345,2019,12,12,Weekday
346,2019,12,13,Weekday
347,2019,12,14,Saturday
348,2019,12,15,Sunday/Holiday
349,2019,12,16,Weekday
350,2019,12,17,Weekday
351,2019,12,18,Weekday
352,2019,12,19,Weekday
353,2019,12,20,Weekday
354,2019,12,21,Saturday
355,2019,12,22,Sunday/Holiday
356,2019,12,23,Weekday
357,2019,12,24,Weekday
358,2019,12,25,Sunday/Holiday
359,2019,12,26,Weekday
360,2019,12,27,Weekday
361,2019,12,28,Saturday
362,2019,12,29,Sunday/Holiday
363,2019,12,30,Weekday
364,2019,12,31,Weekday
