,rid,vid,owner,address,zip
79,T2469,2469,BHATTI TAXI INC,4626 W. CORNELIA AVE.,60641
80,T2379,2379,OMEGA TAXI,6550 N. CHOICE ST.,60626
81,T438,438,MCCAB VIII CORP.,4626 W. CORNELIA AVE.,60641
82,T1111,1111,CRAZY JEFFREY CAB CORP,2617 S. WABASH AVE.,60616
83,T3475,3475,CIVIC CORP,5200 N. OTTO AVE.,60656
84,T1537,1537,"CHICAGO POLO V, INC.",2617 S. WABASH AVE.,60616
85,T2602,2602,MARWILL CAB COMPANY,1834 N. DAMEN AVE.,60647
86,T3593,3593,MAXIMA CAB COMPANY,9696 W. FOSTER AVE.,60656
87,T4144,4144,TAXI MEDALLION GROUP LLC SERIESXXVI,4175 N. ELSTON AVE.,60618
88,T353,353,MCCAB XXIII CORP.,4626 W. CORNELIA AVE.,60641
89,T1082,1082,MERCIFUL GOD LLC,6549 N. FRANCISCO AVE.,60645
90,T5976,5976,BELICAGO TAXI LLC,3351 W. ADDISON ST.,60618
91,T5510,5510,MIRACLE EXPRESS INC.,4626 W. CORNELIA AVE.,60641
92,T3022,3022,FEMDOT INC,3351 W. ADDISON ST.,60618
93,T6076,6076,SAIED A SARVINEHBAGHI,6160 N. DAMEN AVE.,60659
94,T5052,5052,TAJ CAB CO INC,3351 W. ADDISON ST.,60618
95,T2005,2005,ESQUEDA SERVICES INC,4626 W. CORNELIA AVE.,60641
96,T3994,3994,RUMEX INC,5415 N. SHERIDAN RD.,60640
97,T2738,2738,ABBAS CAB CO.,3351 W. ADDISON ST.,60618
98,T3579,3579,"RUBA TRANS INC.,",3351 W. ADDISON ST.,60618
99,T5872,5872,LUCKY SEVEN CHICAGO THREE INC.,2617 S. WABASH AVE.,60616
100,T5885,5885,HEBRON TRANS INC,4118 W. LAWRENCE AVE.,60630
101,T4713,4713,SONU INC.,3351 W. ADDISON ST.,60618
102,T6109,6109,WEDI AFOM INC,6550 N. CLARK ST.,60626
103,T6761,6761,SALMA & YOUSEF CAB INC.,9696 W. FOSTER AVE.,60656
104,T6465,6465,BELAY CORP,6550 N. CLARK ST.,60626
105,T582,582,"CHICAGO POLO XIII, INC.",2617 S. WABASH AVE.,60616
106,T2264,2264,MARU CORP,4626 W. CORNELIA AVE.,60641
107,T492,492,CHICAGO SEVEN INC,2617 S. WABASH AVE.,60616
108,T2308,2308,FAST CAB COMPANY,4175 N. ELSTON AVE.,60618
109,T2844,2844,JKC TAXI CORP.,4626 W. CORNELIA AVE.,60641
110,T3543,3543,ANDREW AND AUDREY CAB CORP.,9696 W. FOSTER AVE.,60656
111,T2737,2737,AUGUST CAB CORP.,2617 S. WABASH AVE.,60616
112,T5287,5287,HUMZA CAB CO,2532 W. WARREN BLVD.,60612
113,T5110,5110,RAZA CAB INC,4626 W. CORNELIA AVE.,60641
114,T4053,4053,ADWAR H NIKOLA,5508 N. ARTESIAN AVE.,60625
115,T5519,5519,WOLFGANG'S CAB COMPANY,8001 S. DR MARTIN LUTHER KING JR DR.,60619
116,T4380,4380,WISE BEAT INC,2532 W. WARREN BLVD.,60612
117,T3515,3515,MAS TAXI INC,9696 W. FOSTER AVE.,60656
118,T4777,4777,CHATHA ENTERPRISES INC,4626 W. CORNELIA AVE.,60641
119,T800,800,"CHICAGO POLO X, INC.",2617 S. WABASH AVE.,60616
120,T3974,3974,CHICAGO MEDALLION ONE LLC.,9696 W. FOSTER AVE.,60656
121,T4134,4134,HOLLY BULL CAB CORP,4020 W. GLENLAKE AVE.,60646
122,T2036,2036,AWALE COMPANY,6307 N. TALMAN AVE.,60659
123,T4683,4683,4683 TAXI INC,4118 W. LAWRENCE AVE.,60630
124,T535,535,DERYJES INC,4626 W. CORNELIA AVE.,60641
125,T5726,5726,W TAXI INC.,3351 W. ADDISON ST.,60618
126,T5253,5253,MUN OK SUH,1761 W. MORSE AVE.,60626
127,T2773,2773,JOZI CAB CO,3351 W. ADDISON ST.,60618
128,T6268,6268,H & R CAB CORP.,3351 W. ADDISON ST.,60618
129,T6124,6124,OHARE-MIDWAY INC.,4626 W. CORNELIA AVE.,60641
130,T74,74,GREVENA CORP,3351 W. ADDISON ST.,60618
131,T3600,3600,AKAL CAB COMPANY,4020 W. GLENLAKE AVE.,60646
132,T3884,3884,VICENTE CALDERON,2529 W. 45TH PL.,60632
133,T5236,5236,MAS TAXI INC,9696 W. FOSTER AVE.,60656
134,T1569,1569,CATCH A CAB CORP.,3351 W. ADDISON ST.,60618
135,T1165,1165,B & T CAB CO,3351 W. ADDISON ST.,60618
136,T1872,1872,AQUA ZONE CAB CO.,2617 S. WABASH AVE.,60616
137,T783,783,VJOSA CAB CO.,2601 W. PETERSON AVE.,60659
138,T2662,2662,DEFIANCE TAXI LLC,3351 W. ADDISON ST.,60618
139,T159,159,MCCAB VI CORP.,4626 W. CORNELIA AVE.,60641
140,T2625,2625,C DORTCH INC,4536 N. ELSTON AVE.,60630
141,T6680,6680,M IBRAHIM INC,4118 W. LAWRENCE AVE.,60630
142,T5793,5793,"TAXI MEDALLION GROUP, LLC SERIES 32",4175 N. ELSTON AVE.,60618
143,T1745,1745,SENEGAL TRANSIT INC.,3351 W. ADDISON ST.,60618
144,T1730,1730,ANAYA TRANS INC,2601 W. PETERSON AVE.,60659
145,T2892,2892,TERRA TAXI THREE CORP.,6500 N. WESTERN AVE.,60645
146,T5914,5914,MAHAL CAB CO.,2857 W. GLENLAKE AVE.,60659
147,T2338,2338,OLA CAB INCORPORATED,8622 S. CHAPPEL AVE.,60617
148,T4141,4141,"AMPONSAH, CORP.",2601 W. PETERSON AVE.,60659
149,T4629,4629,HUMIDITY II HACKING CORP.,2617 S. WABASH AVE.,60616
150,T4074,4074,BUKHARI ENT INC.,4118 W. LAWRENCE AVE.,60630
151,T4370,4370,ADEFAMCO CORP.,2601 W. PETERSON AVE.,60659
152,T2866,2866,OK J. KANG CO.,4020 W. GLENLAKE AVE.,60646
153,T1868,1868,J & I CAB CORP,2617 S. WABASH AVE.,60616
154,T3566,3566,STAR CAB CO.,6550 N. CLARK ST.,60626
155,T2050,2050,NECT 13 LLC,6500 N. WESTERN AVE.,60645
156,T814,814,MCCAB IX CORP.,4536 N. ELSTON AVE.,60630
157,T4293,4293,AMADEO CAB COMPANY,4626 W. CORNELIA AVE.,60641
158,T4313,4313,ULTRA INVESTMENT CORP,3351 W. ADDISON ST.,60618
159,T6760,6760,ABU RAYYAN INC.,9696 W. FOSTER AVE.,60656
160,T1498,1498,SAFARI TAXI INC,6315 N. HERMITAGE AVE.,60660
161,T2281,2281,SHERRY CAB CO INC,3351 W. ADDISON ST.,60618
162,T5686,5686,EFFISCO CORP,2106 W. FARRAGUT AVE.,60625
163,T6407,6407,NAVEAD INC,9696 W. FOSTER AVE.,60656
164,T2127,2127,2 FATIMA INC,2601 W. PETERSON AVE.,60659
165,T4698,4698,MARYA CAB INC.,6550 N. CLARK ST.,60626
166,T4834,4834,UNAISHA INC.,9696 W. FOSTER AVE.,60656
167,T3542,3542,SADEGH HATAMI,5701 N. SHERIDAN RD.,60660
168,T4785,4785,MEMONA CAB CORP.,6550 N. CLARK ST.,60626
169,T3370,3370,JOTI CAB COMPANY,4020 W. GLENLAKE AVE.,60646
170,T1858,1858,AUGUST CAB CORP.,2617 S. WABASH AVE.,60616
171,T2462,2462,PARK WEST EXPRESS INC,9696 W. FOSTER AVE.,60656
172,T2843,2843,1 SUPER STAR CAB CO,4626 W. CORNELIA AVE.,60641
173,T4736,4736,INDUS CAB CO,3351 W. ADDISON ST.,60618
174,T5238,5238,"KHOUDIASTA, INC.",3351 W. ADDISON ST.,60618
175,T3568,3568,"AIH, CORP.",3149 W. 59TH ST.,60629
176,T986,986,BETHUNE TAXI LLC,4536 N. ELSTON AVE.,60630
177,T2487,2487,SHALMAN TRANS INC,4626 W. CORNELIA AVE.,60641
178,T6914,6914,MASRI INC,4118 W. LAWRENCE AVE.,60630
179,T1205,1205,"WADOOD, INC",9696 W. FOSTER AVE.,60656
180,T3877,3877,LUXOR INC,9696 W. FOSTER AVE.,60656
181,T4012,4012,TRAVEL SURF INC,2601 W. PETERSON AVE.,60659
182,T6728,6728,SAMOS CAB CORP,2945 W. PETERSON AVE.,60659
183,T4152,4152,LEIPZIG TAXI LLC,4536 N. ELSTON AVE.,60630
184,T6624,6624,TAXI 4 YOU INC,3351 W. ADDISON ST.,60618
185,T3587,3587,ORANMONSE INC,3351 W. ADDISON ST.,60618
186,T1187,1187,KA TAXICAB CO,4626 W. CORNELIA AVE.,60641
187,T711,711,JZG TRANSIT CO.,2617 S. WABASH AVE.,60616
188,T5271,5271,MANAL & NAHLA CAB CO,2601 W. PETERSON AVE.,60659
189,T1612,1612,NJ CAB CO,4020 W. GLENLAKE AVE.,60646
190,T6797,6797,PAULA H CORP.,2617 S. WABASH AVE.,60616
191,T5134,5134,"REMEMBER TAXI, INC.",4626 W. CORNELIA AVE.,60641
192,T1452,1452,MILOS CAB CORP,2945 W. PETERSON AVE.,60659
193,T6463,6463,SAPEX INC,4626 W. CORNELIA AVE.,60641
194,T1567,1567,MORAN TAXI INC,3351 W. ADDISON ST.,60618
195,T4986,4986,AMC CAB CORP.,3351 W. ADDISON ST.,60618
196,T1425,1425,FRAOUCENE CAB COMPANY,6550 N. CLARK ST.,60626
197,T5645,5645,FOZIA CAB CO,4118 W. LAWRENCE AVE.,60630
198,T1847,1847,KASSEM CAB CO.,2532 W. WARREN BLVD.,60612
199,T3092,3092,KENNIX CORP,1733 W. 33RD ST.,60608
200,T4618,4618,CHICAGO MEDALLION FOUR LLC.,9696 W. FOSTER AVE.,60656
201,T6741,6741,"HARRIS 6741, INC.",2601 W. PETERSON AVE.,60659
202,T5480,5480,AAIMA CORP,4020 W. GLENLAKE AVE.,60646
203,T6188,6188,CHOICE ENTERPRISE INC.,6550 N. CLARK AVE.,60626
204,T6946,6946,SUNFLOWER CAB CO.,3351 W. ADDISON ST.,60618
205,T903,903,MEDALLION FUNDING CHICAGO CORP II,4626 W. CORNELIA AVE.,60641
206,T1655,1655,SILKY CAB CORP.,9696 W. FOSTER AVE.,60656
207,T5174,5174,BIRCHWOOD TAXI LLC,4536 N. ELSTON AVE.,60630
208,T2060,2060,MAKATI INC.,2532 W. WARREN BLVD.,60612
209,T2671,2671,SOPHIE TAXI LLC,4175 N. ELSTON AVE.,60618
210,T1005,1005,HIGHWAY CAB CO,4626 W. CORNELIA AVE.,60641
211,T2988,2988,G & G CAB CORPORATION,4626 W. CORNELIA AVE.,60641
212,T779,779,HBO CAB CORP,3351 W. ADDISON ST.,60618
213,T6294,6294,ALI BROTHERS USA INC,3351 W. ADDISON ST.,60618
214,T962,962,MAMA FOUR CAB CORP.,2617 S. WABASH AVE.,60616
215,T3921,3921,CHITOWN CAB INC # II,4020 W. GLENLAKE AVE.,60646
216,T314,314,CAPRICORN CAB INC,6500 N. WESTERN AVE.,60645
217,T2065,2065,SBD TAXICAB INC,920 W. LAKESIDE PL.,60640
218,T2336,2336,LUBOK INC,3351 W. ADDISON ST.,60618
219,T6831,6831,FILE ZANI CORP.,2601 W. PETERSON AVE.,60659
220,T5961,5961,QUETTA CAB CO,3351 W. ADDISON ST.,60618
221,T4518,4518,DEBESAI CORP.,6550 N. CLARK ST.,60626
222,T6201,6201,CHOICE ENTERPRISE INC.,6550 N. CLARK AVE.,60626
223,T4959,4959,SLSJETS II CAB CORP.,2617 S. WABASH AVE.,60616
224,T5107,5107,ILIRIA TAXI INC,5549 S. MCVICKER AVE.,60638
225,T1243,1243,YC21 LLC,3351 W. ADDISON ST.,60618
226,T2689,2689,LUCKY 7 CAB COMPANY,1834 N. DAMEN AVE.,60647
227,T2151,2151,GETWAY CAB CORP,4020 W. GLENLAKE AVE.,60646
228,T6951,6951,BIG APPLE CAB TWO CO,3351 W. ADDISON ST.,60618
229,T4932,4932,TAXI MEDALLION GROUPLLC-SERIESXVIII,4175 N. ELSTON AVE.,60618
230,T2980,2980,CHICAGOS FIVE STAR EXPRESS INC,3351 W. ADDISON ST.,60618
231,T374,374,GALA CAB CORP.,2617 S. WABASH AVE.,60616
232,T3546,3546,WHITE WATER CAB,3005 W. FARGO AVE.,60645
233,T5012,5012,CHICAGO MEDALLION FIVE LLC,9696 W. FOSTER AVE.,60656
234,T1430,1430,LUQMAN CORPORATION,3351 W. ADDISON ST.,60618
235,T3335,3335,TRIBECA TWO CAB CORP.,4536 N. ELSTON AVE.,60630
236,T1233,1233,AYRTON SENNA TRANS INC,2601 W. PETERSON AVE.,60659
237,T242,242,NABLUS CAB CO,9696 W. FOSTER AVE.,60656
238,T4774,4774,MYKONOS CAB CORP.,2945 W. PETERSON AVE.,60659
239,T2009,2009,ASGAR CAB CORP,9696 W. FOSTER AVE.,60656
240,T1789,1789,SKOKIE CAB CO.,4626 W. CORNELIA AVE.,60641
241,T1979,1979,NEW MILLENNIUM INC. #1,4020 W. GLENLAKE AVE.,60646
242,T2209,2209,"LTD & G,  INC.",9696 W. FOSTER AVE.,60656
243,T5472,5472,AIRPORT EXPRESS CAB COMPANY,7801 W. RASCHER AVE.,60656
244,T530,530,EBELLE INC.,3351 W. ADDISON ST.,60618
245,T1520,1520,MY CHICAGO TAXI INC,4118 W. LAWRENCE AVE.,60630
246,T228,228,D & G CAB CORP,2617 S. WABASH AVE.,60616
247,T3940,3940,WE CAB CO.,2945 W. PETERSON AVE.,60659
248,T3402,3402,JP DHAKA INC,2601 W. PETERSON AVE.,60659
249,T1256,1256,YC21 LLC,3351 W. ADDISON ST.,60618
250,T2779,2779,OAM INC,4626 W. CORNELIA AVE.,60641
251,T4443,4443,IMAGIN CAB CORP,3351 W. ADDISON ST.,60618
252,T6674,6674,WARSAN CAB COMPANY,2945 W. PETERSON AVE.,60659
253,T1972,1972,JESUS IS LORD CORP.,3351 W. ADDISON ST.,60618
254,T2406,2406,HASINA CORP,9696 W. FOSTER AVE.,60656
255,T3411,3411,ROSAR CORPORATION,2601 W. PETERSON AVE.,60659
256,T454,454,BIG CITY TAXI CORP.,4536 N. ELSTON AVE.,60630
257,T5102,5102,LUIS FABARA,5853 W. WARWICK AVE.,60634
258,T2758,2758,SETARE INC.,2945 W. PETERSON AVE.,60659
259,T3439,3439,3439 TAXI INC,2601 W. PETERSON AVE.,60659
260,T967,967,"DJEM 2 TRANS, INC",2601 W. PETERSON AVE.,60659
261,T3453,3453,GO CAB INC.,4020 W. GLENLAKE AVE.,60646
262,T5075,5075,KHURD CAB CO,2035 W. GRANVILLE AVE.,60659
263,T5393,5393,ADRIATIC CAB CO,6516 W. HIGGINS AVE.,60656
264,T2395,2395,PARIKH ENTERPRISES I INC,9696 W. FOSTER AVE.,60656
265,T2136,2136,MICHIALE CORP.,4626 W. CORNELIA AVE.,60641
266,T2374,2374,MY CHASE TAXI INC.,4118 W. LAWRENCE AVE.,60630
267,T4098,4098,S M K & A CAB CO,9696 W. FOSTER AVE.,60656
268,T2485,2485,RIDGEVIEW CAB CORP.,9696 W. FOSTER AVE.,60656
269,T217,217,MR TAXI 2 INC,3351 W. ADDISON ST.,60618
270,T2056,2056,J & I CAB CORP,2617 S. WABASH AVE.,60616
271,T4520,4520,IL 5 CORP.,3801 N. ELSTON AVE.,60618
272,T5849,5849,SUPER VENTURE CORP,3351 W. ADDISON ST.,60618
273,T2306,2306,ROCKY H ENTERPRISES INC.,6501 N. KEDZIE AVE.,60645
274,T2441,2441,D. K. ENTERPRISES INC,4626 W. CORNELIA AVE.,60641
275,T4590,4590,CASBAH CAB COMPANY,3351 W. ADDISON ST.,60618
276,T161,161,MCCAB XIV CORP.,4626 W. CORNELIA AVE.,60641
277,T2012,2012,ITHAKA CAB CORP,2945 W. PETERSON AVE.,60659
278,T6732,6732,TAXI MEDALLION GROUP LLC-SERIES 35,4175 N. ELSTON AVE.,60618
279,T2953,2953,ROADWAY INC,4118 W. LAWRENCE AVE.,60630
280,T1251,1251,JO JO CAB CO,6329 N. KOLMAR AVE.,60646
281,T4232,4232,ZAF CAB CORP,9696 W. FOSTER AVE.,60656
282,T5168,5168,"CHICAGO POLO VIII, INC.",2617 S. WABASH AVE.,60616
283,T2746,2746,"MIDWEST CAB CO, INC",4020 W. GLENLAKE AVE.,60646
284,T4265,4265,ROCKY CAB INC,4626 W. CORNELIA AVE.,60641
285,T4588,4588,JBL Express Inc.,4626 W. CORNELIA AVE.,60641
286,T1497,1497,MIL'S ENTERPRIESES INC,9696 W. FOSTER AVE.,60656
287,T356,356,TAURUS CAB INC,6500 N. WESTERN AVE.,60645
288,T32,32,H. H. JAFFRI INC.,4118 W. LAWRENCE AVE.,60630
289,T1148,1148,KAMALUXE INC.,2532 W. WARREN BLVD.,60612
290,T16,16,ROADWAY CAB CO,4301 W. MONTROSE AVE.,60641
291,T5465,5465,ATHINA CAB CORP.,2945 W. PETERSON AVE.,60659
292,T4925,4925,FATHAMA NAJOM INC.,6345 N. CAMPBELL AVE.,60659
293,T3907,3907,Z & A CAB CO,3828 N. FRANCISCO AVE.,60618
294,T2117,2117,H.P. CAB INC,9696 W. FOSTER AVE.,60656
295,T4004,4004,CHICAGO SEVEN INC,2617 S. WABASH AVE.,60616
296,T1519,1519,BIK INC.,5148 W. WOLFRAM ST.,60641
297,T5447,5447,5447 CAB CORPORATION,4626 W. CORNELIA AVE.,60641
298,T6931,6931,T.D. CAB COMPANY,9696 W. FOSTER AVE.,60656
299,T3036,3036,LUCKY 7 CAB COMPANY,1834 N. DAMEN AVE.,60647
300,T1722,1722,RKJ CAB CO,4020 W. GLENLAKE AVE.,60646
301,T3386,3386,BALEPO EXPRESS INC,2532 W. WARREN BLVD.,60612
302,T5786,5786,DEHAI CAB INC.,4626 W. CORNELIA AVE.,60641
303,T4195,4195,IMOLA TAXI LLC,4536 N. ELSTON AVE.,60630
304,T4240,4240,SHRESTHA TRANS INC,2601 W. PETERSON AVE.,60659
305,T5084,5084,CARE CAB COMPANY,4626 W. CORNELIA AVE.,60641
306,T6659,6659,ABNS INC,2601 W. PETERSON AVE.,60659
307,T299,299,CAPRICORN CAB INC,6500 N. WESTERN AVE.,60645
308,T1465,1465,BOULEVARD CORP,3801 N. ELSTON AVE.,60618
309,T3851,3851,SANG IN,4626 W. CORNELIA AVE.,60641
310,T107,107,DAMMA CAB CORP,2617 S. WABASH AVE.,60616
311,T904,904,MEDALLION FUNDING CHICAGO CORP II,4626 W. CORNELIA AVE.,60641
312,T5789,5789,"JEHAN TRANS, INC.",2601 W. PETERSON AVE.,60659
313,T2184,2184,GOALS TAXI INC,4020 W. GLENLAKE AVE.,60646
314,T3695,3695,W CITY CAB LLC,2719 N. KIMBALL AVE.,60647
315,T4129,4129,J & N TAXI INC.,6550 N. CLARK ST.,60626
316,T152,152,"TYLER CRAZY ABOUT CHICAGO, INC.",2617 S. WABASH AVE.,60616
317,T233,233,"BOLBLIK, INC.",2601 W. PETERSON AVE.,60659
318,T6469,6469,TEDLA INC,763 E. OAKWOOD BLVD.,60653
319,T5977,5977,HUNDAL CAB INC,9696 W. FOSTER AVE.,60656
320,T4436,4436,HUDSON CAB CORP.,4536 N. ELSTON AVE.,60630
321,T4140,4140,SALEH CAB CORP,3351 W. ADDISON ST.,60618
322,T6280,6280,"TANAKA TRANS CORP., II",4626 W. CORNELIA AVE.,60641
323,T6814,6814,MICHELLE CORP,2945 W. PETERSON AVE.,60659
324,T6288,6288,"TAXI MEDALLION GROUP, LLC - SERIES I",4175 N. ELSTON AVE.,60618
325,T4640,4640,SNOWCAT TAXI LLC,2532 W. WARREN BLVD.,60612
326,T1964,1964,LIGHT BREEZE CAB CORP.,2617 S. WABASH AVE.,60616
327,T1365,1365,BACHCHA CORP,4118 W. LAWRENCE AVE.,60630
328,T576,576,LULU FOUR INC,2617 S. WABASH AVE.,60616
329,T6344,6344,MYNEWLOVE INC.,3351 W. ADDISON ST.,60618
330,T2145,2145,YASEEN CAB CO,2202 N. ROCKWELL ST.,60647
331,T2621,2621,TOWER CAB CO.,4626 W. CORNELIA AVE.,60641
332,T3924,3924,SNOWBLIND CAB CORP,2617 S. WABASH AVE.,60616
333,T2912,2912,GELILA CORP,5416 N. BROADWAY,60640
334,T5501,5501,LULYA TRANS INC,2601 W. PETERSON AVE.,60659
335,T1080,1080,YC18 LLC,3351 W. ADDISON ST.,60618
336,T5337,5337,SHABBIR ALIMOHAMMAD,6301 N. SHERIDAN RD.,60660
337,T5819,5819,"MDT TRANS, INC.",9696 W. FOSTER AVE.,60656
338,T6008,6008,CHICAGO POLO VII INC.,2617 S. WABASH AVE.,60616
339,T4977,4977,GHAFFAR CAB CO,9696 W. FOSTER AVE.,60656
340,T5505,5505,POWERHOUSE TAXI LLC,2532 W. WARREN BLVD.,60612
341,T2717,2717,NBA TAXI INC II,4020 W. GLENLAKE AVE.,60646
342,T4036,4036,PADO CAB INC.,3351 W. ADDISON ST.,60618
343,T6314,6314,TAXI MEDALLION GROUP LLC - SERIES 33,4175 N. ELSTON AVE.,60618
344,T4021,4021,TAXI MEDALLION GROUP LLC SERIES XIV,4175 N. ELSTON AVE.,60618
345,T3247,3247,Z L R CORP,2601 W. PETERSON AVE.,60659
346,T381,381,MASS MEDIA LINK CO.,4118 W. LAWRENCE AVE.,60630
347,T2992,2992,GATEWAY CAB CO,4626 W. CORNELIA AVE.,60641
348,T4018,4018,JIBICHO INC,3351 W. ADDISON ST.,60618
349,T3964,3964,ATLAS LIONS HOLDINGS INC,4118 W. LAWRENCE AVE.,60630
350,T5307,5307,JOHN-AYISCO CORP,3351 W. ADDISON ST.,60618
