,account,ward,aid,business,address,zip
88,11392,40,775,CHONG RO RESTAURANT,4811 N ROCKWELL ST,60625
89,11393,10,829,LOCAL MOTION,10011 S COMMERCIAL AVE 1,60617
90,11395,32,775,CHUCK 'E' CHEESE,1730 W FULLERTON AVE,60614
91,11400,42,639,THE FORTNIGHTLY OF CHICAGO,120 E BELLEVUE PL,60611
92,11404,27,,"NORTH BEACH, JET, HOGS AND HONEYS",1551 N SHEFFIELD AVE,60622
93,11406,49,775,"CLARK SUPER FOOD MARKET AND LIQUORS, INC.",6647 N CLARK ST 1ST,60626
94,11412,27,,S & B FINISHING CO INC.,3005 W FRANKLIN BLVD,60612
95,11425,49,638,GIORDANO'S ON SHERIDAN,6836 N SHERIDAN RD,60626
96,11426,23,,O & K AMERICAN CORP.,4630 W 55TH ST,60632
97,11429,39,767 | 775,Joong Boo Warehouse Market,5825 N TRIPP AVE 1ST,60646
98,11449,38,735,FORNO ROSSO,3717-3719 N HARLEM AVE 1,60634
99,11464,50,775,PAR BIRDIE FOODS,2234 W DEVON AVE 1ST,60659
100,11469,27,785,VIP'S A GENTLEMENS CLUB,1531 N KINGSBURY ST 1,60642
101,11470,30,,WING SIGN CO.,4452 W BELMONT AVE,60641
102,11472,41,,THOR TORGER INC,6547 N AVONDALE AVE  201,60631
103,11474,2,784,THE FRONTIER,1072 N MILWAUKEE AVE,60642
104,11491,42,638,OSCAR'S RESTAURANT & BAR INC,203 N LA SALLE ST,60601
105,11492,27,725,JOSEPH FELDMAN,1722 W WARREN BLVD  GROUN,60612
106,11501,28,,ADAMS STREET IRON INC,1528 W ADAMS ST  LOWER,60607
107,11512,27,763,CAMPBELL FOOD & LIQUOR INC,2459 W MADISON ST,60612
108,11513,50,864,JR DESSERT BAKERY,2841 W HOWARD ST,60645
109,11516,33,775,WHITE CASTLE #23,3212 W ADDISON ST 1ST,60618
110,11520,42,,Steelcase Education Solutions,222 W MERCHANDISE MART PLZ 3 3-100,60654
111,11539,46,726,PIONEER PARKING INC,"3600 N LAKE SHORE DR BSMT, 1, 2, 3",60613
112,11542,28,,J.A.B.S. CORP,414 S KOSTNER AVE  1,60624
113,11554,50,743,LINCOLN VILLAGE THEATER,6341 N MCCORMICK RD,60659
114,11579,43,666,HALSTED-WRIGHTWOOD SHELL,2600 N HALSTED ST 1ST,60614
115,11584,39,775,SIDEKICKS,4420  -04430 W MONTROSE AVE 1ST,60641
116,11589,40,774,DIALA GROCERY,1935 W FOSTER AVE,60640
117,116,6,829,FRANCES COCKTAIL LOUNGE,307 E 75TH ST 1ST,60619
118,11600,44,784,TRADER TODD'S RESTAURANT & BAR,3216 N SHEFFIELD AVE 1,60657
119,11601,30,775,7-ELEVEN,3541 N CICERO AVE,60641
120,11602,42,775,THE CLIFF DWELLERS,200 S MICHIGAN AVE 22ND,60604
121,11603,18,775,KWIK MART INC,4047 W 79TH ST,60652
122,11604,44,829,THE CHICAGO BLARNEY STONE INC,3424 N SHEFFIELD AVE 1ST,60657
123,11642,12,,RTC INDUSTRIES INC,3201-3247 S KEDZIE AVE,60623
124,11671,3,775,ALWARSI INC,5458 S WELLS ST,60609
125,11672,21,,SEWER BLDRS SUPPLIES INC,9001 S GREEN ST,60620
126,11683,25,639,"PO-PIEDMONT CLUB,INC",2408 S OAKLEY AVE  1,60608
127,11688,45,774,SAVORY FOOD & LIQUOR,4138 N MILWAUKEE AVE,60641
128,11696,47,814,Nicholas Quality Meats,3500 N LINCOLN AVE,60657
129,11698,41,,BEST TRAVEL & TOURS INC.,200 N MARTINGALE RD  500,60173
130,117,14,829,THE APARTMENT LOUNGE,3806 W 47TH ST 1ST,60632
131,11728,34,775,ROSELAND CLARK,2 W 111TH ST  1ST,60628
132,11768,3,775,CHINA CHOP SUEY,235 E 51ST ST,60615
133,11769,42,,NIKE TOWN,669 N MICHIGAN AVE,60611
134,11772,11,816,FRANK O CARLSON & CO INC.,3622 S MORGAN ST,60609
135,118,40,814,Calo Restaurant,5200 N CLARK ST,60640
136,11818,25,708,LSAV POWERHOUSE,717 S DESPLAINES ST,60607
137,11826,15,775,SOUTHWOOD,5701 S WOOD ST 1ST,60636
138,119,42,775,MAXIM'S RESTAURANT INC,20 N CLARK ST,60602
139,11900,19,,NEW MILLENIUM TELECOMMUNICATION,2019 W 95TH ST,60643
140,11993,42,763,CUVEE,308 W ERIE ST 1,60654
141,11995,42,638,GINOS EAST,633 N WELLS ST 1ST,60610
142,11998,37,774,ABH FOOD & LIQUOR INC,5345 W NORTH AVE 1,60639
143,12024,1,,DIGILOG ELECTRONICS,1038 N ASHLAND AVE,60622
144,12044,12,,LUPITA'S,4100 S ASHLAND AVE 1,60609
145,12052,15,775,LA FIESTA,4248 S ARCHER AVE  1ST,60632
146,122,45,785,ZIEMEK CORP.,5368 N MILWAUKEE AVE,60630
147,12244,19,,AERUS LLC,11044 S KEDZIE AVE,60655
148,12316,14,,AMERICAN GREENWOOD INC,3035 W 47TH ST,60632
149,12322,42,602,"Jones Lang LaSalle Americas, Inc.",303 E WACKER DR  207,60601
150,12328,18,911,MARSHALL'S #519,7601 S CICERO AVE 1ST,60652
151,12559,46,775,ANGELINA RISTORANTE,3561 N BROADWAY  1ST,60657
152,12619,42,785,HUGO'S FROG BAR,1024 N RUSH ST,60611
153,12625,48,,SOMERSET PLACE LLC,5009 N SHERIDAN RD,60640
154,12631,14,666,CLARK #1043,2800 W 55TH ST 1ST #,60632
155,12699,42,,SPRINT,107 S STATE ST,60603
156,12755,12,,UNITED RENTALS,3233 W 36TH ST  1ST,60632
157,12870,2,,DAY BY DAY CALENDAR CO. # 4223,835 N MICHIGAN AVE 4 5071,60611
158,13,44,638,MURPHY'S BLEACHERS,3655 N SHEFFIELD AVE  1,60613
159,13079,32,775,JENNY CRAIG WEIGHT LOSS CENTER,1315 W DIVERSEY PKWY,60614
160,131,27,763,ORSO'S RESTAURANT,1401 N WELLS ST,60610
161,13117,42,,NAVIGANT CONSULTING INC,30 S WACKER DR  3400,60606
162,13119,25,,FISK STATION,1111 W CERMAK RD,60608
163,13334,9,,NACME STEEL PROCESSING LLC,429 W 127TH ST,60628
164,13486,42,,"Ricoh USA, Inc.",125 S WACKER DR B LEVEL,60606
165,13624,23,,ATLANTIC AVIATION,5200 W 63RD ST 1ST,60638
166,13630,41,,"TELEPORT COMMUNICATIONS AMERICA, LLC",8755 W HIGGINS RD,60631
167,13674,2,,LIMITED TOO #232,845 N MICHIGAN AVE 1ST,60611
168,13725,25,855,VALET DESCARTES INCORPORATED,1001 W WASHINGTON BLVD,60607
169,13784,42,,PSAV Presentation Services,676 N MICHIGAN AVE  OMNI,60611
170,13860,42,,"WILLIAMS LEA, INC.",540 W MADISON ST  2200,60661
171,13870,41,,"GEAC PERFORMANCE MANAGEMENT (U.S.), INC.",8755 W HIGGINS RD  800,60631
172,13873,14,,J B HUNT TRANSPORT INC,3642 W 47TH ST,60632
173,14,39,763,KILDARE LIQUORS,4300 W LAWRENCE AVE,60630
174,14070,14,709,FUNERARIA DEL ANGEL SAGRADO CORAZON 2401,5218 S KEDZIE AVE # 1ST,60632
175,14103,42,,RBC WEALTH MANAGEMENT,500 W MADISON ST  2500,60661
176,14149,2,704,URBAN OASIS,12 W MAPLE ST 3RD,60610
177,14164,42,763,COLUMBUS RESTAURANT & BAR,651 W WASHINGTON BLVD 1ST D-E-F,60661
178,14166,44,638,ROADHOUSE 66 GAS N' GRILL,3478 N CLARK ST,60657
179,14171,10,775,EAST SIDE COLUMBIAN ASSOCIATION,11207 S EWING AVE 1ST,60617
180,14173,15,638,JARDIN MEXICO MIO INC,3016 W 47TH ST 1ST,60632
181,14209,25,775,"SAINT ANNA BAKERY, INC",2158 S ARCHER AVE 1ST,60616
182,14216,43,775,TWISTED LIZARD,1963 N SHEFFIELD AVE,60614
183,14242,45,864,KOCH FOODS,4404 W BERTEAU AVE,60641
184,14244,35,775,ALCOIRIS INC,4007 W ARMITAGE AVE 1ST,60639
185,14278,48,,"LENSCRAFTERS, INC.  #5597",1055 W BRYN MAWR AVE  3C,60660
186,14284,42,,"UBM,INC.",223 W JACKSON BLVD 1200 #,60606
187,14287,44,,Rockit Bar and Grill Wrigleyville,3700 N CLARK ST,60613
188,14288,20,763,BROWN BASKET FOOD & LIQUOR INC,1544 W 51ST ST,60609
189,14290,39,763,EDENS # 2 INC,3949 W DEVON AVE 1ST,60659
190,14294,27,,CLIMATEMP INC,315 N MAY ST,60607
191,14295,20,775,VALUE MART INC,5114 S RACINE AVE 1ST,60609
192,14297,8,,FOOD TOWN,935 E 79TH ST 1ST,60619
193,14298,44,775,ROSCOE'S TAVERN LTD,3354-3356 N HALSTED ST,60657
194,14299,7,,SISTERS EXOTIC,2255 E 75TH ST,60649
195,14304,20,763,SOUTH BOUND FOOD INC,251 W 63RD ST 1ST,60621
196,14310,42,,THE REDHEAD PIANO BAR,16 W ONTARIO ST 1,60654
197,14316,11,666,CLARK GAS STATION 1,444 W 26TH ST 1ST,60616
198,14340,42,775,SILK ROAD JACKSON CORPORATION,216 W JACKSON BLVD,60606
199,14381,43,775,GOODBAR,2512 N HALSTED ST 1ST & 2ND,60614
200,14390,21,763,BUY LOW FOOD & LIQUOR,847-853 W 87TH ST,60620
201,14392,25,,LA CASA DEL PUEBLO INC,1810 S BLUE ISLAND AVE 1ST,60608
202,14419,42,775,MOTHER HUBBARDS,5 W HUBBARD ST 1,60654
203,14420,43,829,THE TIN LIZZIE,2483 N CLARK ST,60614
204,14423,42,,LYRIC OPERA OF CHICAGO,20 N WACKER DR  ENTIR,60606
205,14425,29,775,TACO BURRITO KING,3216 N HARLEM AVE 1ST,60634
206,14433,2,638,FEAST,1616 N DAMEN AVE,60647
207,14434,24,775,C. C. C. FOOD MART,3958 W CERMAK RD,60623
208,14446,1,743,EMPTY BOTTLE INC,1035 N WESTERN AVE 1ST,60622
209,14456,21,775,KERFOOT FOOD AND LIQUOR,8462 S VINCENNES AVE  1,60620
210,14460,4,,"WEIGHT WATCHERS NORTH AMERICA, INC",1350 E 47TH ST,60653
211,14493,5,775,SNAIL THAI CUISINE,1649 E 55TH ST,60615
212,14503,18,,PARKVIEW FOOD AND LIQUOR,3647 W 83RD PL 1ST,60652
213,14507,12,775,DUNKIN DONUTS,2801 S KEDZIE AVE,60623
214,14512,19,775,RIDGE COUNTRY CLUB,10522 S CALIFORNIA AVE,60655
215,14513,42,775,"HONG'S UNION STATION, INC",225 S CANAL ST,60606
216,14515,38,775,THE NEST BAR & EATERY,6855-6859 W IRVING PARK RD,60634
217,14535,11,743,POLO CAFE AND CATERING BRIDGEPORT U.S.A.,3322 S MORGAN ST,60608
218,14544,26,895,MIGDALIA'S CARIBBEAN,3134 W NORTH AVE,60647
219,14545,36,,EL FARO FOODS,4805 W ARMITAGE AVE 1ST,60639
220,14546,30,,PRIME STAFFING INC,3806 N CICERO AVE 1ST,60641
221,14551,42,,THAT'S HER BAG,200 N MICHIGAN AVE,60601
222,14565,41,775,TRIOS PIZZA,7009 W HIGGINS AVE 1ST,60656
223,14570,46,829,THE CELL BLOCK,3702-3708 N HALSTED ST 1ST,60613
224,14572,45,775,SICILIA BAKERY,5939 W LAWRENCE AVE,60630
225,14578,47,775,FINLEY DUNNE'S,3458 N LINCOLN AVE  GROUN,60657
226,14589,34,775,"J M J MOBIL, INC.",9901 S HALSTED ST,60628
227,14590,44,763,FULL SHILLING,3724-3726 N CLARK ST,60613
228,14599,37,763,Cub Foods,4801 W NORTH AVE,60639
229,146,36,775,PORRETTA'S RESTAURANT INC,3718 N CENTRAL AVE,60634
230,14600,9,774,ALTGELD GARDEN LIQUOR INC,13118 S ELLIS AVE 1ST,60827
231,14601,42,638,REZA'S ON ONTARIO,432 W ONTARIO ST,60610
232,14605,11,775,TAQUERIA LA MEXICANA,815 W 35TH ST 1ST,60609
233,1462,39,,ALTMAN-HINES CHAUFFERED LIMOS,5255 N RIVERSEDGE TER  206,60630
234,14624,1,775,LITTLE MEL'S HOT DOG,2205 N CALIFORNIA AVE,60647
235,14631,26,763,BARGAIN WAREHOUSE,3515 W ARMITAGE AVE  1ST,60647
236,14632,42,774,7-ELEVEN,200 N DEARBORN ST  1,60601
237,14636,22,775,VIDA SANA,4045 W 26TH ST,60623
238,14639,43,775,MC DONALD'S,2635 N CLARK ST,60614
239,14647,42,774,OMNI CHICAGO HOTEL,674-678 N MICHIGAN AVE 5TH,60611
240,14652,4,814,West Indies International,1436 E 53RD ST,60615
241,14664,47,814,Chicago Pizza,4400 N LINCOLN AVE,60625
242,14693,15,829,CLUB ANTOINETTE,4559 S RICHMOND ST 1ST,60632
243,147,17,763,Walgreens # 05825,1213 W 79TH ST 1ST,60620
244,14702,48,763,SHAN FOOD,5060 N SHERIDAN RD  A,60640
245,14708,22,763,FAMILY FOOD,2301 S HOMAN AVE,60623
246,14710,22,,LALO'S VIDEO & JEWELRY,4150 W 26TH ST 1ST,60623
247,14716,33,775,"TAQUERIA EL AGUILA REAL, INC",3152-3154 W MONTROSE AVE 1,60618
248,14732,42,,BESSEMER TRUST COMPANY N.A.,70 W MADISON ST,60602
249,14740,27,,L C INDUSTRIES DR,2781  KATHERINE WAY,60007
250,14762,6,743,THE NEW PARK MANOR INC,100 E 75TH ST,60619
251,14768,22,638,LALO  RESTAURANT,4126 W 26TH ST  1ST,60623
252,14788,42,,RAYMOND JAMES & ASSOCIATES,"550 W WASHINGTON BLVD 16,10 1650105",60661
253,14801,24,763,DEPT OF REHABILITATION SVC/VFP,2600 S CALIFORNIA AVE  FACIL,60608
254,14804,16,774,GOLDMORE FOOD,1949-1957 W 51ST ST,60609
255,14809,43,775,LION HEAD PUB/ THE APARTMENT,2251 N LINCOLN AVE 1ST & 2ND,60614
256,14810,11,763,HASSAN GROCERY,3234 S RACINE AVE 1,60608
257,14829,32,775,LE BOUCHON,1958 N DAMEN AVE,60647
258,14831,42,,RANDOLPH ATHLETIC CLUB,188 W RANDOLPH ST 27TH,60601
259,14844,39,775,NORTH PARK CAFETERIA INC,5801 N PULASKI RD,60646
260,14853,25,638,TUTTO ITALIANO,501 S WELLS ST 1ST,60607
261,14864,46,,LITTLE JIM'S,3501 N HALSTED ST 1ST,60657
262,14875,27,,"QUANTUM DEVELOPMENT COMPANY GROUP, INC.",1030 W CHICAGO AVE  300,60642
263,149,4,638,PRINTER'S ROW RESTAURANT,550 S DEARBORN ST 1ST,60605
264,14913,45,639,UNITED SERBS SPORT CLUB INC,4526 N MILWAUKEE AVE  1ST,60630
265,14914,45,,CHICAGO HI-SPEED TOOL & SUPPLY,5480 N ELSTON AVE,60630
266,14923,32,,QUE RICO,2814 N SOUTHPORT AVE 1ST,60657
267,14931,37,775,RAY'S FOOD MART,4900 W WALTON ST,60651
268,14936,32,,FIRE KING SERVICE STATION INC,1720 W NORTH AVE  BLDG,60622
269,14956,38,775,MICHAEL'S GOURMET COFFEE,7714 W BELMONT AVE,60634
270,14987,1,,MR. BROWN'S LOUNGE,2301 W CHICAGO AVE 1ST,60622
271,14998,36,929,LEW-EL TOOL & MANUFACTURING CO,1935 N LECLAIRE AVE 1ST,60639
272,15006,31,775,CARNICERIA RICARDO,4419-4425 W DIVERSEY AVE,60639
273,15015,3,,"SOUTHVIEW MANOR, INC.",3311 S MICHIGAN AVE,60616
274,15026,2,638,OLD LWIW RESTAURANT INC,2228 W CHICAGO AVE,60622
275,15037,47,638,BLUESTEM RESTAURANT,1935 W IRVING PARK RD,60613
276,15042,42,638,CARMINE'S CLAM HOUSE INC,1043 N RUSH ST 1ST,60611
277,15055,47,775,GIGI CUT RATE CENTER,3333 N LINCOLN AVE # 1ST,60657
278,15056,36,775,FRANK'S PIZZERIA,6506 W BELMONT AVE,60634
279,15059,49,775,JOE MARATHONj,7550 N SHERIDAN RD,60626
280,15069,31,775,MIREK'S BAKERY,5222 W DIVERSEY AVE 1ST,60639
281,15070,42,784,COYOTE UGLY SALOON,316-318 W ERIE ST 1ST,60610
282,15078,44,775,VAUGHAN'S PUB,2917 N SHEFFIELD AVE,60657
283,15097,28,,CHICAGO PIPE BENDING & COIL CO,4535 W LAKE ST,60624
284,15148,34,,FASHION ISLAND BEAUTY SUPPLY INC.,1201 W 115TH ST,60643
285,15154,42,775,THE WORKS NORTH LOOP INC,201 N CLARK ST  DIFFE,60601
286,15155,26,,GRAND & OAKLEY CAR WASH,2300 W GRAND AVE,60612
287,15160,11,829,JIMBO'S,3258 S PRINCETON AVE,60616
288,15184,35,,Lovers Playground,3901 W LAWRENCE AVE,60625
289,15209,27,785,PARK TAVERN CHICAGO,"1645 W JACKSON BLVD 1,MEZZ, AND PATIO",60612
290,15217,22,775,BONNIE'S,3601 W 26TH ST 1ST,60623
291,15225,45,775,PATERNO'S PIZZA,5303 N MILWAUKEE AVE,60630
292,15237,19,775,SEE THRU CHINESE KITCHEN,10939 S WESTERN AVE,60643
293,15264,37,,MID TOWN FOODS,3855 W DIVISION ST 1ST,60651
294,15287,34,775,B.P. GAS & FOOD MART,11163 S VINCENNES AVE,60643
295,15297,45,,BEARING SALES CORPORATION,4153 N KOSTNER AVE,60641
296,15323,31,775,STELLA'S CENTRAL FOODS,3759 W DIVERSEY AVE 1ST,60647
297,15326,44,638,PIZZA CAPRI,962 W BELMONT AVE,60657
298,15327,31,775,DURANGO PIZZA,2718 N LARAMIE AVE,60639
299,15328,20,763,GROVE LIQUORS,6656 S COTTAGE GROVE AVE,60637
300,15330,43,763,THE DIME,2263 N LINCOLN AVE,60614
301,15344,19,774 | 932,COUNTY FAIR FOODS,10800 S WESTERN AVE,60643
302,15345,33,775,LA FE GROCERY,3003 W LAWRENCE AVE,60625
303,15361,41,775,LOU MITCHELL'S EXPRESS INC,11601 W TOUHY AVE,60666
304,15396,17,829,NEW GLASSHOUSE LOUNGE,7911-7915 S HALSTED ST,60620
305,15398,32,,"LITTLEROCK CONSTRUCTION, INC",2508 N CAMPBELL AVE,60647
306,15404,22,,NATIONAL TRUSS CO. INC,2340 S SPRINGFIELD AVE,60623
307,15409,39,,MIDWEST UNCUTS OF CHICAGO,5585 N LYNCH AVE,60630
308,15416,36,775,JEREZ SPORT BAR AND GRILL,5726 W GRAND AVE,60639
309,15441,43,743,U S BEER,1801 N CLYBOURN AVE,60614
310,15450,41,763,TOMMY'S ON HIGGINS,6954 W HIGGINS AVE 1ST,60656
311,15466,42,775,"KANTI'S LIFESTYLES,  INC.",161 N CLARK ST,60601
312,15481,42,775,MR SUBMARINE,52 E LAKE ST,60601
313,15482,25,775,AL'S ITALIAN BEEF INC,1079 W TAYLOR ST 1ST,60607
314,15485,42,775,MAC KELLY'S,216 W JACKSON BLVD,60606
315,15496,27,775,TWISTED SPOKE,501 N OGDEN AVE 1ST,60642
316,15519,27,717,"Bismarck Enterprises at the United Center, Inc. Booth 2",1901 W MADISON ST,60612
317,15521,40,775,PATIO GAS INC,6262 N CLARK ST 1ST,60660
318,15529,47,638,A. J. HUDSON' S PUBLIC HOUSE,3801-3805 N ASHLAND AVE 1,60613
319,15538,33,932 | 774,TARGET STORE #1437,2939 W ADDISON ST,60618
320,1554,42,638,SHAW'S CRAB HOUSE,21 E HUBBARD ST,60611
321,15549,22,,GABRIEL JEWELRY,3914 W 26TH ST,60623
322,15578,12,775,BURGER KING #10345,3141 S ASHLAND AVE  10345,60608
323,15592,33,638,Seo Hae Kwan Restaurant,3534 W LAWRENCE AVE,60625
324,15613,42,,HAUGAARD CREATIVE GROUP INC,414 N ORLEANS ST,60610
325,15634,2,638,Tavish,1335 W WRIGHTWOOD AVE 1ST,60614
326,15642,1,814,Beat Kitchen,2000-2100 W DIVISION ST,60622
327,15649,50,,"BORDERS BOOKS, MOVIES, MUSIC, CAFE",6103 N LINCOLN AVE,60659
328,15660,16,763,BROTHERS FOOD & LIQUOR,1156 W 63RD ST  1ST,60621
329,15670,7,774,"SAGINAW WINE AND LIQUORS, INC.",2615 E 83RD ST,60617
330,15680,42,,GRAPHNET INC,300 S WACKER DR  3050,60606
331,15702,25,775,LOS COMALES #3,1544 W 18TH ST,60608
332,15703,36,816,LAKE ST PALLET & RECYCLING INC,4600 W ARMITAGE AVE 1ST,60639
333,15710,6,763,SHOP-N-SAVE,135 E 71ST ST,60619
334,15714,26,775,TACOS GARCIA,3327-3329 W ARMITAGE AVE 1ST #,60647
335,15729,33,,ONE PRICE CLOTHING STORE #476,2909 W ADDISON ST  1ST,60618
336,15746,36,,"THE PEP BOYS-MANNY,MOE & JACK",6811 W GRAND AVE,60707
337,15748,48,763,"SUPER FOOD & LIQUORS, INC.",1049 W BRYN MAWR AVE,60660
