,vid,make,model,year,fuel_type,owner
49,2361,TOYOTA,CAMRY,2012,HYBRID,STATE TAXI INC
50,3974,TOYOTA,CAMRY,2015,HYBRID,CHICAGO MEDALLION ONE LLC.
51,5667,TOYOTA,CAMRY,2014,HYBRID,CAROLINA DELAVINA CORP.
52,3384,TOYOTA,CAMRY,2020,HYBRID,AZEEM ROSIE INC
53,904,TOYOTA,CAMRY,2014,HYBRID,MEDALLION FUNDING CHICAGO CORP II
54,5241,TOYOTA,CAMRY,2013,HYBRID,AL-MEDINA CHICAGO INC
55,6003,DODGE,CARAVAN,2017,GASOLINE,RIDGEVIEW CAB CORP.
56,5469,TOYOTA,CAMRY,2013,HYBRID,JEJU CAB CO.
57,4268,TOYOTA,CAMRY,2017,HYBRID,TAXI MEDALLION GROUP LLC SERIESXXVI
58,4619,TOYOTA,CAMRY,2014,HYBRID,NNNM CAB CO
59,5029,TOYOTA,SIENNA,2015,FLEX FUEL,OKUNDAYE & SONS CO
60,2143,TOYOTA,CAMRY,2014,HYBRID,RAJI INC
61,5125,TOYOTA,CAMRY,2015,HYBRID,ABRAR CORP.
62,161,TOYOTA,SIENNA,2018,GASOLINE,MCCAB XIV CORP.
63,6434,TOYOTA,CAMRY,2014,HYBRID,CHITOWN CAB INC # II
64,5949,TOYOTA,PRIUS,2013,HYBRID,R & J CAB CO
65,1338,FORD,ESCAPE,2012,HYBRID,KILLER DOG CAB CORP
66,1855,DODGE,CARAVAN,2016,FLEX FUEL,FTELIA TAXI INC
67,5188,TOYOTA,SIENNA,2019,GASOLINE,"JBL EXPRESS II, INC."
68,2854,FORD,ESCAPE,2012,HYBRID,"CHICAGO POLO XIV, INC."
69,3920,TOYOTA,CAMRY,2011,HYBRID,G & A CAB CORP
70,4102,FORD,FUSION,2018,HYBRID,ADAMS TAXI LLC
71,3653,FORD,ESCAPE,2012,HYBRID,BLUE EYES CAB CORP.
72,446,TOYOTA,COROLLA,2016,GASOLINE,AFSHAR TAXICAB CORP.
73,470,TOYOTA,CAMRY,2015,HYBRID,MCCAB VIII CORP.
74,3044,FORD,ESCAPE,2012,HYBRID,"CHICAGO POLO XV, INC."
75,1328,FORD,ESCAPE,2012,HYBRID,KILLER DOG CAB CORP
76,146,TOYOTA,PRIUS,2013,HYBRID,SABINA CAB INC.
77,861,TOYOTA,CAMRY,2014,HYBRID,NECT 34 LLC
78,6589,TOYOTA,CAMRY,2018,HYBRID,TARAR MOTORS INC
79,593,VPG,MV-1,2012,COMPRESSED NATURAL GAS,SLSJETS III CAB CORP.
80,223,FORD,FUSION,2014,HYBRID,FLORINA INC.
81,1345,TOYOTA,PRIUS,2014,HYBRID,CORPORAL CAB CO
82,1810,TOYOTA,CAMRY,2017,HYBRID,RUBEN TRANS INC.
83,2405,DODGE,CARAVAN,2016,GASOLINE,AVENUE TRANSPORTATION INC
84,1428,TOYOTA,CAMRY,2017,HYBRID,TAXI 4 YOU INC
85,5289,TOYOTA,CAMRY,2015,HYBRID,SUAD & DEAN INC
86,1238,TOYOTA,CAMRY,2016,HYBRID,YC21 LLC
87,1617,TOYOTA,PRIUS,2016,HYBRID,AMPLE SUN CAB CORP.
88,1840,TOYOTA,RAV4,2013,GASOLINE,"J.R.J. EXPRESS, INC."
89,3271,FORD,FUSION,2019,HYBRID,ARES TAXI INC
90,1497,TOYOTA,CAMRY,2013,HYBRID,MIL'S ENTERPRIESES INC
91,1581,TOYOTA,CAMRY,2015,HYBRID,ABDULLAH CAB CO
92,6908,TOYOTA,PRIUS,2014,HYBRID,TEKESTE CORP.
93,167,TOYOTA,CAMRY,2011,HYBRID,MCCAB VI CORP.
94,2392,TOYOTA,CAMRY,2013,HYBRID,JUHI INC
95,3229,TOYOTA,PRIUS,2012,HYBRID,3229 TAXI CORP.
96,6475,TOYOTA,CAMRY,2016,HYBRID,VALASIA  CAB CO.
97,1869,FORD,ESCAPE,2012,HYBRID,SLSJETS IV CAB CORP.
98,1046,TOYOTA,SIENNA,2019,GASOLINE,NEWOSBAR INC
99,5813,TOYOTA,PRIUS,2015,HYBRID,"TAXI MEDALLION GROUP, LLC - SERIES I"
100,6288,TOYOTA,PRIUS,2015,HYBRID,"TAXI MEDALLION GROUP, LLC - SERIES I"
101,2715,TOYOTA,SIENNA,2019,GASOLINE,OTUMFOU CORP.
102,6219,TOYOTA,PRIUS,2012,HYBRID,GREEN SAGITTARIUS INC
103,5970,TOYOTA,PRIUS,2013,HYBRID,SST CAB CO
104,5563,TOYOTA,CAMRY,2013,HYBRID,ANS TAXI INC
105,4787,TOYOTA,PRIUS,2014,HYBRID,RENY CAB CO
106,771,FORD,ESCAPE,2012,HYBRID,"CHICAGO POLO XI, INC."
107,3835,TOYOTA,CAMRY,2013,HYBRID,FIRST KARACHI INC
108,3,TOYOTA,CAMRY,2019,HYBRID,YC1 LLC
109,6506,FORD,ESCAPE,2012,HYBRID,EKB TAXI LLC
110,6758,TOYOTA,CAMRY,2014,HYBRID,FAMINA INC.
111,1365,TOYOTA,CAMRY,2013,HYBRID,BACHCHA CORP
112,1068,TOYOTA,CAMRY,2014,HYBRID,ARM TAXI INC.
113,1597,TOYOTA,PRIUS,2013,HYBRID,TURNER CAB CO
114,1216,TOYOTA,CAMRY,2011,HYBRID,ES TAXI CORP.
115,4009,TOYOTA,PRIUS,2013,HYBRID,GHEDAM TRANS INC
116,101,TOYOTA,CAMRY,2016,HYBRID,J.B. 'S TAXI INC.
117,468,TOYOTA,RAV4,2019,HYBRID,M ASANTE INC.
118,3616,TOYOTA,CAMRY,2013,HYBRID,USMAN CAB CO
119,2173,TOYOTA,PRIUS,2014,HYBRID,IMAGE EXPRESS INC
120,5032,TOYOTA,CAMRY,2014,HYBRID,"FIROZ CAB CO, INC"
121,2722,TOYOTA,SIENNA,2018,GASOLINE,ORIENT TAXI INC.
122,1400,TOYOTA,CAMRY,2012,HYBRID,"SUFIAN, INC."
123,3648,TOYOTA,SIENNA,2019,GASOLINE,KOBE'S CAB INC.
124,1449,FORD,C-MAX,2013,HYBRID,OIA CAB CORP.
125,2584,NISSAN,PATHFINDER,2014,HYBRID,MELLOTONE CAB LTD
126,3993,TOYOTA,CAMRY,2013,HYBRID,"KADSIA, INC."
127,4904,TOYOTA,RAV4,2017,HYBRID,JOLY CAB CO
128,357,TOYOTA,SIENNA,2018,GASOLINE,MCCAB XIV CORP.
129,11,TOYOTA,SIENNA,2013,GASOLINE,ZUBI INC.
130,3290,TOYOTA,CAMRY,2016,HYBRID,"UNIVERSAL TRANSIT, INC."
131,5064,TOYOTA,PRIUS,2013,HYBRID,ALEX B CAB CORP
132,2992,TOYOTA,CAMRY,2011,HYBRID,GATEWAY CAB CO
133,4436,TOYOTA,PRIUS,2014,HYBRID,HUDSON CAB CORP.
134,1515,TOYOTA,CAMRY,2015,HYBRID,FIRST CLASS TAXI CAB INC
135,3588,TOYOTA,CAMRY,2014,HYBRID,"WAHID, CORP."
136,1528,TOYOTA,PRIUS,2013,HYBRID,CH. TAXI I CORP.
137,2462,TOYOTA,SIENNA,2020,GASOLINE,PARK WEST EXPRESS INC
138,2732,FORD,ESCAPE,2012,HYBRID,BLUE EYES CAB CORP.
139,2315,DODGE,CARAVAN,2010,FLEX FUEL,MADJID R. GARIBI
140,4917,TOYOTA,SIENNA,2019,GASOLINE,"I TAXI, INC."
141,1859,TOYOTA,SIENNA,2020,GASOLINE,HNA 4 CORP
142,6741,TOYOTA,CAMRY,2014,HYBRID,"HARRIS 6741, INC."
143,3023,TOYOTA,CAMRY,2014,HYBRID,PAK-AMERICAN EXPRESS INC
144,4093,TOYOTA,PRIUS,2014,HYBRID,PADI INC
145,4965,TOYOTA,CAMRY,2015,HYBRID,BENGAL CAB CORPORATION
146,4834,FORD,ESCAPE,2012,HYBRID,UNAISHA INC.
147,5974,TOYOTA,CAMRY,2014,HYBRID,PJ CAB CO
148,32,NISSAN,ALTIMA,2011,HYBRID,H. H. JAFFRI INC.
149,5079,TOYOTA,CAMRY,2012,HYBRID,"JBL EXPRESS II, INC."
150,1761,TOYOTA,CAMRY,2014,GASOLINE,S. BAIG CORP.
151,2723,TOYOTA,SIENNA,2018,GASOLINE,SIKA INC.
152,2478,TOYOTA,PRIUS,2013,HYBRID,SMC CAB CORP.
153,869,TOYOTA,CAMRY,2012,HYBRID,MEDALLION FUNDING CHICAGO CORP II
154,5861,TOYOTA,PRIUS,2014,HYBRID,LUCKY SEVEN CHICAGO THREE INC.
155,4046,TOYOTA,CAMRY,2014,HYBRID,CHICAGO-WIDE CORPORATION
156,6735,TOYOTA,CAMRY,2016,HYBRID,TAXI MEDALLION GROUP LLC-SERIES 35
157,839,TOYOTA,CAMRY,2013,HYBRID,"TRANS EURO, INC."
158,3059,TOYOTA,CAMRY,2014,HYBRID,PEACE INC.
159,4663,TOYOTA,SIENNA,2015,GASOLINE,ADAM INC.
160,4209,TOYOTA,PRIUS,2017,HYBRID,DANNY S JADOU
161,2015,TOYOTA,CAMRY,2013,HYBRID,SUKH CORP.
162,3523,NISSAN,ALTIMA,2011,HYBRID,DELTA TAXI CAB
163,5328,TOYOTA,PRIUS,2015,HYBRID,NORTH KING CAB COMPANY
164,15,FORD,ESCAPE,2012,HYBRID,KING 12 INC
165,847,FORD,ESCAPE,2012,HYBRID,"SHAUN LOVES CHICAGO, INC."
166,1606,FORD,ESCAPE,2012,GASOLINE,SCHATZI CAB CO
167,1874,TOYOTA,CAMRY,2012,HYBRID,CHANDNI CAB COMPANY
168,6751,TOYOTA,CAMRY,2017,HYBRID,TAXI MEDALLION GROUP LLC-SERIES 37
169,1933,TOYOTA,CAMRY,2015,HYBRID,MILOS CAB CORP
170,4770,TOYOTA,RAV4,2018,GASOLINE,"RASBOL, INC."
171,4124,FORD,ESCAPE,2012,HYBRID,"LUCKY SEVEN CHICAGO ONE, INC."
172,5294,TOYOTA,CAMRY,2014,HYBRID,ARCTIC INC
173,782,FORD,ESCAPE,2012,HYBRID,BLUE EYES CAB CORP.
174,4666,TOYOTA,PRIUS,2014,HYBRID,MCCAB XVI CORP.
175,5363,TOYOTA,CAMRY,2013,HYBRID,AMEEN CAB INC.
176,5115,TOYOTA,PRIUS,2012,HYBRID,UNIQUE CAB CO
177,2562,FORD,FUSION,2018,HYBRID,MICHIGAN AVE CAB LLC
178,353,DODGE,CARAVAN,2016,FLEX FUEL,MCCAB XXIII CORP.
179,4907,FORD,ESCAPE,2012,HYBRID,K L S TRANS INC
180,1053,TOYOTA,CAMRY,2019,HYBRID,UMER MOTEN INC
181,3707,TOYOTA,CAMRY,2014,HYBRID,AVEKO INC
182,4913,TOYOTA,CAMRY,2019,HYBRID,MBD CAB CO
183,4631,TOYOTA,CAMRY,2013,HYBRID,LEE CAB CO
184,2199,TOYOTA,CAMRY,2015,HYBRID,AEE'S CORP
185,1201,TOYOTA,CAMRY,2018,HYBRID,OMER EXPRESS INC.
186,6940,TOYOTA,CAMRY,2014,HYBRID,SKI CORP
187,6370,TOYOTA,CAMRY,2018,HYBRID,GELEB INC ILL
188,1704,FORD,ESCAPE,2012,HYBRID,GEE GEE INC
189,2835,TOYOTA,CAMRY,2013,HYBRID,FULL MOON CAB COMPANY
190,1899,VPG,MV-1,2014,COMPRESSED NATURAL GAS,AQUA ZONE CAB CO.
191,4826,TOYOTA,PRIUS,2016,HYBRID,"LUCKY SEVEN CHICAGO TWO, INC."
192,4285,NISSAN,ALTIMA,2011,HYBRID,CYPRUS CAB CO
193,2826,TOYOTA,CAMRY,2016,HYBRID,UNIK 1 CORP
194,5478,TOYOTA,CAMRY,2013,HYBRID,EF ENTERPRISES INC.
195,1877,TOYOTA,CAMRY,2012,HYBRID,STREETS OF CHICAGO TAXI CO
196,4518,TOYOTA,CAMRY,2013,HYBRID,DEBESAI CORP.
197,3888,TOYOTA,RAV4,2016,GASOLINE,A C C TAXI CO
198,5219,TOYOTA,CAMRY,2011,HYBRID,ABUSHARIFEH CAB CO
199,2626,TOYOTA,PRIUS,2015,HYBRID,SHAHI INC
200,5394,TOYOTA,PRIUS,2011,HYBRID,A&P TRANSPORTATION INC.
201,3695,TOYOTA,PRIUS,2015,HYBRID,W CITY CAB LLC
202,2872,TOYOTA,CAMRY,2013,HYBRID,"CHICAGO MEDALLION NINE, LLC"
203,1502,TOYOTA,CAMRY,2011,HYBRID,"EAGLE EXPRESS, INC."
204,2999,TOYOTA,SIENNA,2015,GASOLINE,AMRO H INC
205,3848,TOYOTA,CAMRY,2016,HYBRID,CHICAGO MEDALLION ONE LLC.
206,2955,TOYOTA,CAMRY,2016,HYBRID,A V CAB CORP
207,4676,TOYOTA,SIENNA,2019,GASOLINE,ARIO CAB INC.
208,156,TOYOTA,PRIUS,2013,HYBRID,RAPHEW AZEEZ
209,6881,NISSAN,ALTIMA,2011,HYBRID,MOMO LLC
210,1767,TOYOTA,SIENNA,2020,GASOLINE,"MARGA ZORA, CORP."
211,926,TOYOTA,PRIUS,2014,HYBRID,JOHNS CABS CORP.
212,2689,VPG,MV-1,2014,GASOLINE,LUCKY 7 CAB COMPANY
213,2264,TOYOTA,PRIUS,2013,HYBRID,MARU CORP
214,137,TOYOTA,CAMRY,2011,HYBRID,MCCAB VI CORP.
215,2614,TOYOTA,CAMRY,2014,HYBRID,ZULA EXPRESS INC.
216,3796,TOYOTA,CAMRY,2013,HYBRID,ROYA CAB CO
217,1329,TOYOTA,CAMRY,2013,HYBRID,IMRAN & ANWER CORPORATION
218,654,TOYOTA,CAMRY,2015,HYBRID,BLISS TAXI INC.
219,1303,FORD,FUSION,2017,HYBRID,BOLISH INC
220,1141,FORD,FUSION,2017,GASOLINE,YC19 LLC
221,3045,TOYOTA,CAMRY,2012,HYBRID,JAGANJAC TAXI CORP
222,4356,TOYOTA,RAV4,2018,HYBRID,F-15 INC
223,610,TOYOTA,CAMRY,2013,HYBRID,JUSTIN LEVY CAB CORP.
224,1627,TOYOTA,CAMRY,2012,HYBRID,WHITE ROSE CHICAGO CORP
225,3597,TOYOTA,SIENNA,2020,GASOLINE,MEHDIHADI INC.
226,6911,TOYOTA,PRIUS,2013,HYBRID,SAHIB TAXI INC
227,2438,TOYOTA,CAMRY,2016,HYBRID,RED ROSE CORP
228,1789,TOYOTA,CAMRY,2014,HYBRID,SKOKIE CAB CO.
229,3418,TOYOTA,SIENNA,2018,GASOLINE,JHAPS TAXI CORP
230,5287,FORD,FUSION,2013,HYBRID,HUMZA CAB CO
231,716,TOYOTA,CAMRY,2014,HYBRID,AB TAXI COMPANY
232,27,TOYOTA,PRIUS,2014,HYBRID,ROADWAY CAB CO
233,4425,TOYOTA,CAMRY,2015,HYBRID,CHICAGO MEDALLION THREE LLC.
234,4572,TOYOTA,CAMRY,2015,HYBRID,ROOBLE CORP
235,177,TOYOTA,PRIUS,2012,HYBRID,ANDREW AND AUDREY CAB CORP.
236,1083,TOYOTA,RAV4,2018,GASOLINE,1083 NEW EXPRESS INC
237,1670,TOYOTA,CAMRY,2015,HYBRID,AZITA CAB CORP
238,2318,TOYOTA,CAMRY,2012,HYBRID,J J CHICAGO INC
239,2800,HYUNDAI,ELANTRA,2018,GASOLINE,ALTHERAS CAB CORP
240,2592,VPG,MV-1,2014,FLEX FUEL,WIL-MAR CAB CO
241,2216,TOYOTA,CAMRY,2016,HYBRID,VISTA CAB CO
242,2748,TOYOTA,PRIUS,2013,HYBRID,GRAND CAB COMPANY
243,205,TOYOTA,CAMRY,2015,HYBRID,"RF 1, INC."
244,1556,TOYOTA,PRIUS,2013,HYBRID,ROCKY MOUNTAIN CAB CO
245,1658,FORD,ESCAPE,2012,HYBRID,SNOWFALL II HACKING CORP
246,4800,TOYOTA,CAMRY,2013,HYBRID,SAMINA EXPRESS INC.
247,2406,TOYOTA,PRIUS,2012,HYBRID,HASINA CORP
248,1854,TOYOTA,CAMRY,2019,HYBRID,KRISHA EXPRESS INC.
249,3450,MAZDA,CX5,2014,GASOLINE,"OJ 138, CORP."
250,4000,TOYOTA,CAMRY,2012,HYBRID,SHAWN CAB CO
251,6647,FORD,ESCAPE,2011,HYBRID,R & J CAB CO
252,6449,TOYOTA,CAMRY,2017,GASOLINE,SHAKKY & KAFE INC
253,2874,TOYOTA,CAMRY,2012,HYBRID,ROAD RUNNER TAXI INC
254,4927,FORD,ESCAPE,2012,HYBRID,SLSJETS V CAB CORP.
255,5959,TOYOTA,SIENNA,2018,GASOLINE,MYKONOS CAB CORP.
256,4838,FORD,ESCAPE,2011,HYBRID,"FAISALABAD TRANS, INC."
257,2029,TOYOTA,CAMRY,2013,HYBRID,"JIANYU TRANS, INC."
258,3339,TOYOTA,CAMRY,2015,HYBRID,SETARE 2 INC
259,3650,NISSAN,SENTRA,2019,GASOLINE,CITY TAXI INC.
260,4033,NISSAN,SENTRA,2019,GASOLINE,ANY CAB CORP.
261,2932,TOYOTA,PRIUS,2012,HYBRID,PEACH CAPITAL CORP
262,3285,FORD,ESCAPE,2012,HYBRID,BROWN EYES CAB CORP.
263,6857,TOYOTA,SIENNA,2019,GASOLINE,RUMAYSA CORP.
264,4322,TOYOTA,CAMRY,2016,HYBRID,AMEER TAXI CORP
265,609,TOYOTA,CAMRY,2014,HYBRID,NEW LIGHT CAB INC
266,84,TOYOTA,CAMRY,2012,HYBRID,MCCAB XX CORP.
267,6503,TOYOTA,CAMRY,2015,HYBRID,N AND S TAXI INC.
268,3387,TOYOTA,CAMRY,2015,HYBRID,SABIR'S CORP
269,1827,KIA,SOUL,2016,GASOLINE,PARK CITY CAB CO
270,2983,TOYOTA,RAV4,2017,HYBRID,WINDY CITY TAXICAB INC
271,2781,NISSAN,ALTIMA,2011,HYBRID,JNR III INC.
272,5174,NISSAN,ALTIMA,2011,HYBRID,BIRCHWOOD TAXI LLC
273,5118,TOYOTA,CAMRY,2014,HYBRID,REET CORPORATION
274,5773,TOYOTA,PRIUS,2014,HYBRID,FOUR STAR TAXI CORP.
275,4337,FORD,C-MAX,2013,HYBRID,GREENWICH CAB CORP.
276,6665,TOYOTA,PRIUS,2014,HYBRID,SST CAB CO
277,4377,TOYOTA,CAMRY,2014,HYBRID,CHICAGO-AMERICAN TAXICAB INC
278,457,TOYOTA,CAMRY,2012,HYBRID,NABIL EXPRESS INC.
279,1026,TOYOTA,CAMRY,2014,HYBRID,BRANDON INC.
280,4740,TOYOTA,PRIUS,2017,HYBRID,KOKOB CAB CO.
281,2153,TOYOTA,CAMRY,2013,HYBRID,CHICAGO MEDALLION ONE LLC.
282,2363,TOYOTA,CAMRY,2015,HYBRID,SHANTI CORPORATION
283,3936,TOYOTA,CAMRY,2012,HYBRID,SAHOTA CAB CO
284,2206,DODGE,CARAVAN,2012,FLEX FUEL,PERSISTENCE TAXI LLC
285,784,FORD,ESCAPE,2012,HYBRID,GREEN EYES CAB CORP.
286,5366,TOYOTA,CAMRY,2014,HYBRID,SHAD EXPRESS INC.
287,3882,TOYOTA,CAMRY,2014,HYBRID,LATAS CAB CO
288,994,TOYOTA,PRIUS,2014,HYBRID,MAMA FOUR CAB CORP.
289,6736,TOYOTA,CAMRY,2017,HYBRID,TAXI MEDALLION GROUP LLC - SERIES 36
290,4721,TOYOTA,PRIUS,2011,HYBRID,NOAH AND NETSNET CORP
291,5383,TOYOTA,PRIUS,2012,HYBRID,MNMS & EB CORP
292,5182,TOYOTA,RAV4,2015,GASOLINE,MEKONNEN CORP.
293,1247,TOYOTA,CAMRY,2017,GASOLINE,MAKENA INC
294,282,FORD,ESCAPE,2011,HYBRID,GUINEA CHICAGO INC
295,3916,TOYOTA,CAMRY,2016,GASOLINE,ALADIN TAXICAB INC
296,404,DODGE,CARAVAN,2016,FLEX FUEL,MEDALLION FUNDING CHICAGO CORP IV
297,1939,TOYOTA,SIENNA,2019,GASOLINE,AHAD EXP INC.
298,1521,TOYOTA,RAV4,2019,HYBRID,SOLI CORP
299,152,FORD,ESCAPE,2012,HYBRID,"TYLER CRAZY ABOUT CHICAGO, INC."
300,9,TOYOTA,CAMRY,2017,HYBRID,YC2 LLC
301,5186,TOYOTA,RAV4,2019,HYBRID,ASK TEHRAN CAB CO.
302,3866,DODGE,CARAVAN,2016,FLEX FUEL,ANDREW AND STEVEN CAB CORP.
303,5423,TOYOTA,COROLLA,2016,GASOLINE,AREES CAB INC
304,3639,DODGE,GRAND CARAVAN,2017,GASOLINE,CHICAGO MEDALLION TEN LLC
305,3746,TOYOTA,PRIUS,2012,HYBRID,BAFSH INC
306,1555,TOYOTA,PRIUS,2013,HYBRID,CH. TAXI I CORP.
307,761,TOYOTA,PRIUS,2013,HYBRID,JERRY & SEBLE CAB COMPANY
308,6074,TOYOTA,SCION,2012,GASOLINE,AMERICAN WINNER TAXTCAB INC
309,5226,TOYOTA,RAV4,2014,GASOLINE,AMMKO CAB CO
310,2067,DODGE,GRAND CARAVAN,2018,FLEX FUEL,HADEEL TRANS INC
311,4136,TOYOTA,SIENNA,2020,GASOLINE,KINGSLEY TRANSPORATATION CO.
312,6044,FORD,ESCAPE,2012,HYBRID,ALEXANDRA SCHOOL CORP.
313,1314,TOYOTA,CAMRY,2016,HYBRID,AL-MEDINA ENTERPRISES INC.
314,2225,TOYOTA,PRIUS,2014,HYBRID,ANDYKIM TRANS INC
315,245,FORD,ESCAPE,2011,HYBRID,USSR EXPRESS INC
316,3675,TOYOTA,CAMRY,2017,HYBRID,M. Y. TRANS INC
317,1985,TOYOTA,PRIUS,2012,HYBRID,MEREB CAB CORP
318,2694,TOYOTA,SIENNA,2017,GASOLINE,ANAS CAB CO
319,5436,TOYOTA,RAV4,2016,HYBRID,KENDOSKI GLOBAL LLC
320,5113,TOYOTA,PRIUS,2014,HYBRID,"CHICAGO POLO VI, INC."
321,2515,NISSAN,ALTIMA,2016,GASOLINE,CHICAGO CAB 2 CORP.
322,3527,TOYOTA,SCION,2012,GASOLINE,"HAGHIGHAT TRANSPORT, INC."
323,5061,TOYOTA,PRIUS,2013,HYBRID,AG 1 CORPORATION
324,4629,FORD,ESCAPE,2011,HYBRID,HUMIDITY II HACKING CORP.
325,3477,TOYOTA,PRIUS,2015,HYBRID,GHANA CAN INC
326,3568,TOYOTA,CAMRY,2014,HYBRID,"AIH, CORP."
327,4853,TOYOTA,PRIUS,2015,HYBRID,FAIR HEAVENS TAXI INC.
328,1426,FORD,ESCAPE,2012,HYBRID,SNOWSTORM II HACKING CORP.
329,4482,TOYOTA,PRIUS,2013,HYBRID,"ALDIN 2, CORP"
330,4397,TOYOTA,CAMRY,2016,HYBRID,SIMNY CAB INC
331,6066,TOYOTA,CAMRY,2013,HYBRID,RAFEY INC
332,3529,TOYOTA,SIENNA,2020,GASOLINE,SABCA CAB CORP.
333,3980,TOYOTA,SIENNA,2019,GASOLINE,YAOLAB INVESTEMENTS INC
334,3433,TOYOTA,RAV4,2016,HYBRID,FISHER CAB CO
335,6670,TOYOTA,PRIUS,2015,HYBRID,"POLLOB, INC."
336,3930,VPG,MV-1,2014,GASOLINE,NEW MILLENNIUM INC #V
337,107,FORD,ESCAPE,2012,HYBRID,DAMMA CAB CORP
338,5977,TOYOTA,CAMRY,2013,HYBRID,HUNDAL CAB INC
339,3469,FORD,ESCAPE,2012,HYBRID,YAQEEN CAB CO
340,833,FORD,C-MAX,2014,HYBRID,MEDALLION FUNDING CHICAGO CORP IV
341,4848,TOYOTA,CAMRY,2016,HYBRID,HASAN ZANI CORP.
342,4855,TOYOTA,CAMRY,2015,HYBRID,HAMIT ZANI CORP
343,4895,TOYOTA,CAMRY,2019,HYBRID,SHAMPA TRANS INC
344,6568,TOYOTA,CAMRY,2013,HYBRID,J J B B INC
345,5393,TOYOTA,CAMRY,2013,HYBRID,ADRIATIC CAB CO
346,1821,TOYOTA,CAMRY,2016,HYBRID,NORIZA INC
347,182,TOYOTA,PRIUS,2014,HYBRID,DAMMA CAB CORP
