,Proline,Total phenols,Hue,Nonflavanoid phenols
77,500,1.72,0.96,0.43
78,750,1.9,1.06,0.35
79,463,2.83,1.19,0.43
80,278,2.42,1.38,0.3
81,714,2.2,1.16,0.26
82,630,2.0,1.31,0.4
83,515,1.65,0.84,0.61
84,520,2.2,0.79,0.22
85,450,2.2,1.23,0.3
86,495,1.78,1.33,0.43
87,562,1.92,1.36,0.4
88,680,1.95,1.0,0.48
89,625,2.2,1.07,0.42
90,480,1.6,1.08,0.52
91,450,1.45,1.05,0.5
92,495,1.38,0.96,0.58
93,290,2.45,1.15,0.25
94,345,3.02,1.16,0.17
95,937,2.5,1.16,0.32
96,625,1.6,0.95,0.14
97,428,2.55,1.23,0.29
98,660,3.52,1.04,0.24
99,406,2.85,1.42,0.45
100,710,2.23,1.27,0.26
101,562,1.45,1.04,0.29
102,438,2.56,0.8,0.34
103,415,2.5,0.94,0.37
104,672,2.2,1.04,0.32
105,315,1.68,0.86,0.66
106,510,1.65,1.0,0.37
107,488,1.38,0.88,0.48
108,312,2.36,0.86,0.39
109,680,2.74,0.96,0.29
110,562,3.18,0.75,0.24
111,325,2.55,0.9,0.26
112,607,1.75,1.23,0.6
113,434,2.48,1.1,0.42
114,385,2.56,0.93,0.43
115,407,2.46,1.71,0.52
116,495,1.98,0.95,0.3
117,345,2.0,1.06,0.34
118,372,1.63,0.7,0.43
119,564,2.0,0.93,0.37
120,625,2.9,0.8,0.32
121,465,3.18,0.93,0.47
122,365,2.2,0.92,0.43
123,380,2.62,0.73,0.3
124,380,2.86,0.75,0.21
125,378,2.6,0.86,0.37
126,352,2.74,0.69,0.39
127,466,2.13,0.97,0.58
128,342,2.22,0.89,0.4
129,580,2.1,0.79,0.42
130,630,1.51,0.76,0.21
131,530,1.3,0.74,0.24
132,560,1.15,0.66,0.27
133,600,1.7,0.78,0.17
134,650,2.0,0.75,0.6
135,695,1.62,0.73,0.63
136,720,1.38,0.75,0.53
137,515,1.79,0.82,0.63
138,580,1.62,0.81,0.58
139,590,2.32,0.89,0.53
140,600,1.54,0.77,0.53
141,780,1.4,0.7,0.37
142,520,1.55,0.89,0.5
143,550,2.0,0.91,0.47
144,855,1.38,0.65,0.29
145,830,1.5,0.6,0.43
146,415,0.98,0.58,0.4
147,625,1.7,0.54,0.47
148,650,1.93,0.55,0.45
149,550,1.41,0.57,0.34
150,500,1.4,0.59,0.22
151,480,1.48,0.48,0.24
152,425,2.2,0.61,0.26
153,675,1.8,0.56,0.61
154,640,1.48,0.58,0.53
155,725,1.74,0.6,0.61
156,480,1.8,0.57,0.48
157,880,1.9,0.67,0.63
158,660,2.8,0.57,0.53
159,620,2.6,0.57,0.52
160,520,2.3,0.56,0.5
161,680,1.83,0.96,0.5
162,570,1.65,0.87,0.6
163,675,1.39,0.68,0.4
164,615,1.35,0.7,0.41
165,520,1.28,0.78,0.52
166,695,1.7,0.85,0.43
167,685,1.48,0.72,0.4
168,750,1.55,0.74,0.39
169,630,1.98,0.67,0.27
170,510,1.25,0.66,0.4
171,470,1.39,0.57,0.48
172,660,1.68,0.62,0.44
173,740,1.68,0.64,0.52
174,750,1.8,0.7,0.43
175,835,1.59,0.59,0.43
176,840,1.65,0.6,0.53
177,560,2.05,0.61,0.56
