source_computer,average_duration,average_packet,unique_ports
C13316,5.0,9.5,2
C1078,0.0,5.0,1
C15303,0.0,1.0,1
C2039,29.5,32.0,2
C11915,0.0,6.333333333333332,2
C11733,11.0,13.0,1
C5841,58.0,8.0,1
C17867,4.0,10.333333333333334,3
C4044,0.0,1.0,1
C10796,16.0,13.0,1
C10589,10.0,6.0,1
C743,12.066666666666665,6.333333333333332,14
C18921,1.0,13.0,1
C20120,7.666666666666668,9.666666666666666,2
C909,35.0,52.0,1
C16314,0.0,1.0,1
C3912,4.0,5.0,1
C7359,55.0,14.0,1
C7527,60.0,10.0,1
C12665,4.5,8.0,1
C15767,11.0,12.0,1
C6316,40.0,691.0,1
C2817,60.0,3.0,1
C26075,0.0,6.375,1
C10297,11.0,9.0,1
C11364,11.0,13.0,1
C19728,0.0,5.0,1
C3339,0.0,1.0,1
C3110,27.0,3.0,1
C10583,0.0,1.0,1
C11431,0.0,1.0,1
C9250,0.0,1.0,1
C5959,6.0,7.0,4
C1015,27.57142857142857,5.371428571428571,35
C2204,15.0,6.0,1
C4343,30.0,10.0,2
C20097,0.0,3.0,1
C17971,30.0,4.0,1
C10870,61.0,3.0,1
C4444,0.0,1.0,1
C19122,65.0,1709.0,1
C11573,28.0,55.5,2
C18050,60.0,6.0,1
C11159,0.0,8.0,1
C14746,0.25,2.5,4
C18351,70.0,2542.0,1
C9128,0.0,6.0,1
C15397,10.0,6.0,1
C625,4.025,7.275,40
C2475,0.0,9.0,2
C16490,52.0,8.0,1
C6400,61.0,32.0,1
C9230,45.0,61.0,1
C6627,0.0,1.0,1
C11948,24.5,5.0,1
C8672,60.0,55.0,1
C15129,0.0,1.0,1
C2181,34.0,4.0,1
C8301,14.333333333333336,72.66666666666667,1
C16443,0.0,1.0,1
C14670,0.0,1.0,1
C2949,64.0,2568.0,1
C2321,15.5,12868.5,2
C5925,1.5,9.0,2
C2270,2.333333333333333,17.416666666666668,3
C13024,9.0,3.0,1
C5787,72.0,1022.5,1
C122,0.0,1.0,1
C6729,10.0,6.0,1
C9190,0.0,1.0,1
C13574,1.0,9.0,1
C3268,63.0,551.0,1
C3919,57.0,7.0,1
C590,40.0,3.0,1
C16955,70.0,504.0,1
C4600,1.6956521739130437,252.2173913043478,7
C2647,11.0,9.0,1
C3224,10.0,6.0,1
C3692,10.0,6.0,1
C10366,1.0,23.0,1
C3873,15.176470588235292,105.47058823529413,17
C11142,11.0,9.0,1
C14114,61.0,6.0,1
C18854,0.0,1.0,1
C20165,0.2222222222222222,6.111111111111112,1
C3565,10.666666666666666,16.0,3
C11779,0.0,1.0,1
C13256,7.166666666666668,7.166666666666668,4
C6051,44.0,3833.0,1
C26188,1.0,19.0,1
C19083,65.0,915.0,1
C6115,54.5,4.0,1
C20061,0.0,1.0,1
C14637,1.0,9.0,1
C19217,63.0,52.0,1
C706,1.1333333333333333,6.2,30
C742,18.0,9.0,1
C11167,1.2,7.8,3
C8388,0.0,5.0,1
C20285,2.0,14.0,1
C16614,61.0,6.0,1
C5720,39.15909090909091,448.1818181818182,43
C1447,60.0,5.5,2
C9827,10.0,6.0,1
C7482,2.0,11.0,1
C14506,72.0,308.0,1
C436,0.0,7.0,1
C2588,43.93103448275862,5.551724137931035,29
C22397,0.0,1.0,1
C7509,0.0,1.0,1
C13717,0.0,2.0,1
C6859,8.5,7.166666666666668,4
C12714,34.0,4.0,1
C14266,3.75,5.5,3
C18369,60.0,6.0,1
C9610,0.0,1.0,1
C12766,16.0,12.0,1
C2225,0.0,1.0,1
C19497,61.0,50.75,2
C19848,0.0,2.5,2
C5843,0.0,6.5,1
C13707,32.0,7.5,2
C15855,0.0,5.0,1
C16717,10.0,16.0,1
C22112,0.0,1.0,2
C18570,30.0,4.0,1
C4325,64.0,21.0,1
C386,0.0,7.0,1
C8772,31.0,2.0,1
C5418,0.0,1.0,1
C7400,8.0,5.0,1
C4513,15.0,6.0,1
C13779,0.0,1.0,1
C4150,0.0,1.0,2
C17926,0.0,1.0,2
C24710,10.2,19.2,2
C11658,5.5,8.0,2
C17693,1.0,7.0,2
C13888,53.0,3.0,1
C803,2.0,160.0,1
C796,12.0,9.0,1
C505,63.0,64.0,1
C8956,15.0,15.5,3
C6830,60.0,3.0,1
C5924,0.7857142857142857,3.1428571428571432,4
C366,0.0,1.0,4
C3446,0.0,5.0,1
C9256,60.0,3.0,1
C19897,1.0,7.0,1
C6298,0.0,9.0,1
C5552,0.0,14.5,1
C4174,4.294117647058823,2.235294117647059,3
C13273,0.0,3.0,1
C1567,0.0,1.0,1
C6263,61.0,379.0,1
C550,0.0,1.0,1
C5151,40.0,3.0,1
C3065,63.0,64.0,1
C2095,8.875,147.0,4
C1467,0.0,1.0,1
C6098,61.0,74.0,1
C1814,60.0,8.0,1
C20266,49.0,64.0,1
C453,2.5,4.0,1
C15005,0.0,1.0,1
C21577,11.0,16.0,1
C14066,0.0,8.0,1
C4157,9.0,3.0,1
C1654,3.0,18.666666666666668,6
C6939,38.0,87.0,1
C18969,10.0,9.0,1
C18135,0.0,9.0,1
C1340,9.0,3.0,1
C13665,0.0,1.0,1
C5808,0.0,1.0060573668270087,2838
C3148,61.0,8.0,1
C3363,33.0,5.0,1
C17957,16.0,33.0,1
C894,12.0,13.0,1
C5347,31.0,4.0,1
C2565,0.0,1.0,1
C13849,34.0,4.0,1
C9741,67.0,3693.0,1
C19597,0.0,1.0,1
C8577,11.0,9.0,1
C11342,8.538461538461537,14.846153846153848,5
C13202,60.0,95.0,1
C6440,8.277777777777779,51.555555555555564,7
C4920,6.5555555555555545,2.0,3
C13950,15.0,12.0,3
C9303,60.0,4.0,1
C11358,17.0,11.0,1
C15160,0.0,3.0,1
C11893,2.0,18.5,2
C19580,9.0,11.666666666666664,2
C12502,0.0,1.0,1
C18421,9.0,43.0,1
C16184,11.0,9.0,1
C2254,64.0,1074.0,1
C14858,0.0,1.0,1
C10468,35.0,4.0,1
C11138,60.0,22.0,1
C10921,9.0,3.0,1
C15163,61.0,431.5,1
C14253,0.2,6.4,1
C1834,0.0,3.0,1
C9156,0.0,5.0,1
C7292,36.0,4.0,1
C17742,60.0,60.0,1
C8052,0.0,1.0,1
C12677,0.0,6.25,3
C11639,7.5,7.166666666666668,4
C18414,0.0,1.0,1
C645,7.0,7.0,1
C2633,1.0,4.0,1
C689,60.0,8.0,1
C1553,61.0,64.0,1
C5611,0.0,1.0,1
C7296,10.0,5.0,1
C11325,31.0,4.0,1
C8583,61.0,54.0,1
C7176,4.5,6.5,2
C1685,1.7142857142857142,4.476190476190476,84
C3538,9.0,3.0,1
C19574,0.0,1.0,1
C26871,0.0,1.0119521912350598,2181
C3644,15.0,6.0,1
C18865,0.0,1.0,1
C17469,0.0,5.0,1
C10235,0.0,11.0,1
C18927,1.0,185.0,1
C8855,2.0,2.0,1
C7497,17.0,2.5,1
C467,3.609375,8.984375,58
C12909,8.0,24.0,1
C17979,21.0,3.0,1
C5202,60.5,5.0,2
C820,0.0,1.0,1
C902,1.0,7.0,1
C17400,30.0,9.5,1
C2697,34.0,4.0,1
C15170,60.0,77.0,1
C12860,60.0,19.0,1
C19735,10.0,13.0,1
C17425,0.0,1.0,1
C11813,60.0,3.0,1
C395,60.0,4.0,2
C11410,0.0,1.0,1
C10939,61.0,755.0,1
C4377,2.5,4.0,1
C1923,0.0,1.0,1
C2255,20.666666666666668,7.666666666666668,3
C16684,15.0,22.0,1
C13966,34.0,4.0,1
C1089,38.0,2.0,1
C7286,16.0,146.25,1
C18125,0.0,1.0,1
C612,6.379310344827586,394.41379310344826,27
C19006,15.0,13.0,1
C3173,0.0,1.0,1
C19688,0.0,3.0,2
C4388,0.0,1.0,1
C14959,0.0,3.0,1
C3528,11.0,9.0,1
C8084,66.0,4531.0,1
C6339,60.0,34.0,1
C14112,34.0,4.0,1
C11849,26.0,6.5,2
C5811,0.0,1.0,1
C13879,19.0,73.0,1
C9317,26.0,631.0,1
C11885,0.0,1.0,1
C10523,0.0,1.0,1
C14744,0.0,1.0,1
C11225,51.0,7.0,2
C6177,9.0,3.0,1
C3174,10.0,6.0,1
C1624,10.0,6.0,1
C1743,0.0,2.0,1
C11654,34.0,4.0,1
C2368,72.0,288.0,1
C19987,63.0,210.0,1
C18835,35.0,4.0,1
C5632,10.0,6.0,1
C5478,60.0,71.0,1
C9937,6.0,7.166666666666668,4
C19306,61.0,6.0,1
C1670,9.0,3.0,1
C14917,11.0,13.0,1
C3802,40.0,3.0,1
C586,5.6190476190476195,8.980952380952381,103
C1311,25.0,21.5,4
C3484,5.5,9.5,2
C10026,39.0,21.0,2
C868,0.5,22.5,1
C12367,0.0,1.0,1
C16825,9.714285714285714,22.285714285714285,2
C11068,10.0,18.0,1
C6823,7.0,5.0,1
C458,60.0,5.5,2
C5474,39.75,10.25,1
C2835,38.0,2.0,1
C12608,0.0,2.0,1
C24448,9.0,3.0,1
C2519,0.0,1.0,1
C18420,0.0,6.222222222222222,1
C10512,62.5,20.0,1
C2109,5.851851851851853,31.51851851851852,50
C3451,10.0,6.0,1
C19396,0.0,1.0,1
C15087,61.0,30.0,1
C9860,32.0,4.0,1
C601,0.0,1.0,1
C9502,2.5,8.4375,3
C6526,60.0,3.0,1
C18466,36.0,4.0,1
C16262,0.0,5.0,1
C5853,58.0,39.0,1
C684,0.0,3.5,2
C11772,0.0,1.0,1
C585,15.0,160.08333333333334,24
C8893,22.0,55.0,1
C18848,60.0,9.0,1
C10728,1.0,5.0,1
C2058,0.0,1.0,1
C5582,41.0,3.0,1
C14868,3.0,24.0,2
C19452,8.0,13.333333333333336,2
C16334,44.0,4.0,1
C3427,0.0,1.0,1
C4299,30.0,3.0,1
C616,0.0,2.0,2
C24737,54.0,5.0,1
C20312,0.0,6.5,1
C13899,10.0,6.0,1
C12904,0.0,1.0,1
C3032,14.0,138.8,2
C12523,10.0,27.5,1
C556,0.0,1.0,1
C2288,27.0,50.0,1
C17424,30.0,4.0,1
C5736,25.857142857142854,318.7142857142857,7
C13685,9.0,8.2,3
C10656,12.0,9.0,1
C12109,0.0,1.0,1
C13146,38.0,428.5,1
C19324,0.0,6.0,1
C480,13.0,7.5,2
C12960,0.0,1.0,1
