,Unnamed: 0,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker
22,22,1,10,1,3,2241,2,2,1,3,2,3,2,48,1,2,2,2,2,0,0
23,23,0,12,1,5,1804,0,2,3,3,2,4,0,44,1,1,1,3,1,0,1
24,24,3,10,1,2,2069,4,0,2,2,2,1,3,26,1,1,2,3,1,0,0
25,25,1,6,3,2,1374,2,0,1,3,2,2,2,36,0,1,1,2,1,1,1
26,26,3,6,4,4,426,2,3,4,2,2,4,3,39,1,1,1,2,1,0,1
27,27,2,12,0,4,409,3,0,3,0,2,3,2,42,1,2,2,3,1,0,1
28,28,0,7,3,4,2415,2,0,3,3,1,2,2,34,1,1,1,3,1,0,1
29,29,1,60,2,0,6836,2,3,3,3,2,4,1,63,1,1,2,3,1,1,1
30,30,0,18,3,0,1913,3,2,3,2,2,3,2,36,0,1,1,3,1,1,1
31,31,1,24,3,2,4020,2,0,2,3,2,2,3,27,2,1,1,3,1,0,1
32,32,0,18,3,3,5866,0,0,2,3,2,2,3,30,1,1,2,3,1,1,1
33,33,3,12,1,0,1264,4,3,4,3,2,4,1,57,1,2,1,2,1,0,1
34,34,2,12,3,2,1474,2,2,4,0,2,1,0,33,0,1,1,0,1,1,1
35,35,0,45,1,4,4746,2,2,4,3,2,2,0,25,1,1,2,2,1,0,1
36,36,3,48,1,6,6110,2,0,1,3,2,3,1,31,0,0,1,3,1,1,1
37,37,2,18,3,4,2100,2,0,4,3,0,2,2,37,2,1,1,3,1,0,1
38,38,2,10,3,1,1225,2,0,2,3,2,2,3,37,1,1,1,3,1,1,1
39,39,0,9,3,4,458,2,0,4,3,2,3,2,24,1,1,1,3,1,0,1
40,40,3,30,3,4,2333,1,3,4,3,2,2,3,30,0,1,1,0,1,0,1
41,41,0,12,3,4,1158,1,0,3,1,2,1,3,26,1,1,1,3,1,1,1
42,42,0,18,2,8,6204,2,0,2,3,2,4,2,44,1,1,1,2,2,1,1
43,43,1,30,1,5,6187,0,1,1,2,2,4,3,24,1,2,2,3,1,0,1
44,44,1,48,1,5,6143,2,3,4,0,2,4,1,58,2,0,2,2,1,0,1
45,45,3,11,1,3,1393,2,2,4,0,2,4,3,35,1,1,2,0,1,0,1
46,46,3,36,3,4,2299,1,3,4,3,2,4,3,39,1,1,1,3,1,0,1
47,47,1,6,3,5,1352,1,4,1,0,2,2,0,23,1,2,1,1,1,1,1
48,48,3,11,1,3,7228,2,0,1,3,2,4,0,39,1,1,2,2,1,0,1
49,49,3,12,3,4,2073,0,0,4,0,0,2,2,28,1,1,1,3,1,0,1
50,50,0,24,2,2,2333,4,2,4,3,2,2,0,29,0,1,1,2,1,0,1
51,51,0,27,2,5,5965,2,3,1,3,2,2,3,30,1,1,2,0,1,1,1
52,52,3,12,3,4,1262,2,0,3,3,2,2,3,25,1,1,1,3,1,0,1
53,53,3,18,3,5,3378,4,0,2,3,2,1,0,31,1,1,1,3,1,1,1
54,54,0,36,2,3,2225,2,3,4,3,2,4,1,57,0,0,2,3,1,1,1
55,55,3,6,0,3,783,4,0,1,3,1,2,2,26,2,1,1,2,2,0,1
56,56,0,12,3,4,6468,4,4,2,3,2,1,1,52,1,1,1,0,1,1,1
57,57,3,36,1,4,9566,2,0,2,0,2,2,3,31,2,1,2,3,1,0,1
58,58,2,18,3,3,1961,2,3,3,0,2,2,3,23,1,1,1,0,1,0,1
59,59,1,36,1,2,6229,2,2,4,0,0,4,1,23,1,2,2,2,1,1,1
60,60,0,9,3,0,1391,2,0,2,2,2,1,2,27,0,1,1,3,1,1,1
61,61,0,15,1,4,1537,4,3,4,3,1,4,2,50,1,1,2,3,1,1,1
62,62,0,36,4,0,1953,2,3,4,3,2,4,1,61,1,0,1,0,1,1,1
63,63,0,48,4,0,14421,2,0,2,3,2,2,3,25,1,1,1,3,1,1,1
64,64,3,24,3,4,3181,2,2,4,0,2,4,0,26,1,1,1,3,1,1,1
65,65,3,27,3,8,5190,4,3,4,3,2,4,0,48,1,1,4,3,2,1,1
66,66,3,12,3,4,2171,2,2,2,0,2,2,3,29,0,1,1,3,1,0,1
67,67,0,12,3,3,1007,3,0,4,2,2,1,2,22,1,1,1,3,1,0,1
68,68,3,36,3,6,1819,2,0,4,3,2,4,1,37,2,0,1,3,1,1,1
69,69,3,36,3,4,2394,4,0,4,0,2,4,3,25,1,1,1,3,1,0,1
70,70,3,36,3,5,8133,2,0,1,0,2,2,0,30,0,1,1,3,1,0,1
71,71,3,7,1,4,730,4,3,4,3,2,2,0,46,1,2,2,2,1,1,1
72,72,1,8,1,7,1164,2,3,3,3,2,4,1,51,0,0,2,0,2,1,1
73,73,0,42,1,0,5954,2,1,2,0,2,1,2,41,0,1,2,2,1,0,1
74,74,1,36,3,6,1977,4,3,4,3,2,4,1,40,1,1,1,0,1,1,1
75,75,1,12,1,5,1526,2,3,4,3,2,4,1,66,1,0,2,0,1,0,1
76,76,1,42,3,4,3965,2,2,4,3,2,3,3,34,1,1,1,3,1,0,1
77,77,0,11,2,4,4771,2,1,2,3,2,4,0,51,1,1,1,3,1,0,1
78,78,3,54,4,5,9436,4,0,2,3,2,2,0,39,1,1,1,2,2,0,1
79,79,0,30,3,2,3832,2,2,2,2,2,1,0,22,1,1,1,3,1,0,1
80,80,3,24,3,4,5943,4,2,1,0,2,1,3,44,1,1,2,3,1,1,1
81,81,3,15,3,4,1213,1,3,4,3,2,3,0,47,2,1,1,3,1,1,1
82,82,3,18,3,0,1568,0,0,3,0,2,4,0,24,1,2,1,2,1,0,1
83,83,1,24,3,7,1755,2,3,4,0,1,4,2,58,1,1,1,2,1,1,1
84,84,1,10,3,4,2315,2,3,3,3,2,4,2,52,1,1,1,2,1,0,1
85,85,3,12,1,0,1412,2,0,4,0,1,2,2,29,1,1,2,0,1,1,1
86,86,0,18,1,2,1295,2,2,4,0,2,1,0,27,1,1,2,3,1,0,1
87,87,0,36,3,6,12612,0,0,1,3,2,4,1,47,1,0,1,3,2,1,1
88,88,1,18,3,3,2249,0,1,4,3,2,3,3,30,1,1,1,0,2,1,1
89,89,1,12,4,8,1108,2,1,4,3,2,3,2,28,1,1,2,3,1,0,1
90,90,3,12,1,4,618,2,3,4,3,2,4,2,56,1,1,1,3,1,0,1
91,91,1,12,1,5,1409,2,3,4,3,2,3,2,54,1,1,1,3,1,0,1
92,92,3,12,1,4,797,4,3,4,0,2,3,0,33,0,1,1,2,2,0,1
93,93,2,24,1,2,3617,4,3,4,3,0,4,1,20,1,2,2,3,1,0,1
94,94,0,12,3,3,1318,3,3,4,3,2,4,2,54,1,1,1,3,1,1,1
95,95,0,54,4,0,15945,2,2,3,3,2,4,1,58,1,2,1,3,1,1,1
96,96,3,12,1,6,2012,4,1,4,0,2,2,3,61,1,1,1,3,1,0,1
97,97,0,18,3,0,2622,0,0,4,3,2,4,3,34,1,1,1,3,1,0,1
98,98,0,36,1,4,2337,2,3,4,3,2,4,2,36,1,1,1,3,1,0,1
99,99,0,20,2,5,7057,4,1,3,3,2,4,0,36,0,2,2,0,2,1,1
100,100,3,24,3,3,1469,0,3,4,2,2,4,2,41,1,2,1,2,1,0,1
101,101,0,36,3,4,2323,2,1,4,3,2,4,3,24,1,2,1,3,1,0,1
102,102,3,6,2,4,932,2,0,3,0,2,2,2,24,1,1,1,3,1,0,1
103,103,0,9,1,2,1919,2,1,4,3,2,3,3,35,1,2,1,3,1,1,1
104,104,3,12,3,5,2445,4,2,2,2,2,4,3,26,1,2,1,3,1,1,1
105,105,0,24,1,7,11938,2,0,2,3,0,3,3,39,1,1,2,0,2,1,1
106,106,3,18,0,3,6458,2,3,2,3,2,4,1,39,0,1,2,0,2,1,1
107,107,0,12,3,3,6078,2,1,2,3,2,2,3,32,1,1,1,3,1,0,1
108,108,1,24,3,2,7721,4,2,1,0,2,2,0,30,1,1,1,3,1,1,0
109,109,0,14,3,0,1410,1,3,1,2,2,2,2,35,1,1,1,3,1,1,1
110,110,0,6,2,0,1449,0,3,1,1,2,2,3,31,0,1,2,3,2,0,1
111,111,2,15,3,6,392,2,2,4,0,2,4,0,23,1,2,1,3,1,1,1
112,112,0,18,3,3,6260,2,1,3,3,2,3,2,28,1,2,1,2,1,0,1
113,113,3,36,1,3,7855,2,0,4,0,2,2,2,25,2,1,2,3,1,1,1
114,114,1,12,3,4,1680,1,3,3,2,2,1,2,35,1,1,1,3,1,0,1
115,115,3,48,1,4,3578,4,3,4,3,2,1,2,47,1,1,1,3,1,1,1
116,116,1,42,3,4,7174,4,1,4,0,2,3,3,30,1,1,1,0,1,1,1
117,117,1,10,1,2,2132,4,2,2,0,0,3,2,27,1,2,2,3,1,0,0
118,118,1,33,1,2,4281,1,0,1,0,2,4,3,23,1,1,2,3,1,0,1
119,119,0,12,1,3,2366,1,1,3,1,2,3,3,36,1,1,1,0,1,1,1
120,120,1,21,3,4,1835,2,0,3,0,2,2,2,25,1,1,2,3,1,1,1
121,121,3,24,1,5,3868,2,3,4,0,2,2,3,41,1,2,2,0,1,1,1
122,122,3,12,3,2,1768,2,0,3,3,2,2,2,24,1,2,1,2,1,0,1
123,123,2,10,1,3,781,2,3,4,3,2,4,1,63,1,0,2,3,1,1,1
124,124,0,18,3,2,1924,4,2,4,0,2,3,2,27,1,2,1,3,1,0,1
125,125,1,12,1,3,2121,2,0,4,3,2,2,0,30,1,1,2,3,1,0,1
126,126,1,12,3,4,701,2,0,4,2,2,2,2,40,1,1,1,2,1,0,1
127,127,0,12,3,8,639,2,0,4,3,2,2,3,30,1,1,1,3,1,0,1
128,128,0,12,1,5,1860,2,4,4,3,2,2,3,34,1,1,2,0,1,1,1
129,129,1,12,1,3,3499,2,0,3,0,0,2,2,29,1,1,2,3,1,0,1
130,130,0,48,3,3,8487,4,1,1,0,2,2,3,24,1,1,1,3,1,0,1
131,131,1,36,2,6,6887,2,0,4,3,2,3,0,29,2,1,1,3,1,1,1
132,132,3,15,3,2,2708,2,2,2,3,2,3,0,27,0,1,2,2,1,0,1
133,133,3,18,3,2,1984,2,0,4,3,2,4,1,47,0,0,2,3,1,0,1
134,134,3,60,3,4,10144,0,1,2,0,2,4,2,21,1,1,1,3,1,1,1
135,135,3,12,1,4,1240,4,3,4,0,2,2,2,38,1,1,2,3,1,1,1
136,136,3,27,2,5,8613,3,0,2,3,2,2,3,27,1,1,2,3,1,0,1
137,137,0,12,3,4,766,1,0,4,3,2,3,2,66,1,1,1,2,1,0,1
138,138,0,15,1,4,2728,4,1,4,3,1,2,2,35,0,1,3,3,1,1,1
139,139,2,12,3,4,1881,2,0,2,0,2,2,3,44,1,2,1,2,1,1,1
140,140,2,6,3,3,709,3,2,2,2,2,2,2,27,1,1,1,1,1,0,0
141,141,0,36,3,4,4795,2,2,4,0,2,1,1,30,1,1,1,0,1,1,1
142,142,1,27,3,4,3416,2,0,3,3,2,2,3,27,1,1,1,0,1,0,1
143,143,1,18,3,2,2462,2,0,2,3,2,2,3,22,1,1,1,3,1,0,1
144,144,3,21,1,2,2288,2,2,4,0,2,4,0,23,1,1,1,3,1,1,1
145,145,0,48,0,0,3566,0,1,4,3,2,2,3,30,1,1,1,3,1,0,1
146,146,1,6,1,3,860,2,3,1,0,2,4,1,39,1,1,2,3,1,1,1
147,147,3,12,1,3,682,0,1,4,0,2,3,3,51,1,1,2,3,1,1,1
148,148,1,36,1,2,5371,2,0,3,3,1,2,0,28,1,1,2,3,1,0,1
149,149,3,18,1,4,1582,3,3,4,3,2,4,3,46,1,1,2,3,1,0,1
150,150,3,6,3,4,1346,0,3,2,3,2,4,1,42,0,0,1,3,2,1,1
151,151,3,10,3,4,1924,2,0,1,3,2,4,0,38,1,1,1,3,1,1,0
152,152,2,36,3,4,5848,2,0,4,3,2,1,3,24,1,1,1,3,1,0,1
153,153,0,24,1,5,7758,3,3,2,0,2,4,1,29,1,2,1,3,1,0,1
154,154,0,24,2,0,6967,0,1,4,3,2,4,3,36,1,2,1,0,1,1,1
155,155,1,12,3,2,1282,2,0,2,0,2,4,3,20,1,2,1,3,1,0,1
156,156,1,9,1,8,1288,0,3,3,3,1,4,2,48,1,1,2,3,2,0,0
157,157,1,12,0,9,339,2,3,4,2,2,1,3,45,0,1,1,2,1,0,1
158,158,0,24,3,3,3512,0,1,2,3,2,3,3,38,0,1,2,3,1,1,1
159,159,3,6,1,4,1898,4,0,1,3,2,2,2,34,1,1,2,2,2,0,1
160,160,3,24,1,4,2872,0,3,3,3,2,4,2,36,1,1,1,3,2,1,1
161,161,3,18,1,3,1055,2,2,4,0,2,1,0,30,1,1,2,3,1,0,1
162,162,3,15,3,1,1262,1,1,4,3,2,3,0,36,1,1,2,3,1,1,1
163,163,0,10,3,3,7308,2,4,2,3,2,4,1,70,0,0,1,0,1,1,1
164,164,3,36,3,3,909,1,3,4,3,2,4,0,36,1,1,1,3,1,0,1
165,165,3,6,3,2,2978,1,0,1,3,2,2,3,32,1,1,1,3,1,1,1
166,166,1,18,3,2,1131,2,4,4,0,2,2,3,33,1,1,1,3,1,0,1
167,167,0,11,3,2,1577,3,2,4,0,2,1,2,20,1,1,1,3,1,0,1
168,168,3,24,3,2,3972,2,1,2,0,2,4,0,25,1,2,1,3,1,1,1
169,169,0,24,1,0,1935,2,3,4,1,2,4,2,31,1,1,2,3,1,1,1
170,170,1,15,4,3,950,2,3,4,3,2,3,3,33,1,2,2,3,2,0,1
171,171,3,12,3,2,763,2,0,4,0,2,1,2,26,1,1,1,3,1,1,1
172,172,0,24,2,2,2064,2,4,3,0,2,2,0,34,1,1,1,0,1,1,1
173,173,0,8,3,4,1414,2,0,4,3,1,2,2,33,1,1,1,3,1,0,0
174,174,1,21,2,6,3414,2,2,2,3,2,1,0,26,1,1,2,3,1,0,1
175,175,3,30,0,5,7485,4,4,4,0,2,1,2,53,0,1,1,0,1,1,1
176,176,1,12,3,2,2577,2,0,2,1,2,1,3,42,1,1,1,3,1,0,1
177,177,1,6,1,4,338,1,3,4,3,2,4,3,52,1,1,2,3,1,0,1
178,178,3,12,3,4,1963,2,1,4,3,2,2,3,31,1,2,2,0,2,1,1
179,179,1,21,1,3,571,2,3,4,3,2,4,2,65,1,1,2,3,1,0,1
180,180,3,36,2,0,9572,2,2,1,1,2,1,3,28,1,1,2,3,1,0,1
181,181,0,36,2,0,4455,2,0,2,1,2,2,2,30,2,1,2,0,1,1,1
182,182,1,21,0,3,1647,4,0,4,3,2,2,0,40,1,1,2,2,2,0,1
183,183,3,24,1,2,3777,3,0,4,3,2,4,2,50,1,1,1,3,1,1,1
184,184,0,18,1,3,884,2,3,4,3,2,4,3,36,0,1,1,3,2,1,1
185,185,3,15,1,4,1360,2,0,4,3,2,2,0,31,1,1,2,3,1,0,1
186,186,0,9,0,5,5129,2,3,2,0,2,4,1,74,0,0,1,0,2,1,1
187,187,0,16,1,3,1175,2,4,2,3,2,3,3,68,1,0,3,1,1,1,1
188,188,1,12,3,4,674,0,1,4,2,2,1,0,20,1,1,1,3,1,0,1
189,189,0,18,4,2,3244,2,0,1,0,2,4,3,33,0,1,2,3,1,1,1
190,190,3,24,3,0,4591,3,0,2,3,2,3,0,54,1,1,3,0,1,1,1
191,191,0,48,4,0,3844,0,1,4,3,2,4,1,34,1,0,1,2,2,0,1
192,192,0,27,3,0,3915,2,0,4,3,2,2,3,36,1,1,1,3,2,1,1
193,193,3,6,3,4,2108,2,1,2,2,2,2,2,29,1,2,1,3,1,0,1
194,194,0,45,3,4,3031,0,0,4,3,1,4,0,21,1,2,1,3,1,0,1
195,195,0,9,1,6,1501,2,3,2,0,2,3,3,34,1,1,2,0,1,1,1
196,196,3,6,1,4,1382,2,0,1,0,2,1,3,28,1,1,2,3,1,1,1
197,197,0,12,3,2,951,0,2,4,0,2,4,3,27,0,2,4,3,1,0,1
198,198,0,24,3,5,2760,4,3,4,3,2,4,1,36,0,0,1,3,1,1,1
199,199,0,18,2,2,4297,2,3,4,1,2,3,1,40,1,1,1,0,1,1,1
200,200,3,9,1,6,936,1,3,4,3,2,2,3,52,1,1,2,3,1,1,1
201,201,1,12,3,3,1168,2,0,4,2,2,3,2,27,1,1,1,2,1,0,1
202,202,3,27,2,0,5117,2,1,3,3,2,4,3,26,1,1,2,3,1,0,1
203,203,1,12,3,9,902,2,1,4,2,2,4,0,21,1,2,1,3,1,0,1
204,204,3,12,1,3,1495,2,3,4,3,2,1,2,38,1,1,2,2,2,0,1
205,205,1,30,1,5,10623,2,3,3,3,2,4,1,38,1,0,3,0,2,1,1
206,206,3,12,1,2,1935,2,3,4,3,2,4,2,43,1,1,3,3,1,1,1
207,207,0,12,1,1,1424,2,1,4,3,2,3,0,26,1,1,1,3,1,0,1
208,208,1,24,3,0,6568,2,0,2,2,2,2,3,21,2,1,1,2,1,0,1
209,209,3,12,3,5,1413,3,1,3,3,2,2,0,55,1,1,1,3,1,0,0
210,210,3,9,1,4,3074,4,0,1,3,2,2,2,33,1,1,2,3,2,0,1
211,211,3,36,3,4,3835,4,3,2,0,2,4,2,45,1,1,1,2,1,1,1
212,212,1,27,4,0,5293,2,4,2,3,2,4,0,50,2,1,2,3,1,1,1
213,213,2,30,2,0,1908,2,3,4,3,2,4,2,66,1,1,1,0,1,1,1
214,214,3,36,1,4,3342,4,3,4,3,2,2,3,51,1,1,1,3,1,1,1
215,215,0,6,1,9,932,4,1,1,0,2,3,0,39,1,1,2,2,1,0,1
216,216,1,18,4,0,3104,2,1,3,3,2,1,0,31,0,1,1,3,1,1,1
217,217,2,36,3,4,3913,2,0,2,3,2,2,2,23,1,1,1,3,1,1,1
218,218,1,24,3,2,3021,2,0,2,1,2,2,2,24,1,2,1,2,1,0,1
219,219,3,10,3,3,1364,2,0,2,0,2,4,3,64,1,1,1,3,1,1,1
220,220,0,12,3,4,625,2,2,4,2,1,1,2,26,0,1,1,2,1,0,1
221,221,1,12,3,6,1200,4,0,4,0,2,4,0,23,0,2,1,3,1,1,1
222,222,3,12,3,4,707,2,0,4,3,2,2,2,30,0,1,2,3,1,0,1
223,223,3,24,2,0,2978,4,0,4,3,2,4,2,32,1,1,2,3,2,1,1
224,224,3,15,3,5,4657,2,0,3,3,2,2,3,30,1,1,1,3,1,1,1
225,225,3,36,4,8,2613,2,0,4,3,2,2,3,27,1,1,2,3,1,0,1
226,226,0,48,3,4,10961,3,1,1,3,0,2,1,27,0,1,2,3,1,1,1
227,227,1,12,3,2,7865,2,3,4,3,2,4,1,53,1,0,1,0,1,1,1
228,228,3,9,3,4,1478,2,1,4,3,2,2,3,22,1,1,1,3,1,0,1
229,229,1,24,3,2,3149,2,2,4,3,2,1,1,22,0,0,1,3,1,0,1
230,230,2,36,3,4,4210,2,0,4,3,2,2,3,26,1,1,1,3,1,0,1
231,231,3,9,3,3,2507,1,3,2,3,2,4,1,51,1,0,1,2,1,0,1
232,232,3,12,3,4,2141,0,1,3,3,2,1,1,35,1,1,1,3,1,0,1
233,233,0,18,3,4,866,2,0,4,2,1,2,2,25,1,1,1,2,1,0,1
234,234,3,4,1,4,1544,2,1,2,3,2,1,2,42,1,1,3,2,2,0,1
235,235,1,24,3,4,1823,2,4,4,3,2,2,3,30,2,1,1,0,2,0,1
236,236,0,6,3,3,14555,4,4,1,3,2,2,0,23,1,1,1,1,1,1,1
237,237,0,21,3,0,2767,0,3,4,1,2,2,3,61,0,2,2,2,1,0,1
238,238,3,12,1,4,1291,2,0,4,0,2,2,0,35,1,1,2,3,1,0,1
239,239,1,30,3,4,2522,2,3,1,3,1,3,0,39,1,1,1,3,2,0,1
240,240,1,24,3,3,915,4,3,4,0,2,2,3,29,0,1,1,3,1,0,1
241,241,3,6,3,4,1595,2,1,3,3,2,2,0,51,1,1,1,3,2,0,1
242,242,1,48,4,5,4605,2,3,3,3,2,4,1,24,1,0,2,3,2,0,1
243,243,3,12,1,0,1185,2,0,3,0,2,2,2,27,1,1,2,3,1,0,1
244,244,3,12,0,9,3447,1,0,4,0,2,3,2,35,1,1,1,2,2,0,1
245,245,3,24,3,0,1258,2,1,4,3,2,1,2,25,1,1,1,3,1,1,1
246,246,3,12,1,4,717,2,3,4,3,2,4,2,52,1,1,3,3,1,0,1
247,247,3,6,4,3,1204,0,0,4,3,2,1,1,35,0,2,1,3,1,0,0
248,248,2,24,3,2,1925,2,0,2,3,2,2,2,26,1,1,1,3,1,0,1
249,249,3,18,3,4,433,2,4,3,0,0,4,2,22,1,2,1,3,1,0,1
250,250,1,6,1,3,666,3,1,3,0,2,4,2,39,1,1,2,2,1,1,1
251,251,2,12,3,2,2251,2,0,1,0,2,2,3,46,1,1,1,2,1,0,1
252,252,0,30,3,3,2150,2,0,4,0,1,2,1,24,0,1,1,3,1,0,1
253,253,3,24,2,2,4151,0,0,2,3,2,3,0,35,1,1,2,3,1,0,1
254,254,0,9,3,2,2030,4,1,2,3,2,1,3,24,1,1,1,3,1,1,1
255,255,0,60,2,4,7418,4,0,1,3,2,1,2,27,1,1,1,2,1,0,1
256,256,3,24,1,4,2684,2,0,4,3,2,2,2,35,1,1,2,2,1,0,1
257,257,1,12,0,4,2149,2,0,4,1,2,1,1,29,1,0,1,3,1,0,1
258,258,3,15,3,5,3812,0,2,1,0,2,4,3,23,1,1,1,3,1,1,1
259,259,3,11,1,4,1154,0,4,4,0,2,4,2,57,1,1,3,2,1,0,1
260,260,1,12,3,2,1657,2,0,2,3,2,2,2,27,1,1,1,3,1,0,1
261,261,1,24,3,4,1603,2,3,4,0,2,4,3,55,1,1,1,3,1,0,1
262,262,1,18,1,3,5302,2,3,2,3,2,4,1,36,1,0,3,0,1,1,1
263,263,3,12,1,6,2748,2,3,2,0,2,4,1,57,0,0,3,2,1,0,1
264,264,3,10,1,3,1231,2,3,3,3,2,4,2,32,1,1,2,2,2,0,0
265,265,0,15,3,4,802,2,3,4,3,2,3,3,37,1,1,1,3,2,0,1
266,266,3,36,1,0,6304,4,3,4,3,2,4,2,36,1,1,2,3,1,0,1
267,267,3,24,3,4,1533,2,2,4,0,2,3,3,38,2,1,1,3,1,1,1
268,268,1,14,3,3,8978,2,3,1,1,2,4,0,45,1,1,1,0,1,1,0
269,269,3,24,3,4,999,4,3,4,3,2,2,3,25,1,1,2,3,1,0,1
270,270,3,18,3,3,2662,4,1,4,3,2,3,0,32,1,1,1,3,1,0,0
271,271,3,12,1,2,1402,1,1,3,0,2,4,3,37,1,2,1,3,1,1,1
272,272,0,48,0,3,12169,4,4,4,3,0,4,1,36,1,0,1,0,1,1,1
273,273,0,48,3,4,3060,2,1,4,3,2,4,2,28,1,1,2,3,1,0,1
274,274,1,30,3,8,11998,2,2,1,1,2,1,1,34,1,1,1,2,1,1,1
275,275,3,9,3,4,2697,2,0,1,3,2,2,2,32,1,1,1,3,2,0,1
276,276,3,18,1,4,2404,2,0,2,0,2,2,3,26,1,1,2,3,1,0,1
277,277,1,12,3,2,1262,4,3,2,1,2,4,0,49,1,1,1,2,1,1,1
278,278,3,6,3,2,4611,2,2,1,0,2,4,0,32,1,1,1,3,1,0,1
279,279,3,24,3,4,1901,0,0,4,3,2,4,3,29,1,2,1,0,1,1,1
280,280,3,15,1,5,3368,3,3,3,3,2,4,1,23,1,2,2,3,1,1,1
281,281,3,12,3,2,1574,2,0,4,3,2,2,2,50,1,1,1,3,1,0,1
282,282,2,18,0,4,1445,4,1,4,3,2,4,3,49,0,1,1,2,1,0,1
283,283,3,15,1,2,1520,4,3,4,3,2,4,0,63,1,1,1,3,1,0,1
284,284,0,24,1,3,3878,0,2,4,1,2,2,3,37,1,1,1,3,1,1,1
285,285,1,47,3,3,10722,2,2,1,0,2,1,2,35,1,1,1,2,1,1,1
286,286,1,48,3,5,4788,2,1,4,3,2,3,0,26,1,1,1,3,2,0,1
287,287,0,48,2,7,7582,0,4,2,3,2,4,1,31,1,0,1,0,1,1,1
288,288,0,12,3,4,1092,2,0,4,0,1,4,2,49,1,1,2,3,1,1,1
289,289,1,24,2,4,1024,2,2,4,2,2,4,2,48,2,1,1,3,1,0,1
290,290,3,12,3,0,1076,2,0,2,2,2,2,2,26,1,1,1,3,1,1,0
291,291,0,36,3,5,9398,2,2,1,2,2,4,3,28,1,2,1,0,1,1,1
292,292,1,24,1,5,6419,2,3,2,0,2,4,1,44,1,0,2,0,2,1,1
293,293,2,42,1,5,4796,2,3,4,3,2,4,1,56,1,0,1,3,1,0,1
294,294,3,48,1,0,7629,4,3,4,1,2,2,3,46,0,1,2,0,2,0,1
295,295,0,48,3,2,9960,2,2,1,0,2,2,3,26,1,1,1,3,1,1,1
296,296,3,12,3,5,4675,4,2,1,0,2,4,3,20,1,2,1,3,1,0,1
297,297,3,10,3,3,1287,4,3,4,3,0,2,0,45,1,1,1,2,1,0,0
298,298,3,18,3,2,2515,2,0,3,3,2,4,2,43,1,1,1,3,1,1,1
299,299,0,21,1,2,2745,3,1,3,3,2,2,3,32,1,1,2,3,1,1,1
300,300,3,6,3,3,672,2,4,1,0,2,4,2,54,1,1,1,1,1,1,1
301,301,0,36,4,4,3804,2,0,4,0,2,1,3,42,1,1,1,3,1,1,1
302,302,2,24,1,3,1344,4,1,4,3,2,2,2,37,0,1,2,2,2,0,1
303,303,1,10,1,3,1038,2,1,4,3,0,3,0,49,1,1,2,3,1,1,1
304,304,3,48,1,3,10127,1,0,2,3,2,2,1,44,0,0,1,3,1,0,1
305,305,3,6,3,2,1543,3,0,4,1,2,2,2,33,1,1,1,3,1,0,1
306,306,3,30,3,5,4811,4,1,2,0,2,4,0,24,2,2,1,2,1,0,1
