,season,team_1,team_2,home,seed_diff,score_diff,score_1,score_2,won
56,1985,6898,5077,0,-13,-12,55,67,0
57,1985,9269,5077,0,-5,-1,66,67,0
58,1985,10020,5077,0,-6,7,52,45,1
59,1985,3234,5111,0,13,7,65,58,1
60,1985,4941,5178,0,7,1,69,68,1
61,1985,2675,5212,0,-15,-4,55,59,0
62,1985,10020,5212,0,-7,4,59,55,1
63,1985,9269,5246,0,3,2,70,68,1
64,1985,6281,5715,0,13,19,76,57,1
65,1985,4732,5850,0,9,-23,55,78,0
66,1985,4941,5850,0,8,5,64,59,1
67,1985,6664,5884,0,15,13,96,83,1
68,1985,73,5929,0,-4,-6,55,61,0
69,1985,6012,5929,0,-11,-9,56,65,0
70,1985,8405,5929,0,2,9,69,60,1
71,1985,9847,5929,0,-8,-13,73,86,0
72,1985,5929,6012,0,11,9,65,56,1
73,1985,513,6281,0,-9,-6,56,62,0
74,1985,5715,6281,0,-13,-19,57,76,0
75,1985,6542,6281,0,-5,-2,58,60,0
76,1985,10020,6281,0,-6,12,56,44,1
77,1985,3745,6372,0,11,19,76,57,1
78,1985,6281,6542,0,5,2,60,58,1
79,1985,6830,6542,0,-3,-9,70,79,0
80,1985,4149,6595,0,11,11,49,38,1
81,1985,3954,6629,0,-9,-11,64,75,0
82,1985,4562,6629,0,-1,12,79,67,1
83,1985,3779,6664,0,-8,-6,69,75,0
84,1985,4562,6664,0,-4,-2,84,86,0
85,1985,5077,6664,0,-1,2,63,61,1
86,1985,5884,6664,0,-15,-13,83,96,0
87,1985,8059,6732,0,7,17,85,68,1
88,1985,6542,6830,0,3,9,79,70,1
89,1985,5077,6898,0,13,12,67,55,1
90,1985,2340,6966,0,11,13,75,62,1
91,1985,4562,7000,0,7,24,78,54,1
92,1985,513,7201,0,-5,1,59,58,1
93,1985,9629,7693,0,9,5,85,80,1
94,1985,4698,8059,0,1,13,70,57,1
95,1985,6732,8059,0,-7,-17,68,85,0
96,1985,8405,8239,0,15,24,83,59,1
97,1985,410,8405,0,-8,-3,65,68,0
98,1985,3132,8405,0,0,18,77,59,1
99,1985,4264,8405,0,-11,-16,70,86,0
100,1985,5929,8405,0,-2,-9,60,69,0
101,1985,8239,8405,0,-15,-24,59,83,0
102,1985,2204,8662,0,-3,-5,65,70,0
103,1985,3234,8662,0,5,17,70,53,1
104,1985,3132,8746,0,7,17,63,46,1
105,1985,10088,8746,0,-1,-3,57,60,0
106,1985,764,8984,0,-5,2,55,53,1
107,1985,9847,9167,0,-5,4,79,75,1
108,1985,5077,9269,0,5,1,67,66,1
109,1985,5246,9269,0,-3,-2,68,70,0
110,1985,4264,9629,0,-8,3,64,61,1
111,1985,7693,9629,0,-9,-5,80,85,0
112,1985,3779,9663,0,-1,3,58,55,1
113,1985,5929,9847,0,8,13,86,73,1
114,1985,9167,9847,0,5,-4,75,79,0
115,1985,73,9884,0,-5,4,63,59,1
116,1985,4907,9884,0,-13,-16,65,81,0
117,1985,2082,10020,0,-1,-2,49,51,0
118,1985,3132,10020,0,7,-2,64,66,0
119,1985,4941,10020,0,3,-3,43,46,0
120,1985,5077,10020,0,6,-7,45,52,0
121,1985,5212,10020,0,7,-4,55,59,0
122,1985,6281,10020,0,6,-12,44,56,0
123,1985,8746,10088,0,1,3,60,57,1
124,1985,4264,10366,0,-7,8,66,58,1
125,1985,3166,10564,0,5,8,67,59,1
126,1986,5213,40,0,13,6,70,64,1
127,1986,3746,74,0,1,-2,56,58,0
128,1986,4265,74,0,4,5,68,63,1
129,1986,10787,74,0,-7,-17,80,97,0
130,1986,514,289,0,1,10,73,63,1
131,1986,5930,357,0,8,14,80,66,1
132,1986,6543,357,0,11,-7,83,90,0
133,1986,289,514,0,-1,-10,63,73,0
134,1986,4597,514,0,6,8,84,76,1
135,1986,8406,514,0,7,-16,65,81,0
136,1986,9630,514,0,4,-7,63,70,0
137,1986,5078,589,0,11,32,95,63,1
138,1986,4597,867,0,5,14,82,68,1
139,1986,9848,867,0,-3,-18,65,83,0
140,1986,8663,909,0,13,49,101,52,1
141,1986,3819,1551,0,11,-4,79,83,0
142,1986,5851,1551,0,7,1,71,70,1
143,1986,8440,1551,0,8,-6,69,75,0
144,1986,4265,2049,0,15,20,75,55,1
145,1986,2341,2205,0,11,7,74,67,1
146,1986,6665,2205,0,8,-5,69,74,0
147,1986,10055,2205,0,7,-4,68,72,0
148,1986,4597,2307,0,13,20,93,73,1
149,1986,2205,2341,0,-11,-7,67,74,0
150,1986,4150,2341,0,0,-4,67,71,0
151,1986,4597,2341,0,-1,3,72,69,1
152,1986,5652,2341,0,-15,-7,78,85,0
153,1986,5851,2341,0,-6,-21,50,71,0
154,1986,6733,2341,0,-7,-28,61,89,0
155,1986,3746,2710,0,9,24,75,51,1
156,1986,5247,3133,0,-1,12,80,68,1
157,1986,8985,3133,0,-9,-6,64,70,0
158,1986,4733,3235,0,-9,6,70,64,1
159,1986,4840,3235,0,-13,-15,53,68,0
160,1986,10021,3235,0,-8,-5,61,66,0
161,1986,74,3746,0,-1,2,58,56,1
162,1986,2710,3746,0,-9,-24,51,75,0
163,1986,1551,3819,0,-11,4,83,79,1
164,1986,5930,3921,0,5,2,66,64,1
165,1986,5179,3955,0,-3,-2,79,81,0
166,1986,5213,3955,0,5,-3,69,72,0
167,1986,5930,3955,0,1,4,70,66,1
168,1986,8747,4059,0,-1,11,61,50,1
169,1986,2341,4150,0,0,4,71,67,1
170,1986,5247,4150,0,-4,-10,86,96,0
171,1986,5885,4150,0,-15,-25,46,71,0
172,1986,5930,4150,0,-5,-8,67,75,0
173,1986,8747,4150,0,-8,-22,43,65,0
174,1986,74,4265,0,-4,-5,63,68,0
175,1986,2049,4265,0,-15,-20,55,75,0
176,1986,4733,4265,0,-10,2,59,57,1
177,1986,10225,4265,0,-7,-7,64,71,0
178,1986,514,4597,0,-6,-8,76,84,0
179,1986,867,4597,0,-5,-14,68,82,0
180,1986,2307,4597,0,-13,-20,73,93,0
181,1986,2341,4597,0,1,-3,69,72,0
182,1986,4733,4597,0,-9,-11,77,88,0
183,1986,6282,4597,0,-1,-15,79,94,0
184,1986,3235,4733,0,9,-6,64,70,0
185,1986,4265,4733,0,10,-2,57,59,0
186,1986,4597,4733,0,9,11,88,77,1
187,1986,5078,4733,0,8,-2,81,83,0
188,1986,7202,4733,0,5,-7,87,94,0
189,1986,3235,4840,0,13,15,68,53,1
190,1986,6967,4942,0,-7,-5,64,69,0
191,1986,9630,4942,0,1,6,70,64,1
192,1986,589,5078,0,-11,-32,63,95,0
193,1986,4733,5078,0,-8,2,83,81,1
194,1986,3955,5179,0,3,2,81,79,1
195,1986,40,5213,0,-13,-6,64,70,0
196,1986,3955,5213,0,-5,3,72,69,1
197,1986,3133,5247,0,1,-12,68,80,0
198,1986,4150,5247,0,4,10,96,86,1
199,1986,10367,5247,0,-7,-2,70,72,0
200,1986,9270,5383,0,5,2,66,64,1
201,1986,8406,5548,0,15,9,83,74,1
202,1986,2341,5652,0,15,7,85,78,1
203,1986,1551,5851,0,-7,-1,70,71,0
204,1986,2341,5851,0,6,21,71,50,1
205,1986,8663,5851,0,5,-12,85,97,0
206,1986,9168,5851,0,-3,-19,68,87,0
207,1986,4150,5885,0,15,25,71,46,1
208,1986,357,5930,0,-8,-14,66,80,0
209,1986,3921,5930,0,-5,-2,64,66,0
210,1986,3955,5930,0,-1,-4,66,70,0
211,1986,4150,5930,0,5,8,75,67,1
212,1986,10225,5979,0,1,8,67,59,1
213,1986,4597,6282,0,1,15,94,79,1
214,1986,9270,6282,0,-3,-18,59,77,0
215,1986,9766,6282,0,-11,-12,72,84,0
216,1986,6665,6373,0,9,6,80,74,1
217,1986,357,6543,0,-11,7,90,83,1
218,1986,2205,6665,0,-8,5,74,69,1
219,1986,6373,6665,0,-9,-6,74,80,0
220,1986,2341,6733,0,7,28,89,61,1
221,1986,10469,6733,0,-1,-8,64,72,0
222,1986,4942,6967,0,7,5,69,64,1
223,1986,4733,7202,0,-5,7,94,87,1
224,1986,8440,7358,0,5,1,60,59,1
225,1986,514,8406,0,-7,16,81,65,1
226,1986,5548,8406,0,-15,-9,74,83,0
227,1986,1551,8440,0,-8,6,75,69,1
228,1986,7358,8440,0,-5,-1,59,60,0
229,1986,909,8663,0,-13,-49,52,101,0
230,1986,5851,8663,0,-5,12,97,85,1
231,1986,4059,8747,0,1,-11,50,61,0
232,1986,4150,8747,0,8,22,65,43,1
233,1986,3133,8985,0,9,6,70,64,1
234,1986,5851,9168,0,3,19,87,68,1
235,1986,5383,9270,0,-5,-2,64,66,0
236,1986,6282,9270,0,3,18,77,59,1
237,1986,9630,9471,0,9,23,74,51,1
238,1986,514,9630,0,-4,7,70,63,1
239,1986,4942,9630,0,-1,-6,64,70,0
240,1986,9471,9630,0,-9,-23,51,74,0
241,1986,6282,9766,0,11,12,84,72,1
242,1986,867,9848,0,3,18,83,65,1
243,1986,3235,10021,0,8,5,66,61,1
244,1986,10089,10021,0,3,-9,62,71,0
245,1986,2205,10055,0,-7,4,72,68,1
246,1986,10021,10089,0,-3,9,71,62,1
247,1986,4265,10225,0,7,7,71,64,1
248,1986,5979,10225,0,-1,-8,59,67,0
249,1986,5247,10367,0,7,2,72,70,1
250,1986,6733,10469,0,1,8,72,64,1
251,1986,74,10787,0,7,17,97,80,1
252,1987,5886,75,0,-13,-17,71,88,0
253,1987,6150,75,0,-5,-25,76,101,0
254,1987,7169,75,0,-4,21,103,82,1
255,1987,9849,290,0,3,7,98,91,1
256,1987,3820,515,0,7,17,107,90,1
257,1987,7661,515,0,-1,-1,61,62,0
258,1987,3747,556,0,11,-1,67,68,0
259,1987,7169,556,0,8,3,90,87,1
260,1987,3134,954,0,15,22,75,53,1
261,1987,6150,1049,0,3,4,83,79,1
262,1987,9404,1083,0,9,19,92,73,1
263,1987,5447,1518,0,-9,5,65,60,1
264,1987,4564,2206,0,-11,-14,62,76,0
265,1987,4734,2206,0,-7,5,63,58,1
266,1987,8407,2206,0,-3,-8,75,83,0
267,1987,3820,2342,0,4,6,88,82,1
268,1987,8918,2342,0,-7,-7,51,58,0
269,1987,10788,2342,0,-8,-5,60,65,0
270,1987,3820,2711,0,15,34,92,58,1
271,1987,5931,2781,0,-5,-12,70,82,0
272,1987,7203,2781,0,3,-19,66,85,0
273,1987,8664,2781,0,4,6,87,81,1
274,1987,8664,3050,0,13,6,79,73,1
275,1987,954,3134,0,-15,-22,53,75,0
276,1987,4151,3134,0,-4,-13,57,70,0
277,1987,6631,3134,0,-8,-3,79,82,0
278,1987,7169,3134,0,-5,15,88,73,1
279,1987,4185,3168,0,-1,3,82,79,1
280,1987,4734,3236,0,-3,6,85,79,1
281,1987,4151,3561,0,7,11,66,55,1
282,1987,9631,3679,0,15,25,95,70,1
283,1987,556,3747,0,-11,1,68,67,1
284,1987,515,3820,0,-7,-17,90,107,0
285,1987,2342,3820,0,-4,-6,82,88,0
286,1987,2711,3820,0,-15,-34,58,92,0
287,1987,4734,3820,0,-9,-1,76,77,0
288,1987,8664,3820,0,-1,-1,73,74,0
289,1987,9631,3820,0,0,-4,93,97,0
290,1987,6666,3922,0,-4,-2,91,93,0
291,1987,7830,3922,0,-13,-23,76,99,0
292,1987,9631,3922,0,1,3,84,81,1
293,1987,9849,3922,0,-5,-2,82,84,0
294,1987,3134,4151,0,4,13,70,57,1
295,1987,3561,4151,0,-7,-11,55,66,0
296,1987,5447,4151,0,-8,-4,63,67,0
297,1987,3168,4185,0,1,-3,79,82,0
298,1987,9631,4185,0,8,19,80,61,1
299,1987,6631,4266,0,-1,14,91,77,1
300,1987,2206,4564,0,11,14,76,62,1
301,1987,2206,4734,0,7,-5,58,63,0
302,1987,3236,4734,0,3,-6,79,85,0
303,1987,3820,4734,0,9,1,77,76,1
304,1987,8748,4734,0,8,-10,62,72,0
305,1987,7002,4841,0,11,25,93,68,1
306,1987,8714,4909,0,9,16,76,60,1
307,1987,5852,5214,0,1,-15,82,97,0
308,1987,6283,5214,0,8,12,109,97,1
309,1987,10788,5384,0,-9,1,70,69,1
310,1987,1518,5447,0,9,-5,60,65,0
311,1987,4151,5447,0,8,4,67,63,1
312,1987,6544,5717,0,7,13,84,71,1
313,1987,5214,5852,0,-1,15,97,82,1
314,1987,75,5886,0,13,17,88,71,1
315,1987,2781,5931,0,5,12,82,70,1
316,1987,75,6150,0,5,25,101,76,1
317,1987,1049,6150,0,-3,-4,79,83,0
318,1987,5214,6283,0,-8,-12,97,109,0
319,1987,6544,6283,0,-4,-6,68,74,0
320,1987,6900,6283,0,-15,-31,82,113,0
321,1987,8664,6283,0,-1,4,79,75,1
322,1987,7203,6374,0,11,9,104,95,1
323,1987,5717,6544,0,-7,-13,71,84,0
324,1987,6283,6544,0,4,6,74,68,1
325,1987,8714,6544,0,1,-1,57,58,0
326,1987,3134,6631,0,8,3,82,79,1
327,1987,4266,6631,0,1,-14,77,91,0
328,1987,3922,6666,0,4,2,93,91,1
329,1987,7002,6666,0,3,-3,93,96,0
330,1987,9169,6666,0,-5,-5,69,74,0
331,1987,6283,6900,0,15,31,113,82,1
332,1987,4841,7002,0,-11,-25,68,93,0
333,1987,6666,7002,0,-3,3,96,93,1
334,1987,75,7169,0,4,-21,82,103,0
335,1987,556,7169,0,-8,-3,87,90,0
336,1987,3134,7169,0,5,-15,73,88,0
337,1987,8664,7169,0,4,14,77,63,1
338,1987,9271,7169,0,-5,-22,68,90,0
339,1987,2781,7203,0,-3,19,85,66,1
340,1987,6374,7203,0,-11,-9,95,104,0
341,1987,515,7661,0,1,1,62,61,1
342,1987,3922,7830,0,13,23,99,76,1
343,1987,8748,8241,0,13,19,75,56,1
344,1987,2206,8407,0,3,8,83,75,1
345,1987,10566,8407,0,-5,-2,55,57,0
346,1987,2781,8664,0,-4,-6,81,87,0
347,1987,3050,8664,0,-13,-6,73,79,0
348,1987,3820,8664,0,1,1,74,73,1
349,1987,6283,8664,0,1,-4,75,79,0
350,1987,7169,8664,0,-4,-14,63,77,0
351,1987,10226,8664,0,-8,-18,86,104,0
352,1987,4909,8714,0,-9,-16,60,76,0
353,1987,6544,8714,0,-1,1,58,57,1
354,1987,4734,8748,0,-8,10,72,62,1
355,1987,8241,8748,0,-13,-19,56,75,0
356,1987,2342,8918,0,7,7,58,51,1
357,1987,6666,9169,0,5,5,74,69,1
358,1987,7169,9271,0,5,22,90,68,1
359,1987,1083,9404,0,-9,-19,73,92,0
360,1987,10754,9404,0,-8,10,78,68,1
361,1987,3679,9631,0,-15,-25,70,95,0
362,1987,3820,9631,0,0,4,97,93,1
363,1987,3922,9631,0,-1,-3,81,84,0
364,1987,4185,9631,0,-8,-19,61,80,0
365,1987,10754,9631,0,-11,-14,78,92,0
366,1987,290,9849,0,-3,-7,91,98,0
367,1987,3922,9849,0,5,2,84,82,1
368,1987,10754,10056,0,-7,4,64,60,1
369,1987,8664,10226,0,8,18,104,86,1
370,1987,10470,10226,0,3,-2,62,64,0
371,1987,10226,10470,0,-3,2,64,62,1
372,1987,8407,10566,0,5,2,57,55,1
373,1987,9404,10754,0,8,-10,68,78,0
374,1987,9631,10754,0,11,14,92,78,1
375,1987,10056,10754,0,7,-4,60,64,0
376,1987,2342,10788,0,8,5,65,60,1
377,1987,5384,10788,0,9,-1,69,70,0
378,1988,1849,291,0,-15,-40,50,90,0
379,1988,3923,291,0,-4,-20,79,99,0
380,1988,6284,291,0,-1,-18,52,70,0
381,1988,6667,291,0,0,8,86,78,1
382,1988,7962,291,0,-7,-29,55,84,0
383,1988,10023,413,0,5,8,82,74,1
384,1988,869,516,0,-1,-4,86,90,0
385,1988,6667,516,0,7,20,107,87,1
386,1988,5080,625,0,-1,15,75,60,1
387,1988,5215,733,0,11,5,63,58,1
388,1988,2343,801,0,13,16,85,69,1
389,1988,516,869,0,1,4,90,86,1
390,1988,1349,1050,0,-9,-6,92,98,0
391,1988,4599,1050,0,-1,21,97,76,1
392,1988,1050,1349,0,9,6,98,92,1
393,1988,6667,1383,0,15,28,94,66,1
394,1988,291,1849,0,15,40,90,50,1
395,1988,4186,2207,0,1,8,66,58,1
396,1988,10567,2207,0,-7,-21,62,83,0
397,1988,801,2343,0,-13,-16,69,85,0
398,1988,4152,2343,0,-4,7,66,59,1
399,1988,7292,2343,0,-9,-1,72,73,0
400,1988,8062,2343,0,-5,-15,79,94,0
401,1988,8749,2343,0,1,-10,53,63,0
402,1988,7003,2479,0,13,18,108,90,1
403,1988,7204,2678,0,15,15,94,79,1
404,1988,5215,2782,0,3,23,108,85,1
405,1988,8408,2782,0,-5,-3,59,62,0
406,1988,3923,2881,0,7,4,102,98,1
407,1988,4735,3135,0,-1,-3,63,66,0
408,1988,8749,3135,0,7,21,74,53,1
409,1988,3957,3237,0,-7,-12,78,90,0
410,1988,7360,3237,0,-8,4,59,55,1
411,1988,9734,3748,0,-11,-9,72,81,0
412,1988,10023,3748,0,-3,3,66,63,1
413,1988,7360,3821,0,-9,3,72,69,1
414,1988,291,3923,0,4,20,99,79,1
415,1988,2881,3923,0,-7,-4,98,102,0
416,1988,9632,3923,0,1,-18,86,104,0
417,1988,3237,3957,0,7,12,90,78,1
418,1988,2343,4152,0,4,-7,59,66,0
419,1988,4186,4152,0,2,-13,58,71,0
420,1988,5752,4152,0,-8,-3,58,61,0
421,1988,6667,4152,0,5,-4,79,83,0
422,1988,9955,4152,0,-1,-13,64,77,0
423,1988,10789,4152,0,-5,-13,72,85,0
424,1988,2207,4186,0,-1,-8,58,66,0
425,1988,4152,4186,0,-2,13,71,58,1
426,1988,4301,4186,0,-9,-13,53,66,0
427,1988,7204,4186,0,3,-3,70,73,0
428,1988,4944,4267,0,-5,-9,81,90,0
429,1988,8242,4267,0,-13,-15,84,99,0
430,1988,10023,4267,0,-4,6,80,74,1
431,1988,4186,4301,0,9,13,66,53,1
432,1988,8749,4403,0,15,14,87,73,1
433,1988,1050,4599,0,1,-21,76,97,0
434,1988,6667,4599,0,4,10,108,98,1
435,1988,6833,4599,0,-7,-9,61,70,0
436,1988,6284,4633,0,8,26,123,97,1
437,1988,10755,4633,0,3,-4,115,119,0
438,1988,3135,4735,0,1,3,66,63,1
439,1988,4267,4944,0,5,9,90,81,1
440,1988,7797,4944,0,-3,-10,82,92,0
441,1988,625,5080,0,1,-15,60,75,0
442,1988,7204,5080,0,8,27,100,73,1
443,1988,733,5215,0,-11,-5,58,63,0
444,1988,2782,5215,0,-3,-23,85,108,0
445,1988,6284,5215,0,1,9,78,69,1
446,1988,7292,5385,0,-5,7,87,80,1
447,1988,9632,5448,0,9,4,54,50,1
448,1988,4152,5752,0,8,3,61,58,1
449,1988,5932,5752,0,11,-3,75,78,0
450,1988,8665,5887,0,11,14,69,55,1
451,1988,5752,5932,0,-11,3,78,75,1
452,1988,291,6284,0,1,18,70,52,1
453,1988,4633,6284,0,-8,-26,97,123,0
454,1988,5215,6284,0,-1,-9,69,78,0
455,1988,6341,6284,0,-13,-18,65,83,0
456,1988,6284,6341,0,13,18,83,65,1
457,1988,8062,6545,0,3,8,83,75,1
458,1988,291,6667,0,0,-8,78,86,0
459,1988,516,6667,0,-7,-20,87,107,0
460,1988,1383,6667,0,-15,-28,66,94,0
461,1988,4152,6667,0,-5,4,83,79,1
462,1988,4599,6667,0,-4,-10,98,108,0
463,1988,10023,6667,0,-5,-19,59,78,0
464,1988,4599,6833,0,7,9,70,61,1
465,1988,2479,7003,0,-13,-18,90,108,0
466,1988,9955,7003,0,-5,6,80,74,1
467,1988,2678,7204,0,-15,-15,79,94,0
468,1988,4186,7204,0,-3,3,73,70,1
469,1988,5080,7204,0,-8,-27,73,100,0
470,1988,2343,7292,0,9,1,73,72,1
471,1988,5385,7292,0,5,-7,80,87,0
472,1988,8665,7292,0,8,-3,94,97,0
473,1988,3237,7360,0,8,-4,55,59,0
474,1988,3821,7360,0,9,-3,69,72,0
475,1988,8749,7360,0,12,22,69,47,1
476,1988,4944,7797,0,3,10,92,82,1
477,1988,291,7962,0,7,29,84,55,1
478,1988,9850,7962,0,-1,-16,64,80,0
479,1988,2343,8062,0,5,15,94,79,1
480,1988,6545,8062,0,-3,-8,75,83,0
481,1988,4267,8242,0,13,15,99,84,1
482,1988,2782,8408,0,5,3,62,59,1
483,1988,5887,8665,0,-11,-14,55,69,0
484,1988,7292,8665,0,-8,3,97,94,1
485,1988,2343,8749,0,-1,10,63,53,1
486,1988,3135,8749,0,-7,-21,53,74,0
487,1988,4403,8749,0,-15,-14,73,87,0
488,1988,7360,8749,0,-12,-22,47,69,0
489,1988,3923,9632,0,-1,18,104,86,1
490,1988,5448,9632,0,-9,-4,50,54,0
491,1988,3748,9734,0,11,9,81,72,1
492,1988,9955,9802,0,3,3,80,77,1
493,1988,7962,9850,0,1,16,80,64,1
494,1988,4152,9955,0,1,13,77,64,1
495,1988,7003,9955,0,5,-6,74,80,0
496,1988,9802,9955,0,-3,-3,77,80,0
497,1988,413,10023,0,-5,-8,74,82,0
498,1988,3748,10023,0,3,-3,63,66,0
499,1988,4267,10023,0,4,-6,74,80,0
500,1988,6667,10023,0,5,19,78,59,1
501,1988,2207,10567,0,7,21,83,62,1
502,1988,4633,10755,0,-3,4,119,115,1
503,1988,4152,10789,0,5,13,85,72,1
504,1989,8097,77,0,-5,2,86,84,1
505,1989,1520,292,0,-8,-26,68,94,0
506,1989,7429,292,0,-15,-34,60,94,0
507,1989,9633,292,0,-3,1,68,67,1
508,1989,4600,360,0,9,5,76,71,1
509,1989,4600,414,0,1,9,93,84,1
510,1989,4634,414,0,-7,-19,101,120,0
511,1989,3749,592,0,8,12,72,60,1
512,1989,7004,592,0,1,-4,64,68,0
513,1989,8666,956,0,13,23,104,81,1
514,1989,292,1520,0,8,26,94,68,1
515,1989,8511,1520,0,1,-13,70,83,0
516,1989,2783,1715,0,3,-22,46,68,0
517,1989,8666,1715,0,8,15,65,50,1
518,1989,5386,1884,0,11,16,85,69,1
519,1989,5081,2208,0,7,-3,63,66,0
520,1989,9633,2208,0,8,15,85,70,1
521,1989,3136,2344,0,1,-8,77,85,0
522,1989,5284,2344,0,-9,-17,70,87,0
523,1989,7497,2344,0,-13,-21,69,90,0
524,1989,7963,2344,0,-1,17,95,78,1
525,1989,10472,2344,0,-5,-7,63,70,0
526,1989,6668,2611,0,15,1,72,71,1
527,1989,6834,2645,0,5,-4,90,94,0
528,1989,7963,2645,0,8,14,87,73,1
529,1989,1715,2783,0,-3,22,68,46,1
530,1989,5719,2882,0,-9,14,97,83,1
531,1989,3822,3102,0,13,14,99,85,1
532,1989,2344,3136,0,-1,8,85,77,1
533,1989,5933,3136,0,-4,-8,61,69,0
534,1989,6546,3136,0,-8,-7,74,81,0
535,1989,7137,3136,0,-15,-1,49,50,0
536,1989,8886,3238,0,-5,6,76,70,1
537,1989,9633,3647,0,9,12,68,56,1
538,1989,592,3749,0,-8,-12,60,72,0
539,1989,4600,3749,0,-3,-14,69,83,0
540,1989,5013,3749,0,-15,-6,71,77,0
541,1989,5216,3749,0,-2,2,83,81,1
542,1989,8666,3749,0,-1,-3,86,89,0
543,1989,3102,3822,0,-13,-14,85,99,0
544,1989,7963,3822,0,-1,13,78,65,1
545,1989,9851,3822,0,-5,-23,69,92,0
546,1989,5933,3924,0,-1,6,102,96,1
547,1989,7463,3924,0,-9,-14,73,87,0
548,1989,9406,3958,0,3,10,84,74,1
549,1989,5284,4187,0,-5,11,86,75,1
550,1989,4566,4302,0,-1,9,83,74,1
551,1989,4302,4566,0,1,-9,74,83,0
552,1989,6668,4566,0,8,43,124,81,1
553,1989,360,4600,0,-9,-5,71,76,0
554,1989,414,4600,0,-1,-9,84,93,0
555,1989,3749,4600,0,3,14,83,69,1
556,1989,414,4634,0,7,19,120,101,1
557,1989,9851,4736,0,3,11,85,74,1
558,1989,3749,5013,0,15,6,77,71,1
559,1989,2208,5081,0,-7,3,66,63,1
560,1989,3749,5216,0,2,-2,81,83,0
561,1989,6285,5216,0,1,-5,87,92,0
562,1989,7963,5216,0,0,-1,79,80,0
563,1989,8097,5216,0,-8,-9,82,91,0
564,1989,10058,5216,0,-2,-37,65,102,0
565,1989,10790,5216,0,-11,-5,87,92,0
566,1989,2344,5284,0,9,17,87,70,1
567,1989,4187,5284,0,5,-11,75,86,0
568,1989,8029,5284,0,-3,-13,67,80,0
569,1989,1884,5386,0,-11,-16,69,85,0
570,1989,8666,5386,0,1,3,83,80,1
571,1989,8886,5386,0,-8,-19,89,108,0
572,1989,7963,5449,0,11,9,60,51,1
573,1989,2882,5719,0,9,-14,83,97,0
574,1989,10058,5719,0,8,16,104,88,1
575,1989,3136,5933,0,4,8,69,61,1
576,1989,3924,5933,0,1,-6,96,102,0
577,1989,8131,5933,0,-7,-15,66,81,0
578,1989,5216,6285,0,-1,5,92,87,1
579,1989,8243,6285,0,-13,-14,79,93,0
580,1989,9406,6285,0,-5,-7,81,88,0
581,1989,3136,6546,0,8,7,81,74,1
582,1989,9956,6546,0,1,-16,65,81,0
583,1989,2611,6668,0,-15,-1,71,72,0
584,1989,4566,6668,0,-8,-43,81,124,0
