,season,team_1,team_2,home,seed_diff,score_diff,score_1,score_2,won,pred
62,1985,10020,5212,0,-7,4,59,55,1,-8.149026
63,1985,9269,5246,0,3,2,70,68,1,-8.421505
64,1985,6281,5715,0,13,19,76,57,1,14.247254
65,1985,4732,5850,0,9,-23,55,78,0,3.7544258
66,1985,4941,5850,0,8,5,64,59,1,5.011441
67,1985,6664,5884,0,15,13,96,83,1,24.097027
68,1985,73,5929,0,-4,-6,55,61,0,-2.0509207
69,1985,6012,5929,0,-11,-9,56,65,0,-9.974471
70,1985,8405,5929,0,2,9,69,60,1,4.722106
71,1985,9847,5929,0,-8,-13,73,86,0,-6.362633
72,1985,5929,6012,0,11,9,65,56,1,6.4567437
73,1985,513,6281,0,-9,-6,56,62,0,-5.7699614
74,1985,5715,6281,0,-13,-19,57,76,0,-17.75649
75,1985,6542,6281,0,-5,-2,58,60,0,-8.665047
76,1985,10020,6281,0,-6,12,56,44,1,-5.424371
77,1985,3745,6372,0,11,19,76,57,1,12.2537155
78,1985,6281,6542,0,5,2,60,58,1,5.067622
79,1985,6830,6542,0,-3,-9,70,79,0,-1.8136456
80,1985,4149,6595,0,11,11,49,38,1,5.1013517
81,1985,3954,6629,0,-9,-11,64,75,0,-5.4742746
82,1985,4562,6629,0,-1,12,79,67,1,-6.4172
83,1985,3779,6664,0,-8,-6,69,75,0,-10.89665
84,1985,4562,6664,0,-4,-2,84,86,0,-12.613204
85,1985,5077,6664,0,-1,2,63,61,1,-5.0687475
86,1985,5884,6664,0,-15,-13,83,96,0,-27.562239
87,1985,8059,6732,0,7,17,85,68,1,1.4116867
88,1985,6542,6830,0,3,9,79,70,1,-1.7170308
89,1985,5077,6898,0,13,12,67,55,1,18.699429
90,1985,2340,6966,0,11,13,75,62,1,15.050098
91,1985,4562,7000,0,7,24,78,54,1,-0.30543777
92,1985,513,7201,0,-5,1,59,58,1,-4.558957
93,1985,9629,7693,0,9,5,85,80,1,4.6976085
94,1985,4698,8059,0,1,13,70,57,1,-1.6123955
95,1985,6732,8059,0,-7,-17,68,85,0,-4.92688
96,1985,8405,8239,0,15,24,83,59,1,14.346716
97,1985,410,8405,0,-8,-3,65,68,0,-12.572683
98,1985,3132,8405,0,0,18,77,59,1,-0.6346094
99,1985,4264,8405,0,-11,-16,70,86,0,-10.424824
100,1985,5929,8405,0,-2,-9,60,69,0,-8.38239
101,1985,8239,8405,0,-15,-24,59,83,0,-17.91454
102,1985,2204,8662,0,-3,-5,65,70,0,-3.7720215
103,1985,3234,8662,0,5,17,70,53,1,1.7071121
104,1985,3132,8746,0,7,17,63,46,1,10.847419
105,1985,10088,8746,0,-1,-3,57,60,0,2.7784364
106,1985,764,8984,0,-5,2,55,53,1,1.194658
107,1985,9847,9167,0,-5,4,79,75,1,-3.0195262
108,1985,5077,9269,0,5,1,67,66,1,5.8999186
109,1985,5246,9269,0,-3,-2,68,70,0,4.853628
110,1985,4264,9629,0,-8,3,64,61,1,-2.6704047
111,1985,7693,9629,0,-9,-5,80,85,0,-8.209854
112,1985,3779,9663,0,-1,3,58,55,1,0.65044004
113,1985,5929,9847,0,8,13,86,73,1,2.8098705
114,1985,9167,9847,0,5,-4,75,79,0,-0.5011198
115,1985,73,9884,0,-5,4,63,59,1,-3.444526
116,1985,4907,9884,0,-13,-16,65,81,0,-16.369867
117,1985,2082,10020,0,-1,-2,49,51,0,-5.3771544
118,1985,3132,10020,0,7,-2,64,66,0,6.106615
119,1985,4941,10020,0,3,-3,43,46,0,-1.2821877
120,1985,5077,10020,0,6,-7,45,52,0,1.2050064
121,1985,5212,10020,0,7,-4,55,59,0,4.49399
122,1985,6281,10020,0,6,-12,44,56,0,1.795512
123,1985,8746,10088,0,1,3,60,57,1,-6.3253
124,1985,4264,10366,0,-7,8,66,58,1,-3.323438
125,1985,3166,10564,0,5,8,67,59,1,7.6303706
126,1986,5213,40,0,13,6,70,64,1,17.277937
127,1986,3746,74,0,1,-2,56,58,0,-0.147814
128,1986,4265,74,0,4,5,68,63,1,3.8697298
129,1986,10787,74,0,-7,-17,80,97,0,-9.918011
130,1986,514,289,0,1,10,73,63,1,5.259651
131,1986,5930,357,0,8,14,80,66,1,10.092768
132,1986,6543,357,0,11,-7,83,90,0,13.292721
133,1986,289,514,0,-1,-10,63,73,0,-8.812513
134,1986,4597,514,0,6,8,84,76,1,2.8141553
135,1986,8406,514,0,7,-16,65,81,0,1.4801462
136,1986,9630,514,0,4,-7,63,70,0,-0.7730419
137,1986,5078,589,0,11,32,95,63,1,17.260307
138,1986,4597,867,0,5,14,82,68,1,7.621809
139,1986,9848,867,0,-3,-18,65,83,0,-5.8977327
140,1986,8663,909,0,13,49,101,52,1,23.37649
141,1986,3819,1551,0,11,-4,79,83,0,5.6855783
142,1986,5851,1551,0,7,1,71,70,1,-0.19413969
143,1986,8440,1551,0,8,-6,69,75,0,-1.5804064
144,1986,4265,2049,0,15,20,75,55,1,19.542044
145,1986,2341,2205,0,11,7,74,67,1,12.300776
146,1986,6665,2205,0,8,-5,69,74,0,6.631977
147,1986,10055,2205,0,7,-4,68,72,0,5.5362606
148,1986,4597,2307,0,13,20,93,73,1,22.273151
149,1986,2205,2341,0,-11,-7,67,74,0,-15.928607
150,1986,4150,2341,0,0,-4,67,71,0,-1.3074038
151,1986,4597,2341,0,-1,3,72,69,1,-4.6442013
152,1986,5652,2341,0,-15,-7,78,85,0,-27.578783
153,1986,5851,2341,0,-6,-21,50,71,0,-11.263959
154,1986,6733,2341,0,-7,-28,61,89,0,-15.59763
155,1986,3746,2710,0,9,24,75,51,1,18.222773
156,1986,5247,3133,0,-1,12,80,68,1,0.53123647
157,1986,8985,3133,0,-9,-6,64,70,0,-14.834485
158,1986,4733,3235,0,-9,6,70,64,1,-7.8735895
159,1986,4840,3235,0,-13,-15,53,68,0,-27.647078
160,1986,10021,3235,0,-8,-5,61,66,0,-13.421773
161,1986,74,3746,0,-1,2,58,56,1,-3.5161898
162,1986,2710,3746,0,-9,-24,51,75,0,-21.71029
163,1986,1551,3819,0,-11,4,83,79,1,-9.309348
164,1986,5930,3921,0,5,2,66,64,1,-1.8191149
165,1986,5179,3955,0,-3,-2,79,81,0,-12.303993
166,1986,5213,3955,0,5,-3,69,72,0,1.9760473
167,1986,5930,3955,0,1,4,70,66,1,-3.6977894
168,1986,8747,4059,0,-1,11,61,50,1,-2.5005581
169,1986,2341,4150,0,0,4,71,67,1,-2.4622557
170,1986,5247,4150,0,-4,-10,86,96,0,-4.556837
171,1986,5885,4150,0,-15,-25,46,71,0,-31.702068
172,1986,5930,4150,0,-5,-8,67,75,0,-9.639415
173,1986,8747,4150,0,-8,-22,43,65,0,-14.552207
174,1986,74,4265,0,-4,-5,63,68,0,-7.5727043
175,1986,2049,4265,0,-15,-20,55,75,0,-23.094456
176,1986,4733,4265,0,-10,2,59,57,1,-8.103118
177,1986,10225,4265,0,-7,-7,64,71,0,-13.359746
178,1986,514,4597,0,-6,-8,76,84,0,-6.4797983
179,1986,867,4597,0,-5,-14,68,82,0,-11.241266
180,1986,2307,4597,0,-13,-20,73,93,0,-25.751854
181,1986,2341,4597,0,1,-3,69,72,0,0.90690786
182,1986,4733,4597,0,-9,-11,77,88,0,-5.620452
183,1986,6282,4597,0,-1,-15,79,94,0,4.400591
184,1986,3235,4733,0,9,-6,64,70,0,4.177967
185,1986,4265,4733,0,10,-2,57,59,0,4.4052887
186,1986,4597,4733,0,9,11,88,77,1,1.9464719
187,1986,5078,4733,0,8,-2,81,83,0,2.363817
188,1986,7202,4733,0,5,-7,87,94,0,-2.147651
189,1986,3235,4840,0,13,15,68,53,1,24.143261
190,1986,6967,4942,0,-7,-5,64,69,0,-6.527606
191,1986,9630,4942,0,1,6,70,64,1,-1.1101334
192,1986,589,5078,0,-11,-32,63,95,0,-20.795223
193,1986,4733,5078,0,-8,2,83,81,1,-6.0418425
194,1986,3955,5179,0,3,2,81,79,1,8.744513
195,1986,40,5213,0,-13,-6,64,70,0,-20.828934
196,1986,3955,5213,0,-5,3,72,69,1,-5.6740456
197,1986,3133,5247,0,1,-12,68,80,0,-4.231697
198,1986,4150,5247,0,4,10,96,86,1,0.80749494
199,1986,10367,5247,0,-7,-2,70,72,0,-14.496918
200,1986,9270,5383,0,5,2,66,64,1,-0.66334456
201,1986,8406,5548,0,15,9,83,74,1,18.029423
202,1986,2341,5652,0,15,7,85,78,1,24.06396
203,1986,1551,5851,0,-7,-1,70,71,0,-3.372597
204,1986,2341,5851,0,6,21,71,50,1,7.5908785
205,1986,8663,5851,0,5,-12,85,97,0,6.887042
206,1986,9168,5851,0,-3,-19,68,87,0,-4.339779
207,1986,4150,5885,0,15,25,71,46,1,28.216036
208,1986,357,5930,0,-8,-14,66,80,0,-13.603245
209,1986,3921,5930,0,-5,-2,64,66,0,-1.8057978
210,1986,3955,5930,0,-1,-4,66,70,0,0.05482844
211,1986,4150,5930,0,5,8,75,67,1,5.939373
212,1986,10225,5979,0,1,8,67,59,1,-4.5657034
213,1986,4597,6282,0,1,15,94,79,1,-8.171776
214,1986,9270,6282,0,-3,-18,59,77,0,-13.583665
215,1986,9766,6282,0,-11,-12,72,84,0,-24.781797
216,1986,6665,6373,0,9,6,80,74,1,8.6031
217,1986,357,6543,0,-11,7,90,83,1,-16.834238
218,1986,2205,6665,0,-8,5,74,69,1,-10.204822
219,1986,6373,6665,0,-9,-6,74,80,0,-12.157009
220,1986,2341,6733,0,7,28,89,61,1,11.966587
221,1986,10469,6733,0,-1,-8,64,72,0,-1.9066174
222,1986,4942,6967,0,7,5,69,64,1,2.9460714
223,1986,4733,7202,0,-5,7,94,87,1,-1.4866154
224,1986,8440,7358,0,5,1,60,59,1,1.1818111
225,1986,514,8406,0,-7,16,81,65,1,-5.132848
226,1986,5548,8406,0,-15,-9,74,83,0,-21.523136
227,1986,1551,8440,0,-8,6,75,69,1,-1.9728825
228,1986,7358,8440,0,-5,-1,59,60,0,-4.7085624
229,1986,909,8663,0,-13,-49,52,101,0,-26.88433
230,1986,5851,8663,0,-5,12,97,85,1,-10.553296
231,1986,4059,8747,0,1,-11,50,61,0,-1.0360501
232,1986,4150,8747,0,8,22,65,43,1,10.89982
233,1986,3133,8985,0,9,6,70,64,1,11.283073
234,1986,5851,9168,0,3,19,87,68,1,0.7824257
235,1986,5383,9270,0,-5,-2,64,66,0,-2.9312193
236,1986,6282,9270,0,3,18,77,59,1,9.864977
237,1986,9630,9471,0,9,23,74,51,1,7.1705556
238,1986,514,9630,0,-4,7,70,63,1,-2.8578026
239,1986,4942,9630,0,-1,-6,64,70,0,-2.5239499
240,1986,9471,9630,0,-9,-23,51,74,0,-10.725088
241,1986,6282,9766,0,11,12,84,72,1,21.171732
242,1986,867,9848,0,3,18,83,65,1,2.409417
243,1986,3235,10021,0,8,5,66,61,1,9.779968
244,1986,10089,10021,0,3,-9,62,71,0,-0.5207483
245,1986,2205,10055,0,-7,4,72,68,1,-9.098477
246,1986,10021,10089,0,-3,9,71,62,1,-3.0211394
247,1986,4265,10225,0,7,7,71,64,1,9.712907
248,1986,5979,10225,0,-1,-8,59,67,0,1.0033481
249,1986,5247,10367,0,7,2,72,70,1,10.89603
250,1986,6733,10469,0,1,8,72,64,1,-1.5898569
251,1986,74,10787,0,7,17,97,80,1,6.3487787
252,1987,5886,75,0,-13,-17,71,88,0,-19.840033
253,1987,6150,75,0,-5,-25,76,101,0,-9.752437
254,1987,7169,75,0,-4,21,103,82,1,-9.87385
255,1987,9849,290,0,3,7,98,91,1,-4.3312263
256,1987,3820,515,0,7,17,107,90,1,3.032647
257,1987,7661,515,0,-1,-1,61,62,0,-7.5365725
258,1987,3747,556,0,11,-1,67,68,0,13.959722
259,1987,7169,556,0,8,3,90,87,1,6.861964
260,1987,3134,954,0,15,22,75,53,1,18.616638
261,1987,6150,1049,0,3,4,83,79,1,1.0444124
262,1987,9404,1083,0,9,19,92,73,1,0.3716419
263,1987,5447,1518,0,-9,5,65,60,1,-8.163207
264,1987,4564,2206,0,-11,-14,62,76,0,-12.109361
265,1987,4734,2206,0,-7,5,63,58,1,-8.301551
266,1987,8407,2206,0,-3,-8,75,83,0,-5.273485
267,1987,3820,2342,0,4,6,88,82,1,-1.8509924
268,1987,8918,2342,0,-7,-7,51,58,0,-16.446762
269,1987,10788,2342,0,-8,-5,60,65,0,-20.377525
270,1987,3820,2711,0,15,34,92,58,1,21.272566
271,1987,5931,2781,0,-5,-12,70,82,0,-12.960355
272,1987,7203,2781,0,3,-19,66,85,0,-4.660551
273,1987,8664,2781,0,4,6,87,81,1,-7.7856445
274,1987,8664,3050,0,13,6,79,73,1,18.348053
275,1987,954,3134,0,-15,-22,53,75,0,-22.101702
276,1987,4151,3134,0,-4,-13,57,70,0,-5.2716217
277,1987,6631,3134,0,-8,-3,79,82,0,-4.2527905
278,1987,7169,3134,0,-5,15,88,73,1,-7.581682
279,1987,4185,3168,0,-1,3,82,79,1,-4.7790995
280,1987,4734,3236,0,-3,6,85,79,1,-2.6805575
281,1987,4151,3561,0,7,11,66,55,1,1.7052486
282,1987,9631,3679,0,15,25,95,70,1,17.908403
283,1987,556,3747,0,-11,1,68,67,1,-17.51572
284,1987,515,3820,0,-7,-17,90,107,0,-6.693489
285,1987,2342,3820,0,-4,-6,82,88,0,-1.856766
286,1987,2711,3820,0,-15,-34,58,92,0,-24.758179
287,1987,4734,3820,0,-9,-1,76,77,0,-10.416518
288,1987,8664,3820,0,-1,-1,73,74,0,-4.49889
289,1987,9631,3820,0,0,-4,93,97,0,-2.3436682
290,1987,6666,3922,0,-4,-2,91,93,0,-8.045831
291,1987,7830,3922,0,-13,-23,76,99,0,-16.51529
292,1987,9631,3922,0,1,3,84,81,1,-4.740122
293,1987,9849,3922,0,-5,-2,82,84,0,-12.809916
294,1987,3134,4151,0,4,13,70,57,1,1.6233051
295,1987,3561,4151,0,-7,-11,55,66,0,-5.286536
296,1987,5447,4151,0,-8,-4,63,67,0,-6.8459206
297,1987,3168,4185,0,1,-3,79,82,0,1.2216365
298,1987,9631,4185,0,8,19,80,61,1,6.987486
299,1987,6631,4266,0,-1,14,91,77,1,2.3200443
300,1987,2206,4564,0,11,14,76,62,1,8.541887
301,1987,2206,4734,0,7,-5,58,63,0,4.6971407
302,1987,3236,4734,0,3,-6,79,85,0,-0.86985224
303,1987,3820,4734,0,9,1,77,76,1,6.79179
304,1987,8748,4734,0,8,-10,62,72,0,0.78651696
305,1987,7002,4841,0,11,25,93,68,1,16.235065
306,1987,8714,4909,0,9,16,76,60,1,8.100729
307,1987,5852,5214,0,1,-15,82,97,0,-3.9090407
308,1987,6283,5214,0,8,12,109,97,1,14.223689
309,1987,10788,5384,0,-9,1,70,69,1,-12.703699
310,1987,1518,5447,0,9,-5,60,65,0,4.584388
311,1987,4151,5447,0,8,4,67,63,1,3.2797582
312,1987,6544,5717,0,7,13,84,71,1,4.355051
313,1987,5214,5852,0,-1,15,97,82,1,0.35831812
314,1987,75,5886,0,13,17,88,71,1,16.288774
315,1987,2781,5931,0,5,12,82,70,1,9.296846
316,1987,75,6150,0,5,25,101,76,1,6.1033297
317,1987,1049,6150,0,-3,-4,79,83,0,-4.589793
318,1987,5214,6283,0,-8,-12,97,109,0,-17.950298
319,1987,6544,6283,0,-4,-6,68,74,0,-19.980927
320,1987,6900,6283,0,-15,-31,82,113,0,-29.13641
321,1987,8664,6283,0,-1,4,79,75,1,-13.5609
322,1987,7203,6374,0,11,9,104,95,1,13.010979
323,1987,5717,6544,0,-7,-13,71,84,0,-7.8281703
324,1987,6283,6544,0,4,6,74,68,1,16.274014
325,1987,8714,6544,0,1,-1,57,58,0,2.216853
326,1987,3134,6631,0,8,3,82,79,1,0.59459
327,1987,4266,6631,0,1,-14,77,91,0,-5.915097
328,1987,3922,6666,0,4,2,93,91,1,4.351837
329,1987,7002,6666,0,3,-3,93,96,0,-0.9335939
330,1987,9169,6666,0,-5,-5,69,74,0,-6.859478
331,1987,6283,6900,0,15,31,113,82,1,25.518307
332,1987,4841,7002,0,-11,-25,68,93,0,-19.712852
333,1987,6666,7002,0,-3,3,96,93,1,-2.7091305
334,1987,75,7169,0,4,-21,82,103,0,6.2259207
335,1987,556,7169,0,-8,-3,87,90,0,-10.3491125
336,1987,3134,7169,0,5,-15,73,88,0,3.955773
337,1987,8664,7169,0,4,14,77,63,1,2.6608703
338,1987,9271,7169,0,-5,-22,68,90,0,-9.667171
339,1987,2781,7203,0,-3,19,85,66,1,0.91653234
340,1987,6374,7203,0,-11,-9,95,104,0,-16.58523
341,1987,515,7661,0,1,1,62,61,1,3.9782522
342,1987,3922,7830,0,13,23,99,76,1,12.903451
343,1987,8748,8241,0,13,19,75,56,1,14.424135
344,1987,2206,8407,0,3,8,83,75,1,1.6397016
345,1987,10566,8407,0,-5,-2,55,57,0,-7.42313
346,1987,2781,8664,0,-4,-6,81,87,0,4.0719395
347,1987,3050,8664,0,-13,-6,73,79,0,-21.810696
348,1987,3820,8664,0,1,1,74,73,1,0.81675893
349,1987,6283,8664,0,1,-4,75,79,0,9.791712
350,1987,7169,8664,0,-4,-14,63,77,0,-6.2742176
351,1987,10226,8664,0,-8,-18,86,104,0,-3.5333083
352,1987,4909,8714,0,-9,-16,60,76,0,-11.614759
353,1987,6544,8714,0,-1,1,58,57,1,-5.78741
354,1987,4734,8748,0,-8,10,72,62,1,-4.352993
355,1987,8241,8748,0,-13,-19,56,75,0,-17.859596
356,1987,2342,8918,0,7,7,58,51,1,12.880584
357,1987,6666,9169,0,5,5,74,69,1,3.2742355
358,1987,7169,9271,0,5,22,90,68,1,6.1734076
359,1987,1083,9404,0,-9,-19,73,92,0,-3.9116051
360,1987,10754,9404,0,-8,10,78,68,1,-5.876539
361,1987,3679,9631,0,-15,-25,70,95,0,-21.416878
362,1987,3820,9631,0,0,4,97,93,1,-1.3593676
363,1987,3922,9631,0,-1,-3,81,84,0,1.0140626
364,1987,4185,9631,0,-8,-19,61,80,0,-10.600879
365,1987,10754,9631,0,-11,-14,78,92,0,-13.040611
366,1987,290,9849,0,-3,-7,91,98,0,0.7648991
367,1987,3922,9849,0,5,2,84,82,1,9.162134
368,1987,10754,10056,0,-7,4,64,60,1,-6.3383074
369,1987,8664,10226,0,8,18,104,86,1,-0.10662767
370,1987,10470,10226,0,3,-2,62,64,0,-5.541198
371,1987,10226,10470,0,-3,2,64,62,1,1.9539783
372,1987,8407,10566,0,5,2,57,55,1,3.877257
373,1987,9404,10754,0,8,-10,68,78,0,2.3556354
374,1987,9631,10754,0,11,14,92,78,1,9.450885
375,1987,10056,10754,0,7,-4,60,64,0,2.812969
376,1987,2342,10788,0,8,5,65,60,1,16.849476
377,1987,5384,10788,0,9,-1,69,70,0,9.249372
378,1988,1849,291,0,-15,-40,50,90,0,-31.072533
379,1988,3923,291,0,-4,-20,79,99,0,-7.7152348
380,1988,6284,291,0,-1,-18,52,70,0,-10.289406
381,1988,6667,291,0,0,8,86,78,1,-1.5291293
382,1988,7962,291,0,-7,-29,55,84,0,-14.737956
383,1988,10023,413,0,5,8,82,74,1,1.3134487
384,1988,869,516,0,-1,-4,86,90,0,-1.3890803
385,1988,6667,516,0,7,20,107,87,1,10.563273
386,1988,5080,625,0,-1,15,75,60,1,2.101197
387,1988,5215,733,0,11,5,63,58,1,6.6473017
388,1988,2343,801,0,13,16,85,69,1,20.162601
389,1988,516,869,0,1,4,90,86,1,-2.2395337
390,1988,1349,1050,0,-9,-6,92,98,0,-9.008782
391,1988,4599,1050,0,-1,21,97,76,1,-3.3308938
392,1988,1050,1349,0,9,6,98,92,1,5.4559116
393,1988,6667,1383,0,15,28,94,66,1,26.653032
394,1988,291,1849,0,15,40,90,50,1,27.498383
395,1988,4186,2207,0,1,8,66,58,1,-0.6994497
396,1988,10567,2207,0,-7,-21,62,83,0,-8.041683
397,1988,801,2343,0,-13,-16,69,85,0,-23.747562
398,1988,4152,2343,0,-4,7,66,59,1,-10.104257
399,1988,7292,2343,0,-9,-1,72,73,0,-15.794641
400,1988,8062,2343,0,-5,-15,79,94,0,-15.529431
401,1988,8749,2343,0,1,-10,53,63,0,-9.222764
402,1988,7003,2479,0,13,18,108,90,1,10.056174
403,1988,7204,2678,0,15,15,94,79,1,22.117805
404,1988,5215,2782,0,3,23,108,85,1,3.1745079
405,1988,8408,2782,0,-5,-3,59,62,0,-5.4939833
406,1988,3923,2881,0,7,4,102,98,1,6.4388504
407,1988,4735,3135,0,-1,-3,63,66,0,-5.271925
408,1988,8749,3135,0,7,21,74,53,1,-0.06583902
409,1988,3957,3237,0,-7,-12,78,90,0,-4.1974287
410,1988,7360,3237,0,-8,4,59,55,1,-9.825379
411,1988,9734,3748,0,-11,-9,72,81,0,-18.145802
412,1988,10023,3748,0,-3,3,66,63,1,-7.638995
413,1988,7360,3821,0,-9,3,72,69,1,-10.346719
414,1988,291,3923,0,4,20,99,79,1,3.914518
415,1988,2881,3923,0,-7,-4,98,102,0,-10.10359
416,1988,9632,3923,0,1,-18,86,104,0,-7.520857
417,1988,3237,3957,0,7,12,90,78,1,0.62966996
418,1988,2343,4152,0,4,-7,59,66,0,6.3869553
419,1988,4186,4152,0,2,-13,58,71,0,-2.4160597
420,1988,5752,4152,0,-8,-3,58,61,0,-12.527582
421,1988,6667,4152,0,5,-4,79,83,0,9.876501
422,1988,9955,4152,0,-1,-13,64,77,0,-2.9177973
423,1988,10789,4152,0,-5,-13,72,85,0,-5.741638
424,1988,2207,4186,0,-1,-8,58,66,0,-2.915973
425,1988,4152,4186,0,-2,13,71,58,1,-1.2158539
426,1988,4301,4186,0,-9,-13,53,66,0,-10.32267
427,1988,7204,4186,0,3,-3,70,73,0,3.3219965
428,1988,4944,4267,0,-5,-9,81,90,0,-9.7103815
429,1988,8242,4267,0,-13,-15,84,99,0,-18.417585
430,1988,10023,4267,0,-4,6,80,74,1,-6.639554
431,1988,4186,4301,0,9,13,66,53,1,6.7790933
432,1988,8749,4403,0,15,14,87,73,1,13.330102
433,1988,1050,4599,0,1,-21,76,97,0,-0.27705404
434,1988,6667,4599,0,4,10,108,98,1,12.192404
435,1988,6833,4599,0,-7,-9,61,70,0,-3.9124825
436,1988,6284,4633,0,8,26,123,97,1,2.372564
437,1988,10755,4633,0,3,-4,115,119,0,-1.8557398
438,1988,3135,4735,0,1,3,66,63,1,1.6845396
439,1988,4267,4944,0,5,9,90,81,1,6.0540476
440,1988,7797,4944,0,-3,-10,82,92,0,-7.2738957
441,1988,625,5080,0,1,-15,60,75,0,-5.6285563
442,1988,7204,5080,0,8,27,100,73,1,6.5202837
443,1988,733,5215,0,-11,-5,58,63,0,-10.271615
444,1988,2782,5215,0,-3,-23,85,108,0,-6.832185
445,1988,6284,5215,0,1,9,78,69,1,-2.4369452
446,1988,7292,5385,0,-5,7,87,80,1,-10.530351
447,1988,9632,5448,0,9,4,54,50,1,4.3165855
448,1988,4152,5752,0,8,3,61,58,1,8.9937525
449,1988,5932,5752,0,11,-3,75,78,0,11.355997
450,1988,8665,5887,0,11,14,69,55,1,17.082005
451,1988,5752,5932,0,-11,3,78,75,1,-14.912743
452,1988,291,6284,0,1,18,70,52,1,6.5136566
453,1988,4633,6284,0,-8,-26,97,123,0,-6.0266705
454,1988,5215,6284,0,-1,-9,69,78,0,-1.2633669
455,1988,6341,6284,0,-13,-18,65,83,0,-17.65675
456,1988,6284,6341,0,13,18,83,65,1,14.115455
457,1988,8062,6545,0,3,8,83,75,1,-5.1134634
458,1988,291,6667,0,0,-8,78,86,0,-2.3315947
459,1988,516,6667,0,-7,-20,87,107,0,-14.307826
460,1988,1383,6667,0,-15,-28,66,94,0,-30.243013
461,1988,4152,6667,0,-5,4,83,79,1,-13.627652
462,1988,4599,6667,0,-4,-10,98,108,0,-15.921307
463,1988,10023,6667,0,-5,-19,59,78,0,-13.518716
464,1988,4599,6833,0,7,9,70,61,1,0.33979872
465,1988,2479,7003,0,-13,-18,90,108,0,-13.60331
466,1988,9955,7003,0,-5,6,80,74,1,-4.1474285
