,R1,R2,R3,R4,R5,Class,Explanation
83,7,3,13,11,4,0,Nothing in hand
84,10,11,5,6,4,0,Nothing in hand
85,12,6,9,1,12,1,One pair
86,8,10,13,5,4,0,Nothing in hand
87,7,4,13,2,12,0,Nothing in hand
88,7,12,1,13,11,0,Nothing in hand
89,9,3,4,10,1,0,Nothing in hand
90,1,12,8,2,1,1,One pair
91,9,10,8,4,5,0,Nothing in hand
92,1,8,6,1,4,1,One pair
93,11,12,4,12,7,1,One pair
94,2,12,8,7,11,0,Nothing in hand
95,12,12,8,11,6,1,One pair
96,7,8,7,12,8,2,Two pairs
97,9,6,9,9,1,3,Three of a kind
98,10,7,7,6,11,1,One pair
99,10,4,12,9,9,1,One pair
100,11,3,1,9,2,0,Nothing in hand
101,13,3,12,11,12,1,One pair
102,7,6,6,13,9,1,One pair
103,1,2,10,1,12,1,One pair
104,2,8,9,12,5,0,Nothing in hand
105,9,11,7,12,4,0,Nothing in hand
106,6,9,8,2,9,1,One pair
107,7,4,12,7,2,1,One pair
108,10,1,11,11,11,3,Three of a kind
109,12,1,13,11,7,0,Nothing in hand
110,5,11,7,8,8,1,One pair
111,4,11,8,12,6,0,Nothing in hand
112,1,10,3,13,11,0,Nothing in hand
113,2,4,13,5,13,1,One pair
114,2,9,12,10,11,0,Nothing in hand
115,3,1,13,4,9,0,Nothing in hand
116,6,13,13,10,12,1,One pair
117,9,12,10,3,6,0,Nothing in hand
118,7,2,5,9,5,1,One pair
119,2,7,13,12,7,1,One pair
120,3,5,7,1,8,0,Nothing in hand
121,9,4,5,10,1,0,Nothing in hand
122,1,10,10,5,11,1,One pair
123,13,6,11,3,7,0,Nothing in hand
124,11,13,1,13,2,1,One pair
125,12,4,2,7,12,1,One pair
126,2,2,10,11,1,1,One pair
127,4,3,12,8,13,0,Nothing in hand
128,11,12,4,9,13,0,Nothing in hand
129,10,9,13,12,7,0,Nothing in hand
130,11,8,2,10,3,0,Nothing in hand
131,10,3,11,4,7,0,Nothing in hand
132,10,9,3,4,4,1,One pair
133,12,10,6,6,13,1,One pair
134,11,5,13,12,2,0,Nothing in hand
135,6,2,10,7,8,0,Nothing in hand
136,12,1,13,6,1,1,One pair
137,12,2,3,13,8,0,Nothing in hand
138,12,9,5,12,10,1,One pair
139,5,2,8,6,9,0,Nothing in hand
140,2,7,4,5,3,0,Nothing in hand
141,1,7,6,3,10,0,Nothing in hand
142,10,7,7,6,4,1,One pair
143,11,3,12,4,6,0,Nothing in hand
144,2,4,12,8,1,0,Nothing in hand
145,5,7,1,9,3,0,Nothing in hand
146,13,5,11,9,10,0,Nothing in hand
147,7,3,12,10,2,0,Nothing in hand
148,13,8,6,11,7,0,Nothing in hand
149,12,2,11,3,1,0,Nothing in hand
150,13,5,12,12,1,1,One pair
151,7,9,2,6,1,0,Nothing in hand
152,8,10,5,11,9,0,Nothing in hand
153,8,7,13,6,6,1,One pair
154,5,4,9,10,13,0,Nothing in hand
155,3,2,10,4,11,0,Nothing in hand
156,8,8,5,3,1,1,One pair
157,7,5,11,4,5,1,One pair
158,4,4,7,8,5,1,One pair
159,10,10,13,6,6,2,Two pairs
160,9,11,8,4,13,0,Nothing in hand
161,7,12,3,8,7,1,One pair
162,5,1,3,12,11,0,Nothing in hand
163,4,6,13,13,3,1,One pair
164,3,13,4,7,2,0,Nothing in hand
165,7,10,10,2,5,1,One pair
166,9,4,10,7,7,1,One pair
167,3,8,8,1,11,1,One pair
168,7,11,5,12,3,0,Nothing in hand
169,1,8,4,10,5,0,Nothing in hand
170,12,2,5,10,10,1,One pair
171,2,8,7,3,6,0,Nothing in hand
172,4,8,12,9,10,0,Nothing in hand
173,3,6,12,6,5,1,One pair
174,1,9,13,5,7,0,Nothing in hand
175,6,4,13,6,5,1,One pair
176,3,10,8,7,10,1,One pair
177,10,9,1,11,8,0,Nothing in hand
178,6,3,7,4,2,0,Nothing in hand
179,1,7,12,8,5,0,Nothing in hand
180,5,11,10,1,1,1,One pair
181,1,11,10,9,2,0,Nothing in hand
182,11,7,12,5,7,1,One pair
183,1,6,13,11,12,0,Nothing in hand
184,1,3,2,10,9,0,Nothing in hand
185,13,1,10,6,12,0,Nothing in hand
186,10,1,9,9,5,1,One pair
187,13,1,12,7,7,1,One pair
188,5,8,11,6,3,0,Nothing in hand
189,10,3,1,7,10,1,One pair
190,11,13,8,1,12,0,Nothing in hand
191,5,2,4,8,9,0,Nothing in hand
192,12,3,2,4,8,0,Nothing in hand
193,6,10,12,5,11,0,Nothing in hand
194,1,11,11,13,2,1,One pair
195,4,7,4,6,8,1,One pair
196,3,3,4,1,13,1,One pair
197,3,1,3,13,8,1,One pair
198,7,3,4,1,11,0,Nothing in hand
199,2,3,8,7,13,0,Nothing in hand
200,5,5,1,8,13,1,One pair
201,9,13,10,2,7,0,Nothing in hand
202,12,9,1,2,11,0,Nothing in hand
203,10,9,10,8,13,1,One pair
204,2,4,5,10,3,0,Nothing in hand
205,3,10,8,4,13,0,Nothing in hand
206,12,2,11,8,1,0,Nothing in hand
207,6,1,8,9,5,0,Nothing in hand
208,1,9,9,13,8,1,One pair
209,10,11,12,5,6,0,Nothing in hand
210,10,12,7,13,12,1,One pair
211,10,7,2,12,2,1,One pair
212,7,9,5,9,6,1,One pair
213,4,2,5,1,4,1,One pair
214,1,3,12,13,8,0,Nothing in hand
215,12,8,2,1,8,1,One pair
216,12,5,10,13,8,0,Nothing in hand
217,1,13,11,13,4,1,One pair
218,2,13,6,7,11,0,Nothing in hand
219,8,3,10,12,1,0,Nothing in hand
220,2,11,12,13,9,0,Nothing in hand
221,13,2,2,9,11,1,One pair
222,12,10,4,3,6,0,Nothing in hand
223,11,6,8,7,12,0,Nothing in hand
224,6,11,2,10,11,1,One pair
225,8,9,10,13,1,0,Nothing in hand
226,8,11,12,3,11,1,One pair
227,13,3,7,8,8,1,One pair
228,11,1,10,9,6,0,Nothing in hand
229,13,11,6,9,4,0,Nothing in hand
230,11,8,3,7,12,0,Nothing in hand
231,7,1,5,1,3,1,One pair
232,12,7,4,2,10,0,Nothing in hand
233,10,4,2,11,1,0,Nothing in hand
234,4,12,2,9,12,1,One pair
235,10,9,12,2,11,0,Nothing in hand
236,11,1,1,3,5,1,One pair
237,7,3,8,10,2,0,Nothing in hand
238,1,10,4,10,3,1,One pair
239,13,4,9,3,3,1,One pair
240,11,10,12,3,10,1,One pair
241,2,12,6,5,4,0,Nothing in hand
242,2,4,9,1,6,0,Nothing in hand
243,7,3,13,5,5,1,One pair
244,9,8,8,3,7,1,One pair
245,6,12,2,8,7,0,Nothing in hand
246,8,13,7,7,13,2,Two pairs
247,9,13,8,9,6,1,One pair
248,11,10,10,13,13,2,Two pairs
249,11,10,3,6,4,0,Nothing in hand
250,9,1,10,5,4,0,Nothing in hand
251,12,1,1,11,11,2,Two pairs
252,2,8,6,10,8,1,One pair
253,7,7,9,3,10,1,One pair
254,12,4,9,6,1,0,Nothing in hand
255,7,7,4,6,3,1,One pair
256,6,9,7,8,8,1,One pair
257,12,3,3,7,10,1,One pair
258,11,6,3,12,11,1,One pair
259,8,6,11,5,4,0,Nothing in hand
260,4,11,9,1,8,0,Nothing in hand
261,5,4,2,10,6,0,Nothing in hand
262,3,5,12,2,4,0,Nothing in hand
263,6,13,9,13,10,1,One pair
264,11,6,7,2,11,1,One pair
265,1,5,10,4,6,0,Nothing in hand
266,10,8,6,1,2,0,Nothing in hand
267,6,4,1,11,13,0,Nothing in hand
268,9,4,13,3,2,0,Nothing in hand
269,1,9,8,6,1,1,One pair
270,6,9,8,1,11,0,Nothing in hand
271,7,4,2,2,12,1,One pair
272,7,13,10,9,10,1,One pair
273,9,2,11,12,11,1,One pair
274,3,4,8,4,12,1,One pair
275,8,6,6,7,13,1,One pair
276,1,12,3,6,1,1,One pair
277,12,11,3,1,13,0,Nothing in hand
278,10,5,7,9,9,1,One pair
279,9,13,3,6,5,0,Nothing in hand
280,5,3,12,5,13,1,One pair
281,9,12,1,4,1,1,One pair
282,8,8,7,12,4,1,One pair
283,5,2,7,9,12,0,Nothing in hand
284,8,2,3,2,7,1,One pair
285,3,13,4,5,5,1,One pair
286,4,3,12,10,10,1,One pair
287,4,8,12,4,2,1,One pair
288,13,2,13,6,2,2,Two pairs
289,10,3,6,1,13,0,Nothing in hand
290,10,7,8,5,11,0,Nothing in hand
291,8,5,6,2,7,0,Nothing in hand
292,12,7,4,13,11,0,Nothing in hand
293,9,8,3,13,12,0,Nothing in hand
294,6,7,9,10,11,0,Nothing in hand
295,7,4,12,13,4,1,One pair
296,10,9,4,13,9,1,One pair
297,10,1,2,12,4,0,Nothing in hand
298,2,10,1,2,5,1,One pair
299,8,11,5,5,2,1,One pair
300,13,12,12,9,12,3,Three of a kind
301,6,5,8,13,2,0,Nothing in hand
302,2,11,1,7,2,1,One pair
303,7,1,6,10,8,0,Nothing in hand
304,7,2,8,13,1,0,Nothing in hand
305,7,13,2,12,5,0,Nothing in hand
306,4,13,8,5,3,0,Nothing in hand
307,12,4,6,12,9,1,One pair
308,1,13,7,13,11,1,One pair
309,10,10,2,6,4,1,One pair
310,12,4,11,13,6,0,Nothing in hand
311,11,9,3,6,1,0,Nothing in hand
312,5,7,7,13,11,1,One pair
313,10,2,12,6,5,0,Nothing in hand
314,2,4,12,10,8,0,Nothing in hand
315,3,13,4,13,8,1,One pair
316,1,13,1,6,10,1,One pair
317,6,13,11,6,2,1,One pair
318,8,12,9,2,5,0,Nothing in hand
319,11,13,9,7,13,1,One pair
320,6,2,9,7,5,0,Nothing in hand
321,1,10,6,3,4,0,Nothing in hand
322,7,12,3,5,6,0,Nothing in hand
323,6,1,11,2,5,0,Nothing in hand
324,3,12,12,13,10,1,One pair
325,10,4,5,3,13,0,Nothing in hand
326,7,3,1,7,3,2,Two pairs
327,12,2,5,1,8,0,Nothing in hand
328,8,12,10,2,7,0,Nothing in hand
329,12,11,11,9,11,3,Three of a kind
330,4,6,13,10,7,0,Nothing in hand
331,7,13,12,1,9,0,Nothing in hand
332,3,5,1,4,8,0,Nothing in hand
333,1,5,12,6,9,0,Nothing in hand
334,5,9,3,7,8,0,Nothing in hand
335,9,12,7,12,9,2,Two pairs
336,2,4,1,10,8,0,Nothing in hand
337,7,12,12,3,4,1,One pair
338,3,7,7,13,7,3,Three of a kind
339,3,13,5,10,7,0,Nothing in hand
340,4,9,7,9,5,1,One pair
341,9,7,9,7,5,2,Two pairs
342,4,7,7,3,13,1,One pair
343,9,4,7,8,6,0,Nothing in hand
344,11,9,10,5,9,1,One pair
345,11,2,3,11,4,1,One pair
346,12,2,12,8,11,1,One pair
347,2,6,13,13,13,3,Three of a kind
348,1,6,2,4,1,1,One pair
349,4,6,12,8,3,0,Nothing in hand
350,9,13,5,11,9,1,One pair
351,5,11,6,8,7,0,Nothing in hand
352,5,4,7,2,9,0,Nothing in hand
353,7,9,4,11,13,0,Nothing in hand
354,4,10,6,9,3,0,Nothing in hand
355,13,8,13,6,2,1,One pair
356,10,12,7,12,5,1,One pair
357,13,12,13,7,8,1,One pair
358,3,6,6,13,11,1,One pair
359,7,1,11,3,12,0,Nothing in hand
360,5,1,5,2,6,1,One pair
361,13,13,1,8,4,1,One pair
362,4,9,5,5,7,1,One pair
363,7,7,4,11,9,1,One pair
364,2,9,2,9,8,2,Two pairs
365,9,2,6,10,7,0,Nothing in hand
366,3,4,8,7,9,0,Nothing in hand
367,9,5,4,10,7,0,Nothing in hand
368,12,12,8,11,12,3,Three of a kind
369,1,6,4,9,1,1,One pair
370,10,6,11,5,12,0,Nothing in hand
371,8,11,2,7,1,0,Nothing in hand
372,5,11,2,9,7,0,Nothing in hand
373,12,7,9,8,7,1,One pair
374,9,2,7,13,11,0,Nothing in hand
375,6,8,12,8,11,1,One pair
376,9,8,2,9,11,1,One pair
377,4,10,3,13,4,1,One pair
378,5,2,10,11,11,1,One pair
379,7,3,3,10,12,1,One pair
380,4,7,7,4,5,2,Two pairs
381,7,2,3,13,2,1,One pair
382,4,13,8,9,9,1,One pair
383,8,9,8,8,3,3,Three of a kind
384,3,1,10,2,4,0,Nothing in hand
385,7,4,3,8,1,0,Nothing in hand
386,7,13,3,9,1,0,Nothing in hand
387,9,7,13,1,12,0,Nothing in hand
388,4,7,1,3,9,0,Nothing in hand
389,8,2,13,13,11,1,One pair
390,12,11,9,8,7,0,Nothing in hand
391,11,7,9,5,10,0,Nothing in hand
392,1,9,2,11,9,1,One pair
393,4,12,1,7,7,1,One pair
394,3,13,9,8,8,1,One pair
395,1,6,8,2,6,1,One pair
396,5,8,12,12,13,1,One pair
397,11,2,10,12,7,0,Nothing in hand
398,4,7,13,12,2,0,Nothing in hand
399,8,12,11,1,9,0,Nothing in hand
400,7,12,2,13,5,0,Nothing in hand
401,5,5,2,13,4,1,One pair
402,11,12,10,9,13,4,Straight
403,13,3,7,9,7,1,One pair
404,1,2,6,11,12,0,Nothing in hand
405,5,12,3,7,9,0,Nothing in hand
406,9,4,3,7,12,0,Nothing in hand
407,11,12,7,4,1,0,Nothing in hand
408,2,11,4,13,13,1,One pair
409,1,1,3,4,8,1,One pair
410,4,5,3,11,13,0,Nothing in hand
411,5,5,12,2,12,2,Two pairs
412,8,10,11,4,3,0,Nothing in hand
413,6,3,5,11,8,0,Nothing in hand
414,6,11,5,5,10,1,One pair
415,2,5,6,10,3,0,Nothing in hand
416,10,1,11,2,13,0,Nothing in hand
417,11,10,9,2,6,0,Nothing in hand
418,10,3,4,8,11,0,Nothing in hand
419,11,4,2,4,6,1,One pair
420,9,4,11,4,9,2,Two pairs
421,4,9,2,12,6,0,Nothing in hand
422,9,8,6,6,11,1,One pair
423,12,1,11,2,5,0,Nothing in hand
424,1,5,7,4,10,0,Nothing in hand
425,7,2,7,7,2,6,Full house
426,5,8,4,5,11,1,One pair
427,8,11,12,5,9,0,Nothing in hand
428,12,9,2,3,6,0,Nothing in hand
429,9,13,5,8,8,1,One pair
430,1,11,4,8,8,1,One pair
431,3,5,2,6,10,0,Nothing in hand
432,9,1,8,9,10,1,One pair
433,1,5,12,2,10,0,Nothing in hand
434,7,11,13,3,5,0,Nothing in hand
435,10,11,7,2,11,1,One pair
436,4,11,6,10,10,1,One pair
437,8,13,4,12,1,0,Nothing in hand
438,2,6,1,9,8,0,Nothing in hand
439,5,1,3,6,10,0,Nothing in hand
440,7,8,11,5,7,1,One pair
441,11,3,7,12,4,0,Nothing in hand
442,7,1,5,2,3,0,Nothing in hand
443,5,13,11,2,11,1,One pair
444,10,4,3,3,1,1,One pair
445,13,12,13,4,2,1,One pair
446,3,6,5,3,3,3,Three of a kind
447,12,6,10,3,2,0,Nothing in hand
448,10,1,3,2,2,1,One pair
449,13,6,13,2,13,3,Three of a kind
450,6,6,12,8,8,2,Two pairs
451,1,10,9,2,7,0,Nothing in hand
452,11,3,9,10,5,0,Nothing in hand
453,6,8,5,7,3,0,Nothing in hand
454,13,8,13,3,3,2,Two pairs
455,9,10,3,8,1,0,Nothing in hand
456,9,11,5,5,13,1,One pair
457,2,7,2,1,5,1,One pair
458,2,4,12,12,6,1,One pair
459,1,11,6,2,7,0,Nothing in hand
460,8,10,2,9,5,0,Nothing in hand
461,13,2,11,12,5,0,Nothing in hand
462,3,1,6,2,12,0,Nothing in hand
463,12,5,13,11,9,0,Nothing in hand
464,4,10,13,6,7,0,Nothing in hand
465,7,9,7,6,4,1,One pair
466,13,7,11,11,4,1,One pair
467,2,6,4,8,1,0,Nothing in hand
468,2,9,6,8,13,0,Nothing in hand
469,11,3,6,11,6,2,Two pairs
470,13,9,7,11,7,1,One pair
471,1,12,4,7,3,0,Nothing in hand
472,3,6,9,7,9,1,One pair
473,11,4,7,1,9,0,Nothing in hand
474,13,8,2,11,4,0,Nothing in hand
475,9,5,3,11,6,0,Nothing in hand
476,1,1,6,1,7,3,Three of a kind
477,9,3,4,1,8,0,Nothing in hand
478,12,12,12,13,4,3,Three of a kind
479,10,12,9,4,8,0,Nothing in hand
480,3,13,2,11,12,0,Nothing in hand
481,3,3,13,6,4,1,One pair
482,6,5,13,6,10,1,One pair
483,13,6,2,2,2,3,Three of a kind
484,11,11,5,1,9,1,One pair
485,13,12,9,6,3,0,Nothing in hand
486,5,5,2,1,3,1,One pair
487,4,4,12,3,10,1,One pair
488,5,9,6,3,7,0,Nothing in hand
489,2,8,6,4,12,0,Nothing in hand
490,1,5,5,9,4,1,One pair
491,13,9,8,1,1,1,One pair
492,9,8,10,10,10,3,Three of a kind
493,2,10,11,6,8,0,Nothing in hand
494,6,11,6,5,10,1,One pair
495,10,13,2,10,13,2,Two pairs
496,6,12,3,3,9,1,One pair
497,10,5,13,2,13,1,One pair
498,7,3,5,8,10,0,Nothing in hand
499,10,9,4,4,2,1,One pair
500,9,7,13,13,2,1,One pair
501,10,6,12,5,3,0,Nothing in hand
502,3,11,4,2,8,0,Nothing in hand
503,8,4,13,3,12,0,Nothing in hand
504,10,10,5,4,5,2,Two pairs
505,12,12,11,4,13,1,One pair
506,10,6,4,8,1,0,Nothing in hand
507,3,9,12,5,9,1,One pair
508,7,6,1,11,5,0,Nothing in hand
509,10,9,13,6,3,0,Nothing in hand
510,10,5,13,3,9,0,Nothing in hand
511,13,10,6,13,6,2,Two pairs
512,3,9,12,6,9,1,One pair
513,4,4,4,1,1,6,Full house
514,8,10,5,12,5,1,One pair
515,6,3,13,10,7,0,Nothing in hand
516,12,10,13,4,6,0,Nothing in hand
517,6,11,7,4,2,0,Nothing in hand
518,6,12,4,13,11,0,Nothing in hand
519,11,9,11,13,10,1,One pair
520,10,12,10,2,4,1,One pair
521,5,7,9,12,4,0,Nothing in hand
522,10,1,2,7,8,0,Nothing in hand
523,7,11,12,12,11,2,Two pairs
524,5,3,4,10,12,0,Nothing in hand
525,3,8,6,12,13,0,Nothing in hand
526,11,7,10,12,1,0,Nothing in hand
527,4,4,10,13,2,1,One pair
528,2,1,12,13,13,1,One pair
529,3,7,5,6,8,0,Nothing in hand
530,8,9,6,11,9,1,One pair
531,13,8,8,10,1,1,One pair
532,3,3,8,5,13,1,One pair
533,12,1,3,11,13,0,Nothing in hand
534,3,6,13,3,5,1,One pair
535,4,7,12,7,10,1,One pair
536,12,7,6,11,9,0,Nothing in hand
537,7,7,5,4,13,1,One pair
538,2,3,8,7,4,0,Nothing in hand
539,6,10,10,4,3,1,One pair
540,7,6,13,2,8,0,Nothing in hand
541,1,12,8,8,10,1,One pair
542,5,4,11,1,2,0,Nothing in hand
543,7,13,8,3,1,0,Nothing in hand
544,13,7,10,6,2,0,Nothing in hand
545,7,11,10,2,3,0,Nothing in hand
546,13,3,13,3,1,2,Two pairs
547,3,4,13,11,2,0,Nothing in hand
548,7,11,5,4,3,0,Nothing in hand
549,4,7,12,9,10,0,Nothing in hand
550,12,11,4,3,13,0,Nothing in hand
551,12,3,7,6,12,1,One pair
552,8,8,6,6,13,2,Two pairs
553,1,5,7,8,10,0,Nothing in hand
554,1,1,7,6,8,1,One pair
555,7,10,10,8,3,1,One pair
556,1,10,3,5,7,0,Nothing in hand
557,9,12,5,1,6,0,Nothing in hand
558,4,13,8,3,3,1,One pair
559,12,5,3,13,2,0,Nothing in hand
560,10,7,4,9,1,0,Nothing in hand
561,4,7,7,12,11,1,One pair
562,9,13,10,7,13,1,One pair
563,11,5,1,9,10,0,Nothing in hand
564,2,11,13,11,10,1,One pair
565,4,3,11,3,8,1,One pair
566,2,4,9,5,4,1,One pair
567,1,9,10,6,6,1,One pair
568,6,6,10,7,13,1,One pair
569,12,8,11,6,3,0,Nothing in hand
570,4,8,2,10,9,0,Nothing in hand
571,9,13,6,13,8,1,One pair
572,7,11,1,4,3,0,Nothing in hand
573,1,7,2,2,8,1,One pair
574,3,12,1,2,4,0,Nothing in hand
575,12,12,4,3,11,1,One pair
576,11,8,2,1,11,1,One pair
577,1,7,9,11,13,0,Nothing in hand
578,7,9,10,13,4,0,Nothing in hand
579,7,10,11,11,3,1,One pair
580,13,8,1,4,6,0,Nothing in hand
581,2,8,9,10,6,0,Nothing in hand
582,9,11,4,4,12,1,One pair
583,9,1,3,13,7,0,Nothing in hand
584,10,2,12,10,5,1,One pair
585,1,4,8,1,9,1,One pair
586,11,7,5,1,8,0,Nothing in hand
587,7,5,2,5,11,1,One pair
588,4,6,2,5,13,0,Nothing in hand
589,13,8,13,10,2,1,One pair
590,13,9,6,2,4,0,Nothing in hand
591,6,7,4,9,3,0,Nothing in hand
592,9,11,10,7,5,0,Nothing in hand
593,9,13,5,5,8,1,One pair
594,7,3,11,3,12,1,One pair
595,12,1,12,4,7,1,One pair
596,1,7,9,11,6,0,Nothing in hand
597,7,12,11,4,2,0,Nothing in hand
598,7,3,4,9,4,1,One pair
599,6,2,12,11,9,0,Nothing in hand
600,2,8,10,5,13,0,Nothing in hand
601,10,2,1,13,4,0,Nothing in hand
602,12,7,3,8,13,0,Nothing in hand
603,6,13,1,13,7,1,One pair
604,1,10,7,9,2,0,Nothing in hand
605,11,1,3,12,12,1,One pair
606,2,13,13,11,1,1,One pair
607,6,13,7,8,8,1,One pair
608,3,7,11,10,7,1,One pair
609,6,7,11,9,4,0,Nothing in hand
610,8,3,13,10,10,1,One pair
611,4,10,11,13,7,0,Nothing in hand
612,13,6,7,2,5,0,Nothing in hand
613,8,7,12,5,7,1,One pair
614,10,8,3,10,7,1,One pair
615,2,9,6,5,11,0,Nothing in hand
616,2,3,1,9,2,1,One pair
617,1,8,9,12,7,0,Nothing in hand
618,1,6,2,10,11,0,Nothing in hand
619,6,3,9,7,4,0,Nothing in hand
620,8,10,6,10,13,1,One pair
621,11,4,2,13,10,0,Nothing in hand
622,4,9,13,9,3,1,One pair
623,6,4,2,1,12,0,Nothing in hand
624,5,10,3,9,13,0,Nothing in hand
625,12,4,9,1,10,0,Nothing in hand
626,13,2,8,4,7,0,Nothing in hand
627,5,1,5,1,12,2,Two pairs
628,7,5,11,8,4,0,Nothing in hand
629,13,12,11,2,5,0,Nothing in hand
630,12,7,12,8,9,1,One pair
631,8,4,5,5,3,1,One pair
632,3,1,11,5,10,0,Nothing in hand
633,6,11,7,8,4,0,Nothing in hand
634,5,1,11,5,10,1,One pair
635,3,12,2,6,13,0,Nothing in hand
636,11,4,6,12,9,0,Nothing in hand
637,1,11,4,13,6,0,Nothing in hand
638,12,13,6,4,8,0,Nothing in hand
639,13,8,8,9,13,2,Two pairs
640,9,4,3,13,4,1,One pair
641,1,13,10,2,10,1,One pair
642,8,12,13,8,6,1,One pair
643,2,12,8,1,7,0,Nothing in hand
644,3,1,9,6,1,1,One pair
645,10,12,11,9,4,0,Nothing in hand
646,5,10,6,13,6,1,One pair
647,10,8,13,7,4,0,Nothing in hand
648,12,12,12,1,3,3,Three of a kind
649,3,9,9,8,5,1,One pair
650,13,5,13,7,4,1,One pair
651,2,5,10,9,6,0,Nothing in hand
652,10,1,13,12,3,0,Nothing in hand
653,12,6,10,1,3,0,Nothing in hand
654,8,12,12,9,12,3,Three of a kind
655,1,3,11,4,9,0,Nothing in hand
656,7,3,5,12,10,0,Nothing in hand
657,1,6,10,11,9,0,Nothing in hand
658,12,8,7,7,3,1,One pair
659,1,11,12,5,5,1,One pair
660,6,1,5,3,8,5,Flush
661,7,12,4,2,12,1,One pair
662,13,1,12,6,11,0,Nothing in hand
663,5,11,4,12,8,0,Nothing in hand
664,11,1,7,5,2,0,Nothing in hand
665,12,11,1,4,1,1,One pair
666,7,2,9,11,4,0,Nothing in hand
667,13,7,7,9,10,1,One pair
668,8,1,2,2,9,1,One pair
669,13,7,3,12,9,0,Nothing in hand
670,8,13,4,10,2,0,Nothing in hand
671,11,6,12,4,12,1,One pair
672,12,4,7,13,12,1,One pair
673,10,2,7,7,4,1,One pair
674,13,2,2,3,4,1,One pair
675,2,7,10,6,3,0,Nothing in hand
676,7,1,10,8,13,0,Nothing in hand
677,4,10,12,11,13,0,Nothing in hand
678,8,10,2,1,12,0,Nothing in hand
679,8,7,6,2,12,0,Nothing in hand
680,5,4,10,7,10,1,One pair
681,3,4,8,1,9,0,Nothing in hand
682,10,6,7,13,6,1,One pair
683,10,11,11,12,2,1,One pair
684,9,12,11,9,2,1,One pair
685,4,7,12,5,7,1,One pair
686,5,9,13,7,13,1,One pair
687,13,13,3,3,1,2,Two pairs
688,11,13,12,4,12,1,One pair
689,12,1,7,10,4,0,Nothing in hand
690,4,11,4,7,11,2,Two pairs
